,id_recipe,Quantity,Unit of Measure,Ingredient
0,7644701,24,slices,pepperoni
1,7644701,24,croutons (,
2,7644701,1 1/2,cup,pizza sauce
3,7644701,16,ounces,shredded mozzarella cheese
4,7644701,1,(5 ounce) package mini,pepperoni
5,7644619,1,pound,pizza dough
6,7644619,1/4,cup,pesto
7,7644619,1/3,cup,shredded quesadilla cheese
8,7644619,10,thin slices,zucchini
9,7644619,10,slices,squash
10,7644619,2,,"mini bell peppers, thinly sliced"
11,7644619,1,slice,"red onion, diced"
12,7644619,1,strip,"bacon, chopped"
13,7568835,1,pound,pizza dough
14,7568835,2,teaspoons,"olive oil, or as needed"
15,7568835,2,tablespoons,"sour cream, plus more for drizzling"
16,7568835,2,tablespoons,mayonnaise
17,7568835,2,teaspoons,chili lime seasoning
18,7568835,1/4,cup,cotija cheese
19,7568835,1/4,cup,shredded quesadilla cheese
20,7568835,1/2,cup,corn kernels
21,7568835,1/4,,"red onion, very thinly sliced"
22,7568835,2,tablespoons,chopped cilantro
23,7568835,1,,"jalapeno, very thinly sliced, or more to taste"
24,7568835,2,teaspoons,butter
25,7568213,2 1/4,teaspoons,dry active yeast (1 packet)
26,7568213,1 1/2,teaspoons,white sugar
27,7568213,1,cup,"water, at about 105 degrees F (41 degrees C)"
28,7568213,3 2/3,cups,bread flour
29,7568213,1 1/2,teaspoons,kosher salt
30,7568213,2,tablespoons,unsalted butter
31,7568213,2,tablespoons,corn oil or other vegetable oil
32,7565207,1,,French baguette
33,7565207,1/2,cup,"pizza sauce, or as needed"
34,7565207,2/3,cup,shredded mozzarella cheese
35,7565207,2,ounces,sausage
36,7565207,2,ounces,pepperoni slices
37,7559275,1,pound,pizza dough
38,7559275,2,teaspoons,olive oil
39,7559275,1/3,cup,ricotta cheese
40,7559275,1/2,teaspoon,talian seasoning
41,7559275,1,pinch,salt
42,7559275,6,(2 ounce),mozzarella
43,7559275,3,,"prosciutto, roughly torn"
44,7559275,2,large,"basil leaves, roughly torn"
45,7559340,1,tablespoon,butter
46,7559340,1,clove,"garlic, minced"
47,7559340,1/3,cup,heavy cream
48,7559340,1,cup,"grated Parmesan cheese, divided"
49,7559340,1,pound,pizza dough
50,7559340,8,slices,mozzarella cheese
51,7508264,1/4,,red bell pepper
52,7508264,1/8,small,red onion
53,7508264,2 1/4,teaspoons,talian dressing
54,7508264,1,(6 1/2-inch),pita bread
55,7508264,1/2,teaspoon,olive oil
56,7508264,2,tablespoons,pizza sauce
57,7508264,1/8,cup,sliced mushrooms
58,7508264,1/2,teaspoon,"black olives, or to taste"
59,7508264,1/2,cup,shredded mozzarella cheese
60,7503843,1,pound,pizza dough
61,7503843,2,,"tomatoes, seeded and chopped"
62,7503843,2,cloves,"garlic, minced"
63,7503843,4,,"basil leaves, torn"
64,7503843,,,salt and ground black pepper to taste
65,7503843,2,teaspoons,olive oil
66,7503843,1,pinch,garlic powder
67,7503843,5,(1 ounce) slices,"mozzarella cheese, or as needed"
68,7503843,1,tablespoon,"balsamic glaze, or as needed"
69,7504226,2,(8-inch),hoagie rolls
70,7504226,1,tablespoon,olive oil
71,7504226,2,teaspoons,talian seasoning
72,7504226,1,cup,pizza sauce
73,7504226,2,cups,shredded mozzarella cheese
74,7504226,8,slices,"pepperoni, halved"
