,id_recipe,Quantity,Unit of Measure,Ingredient
0,7567945,2,tablespoons,olive oil
1,7567945,4,,"boneless pork chops, about 3/4-inch thick"
2,7567945,2,teaspoons,taco seasoning spice blend
3,7567945,1,teaspoon,ground cumin
4,7567945,1,teaspoon,smoked paprika
5,7567945,1/4,teaspoon,salt
6,7567945,1,cup,onion
7,7567945,1,cup,green bell pepper
8,7567945,2,cloves,"garlic, minced"
9,7567945,2,(10-ounce),diced tomatoes and green chilies
10,7567945,1,teaspoon,chili powder
11,7567945,,freshly ground,black pepper to taste
12,7567945,1 1/4,cups,chicken broth
13,7567945,2,cups,"corn kernels, thawed"
14,7567945,2,cups,zucchini
15,7567945,1,cup,uncooked rice
16,7567945,,,flat-leaf parsley or cilantro (optional)
17,7567945,,lime,slices (optional)
18,7563464,2,large,eggs
19,7563464,4 (6 to 8 ounce),ounces,pork chops
20,7563464,,,salt and pepper to taste
21,7563464,1,cup,seasoned breadcrumbs
22,7563464,,,cooking spray
23,6664464,½,cup,water
24,6664464,⅓,cup,light soy sauce
25,6664464,¼,cup,vegetable oil
26,6664464,3,tablespoons,lemon pepper seasoning
27,6664464,2,teaspoons,minced garlic
28,6664464,6,,"boneless pork loin chops, trimmed of fat"
29,7105793,4,(5 ounce),"boneless pork loin chops, trimmed"
30,7105793,1,teaspoon,"table salt, divided"
31,7105793,½,teaspoon,"black pepper, divided"
32,7105793,¼,cup,all-purpose flour
33,7105793,½,teaspoon,garlic powder
34,7105793,½,teaspoon,onion powder
35,7105793,2,,large eggs
36,7105793,¼,cup,whole milk
37,7105793,1 ½,cups,panko breadcrumbs
38,7105793,6,tablespoons,"canola oil, divided"
39,7105793,2,tablespoons,"unsalted butter, divided"
40,7105793,,,chopped fresh thyme for garnish
41,7105793,,,lemon wedges for serving
42,6752090,4,,"boneless pork chops, 3/4-inch thick"
43,6752090,,,salt and freshly ground black pepper to taste
44,6752090,2,tablespoons,all-purpose flour
45,6752090,½,cup,cooking oil
46,6664773,½,cup,ketchup
47,6664773,2 ⅔,tablespoons,honey
48,6664773,2,tablespoons,low-sodium soy sauce
49,6664773,2,cloves,"garlic, crushed"
50,6664773,6,(4 ounce),(1-inch thick) pork chops
51,6664334,½,cup,grated Parmesan cheese
52,6664334,1,teaspoon,paprika
53,6664334,1,teaspoon,garlic powder
54,6664334,1,teaspoon,kosher salt
55,6664334,1,teaspoon,dried parsley
56,6664334,½,teaspoon,ground black pepper
57,6664334,4,(5 ounce),boneless pork chops
58,6664334,2,tablespoons,extra virgin olive oil
59,6648576,4,,pork chops
60,6648576,,,salt and ground black pepper to taste
61,6648576,1,pinch,"garlic salt, or to taste"
62,6648576,½,pound,"fresh mushrooms, sliced"
63,6648576,1,,"onion, chopped"
64,6648576,1,(10.75 ounce) can,condensed cream of mushroom soup
65,6648362,¼,cup,butter
66,6648362,¼,cup,soy sauce
67,6648362,1,bunch,"green onions, chopped"
68,6648362,2,cloves,"garlic, minced"
69,6648362,6,,pork butt steaks
70,6649754,3,large,"eggs, lightly beaten"
71,6649754,3,tablespoons,milk
72,6649754,1 ½,cups,Italian seasoned bread crumbs
73,6649754,½,cup,grated Parmesan cheese
74,6649754,2,tablespoons,dried parsley
75,6649754,2,tablespoons,olive oil
76,6649754,4,cloves,"garlic, peeled and chopped"
77,6649754,4,,pork chops
78,7487076,2,pounds,pork chops
79,7487076,1,tablespoon,olive oil
80,7487076,1/2,teaspoon,garlic powder
81,7487076,,,salt and freshly ground black pepper to taste
82,7487076,1,,"onion, diced"
83,7487076,1,pound,"mushrooms, sliced"
84,7487076,1 1/4,cups,chicken broth
85,7487076,1,(10.5 ounce) can,condensed cream of mushroom soup
86,7487076,2,tablespoons,cornstarch
87,7095354,1,cup,ketchup
88,7095354,¼,cup,"unsalted butter, melted"
89,7095354,¼,cup,apple cider vinegar
90,7095354,¼,cup,maple syrup
91,7095354,1,large,"jalapeno pepper, seeded and minced"
92,7095354,2,tablespoons,Dijon mustard
93,7095354,1,tablespoon,chopped canned chipotle chiles in adobo
94,7095354,1,tablespoon,adobo sauce from canned chipotle chiles
95,7095354,1,tablespoon,Worcestershire sauce
96,7095354,2 ½,teaspoons,"kosher salt, divided"
97,7095354,1,teaspoon,chili powder
98,7095354,½,teaspoon,onion powder
99,7095354,½,teaspoon,garlic powder
100,7095354,½,teaspoon,smoked paprika
101,7095354,4,,"(1 1/4-inch-thick) bone-in, center cut pork chops"
102,7095354,½,teaspoon,ground black pepper
103,7095354,2,tablespoons,canola oil
104,7095354,2,tablespoons,chopped fresh cilantro (Optional)
105,6648219,4,,"large bone-in pork chops, about 1 inch thick"
106,6648219,1,teaspoon,poultry seasoning
107,6648219,,,salt and freshly ground black pepper to taste
108,6648219,2,tablespoons,vegetable oil
109,6648219,1,tablespoon,butter
110,6648219,1,large,"yellow onion, sliced"
111,6648219,4,cloves,"garlic, minced"
112,6648219,1 ½,tablespoons,all-purpose flour
113,6648219,1 ½,cups,chicken broth
114,6648219,¼,cup,buttermilk
115,6648219,¼,cup,water
116,6737461,1,tablespoon,vegetable oil
117,6737461,6,,boneless pork chops
118,6737461,1,(10.75 ounce) can,condensed cream of mushroom soup
119,6737461,1,cup,milk
120,6737461,4,,"potatoes, thinly sliced"
121,6737461,½,cup,chopped onion
122,6737461,1,cup,shredded Cheddar cheese
123,6648197,2,tablespoons,"butter, melted"
124,6648197,1,large,"egg, beaten"
125,6648197,2,tablespoons,milk
126,6648197,¼,teaspoon,black pepper
127,6648197,1,cup,herb-seasoned dry bread stuffing mix
128,6648197,4,,"pork chops, trimmed"
129,6648266,2,tablespoons,vegetable oil
130,6648266,2,tablespoons,ketchup
131,6648266,2,tablespoons,brown sugar
132,6648266,1,tablespoon,Worcestershire sauce
133,6648266,1,tablespoon,soy sauce
134,6648266,1,teaspoon,lemon juice
135,6648266,6,,"pork chops, trimmed"
136,6736855,2,tablespoons,vegetable oil
137,6736855,4,,thick cut pork chops
138,6736855,3,cups,day-old bread cubes
139,6736855,¼,cup,"butter, melted"
140,6736855,¼,cup,chicken broth
141,6736855,2,tablespoons,chopped celery
142,6736855,2,tablespoons,chopped onion
143,6736855,¼,teaspoon,poultry seasoning
144,6736855,1,(10.5 ounce) can,condensed cream of mushroom soup
145,6736855,⅓,cup,water
146,6663142,1,tablespoon,vegetable oil
147,6663142,1,small,"onion, chopped"
148,6663142,1,teaspoon,salt
149,6663142,1,(1/2 inch) piece,"fresh ginger, chopped"
150,6663142,2,,"plum tomatoes, cut into 1/2-inch dice"
151,6663142,1,pound,bone-in pork chops
152,6663142,4,cups,"water, more if needed"
153,6663142,1,(1.41 ounce) package,tamarind soup base (such as Knorr®)
154,6663142,½,pound,"fresh green beans, trimmed"
155,6649229,8,,center cut pork chops
156,6649229,2,pounds,"sauerkraut, drained"
157,6649229,1,large,"red apple, diced"
158,6649229,1,,"onion, chopped"
159,6649229,1,cup,brown sugar
160,6649229,1,tablespoon,caraway seeds
161,6738208,3,tablespoons,honey
162,6738208,3,tablespoons,soy sauce
163,6738208,3,tablespoons,Worcestershire sauce
164,6738208,2,tablespoons,brown sugar
165,6738208,2,cloves,"garlic, minced"
166,6738208,2,teaspoons,ketchup
167,6738208,½,teaspoon,ground ginger
168,6738208,½,teaspoon,onion powder
169,6738208,¼,teaspoon,ground cinnamon
170,6738208,⅛,teaspoon,cayenne pepper
171,6738208,2,(6 ounce),thick-cut boneless pork loin chops
172,6663700,2,,large pork chops
173,6663700,¼,cup,extra-virgin olive oil
174,6663700,4,cloves,"garlic, chopped"
175,6663700,3,tablespoons,dark brown sugar
176,6663700,2,tablespoons,lemon juice
177,6663700,2,tablespoons,spicy brown mustard
178,6663700,2,teaspoons,dried thyme
179,6663700,1,teaspoon,onion powder
180,6663700,1,teaspoon,Worcestershire sauce
181,6663700,1,teaspoon,white wine vinegar
182,6663700,1,teaspoon,mesquite-flavored seasoning
183,6663700,½,teaspoon,dried parsley flakes
184,6663700,½,teaspoon,kosher salt
185,6663700,½,teaspoon,freshly ground black pepper
186,6575523,6,,pork chop cutlets
187,6575523,1,teaspoon,garlic powder
188,6575523,1,teaspoon,seasoning salt
189,6575523,¼,cup,all-purpose flour
190,6575523,2,large,"eggs, beaten"
191,6575523,2,cups,dry bread crumbs
192,6575523,¼,cup,olive oil
193,6663980,4,,boneless pork chops
194,6663980,4,teaspoons,"butter, softened"
195,6663980,4,teaspoons,mayonnaise
196,6663980,1,teaspoon,seasoned salt
197,6663980,1,teaspoon,garlic powder
198,6663980,1,teaspoon,dried parsley
199,6663980,1,cup,shredded sharp Cheddar cheese
200,6664361,1,,"onion, finely chopped"
201,6664361,1,cup,ketchup
202,6664361,2,tablespoons,white wine vinegar
203,6664361,2,tablespoons,honey
204,6664361,2,tablespoons,brown sugar
205,6664361,1,tablespoon,Worcestershire sauce
206,6664361,1,tablespoon,yellow mustard
207,6664361,1,teaspoon,cayenne pepper
208,6664361,6,,thin pork chops
209,6664361,,,salt and ground black pepper to taste
210,6663716,2,pounds,boneless pork chops
211,6663716,½,teaspoon,paprika
212,6663716,,,kosher salt and ground black pepper to taste
213,6663716,¼,cup,"butter, divided"
214,6663716,1,(8 ounce) package,sliced fresh mushrooms
215,6663716,4,cloves,"garlic, minced"
216,6663716,1,teaspoon,Dijon mustard
217,6663716,2,tablespoons,all-purpose flour
218,6663716,2,cups,beef broth
219,6736802,6,,boneless pork chops
220,6736802,½,cup,soy sauce
221,6736802,¼,cup,ketchup
222,6736802,¼,cup,brown sugar
223,6736802,2,cloves,"garlic, crushed"
224,6736802,1,teaspoon,ground ginger
225,6736802,,,salt and pepper to taste
226,6650837,1,tablespoon,butter
227,6650837,1,,"apple - peeled, cored, and sliced"
228,6650837,¼,cup,chopped onion
229,6650837,2,,(1/2-inch thick) pork chops
230,6650837,½,teaspoon,salt
231,6650837,,,ground black pepper to taste
232,6650837,¾,cup,applesauce
233,6650837,2,tablespoons,brown sugar
234,6650837,½,teaspoon,ground mustard
235,6650837,⅛,teaspoon,ground cinnamon
236,6663198,4,(5 ounce),"boneless, center-cut pork chops, 1-inch thick"
237,6663198,1,teaspoon,Cajun seasoning
238,6663198,1 ½,cups,cheese and garlic croutons
239,6663198,2,large,eggs
240,6663198,,,cooking spray
241,6664770,½,,"yellow onion, sliced"
242,6664770,4,,pork chops
243,6664770,26,ounces,condensed cream of mushroom soup
244,6664770,¼,cup,water
245,6664770,2,cubes,beef bouillon
246,6597188,1,large,"onion, sliced into rings"
247,6597188,10,,"center-cut boneless pork chops, trimmed"
248,6597188,1,(10.5 ounce) can,cream of onion soup
249,6597188,1,(10.5 ounce) can,cream of mushroom soup
250,6597188,5,fluid ounces,water
251,6597188,1,(1 ounce) package,ranch dressing mix
252,6597188,1,(1 ounce) package,dry onion soup mix
253,6597188,,,salt and ground black pepper to taste
254,6648582,2,tablespoons,paprika
255,6648582,2,tablespoons,white sugar
256,6648582,1,tablespoon,salt
257,6648582,1,tablespoon,ground black pepper
258,6648582,1,tablespoon,garlic powder
259,6648582,1,tablespoon,onion powder
260,6648582,2,teaspoons,cayenne pepper
261,6648582,6,,pork chops
262,6599006,2,cups,whole kernel corn
263,6599006,1 ½,cups,dry bread crumbs
264,6599006,1,large,"egg, beaten"
265,6599006,2,tablespoons,"butter, softened"
266,6599006,4,,thick cut pork chops
267,6599006,1,(10.5 ounce) can,condensed cream of mushroom soup
268,6664497,4,,(1 1/4 inch thick) pork chops
269,6664497,,,salt and pepper to taste
270,6664497,1,tablespoon,butter
271,6664497,¾,cup,milk
272,6664497,¼,cup,water
273,6664497,1,(10.5 ounce) can,condensed cream of mushroom soup
274,6649158,¼,cup,honey
275,6649158,2,tablespoons,prepared yellow mustard
276,6649158,1,tablespoon,butter
277,6649158,1 ½,pounds,center-cut boneless pork chops - 1/2-inch thick
278,6649158,,,"garlic powder, or to taste"
279,6650240,6,,thick cut pork chops
280,6650240,1,teaspoon,garlic powder
281,6650240,1,teaspoon,seasoning salt
282,6650240,2,,"egg, beaten"
283,6650240,¼,cup,all-purpose flour
284,6650240,2,cups,Italian-style seasoned bread crumbs
285,6650240,4,tablespoons,olive oil
286,6650240,1,(10.5 ounce) can,condensed cream of mushroom soup
287,6650240,½,cup,milk
288,6650240,⅓,cup,white wine
289,6663929,1,cup,soy sauce
290,6663929,½,cup,brown sugar
291,6663929,2,cloves,"garlic, crushed"
292,6663929,1,tablespoon,ground ginger
293,6663929,1,tablespoon,ground cumin
294,6663929,1,tablespoon,roasted red chili paste
295,6663929,6,(1-inch thick),pork chops
296,6663929,,,cooking spray
297,6648420,1,(18 ounce) bottle,barbecue sauce
298,6648420,8,,pork chops
299,6572070,3,cups,chicken broth
300,6572070,2,cups,water
301,6572070,2,(8 ounce),bone-in pork chops
302,6572070,2,tablespoons,soy sauce
303,6572070,1,teaspoon,paprika
304,6572070,1,teaspoon,dried oregano
305,6572070,1,teaspoon,garlic powder
306,6572070,½,teaspoon,salt
307,6572070,½,teaspoon,ground black pepper
308,6572070,½,teaspoon,chili powder
309,6572070,1,large,bay leaf
310,6572070,¼,cup,flour
311,6572070,3,medium,"potatoes, peeled and cubed"
312,6572070,1,cup,chopped broccoli
313,6572070,1,medium,"carrot, diced"
314,6572070,1,medium,"onion, diced"
315,6572070,2,stalks,"celery, diced"
316,6576604,4,,boneless center-cut pork chops
317,6576604,,,salt and ground black pepper to taste
318,6576604,2,tablespoons,"dried thyme, lightly crushed, or more to taste"
319,6650261,,,cooking spray
320,6650261,1,large,egg
321,6650261,¼,cup,grated Parmesan cheese
322,6650261,1,teaspoon,Cajun seasoning
323,6650261,2,,"boneless pork chops, trimmed"
324,6592774,½,cup,ketchup
325,6592774,2,tablespoons,soy sauce
326,6592774,1,tablespoon,brown sugar
327,6592774,1,tablespoon,sherry
328,6592774,2,teaspoons,Worcestershire sauce
329,6592774,1,teaspoon,minced garlic
