,id_recipe,Quantity,Unit of Measure,Ingredient
0,7567917,,,cooking spray
1,7567917,3,cups,"frozen shredded hash brown potatoes, thawed"
2,7567917,3,tablespoons,"butter, melted"
3,7567917,1/8,teaspoon,salt
4,7567917,1/8,teaspoon,black pepper
5,7567917,2,cups,shredded Mexican-style four-cheese blend
6,7567917,6,large,"eggs, lightly beaten"
7,7567917,1/4,cup,red bell pepper
8,7567917,1/4,teaspoon,crushed red pepper (optional)
9,7567917,6,slices,
10,7567917,,chopped fresh,"chives, for garnish"
11,7567945,2,tablespoons,olive oil
12,7567945,4,,"boneless pork chops, about 3/4-inch thick"
13,7567945,2,teaspoons,taco seasoning spice blend
14,7567945,1,teaspoon,ground cumin
15,7567945,1,teaspoon,smoked paprika
16,7567945,1/4,teaspoon,salt
17,7567945,1,cup,onion
18,7567945,1,cup,green bell pepper
19,7567945,2,cloves,"garlic, minced"
20,7567945,2,(10-ounce),diced tomatoes and green chilies
21,7567945,1,teaspoon,chili powder
22,7567945,,freshly ground,black pepper to taste
23,7567945,1 1/4,cups,chicken broth
24,7567945,2,cups,"corn kernels, thawed"
25,7567945,2,cups,zucchini
26,7567945,1,cup,uncooked rice
27,7567945,,,flat-leaf parsley or cilantro (optional)
28,7567945,,lime,slices (optional)
29,7563404,1,lb,"smoked sausage,"
30,7563404,4,,"cream cheese, softened"
31,7563404,1 1/2,cups,sharp Cheddar cheese
32,7563404,1/2,teaspoon,ajun seasoning
33,7563404,2,tablespoons,sour cream
34,7563404,3,,"jalapenos, divided"
35,7563404,1,lb,"thick cut bacon, cut in half"
36,7563404,1/4,cup,bbq sauce
37,7563404,1,tablespoon,honey
38,7563404,1,tablespoon,brown sugar
39,7547750,1,tablespoon,kosher salt
40,7547750,1,teaspoon,smoked paprika
41,7547750,1/2,teaspoon,ground black pepper
42,7547750,1/2,teaspoon,onion powder
43,7547750,1/2,teaspoon,garlic powder
44,7509604,1/2,cup,mint leaves
45,7509604,1/2,cup,orange juice
46,7509604,1/3,cup,oregano leaves
47,7509604,1/4,cup,olive oil
48,7509604,8,cloves,garlic
49,7509604,2,,"limes, juiced"
50,7509604,4,teaspoons,kosher salt
51,7509604,1,tablespoon,ground cumin
52,7509604,2,teaspoons,smoked paprika
53,7509604,1,teaspoon,ground black pepper
54,7509604,1,teaspoon,dried oregano
55,7509604,1/4,teaspoon,cayenne pepper
56,7485158,2,,pork tenderloins (1 lb. each)
57,7485158,1 1/2,,salt
58,7485158,1,teaspoon freshly ground black,pepper
59,7485158,1,,garlic
60,7485158,2,teaspoon h,h
61,7485158,4,teaspoons,olive oil
62,7485158,1/2,cup,white wine
63,7151927,4,tablespoons,"olive oil, divided"
64,7151927,2,,"dates, pitted and chopped, or to taste"
65,7151927,3,tablespoons,white balsamic vinegar
66,7151927,2,teaspoons,minced fresh rosemary
67,7151927,1,teaspoon,sliced garlic
68,7151927,1,teaspoon,"salt, or to taste"
69,7151927,½,teaspoon,"freshly ground black pepper, or to taste"
70,7151927,6,cups,1/2-inch x 2-inch rainbow carrot sticks
71,7151927,4,cups,"1/2-inch x 2-inch peeled, seeded butternut squash chunks"
72,7151927,½,,"red onion, sliced lengthwise"
73,7151927,2,(1 1/4 pound),pork tenderloins
74,6648382,3,slices,bacon
75,6648382,1,(2 pound) package,pork tenderloin
76,6648382,½,teaspoon,salt
77,6648382,¼,teaspoon,freshly ground black pepper
78,6648382,¾,teaspoon,"ground ginger, divided"
79,6648382,1 ½,cups,vertically sliced onion
80,6648382,1 ½,teaspoons,minced garlic
81,6648382,2,cups,peeled and sliced fresh peaches
82,6648382,1,cup,low-sodium chicken broth
83,6648382,2,tablespoons,frozen orange juice concentrate
84,6648382,1,teaspoon,fish sauce
85,6648382,2,tablespoons,water
86,6648382,2,tablespoons,cornstarch
87,6648382,,,fresh parsley for garnish (optional)
88,7096904,¼,cup,"olive oil, plus more for greasing"
89,7096904,½,cup,pineapple preserves
90,7096904,½,teaspoon,granulated garlic
91,7096904,½,teaspoon,cayenne pepper
92,7096904,1,teaspoon,"salt, or to taste"
93,7096904,½,teaspoon,"freshly ground white pepper, or to taste"
94,7096904,1 ½,pounds,"sweet potatoes, cut into 1-inch pieces"
95,7096904,2 ½,pounds,pork tenderloins
96,6582448,3,pounds,"fresh green beans, trimmed"
97,6582448,4,slices,bacon
98,6582448,1,cup,butter
99,6582448,4,cloves,"garlic, minced"
100,6582448,½,teaspoon,lemon zest
101,7095354,1,cup,ketchup
102,7095354,¼,cup,"unsalted butter, melted"
103,7095354,¼,cup,apple cider vinegar
104,7095354,¼,cup,maple syrup
105,7095354,1,large,"jalapeno pepper, seeded and minced"
106,7095354,2,tablespoons,Dijon mustard
107,7095354,1,tablespoon,chopped canned chipotle chiles in adobo
108,7095354,1,tablespoon,adobo sauce from canned chipotle chiles
