,id_recipe,Quantity,Unit of Measure,Ingredient
0,6651067,2,cups,mashed potatoes
1,6651067,1,cup,all-purpose flour
2,6651067,1,,"onion, diced"
3,6651067,1,,egg
4,6651067,½,teaspoon,ground black pepper
5,6651067,½,teaspoon,salt
6,6651067,½,cup,"vegetable oil, or as needed"
7,6649259,4,large,potatoes
8,6649259,1,,yellow onion
9,6649259,1,,"egg, beaten"
10,6649259,1,teaspoon,salt
11,6649259,,,ground black pepper to taste
12,6649259,2,tablespoons,"all-purpose flour, or more as needed"
13,6649259,1,cup,"vegetable oil for frying, or as needed"
14,6664226,2,cups,cold mashed potatoes
15,6664226,2,,"eggs, lightly beaten"
16,6664226,1,tablespoon,all-purpose flour
17,6664226,⅛,teaspoon,garlic powder
18,6664226,1,tablespoon,vegetable oil
19,6664226,1,tablespoon,chopped fresh chives
20,6738656,2,large,eggs
21,6738656,2,tablespoons,all-purpose flour
22,6738656,¼,teaspoon,baking powder
23,6738656,½,teaspoon,salt
24,6738656,¼,teaspoon,pepper
25,6738656,6,medium,"potatoes, peeled and shredded"
26,6738656,½,cup,finely chopped onion
27,6738656,¼,cup,vegetable oil
28,6598824,1 ½,cups,grated raw potatoes
29,6598824,1,cup,all-purpose flour
30,6598824,1,cup,leftover mashed potatoes
31,6598824,1,large,egg
32,6598824,1,tablespoon,skim milk
33,6598824,,,salt and pepper to taste
34,6598824,¼,cup,olive oil
35,6663261,3,medium,"russet potatoes, peeled"
36,6663261,1,large,"egg, beaten, or more to taste"
37,6663261,2,tablespoons,all-purpose flour
38,6663261,1,tablespoon,grated onion
39,6663261,½,teaspoon,"salt, or more to taste"
40,6663261,¼,cup,"peanut oil for frying, or as needed"
41,6739299,1,cup,cold water
42,6739299,1,large,"egg, beaten"
43,6739299,½,teaspoon,salt
44,6739299,¾,cup,dry potato flakes
45,6739299,2,tablespoons,"chopped fresh chives, divided"
46,6739299,1,pinch,freshly ground black pepper
47,6739299,1,pinch,"cayenne pepper, or to taste"
48,6739299,1,tablespoon,vegetable oil
49,6739299,1,tablespoon,butter
50,6739299,¼,cup,sour cream for garnish
51,6591059,2,cups,mashed potatoes
52,6591059,¼,cup,shredded Cheddar cheese
53,6591059,1,large,"egg, beaten"
54,6591059,1,teaspoon,salt
55,6591059,1,tablespoon,butter
56,6591059,1/2,cup to 3/4 cup,all-purpose flour as needed (Optional)
57,6580018,1,(16 ounce) package,"frozen shredded hash brown potatoes, thawed"
58,6580018,½,cup,shredded onion
59,6580018,1,,egg
60,6580018,,,kosher salt and ground black pepper to taste
61,6580018,2,tablespoons,matzo meal
