,id_recipe,Quantity,Unit of Measure,Ingredient
0,6648682,3,cups,diced peeled potatoes
1,6648682,4,slices,bacon
2,6648682,1,small,"onion, diced"
3,6648682,¼,cup,white vinegar
4,6648682,2,tablespoons,water
5,6648682,1 ½,tablespoons,"white sugar, or more to taste"
6,6648682,1,teaspoon,salt
7,6648682,⅛,teaspoon,ground black pepper
8,6648682,1,tablespoon,chopped fresh parsley
9,6663171,5,,potatoes
10,6663171,3,,eggs
11,6663171,1,cup,chopped celery
12,6663171,½,cup,chopped onion
13,6663171,½,cup,sweet pickle relish
14,6663171,¼,cup,mayonnaise
15,6663171,1,tablespoon,prepared mustard
16,6663171,¼,teaspoon,garlic salt
17,6663171,¼,teaspoon,celery salt
18,6663171,,,ground black pepper to taste
19,6736723,12,,red potatoes
20,6736723,¼,cup,chopped green onion
21,6736723,¼,cup,olive oil
22,6736723,¼,cup,red wine vinegar
23,6736723,1 ½,teaspoons,fresh lemon juice
24,6736723,½,teaspoon,garlic powder
25,6736723,½,teaspoon,onion powder
26,6736723,½,teaspoon,"coarse salt, or to taste"
27,6736723,½,teaspoon,"ground black pepper, or to taste"
28,6736723,¼,teaspoon,dried oregano
29,6736723,¼,teaspoon,white sugar
30,6736723,¼,teaspoon,"dried rosemary, crumbled"
31,6736723,1,pinch,ground red pepper
32,6650323,6,,"potatoes, peeled"
33,6650323,1,,"carrot, or more to taste"
34,6650323,4,,whole eggs
35,6650323,6,large,"pickles, cut into cubes"
36,6650323,1,(15 ounce) can,"peas, drained"
37,6650323,½,cup,"cubed fully cooked ham, or to taste"
38,6650323,1,tablespoon,"chopped fresh dill, or to taste (optional)"
39,6650323,½,cup,"mayonnaise, or to taste"
40,6736755,2,pounds,"clean, scrubbed new red potatoes"
41,6736755,6,large,eggs
42,6736755,1,pound,bacon
43,6736755,1,,"onion, finely chopped"
44,6736755,1,stalk,"celery, finely chopped"
45,6736755,2,cups,mayonnaise
46,6736755,,,salt and pepper to taste
47,6650948,9,,"potatoes, peeled"
48,6650948,6,slices,bacon
49,6650948,¾,cup,chopped onions
50,6650948,2,tablespoons,all-purpose flour
51,6650948,2,tablespoons,white sugar
52,6650948,2,teaspoons,salt
53,6650948,½,teaspoon,celery seed
54,6650948,⅛,teaspoon,ground black pepper
55,6650948,¾,cup,water
56,6650948,⅓,cup,distilled white vinegar
57,7556905,2 1/4,pounds,ukon gold potatoes
58,6739761,6,medium,potatoes
59,6739761,½,cup,white sugar
60,6739761,2,large,"eggs, beaten"
61,6739761,1,teaspoon,cornstarch
62,6739761,,,salt to taste
63,6739761,1,(5 ounce) can,evaporated milk
64,6739761,½,cup,vinegar
65,6739761,1,teaspoon,prepared yellow mustard
66,6739761,¼,cup,butter
67,6739761,1,cup,mayonnaise
68,6739761,6,large,"hard-cooked eggs, diced"
69,6739761,1,small,"onion, finely chopped"
70,6739761,1,cup,"celery, chopped"
71,6739761,1,teaspoon,salt
72,6737118,3,pounds,"red potatoes, cut into chunks"
73,6737118,4,large,"hard-cooked eggs, chopped"
74,6737118,1,cup,low-fat sour cream
75,6737118,½,cup,light mayonnaise
76,6737118,⅓,,"celery stalk, chopped"
77,6737118,2,,"green onions, chopped"
78,6737118,1,,"dill pickle, chopped"
79,6737118,2,teaspoons,Dijon mustard
80,6737118,1,teaspoon,white vinegar
81,6737118,1,dash,hot sauce
82,6737118,1,tablespoon,dried dill weed
83,6737118,½,teaspoon,garlic powder
84,6737118,1,dash,onion salt
85,6737118,,,salt and pepper to taste
