,id_recipe,Quantity,Unit of Measure,Ingredient
0,7111592,1,(8 ounce) package,refrigerated crescent roll dough (such as Pillsbury®
1,7111592,8,cups,water
2,7111592,3,tablespoons,baking soda
3,7111592,1,small,egg
4,7111592,1,tablespoon,water
5,7111592,1,tablespoon,"butter, melted"
6,7111592,¼,teaspoon,coarse salt
7,7108604,1,quart,water
8,7108604,¼,cup,baking soda
9,7108604,1,(8 ounce) package,refrigerated crescent roll dough
10,7108604,,,pretzel salt
11,7108604,,,cooking spray
12,6648807,1 ¼,cups,"warm water (110 degrees F/45 degrees C), or more as needed"
13,6648807,4,teaspoons,active dry yeast
14,6648807,1,teaspoon,white sugar
15,6648807,5,cups,all-purpose flour
16,6648807,½,cup,white sugar
17,6648807,1 ½,teaspoons,salt
18,6648807,1,tablespoon,"vegetable oil, or more as needed"
19,6648807,½,cup,baking soda
20,6648807,4,cups,hot water
21,6648807,¼,cup,"kosher salt, for topping"
22,6599881,3 1/2,cups,"all-purpose flour, divided, or more as needed"
23,6599881,1,tablespoon,active dry yeast
24,6599881,1,teaspoon,white sugar
25,6599881,1 ⅓,cups,water
26,6599881,2,tablespoons,"butter, softened"
27,6599881,¼,teaspoon,salt
28,6599881,3,tablespoons,baking soda
29,6599881,2,tablespoons,"butter, melted"
30,6599881,1,tablespoon,"coarse sea salt, or to taste"
31,6738151,¼,cup,"all-purpose flour, or more as needed"
32,6738151,1,(16 ounce) package,refrigerated pizza crust
33,6738151,1,tablespoon,"cornmeal, or as needed"
34,6738151,6,cups,water
35,6738151,⅓,cup,baking soda
36,6738151,,,coarse salt
37,6603156,2,(.25 ounce) packages,active dry yeast
38,6603156,1,cup,warm water (110 degrees F (43 degrees C))
39,6603156,3 ½,cups,all-purpose flour
40,6603156,2,tablespoons,white sugar
41,6603156,1,tablespoon,"shortening, melted"
42,6603156,1,teaspoon,salt
43,6603156,1,,egg yolk
44,6603156,1,tablespoon,water
45,6603156,,,"coarse salt, or to taste"
46,6601025,¼,cup,mayonnaise
47,6601025,¼,cup,Dijon mustard
48,6601025,¼,cup,honey
49,6601025,1,tablespoon,yellow mustard
50,6601025,1,(.25 ounce) package,active dry yeast
51,6601025,2,teaspoons,brown sugar
52,6601025,1,cup,warm water (100 to 110 degrees F)
53,6601025,3,cups,all-purpose flour
54,6601025,1,teaspoon,salt
55,6601025,2,tablespoons,canola oil
56,6601025,5,quarts,water
57,6601025,¼,cup,baking soda
58,6601025,2,tablespoons,"unsalted butter, melted"
59,6601025,,,coarse sea salt to taste
