,id_recipe,Quantity,Unit of Measure,Ingredient
0,6663989,1,(6 pound),pork butt roast
1,6663989,1 ½,tablespoons,salt
2,6663989,1,tablespoon,dried oregano
3,6663989,2,teaspoons,ground cumin
4,6663989,1,teaspoon,ground black pepper
5,6663989,½,teaspoon,chile powder
6,6663989,½,teaspoon,paprika
7,6663989,2,tablespoons,"olive oil, or more to taste"
8,6663989,1,cup,orange juice
9,6663989,1,,"onion, coarsely chopped"
10,6663989,4,cloves,"garlic, diced, or more to taste"
11,6738214,¼,cup,vegetable oil
12,6738214,4,pounds,"pork shoulder, cut into several large pieces"
13,6738214,3,tablespoons,kosher salt
14,6738214,1,,"onion, chopped"
15,6738214,1,clove,"garlic, crushed"
16,6738214,3,tablespoons,lime juice
17,6738214,1,tablespoon,chili powder
18,6738214,½,teaspoon,dried oregano
19,6738214,½,teaspoon,ground cumin
20,6738214,4,(14.5 ounce) cans,chicken broth
21,6663608,1,teaspoon,vegetable oil
22,6663608,1,(4 pound),pork shoulder roast
23,6663608,1,cup,barbeque sauce
24,6663608,½,cup,apple cider vinegar
25,6663608,½,cup,chicken broth
26,6663608,¼,cup,light brown sugar
27,6663608,1,tablespoon,prepared yellow mustard
28,6663608,1,tablespoon,Worcestershire sauce
29,6663608,1,tablespoon,chili powder
30,6663608,1,extra large,"onion, chopped"
31,6663608,2,large cloves,"garlic, crushed"
32,6663608,1 ½,teaspoons,dried thyme
33,6663608,8,,"hamburger buns, split"
34,6663608,2,tablespoons,"butter, or as needed"
35,6650619,1,(8 pound),pork shoulder roast
36,6650619,1,quart,"apple cider, or as needed"
37,6648369,1,(2 pound),pork tenderloin
38,6648369,1,(12 fluid ounce) can or bottle,root beer
39,6648369,1,(18 ounce) bottle,your favorite barbecue sauce
40,6648369,8,,"hamburger buns, split and lightly toasted"
41,6664859,1,(6 pound),pork butt roast
42,6664859,1 ½,tablespoons,Hawaiian sea salt
43,6664859,1,tablespoon,liquid smoke flavoring
