,id_recipe,Quantity,Unit of Measure,Ingredient
0,6663818,1,(3 pound),"whole chicken, giblets removed"
1,6663818,,,salt and black pepper to taste
2,6663818,1,tablespoon,"onion powder, or to taste"
3,6663818,½,cup,butter or margarine
4,6663818,1,stalk,"celery, leaves removed"
5,6648238,4,pounds,chuck roast
6,6648238,,,salt and pepper to taste
7,6648238,2,tablespoons,olive oil
8,6648238,1,packet,dry onion soup mix
9,6648238,1,cup,water
10,6648238,3,,"carrots, chopped"
11,6648238,3,,"potatoes, peeled and cubed"
12,6648238,1,,"onion, chopped"
13,6648238,1,stalk,"celery, chopped"
14,6650121,¼,cup,maple syrup
15,6650121,2,tablespoons,soy sauce
16,6650121,1,clove,"garlic, minced"
17,6650121,¼,teaspoon,garlic salt
18,6650121,⅛,teaspoon,ground black pepper
19,6650121,1,pound,salmon
20,6649077,4,,Cornish hens
21,6649077,3,tablespoons,"olive oil, divided"
22,6649077,,,salt and pepper to taste
23,6649077,1,,"lemon, quartered"
24,6649077,8,sprigs,"fresh rosemary, divided"
25,6649077,24,cloves,garlic
26,6649077,⅓,cup,white wine
27,6649077,⅓,cup,low-sodium chicken broth
28,6581898,3,large,eggs
29,6581898,1,cup,granulated sugar
30,6581898,¾,cup,vegetable oil
31,6581898,½,cup,orange juice
32,6581898,2 ½,teaspoons,vanilla extract
33,6581898,5 ½,cups,all-purpose flour
34,6581898,1,tablespoon,baking powder
35,6581898,1,cup,"fruit preserves, any flavor"
36,6600659,1,tablespoon,olive oil
37,6600659,1,tablespoon,minced garlic
38,6600659,3,pounds,"skinless, boneless chicken breast halves"
39,6600659,1,tablespoon,paprika
40,6600659,1,cup,brown sugar
41,6600659,1,cup,red wine
42,6600659,,,salt and pepper to taste
43,6648806,½,cup,chicken broth
44,6648806,⅓,cup,balsamic vinegar
45,6648806,2,tablespoons,white sugar
46,6648806,1,teaspoon,dried Italian herb seasoning
47,6648806,1,clove,"garlic, minced"
48,6648806,4,,"skinless, boneless chicken breast halves"
49,6648806,1,tablespoon,olive oil
50,6737610,2,cups,all-purpose flour
51,6737610,¼,teaspoon,salt
52,6737610,1,cup,unsalted butter
53,6737610,1,(8 ounce) package,cream cheese
54,6737610,⅓,cup,sour cream
55,6737610,½,cup,white sugar
56,6737610,1,tablespoon,ground cinnamon
57,6737610,1,cup,finely chopped walnuts
58,6737610,½,cup,raisins
59,6591921,1 ½,cups,"butter or margarine, softened"
60,6591921,1,cup,white sugar
61,6591921,2,,eggs
62,6591921,6,tablespoons,orange juice
63,6591921,1,tablespoon,vanilla extract
64,6591921,2,teaspoons,baking powder
65,6591921,4 ½,cups,all-purpose flour
66,6591921,1,(12 ounce) can,poppyseed filling
67,6573416,2,(8 ounce) packages,"cream cheese, room temperature"
68,6573416,2,cups,"unsalted butter, softened"
69,6573416,4,cups,all-purpose flour
70,6573416,1,pound,chopped walnuts
71,6573416,1,,egg
72,6573416,½,cup,honey
73,6573416,1,(12 ounce) can,poppyseed filling
74,6573416,1,,egg white
75,6573416,½,cup,confectioners' sugar for dusting
76,6600536,¼,cup,poppy seeds
77,6600536,¼,cup,milk
78,6600536,1,(18.25 ounce) package,lemon cake mix
79,6600536,1,(3.4 ounce) package,instant vanilla pudding mix
80,6600536,1,cup,water
81,6600536,½,cup,vegetable oil
82,6600536,4,,eggs
83,6739682,1,teaspoon,dried thyme
84,6739682,1,teaspoon,salt
85,6739682,¼,teaspoon,ground black pepper
86,6739682,1,(3 pound),beef brisket
87,6739682,1,tablespoon,olive oil
88,6739682,1,,"red onion, sliced"
89,6739682,1,(14.5 ounce) can,beef broth
90,6739682,1,(8 ounce) can,tomato sauce
91,6739682,½,cup,red wine
92,6576024,3,cups,all-purpose flour
93,6576024,1 ½,teaspoons,baking soda
94,6576024,¾,teaspoon,salt
95,6576024,¾,cup,"butter, softened"
96,6576024,2,cups,white sugar
97,6576024,3,,eggs
98,6576024,½,cup,lemon juice
99,6576024,¾,cup,plain yogurt
100,6576024,3,tablespoons,lemon zest
101,6576024,½,cup,poppy seeds
102,6581592,2,bunches,green onions
103,6581592,1,(14 ounce) can,light coconut milk
104,6581592,¼,cup,"soy sauce, divided"
105,6581592,½,teaspoon,brown sugar
