,id_recipe,Quantity,Unit of Measure,Ingredient
0,6592345,4,,oranges
1,6582258,1,cup,fresh strawberries
2,6582258,¾,cup,orange juice
3,6582258,1,,ripe banana
4,6582258,1,cup,"ice cubes, or as needed"
5,6738714,1,,"avocado - peeled, pitted and diced"
6,6738714,1,,"lime, juiced"
7,6738714,1,,"mango - peeled, seeded and diced"
8,6738714,1,small,"red onion, chopped"
9,6738714,1,,"habanero pepper, seeded and chopped"
10,6738714,1,tablespoon,chopped fresh cilantro
11,6738714,,,salt to taste
12,6582587,½,small head,"cabbage, finely chopped"
13,6582587,1,,"carrot, finely chopped"
14,6582587,½,,"red onion, minced"
15,6582587,1,,"jalapeño pepper, seeded and minced"
16,6582587,1,tablespoon,chopped fresh cilantro
17,6582587,1,,"lime, juiced"
18,6739130,2,pounds,"beets, peeled and cut into chunks"
19,6739130,4,cloves,"cloves garlic, peeled"
20,6739130,6,,peppercorns
21,6739130,2,,bay leaves
22,6584985,1,(5 ounce),very fresh salmon fillet
23,6584985,1,teaspoon,minced shallot
24,6584985,1,teaspoon,minced fresh flat-leaf parsley
25,6584985,1,teaspoon,minced fresh chives
26,6584985,1,teaspoon,minced cornichon (small pickled cucumber)
27,6584985,1,teaspoon,"fresh lemon juice, or more to taste"
28,6584985,,,sea salt and freshly ground black pepper to taste
29,6584698,½,cup,flax seeds
30,6584698,4 ½,cups,water
31,6606394,4,cups,cooked rice
32,6606394,4,tablespoons,soy sauce
33,6606394,4,teaspoons,rice vinegar
34,6606394,4,teaspoons,sesame oil
35,6606394,¼,teaspoon,chile oil (Optional)
36,6606394,¾,pound,"sashimi-grade salmon, cut into small cubes"
37,6737004,3,,"tomatoes, chopped"
38,6737004,½,cup,finely diced onion
39,6737004,5,,"serrano chiles, finely chopped"
40,6737004,½,cup,chopped fresh cilantro
41,6737004,1,teaspoon,salt
42,6737004,2,teaspoons,lime juice
43,6581409,2,cups,almond milk
44,6581409,6,tablespoons,"chia seeds, or more to taste"
45,6581409,⅓,cup,fresh blueberries
46,6581409,1,tablespoon,"maple syrup, or more to taste"
47,6581409,½,teaspoon,vanilla extract
48,6581409,1,pinch,ground cinnamon
49,6576132,1,,seedless watermelon
50,6576132,2,cups,"strawberries, hulled and sliced"
51,6576132,1,,"cantaloupe - seeded, peeled, and sliced (Optional)"
52,6576132,1,,"fresh pineapple - peeled, cored, and sliced (Optional)"
53,6739490,2,pounds,"white fish, cut into small cubes"
54,6739490,4,,"limes, juiced"
55,6739490,½,,"orange, juiced"
56,6739490,1,tablespoon,olive oil
57,6739490,1,,"green chile pepper, chopped"
58,6739490,2,,"mangoes, cut into cubes"
59,6739490,5,,"green onions, chopped"
60,6739490,3,,"tomatoes, seeded and chopped"
61,6739490,½,cup,chopped fresh cilantro
62,6739490,,,salt and ground black pepper to taste
63,6664303,1,,"ripe avocado, peeled and pitted"
64,6664303,4,,very ripe bananas
65,6664303,¼,cup,"unsweetened cocoa powder, plus more for garnish"
66,6605184,4,,"tomatoes, cut into 8 wedges"
67,6605184,2,large,"cucumbers, peeled and sliced"
68,6605184,1,large,"red onion, chopped"
69,6605184,¼,cup,chopped fresh cilantro
70,6605184,1,,"lime, juiced"
71,6605184,,,salt to taste
72,6595588,¼,cup,chia seeds
73,6595588,1,,banana
74,6595588,2,,"dates, pitted"
75,6595588,1,cup,almond milk
76,6595588,¼,teaspoon,ground cinnamon
77,6595588,,,salt to taste
78,6595588,¼,cup,"fresh blueberries, or more to taste"
79,6589896,1,pound,"fresh ahi steaks, cut into small cubes"
80,6589896,¼,cup,soy sauce
81,6589896,¼,cup,chopped Maui onion
82,6589896,¼,cup,chopped green onion
83,6589896,1,,"chile pepper, seeded and diced (Optional)"
84,6589896,2,teaspoons,sesame oil
85,6589896,2,teaspoons,toasted sesame seeds (Optional)
86,6589896,2,teaspoons,finely chopped toasted macadamia nuts (Optional)
87,6589896,1,teaspoon,grated fresh ginger
88,6589896,,,sea salt to taste
89,6587321,1,tablespoon,chopped fresh parsley
90,6587321,¼,cup,freshly squeezed orange juice
91,6587321,1,tablespoon,raw honey
92,6587321,¼,cup,olive oil
93,6587321,2,tablespoons,white wine vinegar
94,6587321,½,teaspoon,grated orange peel
95,6587321,¼,teaspoon,salt
96,6587321,⅛,teaspoon,cayenne pepper
97,6585651,2,quarts,water
98,6585651,¼,cup,wildflower honey
99,6585651,1,large,lemon
100,6585651,2,bunches,fresh mint leaves
101,6571901,5,large,"strawberries, halved"
102,6571901,¼,,"cantaloupe, cut into balls or cubes"
103,6571901,2,,"bananas, peeled and cut into chunks"
104,6571901,1,medium,"apple, cut into chunks"
105,6571901,20,,skewers
106,6598315,2,cups,diced honeydew melon
107,6598315,1,,"English (seedless) cucumber, peeled and diced"
108,6598315,1,small,"onion, diced"
109,6598315,1,,"avocado - peeled, pitted, and chopped"
110,6598315,1,,"jalapeno pepper, seeded and coarsely chopped"
111,6598315,1,clove,"garlic, chopped"
112,6598315,¼,cup,white balsamic vinegar
113,6598315,1,tablespoon,lime juice
114,6598315,,,salt and freshly ground black pepper to taste
115,6568080,½,medium head,"red cabbage, shredded"
116,6568080,1,teaspoon,salt
117,6568080,2,,"red apples, thinly sliced"
118,6568080,2,tablespoons,white balsamic vinegar
119,6568080,2,tablespoons,liquid honey
120,6568080,2,tablespoons,rapeseed oil
121,6561734,2,,"avocados, peeled and pitted"
122,6561734,½,cup,cocoa powder
123,6561734,½,cup,honey
124,6561734,2,tablespoons,coconut oil
125,6561734,1,teaspoon,vanilla extract
126,6561734,½,teaspoon,salt
127,6579541,4,cups,"cauliflower, thinly sliced"
128,6579541,1,cup,coarsely chopped olives
129,6579541,⅔,cup,coarsely chopped green bell pepper (Optional)
130,6579541,½,cup,chopped pimento peppers (Optional)
131,6579541,½,cup,"onion, chopped (Optional)"
132,6579541,1,bunch,"celery stalks, thinly sliced"
133,6569706,1,pound,"ahi tuna, cut into 1/2-inch cubes"
134,6569706,¼,cup,minced green onion
135,6569706,2,tablespoons,ground roasted macadamia nuts
136,6569706,2,tablespoons,"chopped fresh cilantro, or more to taste"
137,6569706,1,tablespoon,fresh lime juice
138,6569706,2,teaspoons,"sesame oil, or more to taste"
139,6569706,1,teaspoon,minced fresh ginger
140,6569706,1,teaspoon,red pepper flakes
141,6569706,1,teaspoon,"sriracha sauce, or to taste"
142,6585677,2,,"zucchini, ends trimmed"
