,id_recipe,Quantity,Unit of Measure,Ingredient
0,7372944,,,cooking spray
1,7372944,1,pound,ground beef
2,7372944,1/2,,"onion, chopped"
3,7372944,1,,"green bell pepper, chopped"
4,7372944,1,,"red bell pepper, chopped"
5,7372944,4,cloves,"garlic, minced"
6,7372944,,,salt and freshly ground black pepper to taste
7,7372944,1 (10-,ounce) can,diced tomatoes with green chiles (such as
8,7372944,1 (15,ounce) can,tomato sauce
9,7372944,3,tablespoons,taco seasoning
10,7372944,1 1/2,cups,long grain rice
11,7372944,1,cup,beef broth
12,7372944,4,ounces,"cheese, shredded"
13,7372944,4,ounces,"pepper Jack cheese, shredded"
14,6811101,1,pound,ground beef
15,6811101,1,(10.75 ounce) can,cream of mushroom soup
16,6811101,1,(14.5 ounce) can,diced tomatoes with juice
17,6811101,½,cup,long grain white rice
18,6811101,¾,cup,shredded mozzarella cheese
19,6811101,,,salt and pepper to taste
20,6891651,1 ¼,cups,long-grain white rice
21,6891651,½,cup,chopped fresh cilantro leaves
22,6891651,2,,"limes, zested and juiced"
23,6891651,1 ½,pounds,"boneless, skinless chicken breasts, cut into 1/2 inch slices"
24,6891651,2,small,"bell peppers, thinly sliced"
25,6891651,1,large,"red onion, thinly sliced"
26,6891651,2,tablespoons,fajita seasoning
27,6891651,2,tablespoons,olive oil
28,6891651,1 ½,teaspoons,kosher salt
29,6891651,½,teaspoon,ground black pepper
30,6891651,1 ½,cups,chicken broth
31,6891651,1,,"lime, cut into wedges"
32,6648585,3,,"chicken breasts, cut into cubes"
33,6648585,2,cups,water
34,6648585,2,cups,instant white rice
35,6648585,1,(10.75 ounce) can,cream of chicken soup
36,6648585,1,(10.75 ounce) can,cream of celery soup
37,6648585,1,(10.75 ounce) can,cream of mushroom soup
38,6648585,,,salt and ground black pepper to taste
39,6648585,½,cup,"butter, sliced into pats"
40,6648527,2,cups,water
41,6648527,2,cups,uncooked instant rice
42,6648527,2,(10 ounce) cans,"chunk chicken, drained"
43,6648527,1,(16 ounce) package,frozen chopped broccoli
44,6648527,1,pound,"processed cheese food, cubed"
45,6648527,1,(10.75 ounce) can,condensed cream of mushroom soup
46,6648527,1,(10.75 ounce) can,condensed cream of chicken soup
47,6648527,1,cup,milk
48,6648527,¼,cup,"butter, cubed"
49,6648527,1,small,"white onion, chopped"
50,6664418,2,pounds,ground beef
51,6664418,3 ½,pounds,chopped cabbage
52,6664418,1,(29 ounce) can,tomato sauce
53,6664418,1,cup,chopped onion
54,6664418,1,cup,uncooked white rice
55,6664418,1,teaspoon,salt
56,6664418,2,(14 ounce) cans,beef broth
57,6573852,2,cups,fresh or frozen vegetables
58,6573852,1,(10.5 ounce) can,Campbell's® Condensed Cream of Chicken Soup (regular or 98% Fat Free)
59,6573852,1 ⅓,cups,water
60,6573852,¾,cup,uncooked regular long-grain white rice
61,6573852,½,teaspoon,onion powder
62,6573852,4,,"skinless, boneless chicken breasts"
63,6573852,½,cup,shredded Cheddar cheese
64,6649839,1,cup,uncooked white rice
65,6649839,1,(1 ounce) package,dry onion soup mix
66,6649839,2,(10.75 ounce) cans,condensed cream of mushroom soup
67,6649839,1,(4.5 ounce) can,sliced mushrooms
68,6649839,1,cup,milk
69,6649839,6,,"skinless, boneless chicken breast halves"
70,6738496,,,cooking spray
71,6738496,2,tablespoons,vegetable oil
72,6738496,6,,boneless pork chops
73,6738496,,,salt and ground black pepper to taste
