,id_recipe,Quantity,Unit of Measure,Ingredient
0,6650694,2,tablespoons,butter
1,6650694,½,cup,orzo pasta
2,6650694,½,cup,diced onion
3,6650694,2,cloves,"garlic, minced"
4,6650694,½,cup,uncooked white rice
5,6650694,2,cups,chicken broth
6,6650778,3,quarts,water
7,6650778,3,tablespoons,kosher salt
8,6650778,2,cups,"basmati rice, rinsed"
9,6650778,2,tablespoons,olive oil
10,6650778,1,,"russet potato, cut into 1/4-inch slices"
11,6650778,1,pinch,ground cumin
12,6650778,,,salt to taste
13,6650778,3,tablespoons,"butter, cut into thin slices, or to taste"
14,6650778,1,pinch,saffron threads
15,6650778,1 ½,tablespoons,hot water
16,6650778,1,tablespoon,"chopped parsley, or to taste"
17,6568407,2,teaspoons,butter
18,6568407,6,,"mushrooms, coarsely chopped"
19,6568407,1,,"green onion, finely chopped"
20,6568407,1,clove,"garlic, minced"
21,6568407,2,cups,chicken broth
22,6568407,1,cup,uncooked white rice
23,6568407,½,teaspoon,chopped fresh parsley
24,6568407,,,salt and pepper to taste
25,6736408,2,tablespoons,butter
26,6736408,2,tablespoons,olive oil
27,6736408,½,medium,"onion, chopped"
28,6736408,2,cups,long-grain white rice
29,6736408,3,cups,chicken stock
30,6736408,1 ½,teaspoons,salt
31,6736408,¼,teaspoon,cayenne pepper
32,6736408,1,pinch,saffron (Optional)
33,6664514,2,cups,long-grain white rice
34,6664514,2,tablespoons,canola oil
35,6664514,1,tablespoon,"sesame oil, or to taste"
36,6664514,1,cup,diced ham
37,6664514,½,cup,sliced green onions
38,6664514,½,cup,diced red bell peppers
39,6664514,½,cup,diced carrots
40,6664514,½,cup,green peas
41,6664514,3,cloves,"garlic, crushed"
42,6664514,1,pinch,salt
43,6664514,3,cups,chicken broth
44,6664514,3,tablespoons,soy sauce
45,6664514,2,teaspoons,chile paste (Optional)
46,6590881,2,tablespoons,butter
47,6590881,1,cup,black rice
48,6590881,¼,cup,diced onion
49,6590881,¼,cup,slivered almonds
50,6590881,1 ¾,cups,water
51,6590881,1,cube,chicken bouillon
52,6664373,2,tablespoons,oil
53,6664373,2,tablespoons,chopped onion
54,6664373,1 ½,cups,uncooked white rice
55,6664373,2,cups,chicken broth
56,6664373,1,cup,picante sauce
57,6739658,2,tablespoons,olive oil
58,6739658,2,tablespoons,chopped onion
59,6739658,¼,cup,green peas
60,6739658,1,,bay leaf
61,6739658,1 ½,cups,dry jasmine rice
62,6739658,3,cups,water
63,6739658,,,salt to taste
64,6574857,1 ¾,cups,water
65,6574857,1,cup,basmati rice
66,6574857,¼,cup,frozen green peas
67,6574857,1,teaspoon,cumin seeds
68,6568799,1,tablespoon,butter
69,6568799,1,tablespoon,olive oil
70,6568799,1,small,"onion, finely chopped"
71,6568799,2,cups,"arborio rice, rinsed in a colander until water runs clear"
72,6568799,1,quart,low-sodium chicken broth
73,6568799,¾,cup,grated Parmesan cheese
74,6568799,1,teaspoon,coarsely ground pepper
75,6568799,,,"Salt, to taste"
76,6579305,3,tablespoons,butter
77,6579305,2,,"carrots, finely chopped"
78,6579305,2,stalks,"celery, finely chopped"
79,6579305,1,small,"red bell pepper, diced"
80,6579305,1,small,"onion, finely chopped"
81,6579305,4,cloves,"garlic, minced"
82,6579305,3,cups,white rice
83,6579305,1,(8.75 ounce) can,"no-salt-added sweet corn, drained"
84,6579305,1,(15 ounce) can,"no-salt-added sweet peas, drained"
85,6579305,5 ½,cups,chicken broth
86,6579305,1 ½,tablespoons,soy sauce
87,6579305,1 ½,tablespoons,Worcestershire sauce
88,6579305,2,teaspoons,lemon pepper
89,6579305,2,teaspoons,dried crushed parsley
90,6579305,4,pinches,dried crushed thyme
91,6579305,1,pinch,saffron (Optional)
92,6579305,,,salt and ground black pepper to taste
93,6590986,1 ½,cups,chicken stock
94,6590986,1,tablespoon,vegetable oil
95,6590986,¼,cup,finely diced onion
96,6590986,1,,bay leaf
97,6590986,1,cup,uncooked basmati rice
98,6590986,,,salt to taste
99,6590986,1,tablespoon,unsalted butter
100,6588957,2,teaspoons,butter
101,6588957,1,(8 ounce) package,sliced fresh mushrooms
102,6588957,¼,cup,chopped green pepper
103,6588957,2,tablespoons,chopped onion
104,6588957,1 ⅓,cups,water
105,6588957,⅔,cup,white rice
106,6588957,1,teaspoon,chicken bouillon granules
107,6588957,⅛,teaspoon,salt
108,6588957,1,pinch,garlic powder
109,6588957,1,pinch,ground black pepper
110,6568933,¼,cup,water
111,6568933,1,(14.5 ounce) can,chicken broth
112,6568933,1,cup,long grain rice
113,6568933,1,teaspoon,curry powder
114,6568933,½,teaspoon,garlic powder
115,6568933,¼,teaspoon,ground cinnamon
116,6568933,⅛,teaspoon,paprika
117,6568933,2,pinches,ground cloves
118,6568933,1,small,"onion, coarsely chopped"
119,6590743,½,cup,butter
120,6590743,1 ½,cups,uncooked fine egg noodles
121,6590743,3,cups,uncooked long grain white rice
122,6590743,5,(14.5 ounce) cans,chicken broth
123,6590743,4,cubes,chicken bouillon
124,6593621,2,teaspoons,chicken bouillon granules
125,6593621,2,cups,water
126,6593621,¼,cup,butter
127,6593621,¾,cup,broken pieces vermicelli pasta
128,6593621,1,cup,long grain white rice
129,6593621,1,teaspoon,freshly ground black pepper
130,6593621,½,teaspoon,salt
131,6593621,¼,teaspoon,"Greek seasoning, or to taste"
132,6578764,1 ½,tablespoons,vegetable oil
133,6578764,1,cup,long-grain rice
134,6578764,1,tablespoon,minced onion
135,6578764,1,tablespoon,minced tomato
136,6578764,2,cups,water
137,6578764,2,tablespoons,chopped carrot
138,6578764,1,tablespoon,chopped celery
139,6578764,2,teaspoons,chicken bouillon granules
140,6601073,1,cup,chicken broth
141,6601073,1,cup,tomato sauce
142,6601073,6,slices,bacon
143,6601073,2,,"onions, diced"
144,6601073,1,cup,uncooked white rice
145,6601073,2,,"tomatoes, diced"
146,6601073,2,,"green bell peppers, diced"
147,6601073,½,teaspoon,chili powder
148,6601073,½,teaspoon,salt and ground black pepper
149,6601073,1,(10 ounce) can,"sliced black olives, drained (Optional)"
150,6601073,1,(10 ounce) can,"whole kernel corn, drained (Optional)"
151,6577329,2,tablespoons,butter
152,6577329,1,medium,"onion, chopped"
153,6577329,1,cup,uncooked white rice
154,6577329,2,cups,chicken broth
155,6577329,1,teaspoon,salt
156,6595915,1,tablespoon,olive oil
157,6595915,¾,cup,chopped onions
158,6595915,1 ½,cups,uncooked jasmine rice
159,6595915,½,cup,dried cranberries
160,6595915,3,cups,low-sodium chicken broth
161,6595915,1,teaspoon,"kosher salt, or to taste"
162,6595915,,,ground black pepper to taste
163,6595915,2,,"green onions, chopped (Optional)"
164,6595915,¼,cup,slivered almonds
165,6595915,3,tablespoons,chopped fresh cilantro
166,6588842,2,tablespoons,butter
167,6588842,½,cup,orzo pasta
168,6588842,½,cup,diced onion
169,6588842,2,cloves,"garlic, minced"
170,6588842,2,cups,chicken broth
171,6588842,½,cup,white rice
172,6588842,1,cup,chopped spinach
173,6588842,½,cup,chopped Bulgarian feta cheese
174,6572239,2,tablespoons,butter
175,6572239,1,,"onion, diced"
176,6572239,1,,"roasted red pepper, diced"
177,6572239,6,,"mushrooms, chopped"
178,6572239,6,cloves,"garlic, minced"
179,6572239,2,cups,uncooked instant rice
180,6572239,3,cups,chicken stock
181,6572239,2,teaspoons,red pepper flakes
182,6572239,½,teaspoon,salt
