,id_recipe,Quantity,Unit of Measure,Ingredient
0,6738310,1,(15.25 ounce) package,chocolate cake mix
1,6738310,½,cup,"butter, softened"
2,6738310,2,,eggs
3,6738310,½,cup,semisweet chocolate chips
4,6738310,½,cup,butterscotch chips
5,6738310,1,teaspoon,vanilla extract
6,6738310,½,gallon,"vanilla ice cream, softened"
7,6600227,1 ¼,cups,"unsalted butter, softened"
8,6600227,⅔,cup,white sugar
9,6600227,2,cups,sifted all purpose flour
10,6600227,1 ¾,cups,ground almonds
11,6600227,⅛,teaspoon,ground cinnamon
12,6600227,5,tablespoons,"raspberry jam, or as needed"
13,6600227,1/4,cup,"confectioners' sugar for decoration, or as needed"
14,6587593,2,cups,"butter, softened"
15,6587593,1,cup,white sugar
16,6587593,4,cups,sifted all-purpose flour
17,6587593,1,cup,raspberry preserves
18,6587593,24,,maraschino cherries
19,6587593,8,cups,confectioners' sugar
20,6587593,½,cup,milk
21,7495893,1,cup,frozen whole strawberries
22,7495893,1,tablespoon,water
23,7495893,1,teaspoon,lemon juice
24,6594055,½,cup,"butter, softened"
25,6594055,1,cup,white sugar
26,6594055,1,,egg
27,6594055,1,cup,evaporated milk
28,6594055,1,teaspoon,vanilla extract
29,6594055,2,cups,all-purpose flour
30,6594055,½,teaspoon,salt
31,6594055,½,cup,unsweetened cocoa powder
32,6594055,1 ½,teaspoons,baking soda
33,6594055,½,teaspoon,baking powder
34,6594055,½,cup,"butter, softened"
35,6594055,1,cup,confectioners' sugar
36,6594055,½,teaspoon,vanilla extract
37,6594055,1,cup,marshmallow creme
38,6587287,9,tablespoons,"butter, softened"
39,6587287,½,cup,white sugar
40,6587287,2,tablespoons,white sugar
41,6587287,3,,egg whites
42,6587287,1 ½,teaspoons,vanilla extract
43,6587287,1 ½,cups,all-purpose flour
44,6587287,6,(1 ounce) squares,"semisweet chocolate, melted"
45,6581939,1 ⅔,cups,unbleached all-purpose flour
46,6581939,2 ½,cups,cornstarch
47,6581939,½,teaspoon,baking soda
48,6581939,2,teaspoons,baking powder
49,6581939,1,cup,"unsalted butter, softened"
50,6581939,¾,cup,white sugar
51,6581939,3,,egg yolks
52,6581939,1,teaspoon,vanilla rum
53,6581939,½,teaspoon,vanilla extract
54,6581939,½,teaspoon,lemon extract
55,6581939,2,teaspoons,lemon zest
56,6581939,1,(11.5 ounce) jar,dulce de leche
57,6581939,½,cup,unsweetened shredded coconut
58,6592596,2,cups,sifted all-purpose flour
59,6592596,½,cup,sifted confectioners' sugar
60,6592596,¼,cup,sifted cornstarch
61,6592596,¼,teaspoon,salt
62,6592596,2,sticks,"unsalted butter, softened"
63,6592596,¼,cup,white sugar
64,6592596,1,teaspoon,vanilla extract
65,6592596,1,(11.5 ounce) jar,dulce de leche
66,6592596,¼,cup,"confectioners' sugar, or as needed for dusting"
67,6574171,3,,extra-large egg whites
68,6574171,⅓,cup,white sugar
69,6574171,1 ⅔,cups,confectioners' sugar
70,6574171,1,cup,almond flour
71,6574171,1,pinch,salt
72,6568747,4,,graham crackers
73,6568747,2,,milk chocolate candy bars
74,6568747,12,,marshmallows
75,6582564,8,,egg whites
76,6582564,1 ¾,cups,white sugar
77,6582564,5 ¼,cups,almond meal
78,6582564,1,teaspoon,ground cinnamon
79,6582564,,,zest from 1 lemon
80,6582564,1,teaspoon,vanilla extract
81,6571149,1,cup,"butter, softened"
82,6571149,¾,cup,tightly packed dark brown sugar
83,6571149,½,cup,white sugar
84,6571149,2,,eggs
85,6571149,1,tablespoon,molasses
86,6571149,1 ½,teaspoons,vanilla extract
87,6571149,1 ½,cups,all-purpose flour
88,6571149,1,teaspoon,ground cinnamon
89,6571149,1,teaspoon,baking soda
90,6571149,½,teaspoon,salt
91,6571149,1 ½,cups,rolled oats
92,6571149,1,cup,cinnamon chips (such as Hershey's®)
93,6595607,⅔,cup,butter
94,6595607,2,cups,quick-cooking oats
95,6595607,1,cup,white sugar
96,6595607,⅔,cup,all-purpose flour
97,6595607,¼,cup,corn syrup
98,6595607,¼,cup,milk
99,6595607,1,teaspoon,vanilla extract
100,6595607,¼,teaspoon,salt
101,6569900,2 ½,cups,cornstarch
102,6569900,1,cup,gluten-free all-purpose baking flour
103,6569900,2,teaspoons,baking powder
104,6569900,½,teaspoon,baking soda
105,6569900,1,cup,"unsalted butter, softened"
106,6569900,¾,cup,white sugar
107,6569900,3,,egg yolks
108,6569900,2,teaspoons,lemon zest
109,6569900,½,teaspoon,vanilla extract
110,6569900,1,(11.5 ounce) jar,dulce de leche
111,6569900,½,cup,shredded coconut
112,6736510,10,ounces,all-purpose flour
113,6736510,½,cup,white sugar
114,6736510,½,cup,dark molasses
115,6736510,2 ½,teaspoons,"ground ginger, or more to taste"
116,6736510,1 ¼,teaspoons,baking soda
117,6736510,1,teaspoon,ground cinnamon
118,6736510,¾,teaspoon,salt
119,6736510,⅓,cup,vegetable oil
120,6736510,1,,"egg, beaten"
121,6736510,⅓,cup,boiling water
122,6736510,,,Filling:
123,6736510,2 ½,cups,confectioners' sugar
124,6736510,1,(8 ounce) package,"cream cheese, room temperature"
125,6736510,¼,cup,"butter, room temperature"
126,6736510,2,teaspoons,"heavy whipping cream, or as needed"
127,6736510,1,teaspoon,vanilla extract
128,6594892,1,(18.25 ounce) box,red velvet cake mix
129,6594892,2,,"eggs, lightly beaten"
130,6594892,½,cup,vegetable oil
131,6594892,1,tablespoon,bourbon
132,6597325,2,(18.25 ounce) packages,devil's food cake mix
133,6597325,4,,eggs
134,6597325,1,cup,shortening
135,6576583,1,cup,peanut butter
136,6576583,1,cup,butter flavored shortening
137,6576583,1,cup,white sugar
138,6576583,1,cup,packed brown sugar
139,6576583,1,teaspoon,vanilla extract
140,6576583,3,,eggs
141,6576583,3,cups,all-purpose flour
142,6576583,2,teaspoons,baking soda
143,6576583,¼,teaspoon,salt
144,6576583,½,cup,creamy peanut butter
145,6576583,3,cups,confectioners' sugar
146,6576583,1,teaspoon,vanilla extract
147,6576583,5,tablespoons,milk
148,6590125,2,cups,all-purpose flour
149,6590125,1,teaspoon,baking soda
150,6590125,¼,teaspoon,salt
151,6590125,⅓,cup,unsweetened cocoa powder
152,6590125,1,cup,white sugar
153,6590125,1,,egg
154,6590125,½,cup,vegetable oil
155,6590125,1,teaspoon,vanilla extract
156,6590125,¾,cup,milk
157,6590125,½,cup,milk
158,6590125,2 ½,tablespoons,all-purpose flour
159,6590125,½,cup,shortening
160,6590125,½,cup,white sugar
161,6590125,½,teaspoon,salt
162,6590125,1,tablespoon,vanilla extract
163,6577399,20,,whole chocolate graham crackers
164,6577399,1,(12 ounce) container,"frozen whipped topping, thawed"
165,6599977,¾,cup,"butter, softened"
166,6599977,¾,cup,white sugar
167,6599977,1,,egg
168,6599977,1 ½,cups,all-purpose flour
169,6599977,½,cup,cornmeal
170,6599977,1,teaspoon,baking powder
171,6599977,⅜,teaspoon,salt
172,6599977,1,teaspoon,vanilla extract
173,6589348,1,(14 ounce) can,sweetened condensed milk
174,6589348,7,tablespoons,"unsalted butter, softened"
175,6589348,7,tablespoons,white sugar
176,6589348,1,large,"egg, beaten"
177,6589348,7,tablespoons,all-purpose flour
178,6575723,⅔,cup,"butter, melted"
179,6575723,2,cups,quick-cooking oats
180,6575723,⅔,cup,all-purpose flour
181,6575723,¼,teaspoon,salt
182,6575723,1,cup,white sugar
183,6575723,¼,cup,corn syrup
184,6575723,¼,cup,milk
185,6575723,1,teaspoon,vanilla extract
186,6575723,2,cups,milk chocolate chips
187,6595756,1,(18.25 ounce) package,dark chocolate cake mix
188,6595756,1,(18.25 ounce) package,low calorie chocolate cake mix
189,6595756,4,,eggs
190,6595756,⅔,cup,vegetable oil
191,6595756,1,(8 ounce) package,"cream cheese, softened"
192,6595756,2,cups,confectioners' sugar
193,6583049,1,cup,"butter, softened"
194,6583049,1,cup,white sugar
195,6583049,1,,egg
