,id_recipe,Quantity,Unit of Measure,Ingredient
0,6579393,2 ½,cups,all-purpose flour
1,6579393,1,cup,"butter, at room temperature"
2,6579393,½,cup,white sugar
3,6579393,1,tablespoon,"white sugar, or as needed"
4,6650400,2,cups,butter
5,6650400,1,cup,packed brown sugar
6,6650400,4 ½,cups,all-purpose flour
7,7484388,1,cup,"unsalted butter, softened"
8,7484388,1/2,cup,white sugar
9,7484388,1,tablespoon,lemon juice
10,7484388,1,tablespoon,lemon zest
11,7484388,1/2,teaspoon,salt
12,7484388,2,cups,all-purpose flour
13,6665021,4,cups,all-purpose flour
14,6665021,½,teaspoon,salt
15,6665021,½,teaspoon,baking powder
16,6665021,2,cups,unsalted butter at room temperature
17,6665021,1,cup,confectioners' sugar
18,6665021,2,tablespoons,fresh lemon juice
19,6830035,1,cup,"butter, softened"
20,6830035,½,cup,packed light brown sugar
21,6830035,1,teaspoon,vanilla extract
22,6830035,¾,teaspoon,cinnamon
23,6830035,½,teaspoon,kosher salt
24,6830035,¼,teaspoon,nutmeg
25,6830035,¼,teaspoon,black pepper
26,6830035,½,cup,all-purpose flour
27,6830035,2,cups,dark rye flour
28,6830035,¼,cup,white sugar
29,6822387,½,cup,unsalted butter
30,6822387,¼,cup,pure maple syrup
31,6822387,2,tablespoons,packed dark brown sugar
32,6822387,1,teaspoon,vanilla extract
33,6822387,1,teaspoon,maple extract
34,6822387,½,teaspoon,ground cinnamon
35,6822387,¼,teaspoon,ground nutmeg
36,6822387,¼,teaspoon,salt
37,6822387,1 ¼,cups,all-purpose flour
38,6822387,¼,teaspoon,baking powder
39,6822387,1,tablespoon,"chocolate chips, or as needed"
40,6650714,2,cups,"butter, softened"
41,6650714,1,cup,white sugar
42,6650714,2,teaspoons,vanilla extract
43,6650714,4,cups,all-purpose flour
44,6599675,1 ½,cups,all-purpose flour
45,6599675,1,cup,"unsalted butter, softened"
46,6599675,½,cup,confectioners' sugar
47,6599675,5,,"red maraschino cherries, quartered, or as needed"
48,6599675,5,,"green maraschino cherries, quartered, or as needed"
49,6736540,1,cup,"butter, softened"
50,6736540,1 ½,cups,all-purpose flour
51,6736540,½,cup,confectioners' sugar
52,6736540,¼,cup,cornstarch
53,6650281,⅓,cup,unsifted powdered sugar
54,6650281,1,stick,"unsalted butter, at room temperature"
55,6650281,1,large,egg yolk
56,6650281,1,teaspoon,vanilla extract
57,6650281,¼,teaspoon,fine salt
58,6650281,⅛,teaspoon,almond extract
59,6650281,1 ¼,cups,all-purpose flour
60,6650281,⅓,cup,"white sugar, or as needed"
61,6650281,½,cup,"fruit jam, divided"
62,6737135,1 ¼,cups,all-purpose flour
63,6737135,⅔,cup,"unsalted butter, softened"
64,6737135,¼,cup,white sugar
65,6739836,1 ¾,cups,all-purpose flour
