,id_recipe,Quantity,Unit of Measure,Ingredient
0,6664032,3,pints,fresh strawberries
1,6664032,½,cup,white sugar
2,6664032,2 ¼,cups,all-purpose flour
3,6664032,4,teaspoons,baking powder
4,6664032,2,tablespoons,white sugar
5,6664032,¼,teaspoon,salt
6,6664032,⅓,cup,shortening
7,6664032,1,,egg
8,6664032,⅔,cup,milk
9,6664032,2,cups,whipped heavy cream
10,6605150,1,quart,"fresh strawberries, sliced"
11,6605150,¼,cup,white sugar
12,6605150,1,(12 ounce) package,prepared sponge cake dessert cups
13,6605150,1,(7 ounce) can,"whipped cream, or to taste"
14,7552490,3/4,cup,heavy cream
15,7552490,1,large,egg
16,7552490,1,teaspoon,vanilla extract
17,7552490,1,teaspoon,lemon zest
18,7552490,2,cups,flour
19,7552490,2,tablespoons,white sugar
20,7552490,1,tablespoon,baking powder
21,7552490,1/4,teaspoon,salt
22,7552490,6,tablespoons,unsalted butter
23,6604425,2,cups,all-purpose flour
24,6604425,1,cup,white sugar
25,6604425,4,teaspoons,baking powder
26,6604425,½,teaspoon,salt
27,6604425,¼,teaspoon,"ground nutmeg, or to taste"
28,6604425,½,cup,"cold butter, cubed"
29,6604425,⅓,cup,milk
30,6604425,1,large,egg
31,6736523,3,cups,all-purpose flour
32,6736523,4,teaspoons,baking powder
33,6736523,1,teaspoon,baking soda
34,6736523,⅓,cup,white sugar
35,6736523,1 ½,teaspoons,salt
36,6736523,¾,cup,"chilled unsalted butter, cut into small pieces"
37,6736523,1,cup,buttermilk
38,6736523,2,tablespoons,heavy cream
39,6736523,¼,cup,turbinado sugar
40,6736523,8,cups,sliced fresh strawberries
41,6736523,¼,cup,white sugar
42,6736523,1,tablespoon,lemon juice
43,6736624,1,(18.25 ounce) package,yellow cake mix
44,6736624,1,(8 ounce) container,"frozen whipped topping, thawed"
45,6736624,1,pint,"blueberries, rinsed and drained"
46,6736624,2,pints,"fresh strawberries, rinsed and sliced"
47,6578409,4,large,eggs
48,6578409,2,cups,white sugar
49,6578409,2,cups,all-purpose flour
50,6578409,2,teaspoons,baking powder
51,6578409,½,teaspoon,salt
52,6578409,1,cup,milk
53,6578409,¼,cup,"unsalted butter, cut into pieces"
54,6578409,2,teaspoons,vanilla extract
55,6587128,,,"strawberries, sliced"
56,6587128,¼,cup,sugar
57,6587128,2 ⅓,cups,Original Bisquick® mix
58,6587128,½,cup,milk
59,6587128,3,tablespoons,sugar
60,6587128,3,tablespoons,"butter or margarine, melted"
61,6587128,½,cup,whipping cream
62,6578075,3,cups,all-purpose flour
63,6578075,½,cup,white sugar
64,6578075,1,tablespoon,baking powder
65,6578075,1,teaspoon,salt
66,6578075,1,cup,cold buttermilk
67,6578075,1,large,egg yolk
68,6578075,1,teaspoon,vanilla extract
69,6578075,12,tablespoons,"cold unsalted butter, cubed"
70,6578075,½,cup,sliced strawberries
71,6581025,2 ½,cups,all-purpose flour
72,6581025,½,cup,white sugar
73,6581025,3,tablespoons,baking powder
74,6581025,1,teaspoon,salt
75,6581025,½,cup,shortening
76,6581025,2,large,eggs
77,6581025,1 ½,cups,milk
78,6592815,1,quart,"strawberries, sliced"
79,6592815,1,cup,white sugar
80,6592815,2,cups,all-purpose flour
81,6592815,2,tablespoons,white sugar
82,6592815,1,tablespoon,baking powder
83,6592815,1,teaspoon,salt
84,6592815,⅓,cup,vegetable shortening
85,6592815,1 ½,cups,milk
86,6592815,2,tablespoons,"butter, softened"
87,6592815,1,cup,whipped cream
88,6569139,2,cups,all-purpose flour
89,6569139,⅓,cup,white sugar
90,6569139,¼,cup,cocoa powder
91,6569139,1,tablespoon,baking powder
92,6569139,1,teaspoon,baking soda
93,6569139,½,teaspoon,salt
94,6569139,½,cup,butter
95,6569139,1,cup,milk
96,6569139,2,pints,"strawberries, sliced"
97,6569139,¼,cup,white sugar
98,6569139,1,(12 ounce) container,"frozen whipped topping, thawed"
99,6569139,2,tablespoons,chocolate syrup
100,6737351,2,cups,heavy whipping cream
101,6737351,½,cup,confectioners' sugar
102,6737351,1,teaspoon,vanilla extract
103,6737351,4,,"glazed doughnuts, halved horizontally"
104,6737351,1,quart,"strawberries, hulled and sliced"
105,6738127,¼,cup,butter
106,6738127,2,cups,self-rising flour
107,6738127,¼,cup,"white sugar, plus more for topping"
108,6738127,½,cup,milk
109,6738127,¼,cup,"heavy whipping cream, plus more for brushing"
110,6738127,4,pints,"fresh strawberries, hulled and quartered"
111,6738127,½,cup,white sugar
112,6738127,¾,cup,heavy whipping cream
113,6738127,1,tablespoon,white sugar
114,6738127,3,drops,vanilla extract
115,6591895,3,cups,all-purpose flour
116,6591895,¼,cup,white sugar
117,6591895,4,teaspoons,baking powder
118,6591895,¾,teaspoon,cream of tartar
119,6591895,1,cup,"cold butter, cubed"
120,6591895,⅔,cup,heavy cream
121,6591895,1,large,"egg, beaten"
122,6591895,3,cups,sliced fresh strawberries
123,6591895,3,tablespoons,white sugar
124,6603306,2,cups,all-purpose bleached flour
125,6603306,½,teaspoon,salt
126,6603306,1,tablespoon,baking powder
127,6603306,5,tablespoons,"sugar, divided"
128,6603306,½,cup,"butter, frozen"
129,6603306,1,,"egg, beaten"
130,6603306,1,,egg white (Optional)
131,6603306,½,cup,cold half-and-half
132,6585117,2,cups,all-purpose flour
133,6585117,2 ½,teaspoons,baking powder
134,6585117,¼,teaspoon,salt
135,6585117,⅓,cup,vegetable shortening
136,6585117,1,cup,white sugar
137,6585117,1,,egg
138,6585117,½,teaspoon,vanilla extract
139,6585117,1,cup,milk
140,6577129,2,pints,"ripe strawberries, hulled and chopped"
141,6577129,2,tablespoons,white sugar
142,6577129,1,cup,sweetened condensed milk
143,6577129,5,,prepared strawberry shortcake cups
144,6577129,1,cup,"whipping cream, whipped"
145,6583942,2 ½,cups,"sliced fresh strawberries, divided"
146,6583942,½,cup,water
147,6583942,3,tablespoons,white sugar
148,6583942,1,tablespoon,cornstarch
149,6583942,2,tablespoons,freshly squeezed lemon juice
150,6583942,1,(8 ounce) package,refrigerated crescent roll dough (such as Pillsbury®
151,6583942,2,teaspoons,heavy whipping cream
152,6583942,2,teaspoons,white sugar
153,6583942,2,cups,whipped cream
154,6584223,⅔,cup,brown rice flour
155,6584223,⅔,cup,cornstarch
156,6584223,⅔,cup,tapioca flour
157,6584223,1,tablespoon,baking powder
158,6584223,¼,teaspoon,baking soda
159,6584223,¼,teaspoon,xanthan gum
160,6584223,½,teaspoon,salt
161,6584223,6,tablespoons,vegetable shortening
162,6584223,⅔,cup,white sugar
163,6584223,¾,cup,skim milk
164,6584223,4,cups,sliced fresh strawberries
165,6584223,2,cups,reduced-fat whipped topping
166,6648868,4,cups,"fresh strawberries, hulled and cut into 1/4-inch thick slices"
167,6648868,½,cup,"white sugar, divided"
168,6648868,2,cups,all-purpose flour
169,6648868,1,tablespoon,baking powder
170,6648868,½,teaspoon,salt
171,6648868,½,cup,cold unsalted butter
172,6648868,⅔,cup,milk
173,6648868,1,cup,heavy cream
174,6648868,¼,cup,confectioners' sugar
175,6578794,2,cups,cake flour
176,6578794,½,teaspoon,salt
177,6578794,1,cup,unsalted butter
178,6578794,1 ⅓,cups,white sugar
179,6578794,1,tablespoon,lemon zest
180,6578794,3,tablespoons,fresh lemon juice
181,6578794,1,teaspoon,vanilla extract
182,6578794,5,,eggs
183,6578794,1,quart,"fresh strawberries, cleaned, hulled and sliced"
184,6578794,⅓,cup,white sugar
185,6578794,1 ½,cups,yogurt
186,6578794,½,cup,heavy cream
187,6578794,2,tablespoons,white sugar
188,6649987,½,cup,white sugar
189,6649987,⅓,cup,water
190,6649987,2,tablespoons,cornstarch
191,6649987,2,cups,blueberries
192,6649987,2,,eggs
193,6649987,3,,egg yolks
194,6649987,½,cup,white sugar
195,6649987,2,tablespoons,milk
196,6649987,¼,teaspoon,salt
197,6649987,2,large,"lemons, zested and juiced"
198,6649987,⅓,cup,"butter, cut into small pieces"
199,6649987,3,cups,all-purpose flour
200,6649987,½,teaspoon,baking powder
201,6649987,1,cup,milk
202,6649987,1 ½,teaspoons,lemon extract
203,6649987,1,teaspoon,coconut extract
204,6649987,1,teaspoon,vanilla extract
205,6649987,1,teaspoon,butter extract
206,6649987,½,teaspoon,almond extract
207,6649987,3,cups,white sugar
208,6649987,1,cup,"butter, softened"
209,6649987,½,cup,shortening
210,6649987,5,,eggs
211,6605524,2,pints,"fresh strawberries, hulled and thickly sliced"
212,6605524,½,cup,confectioners' sugar
213,6605524,2,cups,all-purpose flour
214,6605524,2,tablespoons,white sugar
215,6605524,1,tablespoon,baking powder
216,6605524,½,teaspoon,sea salt
217,6605524,6,tablespoons,"chilled unsalted butter, cut into cubes"
218,6605524,2,cups,"heavy whipping cream, or as needed - divided"
219,6605524,2,tablespoons,confectioners' sugar
220,6605524,1,teaspoon,vanilla extract
221,6605524,2,tablespoons,"confectioners' sugar for dusting, or to taste - divided"
222,6605524,6,sprigs,fresh mint for garnish
223,6664594,2,cups,chopped rhubarb
224,6664594,¼,cup,white sugar
225,6664594,2,tablespoons,limoncello
226,6664594,2,teaspoons,cornstarch
227,6664594,2,cups,hulled and sliced strawberries
228,6602908,1,cup,butter
229,6602908,1 ¼,cups,milk
230,6602908,4,,eggs
231,6602908,½,teaspoon,salt
232,6602908,2,cups,white sugar
233,6602908,2 ¼,cups,all-purpose flour
234,6602908,2,teaspoons,baking soda
235,6602908,1,teaspoon,vanilla extract
236,6602908,2,quarts,"fresh strawberries, halved lengthwise"
237,6602908,2,(8 ounce) packages,"cream cheese, at room temperature"
238,6602908,½,cup,white sugar
239,6602908,1,teaspoon,vanilla extract
240,6602908,⅛,teaspoon,salt
241,6602908,2,cups,heavy cream
242,6571432,6,cups,"Bing cherries, pitted and halved"
243,6571432,6,tablespoons,white sugar
244,6571432,2,,"lemons, zested"
245,6571432,2,cups,all-purpose flour
246,6571432,¼,cup,white sugar
247,6571432,2,teaspoons,cream of tartar
248,6571432,1,teaspoon,baking soda
249,6571432,1,teaspoon,ground cinnamon
250,6571432,1,teaspoon,ground cardamom
251,6571432,½,teaspoon,salt
252,6571432,½,cup,frozen butter
253,6571432,1,,"egg, beaten"
254,6571432,½,cup,"cold half-and-half, or more as needed"
255,6571432,1,,egg white (Optional)
256,6571432,1,teaspoon,"white sugar, or to taste"
257,6571432,1,cup,whipped cream
258,6571432,1,cup,chopped almonds
259,6571432,6,,cherries with stems
260,6601866,2,tablespoons,"cold, unsalted butter"
261,6601866,2,cups,all-purpose flour
262,6601866,2,tablespoons,white sugar
263,6601866,1,tablespoon,baking powder
264,6601866,½,teaspoon,salt
265,6601866,¼,teaspoon,ground cinnamon
266,6601866,½,cup,"cold, unsalted butter"
267,6601866,⅔,cup,milk
268,6601866,8,,"ripe peaches, peeled and pitted"
269,6601866,3,teaspoons,"freshly squeezed lemon juice, divided"
270,6601866,½,cup,"white sugar, divided"
271,6568848,1,quart,"strawberries, sliced"
272,6568848,½,cup,white sugar
273,6568848,2,cups,all-purpose flour
274,6568848,¼,cup,white sugar
275,6568848,4,teaspoons,baking powder
276,6568848,¼,teaspoon,salt
277,6568848,1,pinch,ground nutmeg
278,6568848,½,cup,butter
279,6568848,½,cup,milk
280,6568848,2,,"eggs, separated"
281,6568848,¼,cup,white sugar
282,6568848,2,cups,sweetened whipped cream
283,6568848,3,sprigs,fresh mint (Optional)
284,6604983,2,,"ripe mangoes, cut into 1/2-inch cubes"
285,6604983,¾,cup,fresh blueberries
286,6604983,1,cup,sliced fresh strawberries
287,6604983,1 ½,teaspoons,lime juice
288,6604983,1,tablespoon,honey
289,6576112,½,cup,butter
290,6576112,¼,cup,white sugar
291,6576112,1 ½,cups,all-purpose flour
292,6576112,1,teaspoon,baking powder
293,6576112,1,teaspoon,ground ginger
294,6573975,1 ½,cups,all-purpose flour
295,6573975,1 ½,teaspoons,white sugar
296,6573975,½,teaspoon,baking powder
297,6573975,¼,teaspoon,baking soda
298,6573975,½,teaspoon,salt
299,6573975,¼,cup,"cold butter, cut into small pieces"
300,6573975,½,cup,buttermilk
301,6573975,¼,cup,2% low-fat milk
302,6573975,1,pint,"fresh blueberries, rinsed and dried"
303,6573975,4,,"fresh apricots, pitted and sliced"
304,6573975,½,pound,"cherries, pitted and halved"
305,6573975,3,tablespoons,"confectioners' sugar, divided"
306,6573975,¾,cup,whipping cream
307,6604456,2,pounds,"fresh strawberries, sliced"
308,6604456,1,cup,white sugar
309,6604456,1,cup,all-purpose flour
310,6604456,2,tablespoons,cornstarch
311,6604456,1 ½,teaspoons,baking powder
312,6604456,5,,"eggs, separated"
313,6604456,1,teaspoon,vanilla extract
314,6604456,1 ¼,cups,white sugar
315,6604456,1,cup,heavy cream
316,6604456,2,tablespoons,confectioners' sugar
317,6586000,2,cups,sliced strawberries
318,6586000,¼,cup,balsamic vinegar
319,6586000,1,tablespoon,white sugar
320,6586000,1,pinch,ground black pepper
321,6586000,4,,slices angel food cake
322,6586000,½,cup,whipped cream
323,6566241,4,cups,sliced fresh strawberries
324,6566241,½,cup,white sugar
325,6566241,2,cups,all-purpose flour
326,6566241,1,teaspoon,baking powder
327,6566241,½,teaspoon,salt
328,6566241,½,teaspoon,baking soda
329,6566241,⅓,cup,shortening
330,6566241,¾,cup,buttermilk
331,6566241,2,tablespoons,"unsalted butter, melted"
332,6566241,1,cup,heavy whipping cream
333,6566241,¼,cup,honey
334,6566692,1 ½,cups,white whole-wheat flour
335,6566692,1,tablespoon,white sugar
336,6566692,1,teaspoon,baking soda
337,6566692,¼,teaspoon,salt
338,6566692,2,tablespoons,cold unsalted butter
339,6566692,¾,cup,low-fat buttermilk
340,6566692,2,tablespoons,unsweetened applesauce
341,6566692,12,(6 inch),bamboo skewers
342,6566692,1,quart,"fresh strawberries, hulled and halved horizontally"
343,6566692,¾,cup,"low-fat frozen whipped topping (such as Cool Whip® Lite), thawed (Optional)"
344,6604953,1 ½,cups,sliced fresh strawberries
345,6604953,2,tablespoons,white sugar
346,6604953,1,cup,all-purpose flour
347,6604953,2,tablespoons,white sugar
348,6604953,¾,teaspoon,baking powder
349,6604953,⅛,teaspoon,salt
350,6604953,2,tablespoons,butter
351,6604953,3,tablespoons,2% milk
352,6604953,1,,"egg yolk, beaten"
353,6604953,¾,teaspoon,lemon zest
354,6604953,¼,cup,nonfat plain yogurt
355,6604953,¼,cup,reduced-fat sour cream
356,6604953,1,tablespoon,agave nectar
357,6604953,½,teaspoon,lemon zest
358,6604953,⅓,cup,heavy whipping cream
359,6604953,1,teaspoon,white sugar
360,6594352,1,cup,all-purpose flour
361,6594352,5 ½,teaspoons,"white sugar, divided"
362,6594352,1 ½,teaspoons,baking powder
363,6594352,¼,teaspoon,salt
364,6594352,2,tablespoons,"cold butter, cubed"
365,6594352,½,cup,milk
366,6594352,1,tablespoon,milk
367,6594352,¼,teaspoon,ground cinnamon
368,6589991,1,quart,"strawberries, sliced"
369,6589991,1,pint,fresh blueberries
370,6589991,¼,cup,white sugar
371,6589991,1,(8 ounce) package,"cream cheese, softened"
372,6589991,1,(7 ounce) container,marshmallow creme
373,6589991,2 ⅓,cups,baking mix (such as Bisquick ®)
374,6589991,½,cup,milk
375,6589991,3,tablespoons,white sugar
376,6589991,3,tablespoons,melted butter
377,6580324,1 ½,cups,white sugar
378,6580324,1,cup,margarine
379,6580324,4,,eggs
380,6580324,1,teaspoon,vanilla extract
381,6580324,2,cups,all-purpose flour
382,6580324,1,(16 ounce) can,blueberry pie filling
383,6574655,2,(1 ounce) squares,"unsweetened chocolate, chopped"
384,6574655,1 ½,cups,all-purpose flour
385,6574655,½,teaspoon,baking powder
386,6574655,1,teaspoon,baking soda
