,id_recipe,Quantity,Unit of Measure,Ingredient
0,7814308,8,,slider rolls
1,7814308,8,teaspoons,yellow mustard
2,7814308,8,,"dill pickle slices, or more to taste"
3,7814308,2,teaspoons,olive oil
4,7814308,1,large,"onion, halved and thinly sliced"
5,7814308,4,slices,"deli bologna, quartered"
6,7503350,8,bun-length,long hot dogs (
7,7503350,2,(12-pack packages) King's,awaiian Rolls
8,7503350,,,assorted toppings
9,7500680,3,,"oma tomatoes, halved and seeds removed"
10,7500680,1,large (1 1/2 -inch) slice,white onion
11,7500680,2,,"jalapeno peppers, divided"
12,7500680,2,tablespoons finely chopped,cilantro
13,7500680,1,tablespoon freshly squeezed,lime juice
14,7500680,1,teaspoon,"kosher salt, divided"
15,7500680,1/4,teaspoon,garlic powder
16,7500680,1/3,cup,sour cream
17,7500680,2,tablespoons,mayonnaise
18,7500680,2,teaspoons,"taco seasoning, divided"
19,7500680,1 (12,piece-package),awaiian rolls
20,7500680,1,lb,ground sirloin
21,7500680,1/2,cups,shredded Monterey Jack cheese
22,7500680,1/2,cup,guacamole
23,7500680,1,cup,shredded lettuce
24,7500680,24,,pickled jalapeno slices
25,7500680,12,,black olives
26,7495217,1 (17.3,oz package) frozen,puff pastry (such as Pepperidge Farm
27,7495217,1 1/2,cups,buffalo chicken dip
28,7495217,1,cup,shredded mozzarella cheese
29,7495217,,,hot sauce to taste
30,7495217,1/4,cup,celery
31,7495217,1/4,cup,blue cheese
32,7495217,,,blue cheese dressing for dipping (optional)
33,7254949,1 (12-oz.),package,Hawaiian sweet rolls
34,7254949,1/2,cup,honey mustard
35,7254949,12,ounces,deli ham
36,7254949,6,ounces S,wiss cheese
37,7254949,3/4,cup,dill pickle slices
38,7254949,3,tablespoons,"butter, melted"
39,7254949,2,teaspoons,poppy seeds
40,7254949,12,,cornichons
41,7107032,12,,frozen 1-inch party meatballs
42,7107032,1,(18 ounce) bottle,BBQ sauce
43,7107032,1,(12 count) package,Hawaiian bread rolls
44,7107032,3,tablespoons,"butter, melted, divided"
45,7107032,1,cup,shredded sharp Cheddar cheese
46,7107032,1,cup,shredded Monterey Jack cheese
47,7107032,12,,dill pickle slices
48,7107032,½,cup,crispy onion strips
49,7107032,3,tablespoons,sliced green onions
50,7092656,,,cooking spray
51,7092656,1 ½,cups,(6 oz.) finely pre-shredded low-moisture part-skim mozzarella cheese
