,id_recipe,Quantity,Unit of Measure,Ingredient
0,7369808,14,ounces,coleslaw mix
1,7369808,6,,"green onions, thinly sliced"
2,7369808,1/4,cup,"cilantro leaves, chopped"
3,7369808,1/4,cup,rice vinegar
4,7369808,1 1/2,tablespoons,sesame oil
5,7369808,1,tablespoon,"riracha, or more to taste"
6,7369808,1 1/2,teaspoons,soy sauce
7,7369808,1,teaspoon,sesame seeds
8,6649567,1,pound,lean ground beef
9,6649567,¼,cup,chopped onion
10,6649567,¼,cup,chopped green bell pepper
11,6649567,¾,cup,"ketchup, or to taste"
12,6649567,1,tablespoon,"brown sugar, or to taste"
13,6649567,1,teaspoon,"yellow mustard, or to taste"
14,6649567,½,teaspoon,garlic powder
15,6649567,,,salt and ground black pepper to taste
16,6649567,6,,"hamburger buns, split"
17,6651120,1 ½,pounds,extra-lean ground beef
18,6651120,½,,"onion, diced"
19,6651120,1,,"green pepper, diced"
20,6651120,2,cloves,"garlic, minced"
21,6651120,2,cups,"water, divided"
22,6651120,¾,cup,ketchup
23,6651120,2,tablespoons,brown sugar
24,6651120,1,teaspoon,Dijon mustard
25,6651120,1 ½,teaspoons,"salt, or to taste"
26,6651120,½,teaspoon,ground black pepper
27,6651120,1,dash,Worcestershire sauce
28,6651120,1,pinch,"cayenne pepper, or to taste"
29,6648202,2,tablespoons,butter
30,6648202,1,,"onion, diced"
31,6648202,,,salt and ground black pepper to taste
32,6648202,1 ¼,pounds,ground turkey
33,6648202,½,cup,cold water
34,6648202,¾,cup,ketchup
35,6648202,1 ½,tablespoons,brown sugar
36,6648202,½,teaspoon,"cayenne pepper, or to taste"
37,6648202,½,teaspoon,Worcestershire sauce
38,6648202,½,teaspoon,unsweetened cocoa powder
39,6648202,1,cup,"water, or as needed"
40,6648202,6,,"hamburger buns, split"
41,6648202,½,cup,shredded white Cheddar cheese
42,6648202,⅓,cup,chopped green onions
43,6649899,1 ½,pounds,extra lean ground beef
44,6649899,½,,"onion, diced"
45,6649899,2,cloves,"garlic, minced"
46,6649899,1,,"green bell pepper, diced"
47,6649899,1,cup,water
48,6649899,¾,cup,ketchup
49,6649899,2,tablespoons,brown sugar
50,6649899,1,teaspoon,Dijon mustard
51,6649899,1,dash,Worcestershire sauce
52,6649899,1 ½,teaspoons,"salt, or to taste"
53,6649899,½,teaspoon,ground black pepper
54,6649899,1,cup,water
55,6649899,1,pinch,"cayenne pepper, or to taste"
56,6591924,1,tablespoon,vegetable oil
57,6591924,1,small,"onion, chopped"
58,6591924,⅓,cup,chopped green pepper
59,6591924,1,pound,lean ground beef
60,6591924,1 ½,cups,Heinz Tomato Ketchup
61,6591924,1,tablespoon,Heinz Worcestershire Sauce
62,6591924,2,tablespoons,brown sugar
63,6591924,¼,teaspoon,salt
64,6591924,¼,teaspoon,pepper
65,6591924,8,,sandwich buns
66,6649450,1,pound,lean ground beef
67,6649450,2,,"carrots, finely chopped"
68,6649450,¼,cup,chopped onion
69,6649450,¼,cup,chopped green bell pepper
70,6649450,2,cloves,"garlic, minced"
71,6649450,¾,cup,ketchup
72,6649450,1,tablespoon,brown sugar
73,6649450,1,teaspoon,prepared yellow mustard
