,id_recipe,Quantity,Unit of Measure,Ingredient
0,6648446,1,(8 ounce) package,"cream cheese, softened"
1,6648446,¼,cup,mayonnaise
2,6648446,¼,cup,grated Parmesan cheese
3,6648446,¼,cup,grated Romano cheese
4,6648446,1,clove,"garlic, peeled and minced"
5,6648446,½,teaspoon,dried basil
6,6648446,¼,teaspoon,garlic salt
7,6648446,,,salt and pepper to taste
8,6648446,1,(14 ounce) can,"artichoke hearts, drained and chopped"
9,6648446,½,cup,"frozen chopped spinach, thawed and drained"
10,6648446,¼,cup,shredded mozzarella cheese
11,6649705,1,(16 ounce) container,sour cream
12,6649705,1,cup,mayonnaise
13,6649705,½,(10 ounce) package,"frozen chopped spinach, thawed and drained"
14,6649705,1,(4 ounce) can,"water chestnuts, drained and chopped"
15,6649705,1,(1.8 ounce) package,dry leek soup mix
16,6649705,1,(1 pound) loaf,round sourdough bread
17,6599288,1,tablespoon,"olive oil, divided"
18,6599288,1,small,"onion, finely chopped"
19,6599288,2,cloves,"garlic, minced"
20,6599288,2,(10 ounce) packages,"frozen spinach - thawed, drained, and chopped"
21,6599288,½,cup,milk
22,6599288,6,ounces,cream cheese
23,6599288,1,cup,"shredded mozzarella cheese, divided"
24,6599288,¼,cup,shredded Cheddar cheese
25,6599288,2,dashes,Worcestershire sauce
26,6599288,,,salt and ground black pepper to taste
27,6584600,1,(14 ounce) can,"artichoke hearts, drained and chopped"
28,6584600,1,(10 ounce) package,"frozen chopped spinach, thawed and drained"
29,6584600,1,cup,mayonnaise
30,6584600,2 ½,cups,shredded Monterey Jack cheese
31,6584600,1,cup,grated Parmesan cheese
32,6738133,4,cloves,garlic
33,6738133,1,(14 ounce) can,"artichoke hearts, drained and chopped"
34,6738133,1,(10 ounce) package,"frozen chopped spinach, thawed and drained"
35,6738133,1,(10 ounce) container,Alfredo-style pasta sauce
36,6738133,1,cup,shredded mozzarella cheese
37,6738133,½,(8 ounce) package,"cream cheese, softened"
38,6738133,⅓,cup,grated Parmesan cheese
39,6604897,1,(14 ounce) can,"artichoke hearts, drained and quartered"
40,6604897,1,(10 ounce) package,frozen chopped spinach
41,6604897,8,ounces,cream cheese
42,6604897,1,cup,sour cream
43,6604897,½,cup,chopped white onion
44,6604897,½,cup,chicken broth
45,6604897,3,cloves,"garlic, minced"
46,6604897,½,teaspoon,salt
47,6604897,,,crushed red chile flakes
48,6604897,3,cups,shredded Monterey Jack cheese
49,6604897,2,cups,grated Parmesan cheese
50,6663167,1,,"sweet onion, cut into quarters"
51,6663167,8,cloves,"garlic, or more to taste"
52,6663167,1,(14 ounce) can,"artichoke hearts, drained and chopped"
53,6663167,1,(10 ounce) package,"frozen chopped spinach, thawed and drained"
54,6663167,1,(8 ounce) package,shredded Parmesan cheese
55,6663167,1,(1.4 ounce) package,dry vegetable soup mix (such as Knorr®)
56,6663167,1,(8 ounce) package,"reduced-fat cream cheese, softened"
57,6663167,1,cup,reduced-fat mayonnaise
58,6663167,1,(8 ounce) container,reduced-fat sour cream
59,6738403,1,(14 ounce) can,"artichoke hearts, drained"
60,6738403,⅓,cup,grated Romano cheese
61,6738403,¼,cup,grated Parmesan cheese
62,6738403,½,teaspoon,minced garlic
63,6738403,1,(10 ounce) package,"frozen chopped spinach, thawed and drained"
64,6738403,⅓,cup,heavy cream
65,6738403,½,cup,sour cream
66,6738403,1,cup,shredded mozzarella cheese
67,6737708,2,(8 ounce) packages,"cream cheese, softened"
68,6737708,½,cup,mayonnaise
69,6737708,1,(4.5 ounce) can,"chopped green chiles, drained"
70,6737708,1,cup,freshly grated Parmesan cheese
71,6737708,1,(12 ounce) jar,"marinated artichoke hearts, drained and chopped"
72,6737708,¼,cup,"canned chopped jalapeno peppers, drained"
73,6737708,1,(10 ounce) box,"frozen chopped spinach, thawed and drained"
74,6572237,1,bunch,"fresh spinach, stems removed, torn into small pieces"
75,6572237,1,bunch,green onions
76,6572237,1,(8 ounce) can,"water chestnuts, drained and sliced"
77,6572237,1,(8 ounce) container,sour cream
78,6572237,2 ½,cups,mayonnaise
79,6572237,1,(.4 ounce) packet,dry vegetable soup mix
80,6572237,½,(1 ounce) package,dry onion soup mix (Optional)
81,6738685,2,tablespoons,butter
82,6738685,½,cup,"green onions, white and light green parts only, thinly sliced"
83,6738685,2,cloves,"garlic, minced"
84,6738685,,,salt
85,6738685,1,(14 ounce) can,"artichoke hearts, drained and chopped"
86,6738685,1,(10 ounce) package,"frozen chopped spinach , thawed, drained and squeezed dry"
87,6738685,8,ounces,cream cheese
88,6738685,½,cup,shredded Gruyere cheese
89,6738685,½,cup,finely grated Parmigiano-Reggiano cheese
90,6738685,¼,teaspoon,hot sauce
91,6738685,1,pinch,ground nutmeg
92,6738685,,,salt and freshly ground black pepper to taste
93,6738685,¼,cup,shredded mozzarella cheese
94,6592676,1,(1 ounce) packet,Hidden Valley® Original Ranch® Salad Dressing & Seasoning Mix
95,6592676,1,(16 ounce) container,sour cream
96,6592676,1,(10 ounce) box,"frozen chopped spinach, thawed and well drained"
97,6592676,1,(8 ounce) can,"water chestnuts, rinsed, drained and chopped"
98,6592676,1,,round loaf French bread
99,6592676,,,"Assorted, fresh vegetable sticks cut up for dipping"
100,6577781,1,(14 ounce) can,"artichoke hearts, drained and chopped"
101,6577781,1,(9 ounce) package,frozen spinach
102,6577781,1,(8 ounce) package,cream cheese
103,6577781,¾,cup,shredded mozzarella cheese
104,6577781,½,cup,shredded Parmesan cheese
105,6577781,¼,cup,milk
106,6577781,,,salt and ground black pepper to taste
107,6597167,¼,cup,butter
108,6597167,1,(10 ounce) package,"frozen chopped spinach, partially thawed"
109,6597167,1,(14 ounce) can,"artichoke hearts, drained and chopped"
110,6597167,2,(8 ounce) packages,"cream cheese, softened"
111,6597167,2,(16 ounce) containers,sour cream
112,6597167,1,cup,grated Parmesan cheese
113,6597167,,,garlic salt to taste
114,6603595,1,(14 ounce) can,"artichoke hearts, drained and chopped"
115,6603595,½,(10 ounce) package,"frozen chopped spinach, thawed"
116,6603595,½,cup,sour cream
117,6603595,¼,cup,mayonnaise
118,6603595,¼,cup,cream cheese
119,6603595,¼,cup,grated Romano cheese
120,6603595,¼,teaspoon,minced garlic
121,6562432,,,olive oil cooking spray
122,6562432,1,(10 ounce) package,"frozen chopped spinach, thawed"
123,6562432,1,(8 ounce) package,"cream cheese, softened"
124,6562432,1,cup,sour cream
125,6562432,1,teaspoon,onion powder
126,6562432,½,teaspoon,salt
127,6562432,½,teaspoon,ground black pepper
128,6562432,2,tablespoons,green hot pepper sauce
129,6562432,1,teaspoon,chopped garlic
130,6562432,1,(14 ounce) can,"artichoke hearts, drained and chopped"
131,6562432,1,cup,"shredded mozzarella cheese, or more to taste"
132,6562432,¼,cup,"shredded Parmesan cheese, or more to taste"
133,6574865,1,(.4 ounce) packet,dry vegetable soup mix
134,6574865,1,(16 ounce) container,sour cream
135,6574865,1,(10 ounce) package,"frozen chopped spinach, thawed and drained"
136,6574865,1,(1 pound) loaf,round pumpernickel
137,6602303,1,tablespoon,olive oil
138,6602303,1,tablespoon,butter
139,6602303,½,cup,chopped onion
140,6602303,1,clove,"garlic, minced"
141,6602303,1,cup,chopped red bell pepper
142,6602303,1,,"jalapeno pepper - seeded, membranes discarded, and pepper chopped"
143,6602303,1 ½,pounds,"pepperjack cheese, cut into cubes"
144,6602303,1,(10 ounce) package,"frozen chopped spinach - thawed, drained, and squeezed dry"
145,6602303,2,(12 fluid ounce) cans,evaporated milk
146,6602303,¼,teaspoon,salt
147,6738150,2,cups,fresh spinach
148,6738150,1,cup,diced avocado
149,6738150,½,cup,reduced-fat sour cream
150,6738150,¼,cup,chopped red onion
151,6738150,1,tablespoon,fresh lime juice
152,6738150,1,tablespoon,chopped seeded jalapeno pepper
153,6738150,1,large,garlic clove
154,6738150,½,teaspoon,salt
155,6738150,⅛,teaspoon,ground black pepper
156,6738150,,,hot sauce
157,6738020,8,slices,bacon
158,6738020,1,(14 ounce) can,"quartered marinated artichoke hearts, drained"
159,6738020,1,(10 ounce) package,"frozen chopped spinach, thawed and drained"
160,6738020,1,cup,grated Parmesan cheese
161,6738020,1,(8 ounce) container,sour cream
162,6738020,1,(5 ounce) container,garlic-herb flavored cheese spread
163,6738020,½,cup,mayonnaise
164,6591819,1,(10 ounce) package,"frozen chopped spinach - thawed, drained and squeezed dry"
165,6591819,1,(14 ounce) can,"artichoke hearts, drained and chopped"
166,6591819,3,cloves,"garlic, minced"
167,6591819,½,cup,mayonnaise
168,6591819,2,(8 ounce) packages,"cream cheese, softened"
169,6591819,2,tablespoons,lemon juice
170,6591819,1,cup,grated Parmesan cheese
171,6737796,1,(10 ounce) package,"frozen chopped spinach, thawed and drained"
172,6737796,½,cup,"red bell pepper, diced"
173,6737796,1,tablespoon,minced garlic
174,6737796,1,(6.5 ounce) jar,"artichoke hearts, drained and mashed"
