,id_recipe,Quantity,Unit of Measure,Ingredient
0,7968859,8,ounces,"andouille sausage, cut into 1/4-inch cubes"
1,7968859,2,tablespoons,olive oil
2,7968859,1,cup,onion
3,7968859,1,cup,green bell pepper
4,7968859,2/3,cup,celery
5,7968859,1/4,teaspoon,"kosher salt, plus more to taste"
6,7968859,1,teaspoon,paprika
7,7968859,1,teaspoon,cumin
8,7968859,1/2,teaspoon,ground black pepper
9,7968859,1/2,teaspoon,dried thyme
10,7968859,1/4,teaspoon,dried oregano
11,7968859,1,,bay leaf
12,7968859,6,cups,low-sodium chicken broth
13,7968859,8,ounces,"chicken thighs, cut into small pieces"
14,7968859,4,ounces,"smoked ham, diced"
15,7968859,3/4,cup,okra
16,7968859,1,cup,"lentils, rinsed"
17,7968859,1,teaspoon,orcestershire sauce
18,7968859,1/2,teaspoon,hot sauce
19,7968859,1/4,cup chopped,talian parsley
20,7968859,1/3,cup,green onions
21,7968859,2,cups,cooked white rice (optional)
22,7968859,1/3,cup,"green onions, or as needed"
23,7968859,,,"1/8 teaspoon cayenne pepper, or to taste"
24,6568739,3,,"russet potatoes, diced"
25,6568739,1,pound,baby carrots
26,6568739,1,large,"onion, chopped"
27,6568739,4,cloves,"garlic, minced"
28,6568739,1,tablespoon,"olive oil, or to taste"
29,6568739,2,pounds,"beef chuck roast, cubed"
30,6568739,1,(16 ounce) bottle,"stout beer, divided"
31,6568739,1,(6 ounce) can,tomato paste
32,6568739,1,cup,beef broth
33,6568739,1,tablespoon,garlic powder
34,6568739,1,tablespoon,onion powder
35,6568739,1,tablespoon,smoked paprika
36,6568739,,,salt and ground black pepper to taste
37,6664604,2,pounds,"beef stew meat, cut into 1-inch pieces"
38,6664604,¼,cup,all-purpose flour
39,6664604,½,teaspoon,salt
40,6664604,½,teaspoon,ground black pepper
41,6664604,1 ½,cups,beef broth
42,6664604,4,medium,"carrots, sliced"
43,6664604,3,medium,"potatoes, diced"
44,6664604,1,medium,"onion, chopped"
45,6664604,1,stalk,"celery, chopped"
46,6664604,1,teaspoon,Worcestershire sauce
47,6664604,1,teaspoon,ground paprika
48,6664604,1,clove,"garlic, minced"
49,6664604,1,large,bay leaf
50,6664679,1,cup,all-purpose flour
51,6664679,¾,cup,bacon drippings
52,6664679,1,cup,coarsely chopped celery
53,6664679,1,large,"onion, coarsely chopped"
54,6664679,1,large,"green bell pepper, coarsely chopped"
55,6664679,2,cloves,"garlic, minced"
56,6664679,1,pound,"andouille sausage, sliced"
57,6664679,3,quarts,water
58,6664679,6,cubes,beef bouillon
59,6664679,1,tablespoon,white sugar
60,6664679,,,salt to taste
