,id_recipe,Quantity,Unit of Measure,Ingredient
0,6737994,1,quart,"fresh strawberries, hulled"
1,6737994,1,(9 inch),"pie crust, baked"
2,6737994,1,cup,white sugar
3,6737994,3,tablespoons,cornstarch
4,6737994,¾,cup,water
5,6737994,½,cup,heavy whipping cream
6,6664688,1,cup,white sugar
7,6664688,½,cup,all-purpose flour
8,6664688,1,pound,"rhubarb, cut into 1/4 inch slices"
9,6664688,2,pints,"strawberries, hulled and quartered"
10,6664688,1,recipe,pastry for a 9 inch double crust pie
11,6664688,2,tablespoons,butter
12,6664688,1,large,egg yolk
13,6664688,2,tablespoons,white sugar
14,6650242,¾,cup,graham cracker crumbs
15,6650242,3,tablespoons,"butter, melted"
16,6650242,¼,teaspoon,ground cinnamon
17,6650242,¼,teaspoon,ground nutmeg
18,6650242,1,(8 ounce) package,"cream cheese, softened"
19,6650242,1 ½,cups,milk
20,6650242,1,(1 ounce) package,cheesecake flavor sugar-free instant pudding mix
21,6650242,2,pints,"fresh strawberries, sliced"
22,6664302,2,(9 inch),unbaked pie crusts
23,6664302,1 ¼,cups,white sugar
24,6664302,⅓,cup,all-purpose flour
25,6664302,½,teaspoon,ground cinnamon
26,6664302,4,cups,fresh strawberries
27,6664302,2,tablespoons,"butter, cut into pieces"
28,6603606,1,(8 ounce) package,"cream cheese, softened"
29,6603606,¼,cup,white sugar
30,6603606,½,teaspoon,vanilla extract
31,6603606,¾,cup,"sliced fresh strawberries, mashed"
32,6603606,1,cup,heavy whipping cream
33,6603606,¼,cup,confectioners' sugar
34,6603606,¼,cup,sliced fresh strawberries
35,6603606,1,(9 inch),prepared graham cracker crust
36,6578199,12,(4 inch),"prepared tart shells, baked"
37,6578199,⅔,cup,white sugar
38,6578199,2 ½,tablespoons,cornstarch
39,6578199,1,pinch,salt
40,6578199,1,cup,apple juice
41,6578199,3,cups,fresh strawberries
42,6650106,1,(9 inch),unbaked pie crust (see footnote for recipe link)
43,6650106,3,cups,"rhubarb, sliced 1/4-inch thick"
44,6650106,1,cup,"fresh strawberries, quartered"
45,6650106,3,,large eggs
46,6650106,1 ½,cups,white sugar
47,6650106,3,tablespoons,milk
48,6650106,3,tablespoons,all-purpose flour
49,6650106,¼,teaspoon,freshly grated nutmeg
50,6650106,1,tablespoon,"butter, diced"
51,6650106,2,tablespoons,strawberry jam
52,6650106,¼,teaspoon,water
53,6578947,6,cups,sliced fresh strawberries
54,6578947,⅔,cup,white sugar
55,6578947,1,cup,water
56,6578947,4,tablespoons,strawberry flavored Jell-O®
57,6578947,4,tablespoons,cornstarch
58,6578947,1,(9 inch),prepared graham cracker crust
59,6568892,1,cup,white sugar
60,6568892,2,tablespoons,cornstarch
61,6568892,1,cup,boiling water
62,6568892,2 ½,quarts,"fresh strawberries, hulled"
63,6568892,2,(8 inch),"pie shells, baked"
64,6568892,1,(3 ounce) package,strawberry-flavored Jell-O gelatin mix
