,id_recipe,Quantity,Unit of Measure,Ingredient
0,6568170,1,pound,lean ground beef
1,6568170,1,medium,"onion, finely diced"
2,6568170,,,salt and ground black pepper to taste
3,6568170,¼,cup,water
4,6568170,1 ½,tablespoons,taco seasoning mix
5,6568170,1,(15 ounce) can,"dark red kidney beans, drained"
6,6568170,½,(12 ounce) bag,"nacho cheese-flavored corn chips (such as Doritos®), crushed"
7,6568170,1,large head,"romaine lettuce, chopped"
8,6568170,1 ½,medium,"tomatoes, diced"
9,6568170,½,cup,"shredded Cheddar cheese, or more to taste"
10,6568170,½,cup,"Catalina salad dressing, or to taste"
11,6574173,16,ounces,lean ground beef
12,6574173,1,(1.25 ounce) package,taco seasoning mix
13,6574173,1,head,"iceberg lettuce, shredded"
14,6574173,1,,"red onion, sliced"
15,6574173,1,bunch,"green onions, chopped"
16,6574173,1,(15 ounce) can,"pinto beans, drained"
17,6574173,1,(15 ounce) can,"kidney beans, drained"
18,6574173,2,large,"tomatoes, chopped"
19,6574173,1,,"avocados - peeled, pitted, and cubed"
20,6574173,8,ounces,shredded Cheddar cheese
21,6574173,1,(16 ounce) package,corn chips
22,6574173,1,(16 ounce) bottle,Catalina salad dressing
23,6648519,1,pound,lean ground beef
24,6648519,¾,cup,water
25,6648519,1,(1 ounce) packet,taco seasoning mix
26,6648519,1,head,"romaine lettuce, chopped"
27,6648519,1,(15 ounce) can,"kidney beans, rinsed and drained"
28,6648519,1,(10 ounce) basket,"grape tomatoes, chopped"
29,6648519,1,,"avocado, pitted and sliced"
30,6648519,½,cup,"chopped carrots, or to taste"
31,6648519,½,cup,"chopped green bell pepper, or to taste"
32,6648519,½,cup,"chopped celery, or to taste"
33,6648519,¼,cup,"shredded Cheddar cheese, or to taste (Optional)"
34,6648519,¼,cup,lime juice
35,6648519,3,tablespoons,honey
36,6648519,2,tablespoons,champagne vinegar
37,6648519,2,tablespoons,"chopped fresh cilantro, or to taste (Optional)"
38,6648519,2,tablespoons,Dijon mustard
39,6648519,3,cloves,"garlic, minced"
40,6648519,,,salt and ground black pepper to taste
41,6739327,2,,"skinless, boneless chicken breast halves"
42,6739327,1,(1.27 ounce) packet,"dry fajita seasoning, divided"
43,6739327,1,tablespoon,vegetable oil
44,6739327,1,(15 ounce) can,"black beans, rinsed and drained"
45,6739327,1,(11 ounce) can,Mexican-style corn
46,6739327,½,cup,salsa
47,6739327,1,(10 ounce) package,mixed salad greens
48,6739327,1,,"onion, chopped"
49,6739327,1,,"tomato, cut into wedges"
50,6581346,1 ½,pounds,ground beef
51,6581346,1,,"onion, diced"
52,6581346,½,(4 ounce) can,diced jalapeno peppers
53,6581346,1,(1 ounce) package,taco seasoning mix
54,6581346,2,cups,shredded lettuce
55,6581346,1,,"tomato, chopped"
56,6581346,½,cup,shredded reduced-fat Cheddar cheese
57,6581346,¼,cup,salsa
58,6581346,¼,cup,low-fat sour cream
59,6581346,1,,"avocado - peeled, pitted, and sliced"
60,6737425,1,(15 ounce) can,"black beans, rinsed and drained"
61,6737425,¾,cup,medium-hot salsa
62,6737425,½,cup,chopped fresh cilantro
63,6737425,1,tablespoon,lime juice
64,6737425,2,tablespoons,chili powder
65,6737425,1,teaspoon,ground cumin
66,6737425,1,teaspoon,ground coriander
