,id_recipe,Quantity,Unit of Measure,Ingredient
0,6663301,6,tablespoons,"unsalted butter, softened"
1,6663301,⅓,cup,white sugar
2,6663301,2,large,eggs
3,6663301,2 ½,cups,"all-purpose flour, plus more for dusting"
4,6663301,½,cup,cornstarch
5,6663301,1,teaspoon,baking powder
6,6663301,½,teaspoon,kosher salt
7,6663301,½,cup,whole milk
8,6663301,1,(13.4 ounce) can,dulce de leche
9,6663301,½,cup,heavy whipping cream
10,6663301,¼,cup,"powdered sugar, or as needed"
11,6740832,2 ⅛,cups,all-purpose flour
12,6740832,2,cups,white sugar
13,6740832,¾,cup,unsweetened cocoa powder
14,6740832,1 ½,teaspoons,baking powder
15,6740832,¾,teaspoon,baking soda
16,6740832,¾,teaspoon,salt
17,6740832,3,,eggs
18,6740832,1,cup,milk
19,6740832,½,cup,vegetable oil
20,6740832,1,tablespoon,vanilla extract
21,6650721,9,,egg whites
22,6650721,8,,egg yolks
23,6650721,1,cup,white sugar
24,6650721,¼,cup,milk
25,6650721,1,tablespoon,lemon zest
26,6650721,1,pinch,salt
27,6650721,1 ½,teaspoons,vanilla extract
28,6650721,1 ½,cups,sifted all-purpose flour
29,6650721,½,tablespoon,shortening
30,6650721,1,cup,white sugar
31,6650721,,,1 recipe Chocolate Buttercream
32,6650375,¼,cup,almond paste
33,6650375,¼,cup,white sugar
34,6650375,3,tablespoons,"unsalted butter, softened"
35,6650375,1,,egg
36,6650375,¼,teaspoon,vanilla extract
37,6650375,¼,teaspoon,almond extract
38,6650375,2,tablespoons,all-purpose flour
39,6650375,1,pinch,salt
40,6650375,1,(17.25 ounce) package,"frozen puff pastry, thawed"
41,6650375,1,,dry kidney bean
42,6650375,1,,"egg, beaten"
43,6650375,1,tablespoon,confectioners' sugar for dusting
44,6579573,4,,"eggs, separated"
45,6579573,3 ½,cups,sifted cake flour
46,6579573,1,tablespoon,baking powder
47,6579573,¾,cup,"butter, room temperature"
48,6579573,2,cups,white sugar
49,6579573,½,teaspoon,salt
50,6579573,1,cup,"milk, room temperature"
51,6579573,1,teaspoon,lemon juice
52,6579573,1,teaspoon,vanilla extract
53,6604618,½,cup,shortening
54,6604618,½,cup,butter
55,6604618,2,cups,white sugar
56,6604618,6,,eggs
57,6604618,3,cups,milk
58,6604618,3,cups,self-rising flour
59,6604618,2,teaspoons,vanilla extract
60,6604618,3,cups,white sugar
61,6604618,1,cup,butter
62,6604618,½,cup,unsweetened cocoa powder
63,6604618,¼,cup,water
64,6604618,2,cups,evaporated milk
65,6588270,½,cup,pareve margarine
66,6588270,8,ounces,"semisweet chocolate, chopped"
67,6588270,5,,"eggs, separated"
68,6588270,¾,cup,white sugar
