,id_recipe,Quantity,Unit of Measure,Ingredient
0,6833281,8,ounces,"cream cheese, softened"
1,6833281,⅓,cup,powdered sugar
2,6833281,½,teaspoon,vanilla extract
3,6833281,⅛,teaspoon,almond extract
4,6833281,1,pinch,salt
5,6833281,1,pinch,ground nutmeg
6,6833281,1 ⅓,cups,finely ground graham cracker crumbs
7,6833281,12,ounces,"white chocolate, chopped"
8,6833281,40,,white chocolate chips
9,6833281,20,,white candy melts
10,6833281,2,tablespoons,chocolate chips
11,6833281,20,,mini candy-coated chocolate pieces (such as mini M&Ms®)
12,6750076,½,(18 ounce) package,vanilla sandwich cookies (such as Oreo Golden Original Sandwich Cookies®)
13,6750076,4,(3 ounce) packages,"cream cheese, softened"
14,6750076,2,tablespoons,pumpkin puree
15,6750076,½,teaspoon,pumpkin spice
16,6750076,⅛,teaspoon,salt
17,6750076,1,(12 ounce) package,white chocolate chips
18,6750076,,,"Optional toppings: melted dark chocolate, melted caramel, pumpkin pie spice, candy eyes"
19,6663882,36,,"OREO Cookies, finely crushed"
20,6663882,1,(8 ounce) package,"cream cheese, softened"
21,6663882,,,waxed paper
22,6663882,16,ounces,"semi-sweet baking chocolate, melted"
23,6663649,2,(8 ounce) packages,semisweet baking chocolate
24,6663649,16,ounces,"cream-filled chocolate sandwich cookies (such as Oreo®), divided"
25,6663649,1,(8 ounce) package,"cream cheese, softened"
26,6587700,1,cup,chopped nuts
27,6587700,5,tablespoons,Kentucky bourbon
28,6587700,1,(16 ounce) package,confectioners' sugar
29,6587700,½,cup,"butter, softened"
30,6587700,,,waxed paper
31,6587700,18,ounces,semisweet chocolate
32,6739726,1,(8 ounce) package,"cream cheese, softened"
33,6739726,3,cups,"confectioners' sugar, sifted"
34,6739726,3,cups,"semisweet chocolate chips, melted"
35,6739726,1 ½,teaspoons,vanilla
36,6599263,8,(1 ounce) squares,"bittersweet chocolate, chopped"
37,6599263,¼,cup,cream
38,6599263,2,tablespoons,unsalted butter
39,6599263,½,cup,chocolate cake crumbs
40,6599263,2,teaspoons,dark rum
41,6599263,½,cup,chocolate sprinkles
42,6739616,⅓,cup,white sugar
43,6739616,5,tablespoons,"unsalted butter, room temperature"
44,6739616,6,ounces,"dark chocolate, chopped"
45,6739616,14,ounces,whole chestnuts
46,6739616,1,pinch,salt
47,6739616,1,pinch,cayenne pepper
48,6739616,1,teaspoon,vanilla extract
49,6739616,¼,cup,brandy
50,6739616,8,ounces,"white chocolate, chopped"
51,6739616,⅓,cup,confectioners' sugar
52,6739616,2,teaspoons,"milk, or as needed"
53,6739616,,,paper candy cups
54,6739616,1,drop,"red food coloring, or more as needed"
55,6597640,3,cups,semi-sweet chocolate chips
56,6597640,1,(14 ounce) can,EAGLE BRAND® Sweetened Condensed Milk
57,6597640,1,tablespoon,vanilla extract
58,6601826,1 ½,cups,crushed cornflakes cereal
59,6601826,1,cup,confectioners' sugar
60,6601826,½,cup,smooth peanut butter
61,6601826,3,tablespoons,"butter, softened"
62,6601826,1 ½,cups,chocolate chips
63,6601826,1,tablespoon,vegetable oil
64,6570192,12,ounces,"bittersweet chocolate, chopped"
65,6570192,⅓,cup,heavy cream
66,6570192,1,teaspoon,vanilla extract
67,6740936,1,(11 ounce) box,vanilla wafers
68,6740936,1,cup,unsalted peanuts
69,6740936,1 ¼,cups,"powdered sugar, divided"
70,6740936,½,cup,peanut butter whiskey
71,6740936,3,tablespoons,honey
72,6740936,2,tablespoons,peanut butter
73,6740936,¼,teaspoon,kosher salt
74,6740936,2,tablespoons,unsweetened cocoa powder
75,6572004,1,(14 ounce) package,chocolate sandwich cookies (such as Oreo®)
76,6572004,1,(8 ounce) package,"cream cheese, softened"
77,6572004,2,(6 ounce) packages,white chocolate baking squares
78,6738043,½,pound,"high-quality dark chocolate, chopped"
79,6738043,⅛,teaspoon,ground dried chipotle pepper
80,6738043,1,pinch,salt
81,6738043,½,cup,heavy whipping cream
82,6738043,3,tablespoons,"unsweetened cocoa powder, or as needed"
83,6577449,3,cups,semisweet chocolate chips
84,6577449,1,cup,white chocolate chips
85,6577449,¼,cup,butter
86,6577449,3,cups,confectioners' sugar
87,6577449,1,cup,Irish cream liqueur
88,6577449,1 ½,cups,chopped nuts
89,6577449,1,cup,semisweet chocolate chips
90,6577449,½,cup,white chocolate chips
91,6577449,4,tablespoons,Irish cream liqueur
92,6577449,2,tablespoons,butter
93,6572764,1,(24 ounce) bag,semi-sweet chocolate chips
94,6572764,8,ounces,"cream cheese, softened"
95,6572764,3,tablespoons,instant coffee granules
96,6572764,2,teaspoons,water
97,6737964,326,grams,dark chocolate chips
98,6739369,1,cup,chocolate-hazelnut spread
99,6739369,⅓,cup,white sugar
100,6739369,2,tablespoons,water
101,6739369,⅔,cup,heavy whipping cream
102,6739369,¼,teaspoon,coarse sea salt (such as Diamond Crystal®)
103,6739369,½,cup,unsweetened cocoa powder
104,6739369,1,(12 ounce) bag,"chocolate chips (at least 60% cocoa), finely chopped"
105,6739369,1,tablespoon,"coarse sea salt (such as Diamond Crystal®), or to taste"
106,6599124,½,cup,"butter, softened"
107,6599124,¾,cup,packed brown sugar
108,6599124,1,teaspoon,vanilla extract
109,6599124,2 ¼,cups,all-purpose flour
110,6599124,1,(14 ounce) can,sweetened condensed milk
111,6599124,½,cup,miniature semisweet chocolate chips
112,6599124,½,cup,toffee baking bits
113,6599124,1,pound,chocolate confectioners' coating
114,6588981,1,(8 ounce) package,"cream cheese, softened"
115,6588981,1,cup,peanut butter
116,6588981,½,cup,white sugar
117,6588981,1,(6 ounce) package,white chocolate chips (such as Nestle®)
118,6574185,2,(8 ounce) packages,"cream cheese, softened"
119,6574185,⅔,cup,white sugar
120,6574185,1,teaspoon,almond extract
121,6574185,2,,eggs
122,6574185,12,ounces,baking white chocolate (such as Baker's®)
123,6574185,2,teaspoons,"vegetable shortening, or as needed"
124,6574185,1,(3 ounce) package,sliced almonds
125,6571671,1,(8 ounce) package,"cream cheese, softened"
126,6571671,1,cup,brown sugar
127,6571671,2,teaspoons,vanilla extract
128,6571671,2 ¼,cups,all-purpose flour
129,6571671,¼,teaspoon,salt
130,6571671,10,ounces,semisweet chocolate chips
131,6571671,1,pound,confectioners' chocolate
132,6589877,¾,cup,brown sugar
133,6589877,½,cup,butter
134,6589877,2,tablespoons,milk
135,6589877,2,teaspoons,vanilla extract
136,6589877,¼,teaspoon,salt
137,6589877,1,cup,all-purpose flour
138,6589877,2 ½,cups,"chocolate chips, divided"
139,6589877,¼,cup,white chocolate chips
140,6584565,,,cooking spray
141,6584565,1,(18.4 ounce) package,brownie mix
142,6584565,⅔,cup,vegetable oil
143,6584565,¼,cup,water
144,6584565,2,large,eggs
145,6584565,1,(4.6 ounce) package,creme de menthe thins (such as Andes®)
146,6584565,1,(12 ounce) bag,semisweet chocolate chips
147,6584565,1,tablespoon,coconut oil
148,6584565,,,green and while candy sprinkles (optional)
149,6570110,12,ounces,semisweet chocolate
150,6570110,1,,"banana, mashed"
151,6570110,⅓,cup,heavy whipping cream
152,6570110,2,tablespoons,peanut butter
153,6570110,¼,cup,"sifted confectioners' sugar, or as needed"
154,6648791,5,ounces,ladyfingers
155,6648791,1,cup,mascarpone cheese
156,6648791,⅓,cup,"strong brewed coffee, room temperature"
157,6648791,1,teaspoon,amaretto liqueur (such as Disaronno®)
158,6648791,½,cup,powdered sugar
159,6648791,¼,cup,"unsweetened cocoa powder, or as needed"
160,6604339,50,,NILLA® waters
161,6604339,3,(.96 ounce) envelopes,Swiss Miss® Simply Cocoa Dark Chocolate Hot Cocoa Mix
162,6604339,1,(3.25 ounce) cup,Snack Pack® Chocolate Pudding
163,6604339,½,cup,Reddi-wip® Original Dairy Whipped Topping
164,6604339,½,cup,miniature marshmallows
165,6604339,1,cup,premier white morsels
166,6604339,1,tablespoon,Pure Wesson® Vegetable Oil
167,6604339,¼,teaspoon,Coarse colored sugar
