,id_recipe,Quantity,Unit of Measure,Ingredient
0,6580217,1,(14.6 ounce) package,penne pasta
1,6580217,1,tablespoon,olive oil
2,6580217,1,tablespoon,butter
3,6580217,1,,"onion, chopped"
4,6580217,3,(5 ounce) cans,"tuna, drained and flaked"
5,6580217,1,cup,heavy whipping cream
6,6580217,½,teaspoon,ground nutmeg
7,6580217,,,salt and ground black pepper to taste
8,6580217,1 ¼,cups,grated Parmesan cheese
9,7373575,,,cooking spray
10,7373575,1,(10 1/2 ounce),cream of mushroom soup
11,7373575,1,cup,milk
12,7373575,1,,"lemon, zested and juiced"
13,7373575,1,tablespoon,orcestershire sauce
14,7373575,1/4,teaspoon,crushed red pepper
15,7373575,3,3 (7-ounce) packages,fully cooked gemelli or rotini pasta (such as Barilla Ready Pasta®)
16,7373575,1,(12-ounce) can,"chunk white tuna, drained"
17,7373575,1 (10-,ounce) package frozen chopped,"spinach, thawed and squeezed dry"
18,7373575,1,cup,shredded Monterey Jack cheese
19,7373575,2,,"green onions, chopped"
20,7373575,2,tablespoons,roasted red pepper or diced pimiento
21,7373575,1,(1.5-ounce) bag,"sour cream and onion or plain potato chips, crushed"
22,6648983,1,(12 ounce) package,egg noodles
23,6648983,2,(10.5 ounce) cans,condensed cream of mushroom soup
24,6648983,2,cups,"shredded Cheddar cheese, divided"
25,6648983,2,(5 ounce) cans,"tuna, drained"
26,6648983,1,cup,frozen green peas
27,6648983,½,(4.5 ounce) can,sliced mushrooms
28,6648983,¼,cup,chopped onion
29,6648983,1,cup,crushed potato chips
30,6573719,4,cups,hot cooked medium egg noodles
31,6573719,2,(10.5 ounce) cans,Campbell's® Condensed Cream of Mushroom Soup (regular or 25% Lower Sodium)
32,6573719,2,(10 ounce) cans,"tuna, drained"
33,6573719,2,cups,frozen peas
34,6573719,1,cup,milk
35,6573719,2,tablespoons,dry bread crumbs
36,6573719,1,tablespoon,"butter, melted"
37,6663824,1,(12 ounce) package,egg noodles
38,6663824,2,cups,frozen green peas
39,6663824,2,(10.75 ounce) cans,condensed cream of mushroom soup
40,6663824,2,(5 ounce) cans,"tuna, drained"
41,6663824,10,slices,American processed cheese
42,6663824,1,,"onion, chopped"
43,6663824,,,ground black pepper to taste
44,6663479,3,cups,cooked macaroni
45,6663479,1,(5 ounce) can,"tuna, drained"
46,6663479,1,(10.5 ounce) can,condensed cream of chicken soup
47,6663479,1,cup,shredded Cheddar cheese
48,6663479,1 ½,cups,French fried onions
49,6663602,1,(7.25 ounce) package,macaroni and cheese
50,6663602,¼,cup,butter
51,6663602,¼,cup,milk
52,6663602,1,(10.5 ounce) can,cream of mushroom soup
53,6663602,1,(5 ounce) can,"tuna, drained and flaked"
54,6663602,½,cup,milk
55,6663602,1,cup,shredded Cheddar cheese
56,6663602,1,tablespoon,"minced fresh parsley, or to taste (Optional)"
57,6663602,¼,cup,bread crumbs
58,6663602,¼,cup,"butter, melted"
59,6663602,½,teaspoon,"dried dill weed, or to taste (Optional)"
60,6739117,½,cup,"butter, divided"
61,6739117,1,(8 ounce) package,uncooked medium egg noodles
62,6739117,½,medium,"onion, finely chopped"
63,6739117,1,stalk,"celery, finely chopped"
64,6739117,1,clove,"garlic, minced"
65,6739117,8,ounces,"button mushrooms, sliced"
66,6739117,¼,cup,all-purpose flour
67,6739117,2,cups,milk
68,6739117,,,salt and pepper to taste
69,6739117,2,(5 ounce) cans,"tuna, drained and flaked"
70,6739117,1,cup,"frozen peas, thawed"
71,6739117,3,tablespoons,bread crumbs
72,6739117,1,cup,shredded Cheddar cheese
73,6649494,2,cups,hot cooked medium egg noodles
74,6649494,2,(6 ounce) cans,"tuna, drained and flaked"
75,6649494,1,(10.5 ounce) can,Campbell's Condensed Cream of Celery Soup or Campbell's Condensed 98% Fat-Free Cream of Celery Soup
76,6649494,1,cup,cooked peas
77,6649494,½,cup,milk
78,6649494,2,tablespoons,chopped pimentos (Optional)
79,6649494,2,tablespoons,dry bread crumbs
80,6649494,1,tablespoon,"butter, melted"
81,6567457,1,(12 ounce) package,egg noodles
82,6567457,4 ¼,teaspoons,"kosher salt, divided"
83,6567457,4,tablespoons,"salted butter, divided"
84,6567457,5,teaspoons,"olive oil, divided"
85,6567457,1,(8 ounce) package,sliced fresh mushrooms
86,6567457,1,small,"white onion, minced"
87,6567457,¼,cup,all-purpose flour
88,6567457,2,cups,milk
89,6567457,1 ½,cups,chicken stock
90,6567457,2,tablespoons,lemon juice
91,6567457,1,teaspoon,Dijon mustard
92,6567457,½,teaspoon,ground black pepper
93,6567457,1 ½,cups,shredded white Cheddar cheese
94,6567457,1,cup,frozen sweet peas
95,6567457,2,(6 ounce) cans,"tuna, drained"
96,6567457,1,cup,panko bread crumbs
97,6567457,¼,teaspoon,ground paprika
98,6567457,2,tablespoons,finely chopped fresh parsley
99,6650539,1,(8 ounce) package,wide egg noodles
100,6650539,2,tablespoons,butter
101,6650539,2,tablespoons,all-purpose flour
102,6650539,1,teaspoon,salt (Optional)
103,6650539,1,cup,milk
104,6650539,1,cup,shredded sharp Cheddar cheese
105,6650539,1,(5 ounce) can,"tuna, drained"
106,6650539,1,(15 ounce) can,"peas, drained"
107,6601969,,,nonstick cooking spray
108,6601969,1,(7.25 ounce) package,macaroni and cheese dinner mix (such as Kraft®)
109,6601969,¼,cup,butter
110,6601969,¾,cup,milk
111,6601969,1,(10.5 ounce) can,condensed cream of chicken soup
112,6601969,1,(15 ounce) can,"sweet peas, drained"
113,6601969,1,(5 ounce) can,"chunk light tuna, drained and flaked"
114,6601969,1,cup,shredded mild Cheddar cheese
115,6601969,1 ⅓,cups,French-fried onions
116,6576561,1,(16 ounce) package,medium seashell pasta
117,6576561,1,tablespoon,vegetable oil
118,6576561,1,(10.75 ounce) can,condensed cream of mushroom soup
119,6576561,1,(15 ounce) can,"mixed vegetables, drained"
120,6576561,1,(5 ounce) can,"tuna, drained"
121,6576561,2,cups,shredded Cheddar cheese
122,6576561,,,salt and pepper to taste
123,6648799,3,tablespoons,unsalted butter
124,6648799,½,cup,finely diced yellow onion
125,6648799,1 ½,teaspoons,"kosher salt, divided"
126,6648799,3,tablespoons,all-purpose flour
127,6648799,4,cups,cold milk
128,6648799,1,cup,shredded white Cheddar cheese
129,6648799,1,(12 ounce) package,dry egg noodles
130,6648799,2,(5.5 ounce) cans,"tuna packed in olive oil, drained and crumbled, or to taste"
131,6648799,¾,cup,"frozen peas, thawed and drained"
132,6648799,1,pinch,cayenne pepper
133,6648799,¼,teaspoon,freshly ground black pepper
134,6648799,¼,teaspoon,Worcestershire sauce
135,6648799,½,cup,plain bread crumbs
136,6648799,½,cup,grated Parmigiano-Reggiano cheese
137,6648799,2,tablespoons,olive oil
138,6576384,1,(16 ounce) package,uncooked pasta shells
139,6576384,2,(5 ounce) cans,"tuna, drained"
140,6576384,1,(10.75 ounce) can,condensed cream of mushroom soup
141,6576384,1,(10.75 ounce) can,condensed cream of celery soup
142,6576384,1 ¼,cups,milk
143,6576384,1,teaspoon,salt
144,6576384,¼,teaspoon,ground black pepper
145,6576384,1,teaspoon,crushed garlic
146,6576384,4,slices,processed American cheese
147,6576384,1 ½,cups,crushed potato chips
148,6604776,2,(10 ounce) packages,egg noodles
149,6604776,1,tablespoon,olive oil
150,6604776,1,tablespoon,salt
151,6604776,1,(8 ounce) package,"processed cheese food (such as Velveeta®), cut into cubes"
152,6604776,3,(5 ounce) cans,"chunk light tuna in water, drained"
153,6604776,1,(15 ounce) can,"peas, drained (Optional)"
154,6604776,2,(10.75 ounce) cans,condensed cream of celery soup
155,6604776,1,(10.75 ounce) can,condensed cream of mushroom soup
156,6604776,1,teaspoon,ground black pepper
157,6604776,1,cup,grated Parmesan cheese
158,6597034,1,(16 ounce) package,egg noodles
159,6597034,1,(10 ounce) package,"frozen green peas, thawed"
160,6597034,¼,cup,butter
161,6597034,1,(10.75 ounce) can,condensed cream of mushroom soup
162,6597034,1,(5 ounce) can,"tuna, drained"
163,6597034,¼,cup,milk
164,6597034,1,cup,shredded Cheddar cheese
165,6603767,1,(12 ounce) box,Barilla® Gluten Free Rotini
166,6603767,4,tablespoons,"olive oil, divided"
167,6603767,1,cup,diced yellow onion
168,6603767,1,cup,"frozen peas, thawed"
169,6603767,1,(10 ounce) package,baby spinach
170,6603767,2,cups,heavy cream
171,6603767,,,Salt and black pepper to taste
172,6603767,3,cups,"shredded Cheddar cheese, divided"
173,6603767,2,(6 ounce),"tuna packed in oil, drained"
174,6603767,½,cup,Italian style gluten free bread crumbs
175,6738863,,,cooking spray
176,6738863,3,cups,uncooked egg noodles
177,6738863,2,(5 ounce) cans,"tuna, drained"
178,6738863,½,cup,chopped celery
179,6738863,⅓,cup,chopped green onions
180,6738863,½,cup,mayonnaise
181,6738863,⅓,cup,sour cream
182,6738863,2,teaspoons,prepared mustard
183,6738863,½,teaspoon,dried thyme
184,6738863,¼,teaspoon,salt
185,6738863,1,small,"zucchini, thinly sliced"
186,6738863,1,cup,shredded Monterey Jack cheese
187,6738863,1,medium,"tomato, chopped"
188,6590614,2,(13.5 ounce) bags,"large, ridged potato chips (such as Ruffles®)"
189,6590614,2,(15 ounce) cans,"green beans, drained"
190,6590614,2,(10.5 ounce) cans,condensed cream of mushroom soup
191,6590614,2,(5 ounce) cans,"water-packed tuna, drained and flaked"
192,6588839,½,(12 ounce) package,egg noodles
193,6588839,1,cup,1-inch pieces fresh-cut green beans
194,6588839,1,cup,bite-size summer squash pieces
195,6588839,1,cup,frozen peas
196,6588839,1,cup,sliced carrots
197,6588839,1,teaspoon,olive oil
198,6588839,1,cup,sliced fresh mushrooms
199,6588839,1,(10.75 ounce) can,condensed cream of mushroom soup
200,6588839,⅓,cup,2% milk
201,6588839,1,(7 ounce) can,"albacore tuna, drained and broken into chunks"
202,6588839,½,,"onion, chopped"
203,6588839,½,cup,shredded Cheddar cheese
204,6588839,1,tablespoon,Worcestershire sauce
205,6588839,,,salt and ground black pepper to taste
206,6588839,1,cup,French-fried onions (such as French's®)
207,6583199,1,(12 ounce) package,egg noodles
208,6583199,2,tablespoons,vegetable oil
209,6583199,¼,cup,chopped onion
210,6583199,¼,cup,chopped green bell pepper
211,6583199,¼,cup,chopped red bell pepper
212,6583199,1,(10.5 ounce) can,condensed cream of Cheddar cheese soup
213,6583199,1,(5 ounce) can,"tuna, drained"
214,6583199,¼,cup,milk
215,6583199,¼,teaspoon,salt
216,6583199,,,ground black pepper to taste
217,6583199,¼,cup,Italian seasoned bread crumbs
218,6598972,1,(8 ounce) package,wide egg noodles
219,6598972,¼,cup,"butter, cubed"
220,6598972,4,slices,American cheese
221,6598972,1,(5 ounce) can,"tuna, drained"
222,6598972,1,(10.75 ounce) can,condensed cream of mushroom soup
223,6598972,¼,cup,bread crumbs
224,6578661,,,nonstick cooking spray
225,6578661,2,cups,2% milk
226,6578661,1,(10.5 ounce) can,condensed cream of mushroom soup (such as Campbell's®)
227,6578661,2,cloves,"garlic, diced"
228,6578661,1,(5 ounce) can,tuna
229,6578661,1,cup,shredded mild Cheddar cheese
230,6578661,1,cup,chopped fresh mushrooms
231,6578661,8,ounces,uncooked macaroni pasta
232,6578661,,,salt and ground black pepper to taste
233,6576864,3 ¼,cups,penne pasta
234,6576864,1,tablespoon,"butter, or more to taste"
235,6576864,1 ½,cups,sliced fresh mushrooms
236,6576864,1,,"onion, finely chopped"
237,6576864,1,tablespoon,all-purpose flour
238,6576864,1 ¼,cups,milk
239,6576864,½,cup,frozen peas
240,6576864,½,cup,frozen sweet corn
241,6576864,1,(7 ounce) can,"tuna, drained"
242,6576864,½,(8 ounce) package,shredded Cheddar cheese
243,6604772,3,tablespoons,chopped onion
244,6604772,1,tablespoon,vegetable oil
245,6604772,1,(10.75 ounce) can,condensed tomato soup
246,6604772,1,teaspoon,chili powder
247,6604772,½,teaspoon,salt
248,6604772,1,teaspoon,Worcestershire sauce
249,6604772,1 ½,cups,egg noodles
250,6604772,1 ¼,cups,shredded sharp Cheddar cheese
251,6604772,1,(5 ounce) can,"tuna, drained"
252,6567997,1,(10.75 ounce) can,condensed cream of celery soup
253,6567997,1,cup,grated Cheddar cheese
254,6567997,¾,cup,milk
255,6567997,½,cup,sour cream
256,6567997,½,cup,mayonnaise
257,6567997,1,(7 ounce) can,"tuna, drained"
258,6567997,2,tablespoons,chopped parsley
259,6567997,1,tablespoon,lemon juice
260,6567997,½,teaspoon,salt
261,6567997,½,teaspoon,ground black pepper
262,6567997,1,pound,cooked pasta
263,6567997,1 ½,cups,"bread crumbs, or to taste"
264,6597597,2,cups,bow tie pasta
265,6597597,2,(5 ounce) cans,"tuna, drained"
266,6597597,1,(10 ounce) can,"mushrooms, drained"
267,6597597,1,(10.5 ounce) can,condensed cream of mushroom soup
268,6597597,1 ⅓,cups,milk
269,6597597,½,teaspoon,salt
270,6597597,¼,teaspoon,freshly ground black pepper
271,6597597,1,cup,dry bread crumbs
272,6597597,3,tablespoons,melted butter
273,6597597,2,teaspoons,"dried thyme, crushed"
274,6562207,12,ounces,egg noodles
275,6562207,1,(5 ounce) can,"tuna, drained and flaked, or more to taste"
276,6562207,½,cup,sour cream
277,6562207,½,cup,"milk, divided"
278,6562207,1,(1 ounce) package,dry onion soup mix (such as Lipton®)
279,6562207,1,teaspoon,Worcestershire sauce
280,6562207,¼,teaspoon,"garlic powder, or to taste"
281,6562207,⅛,teaspoon,"seasoned salt (such as LAWRY'S®), or more to taste"
282,6562207,,,salt and ground black pepper to taste
283,6562207,2,tablespoons,"butter, cut into small pieces, divided"
284,6562207,8,ounces,ridged potato chips (such as Ruffles®)
285,6562207,2,cups,shredded mozzarella cheese (Optional)
286,6601981,3 ¼,cups,fusilli pasta
287,6601981,2,tablespoons,butter
288,6601981,2,tablespoons,all-purpose flour
289,6601981,2,cups,milk
290,6601981,1 ½,cups,"shredded Cheddar cheese, divided"
291,6601981,3,teaspoons,lemon juice
292,6601981,½,teaspoon,mustard powder
293,6601981,,,salt and ground black pepper to taste
294,6601981,15,ounces,"tuna packed in water, drained and flaked"
295,6601981,¼,cup,dry bread crumbs
296,6591142,½,(16 ounce) package,penne pasta
297,6591142,5,tablespoons,"salted butter, divided"
298,6591142,3,tablespoons,all-purpose flour
299,6591142,2 ½,cups,cold milk
300,6591142,2,tablespoons,dried minced onion
301,6591142,2,,bay leaves
302,6591142,⅛,teaspoon,cayenne pepper
303,6591142,½,teaspoon,"salt, divided"
304,6591142,2,(6 ounce) cans,"tuna in water, drained"
305,6591142,1 ½,cups,frozen peas
306,6591142,1 ½,cups,grated Colby-Jack cheese
307,6591142,½,teaspoon,freshly ground black pepper
308,6591142,4,slices,"bread, cut into 1/2-inch pieces"
309,6591142,¼,cup,grated Parmesan cheese
310,6569383,½,(16 ounce) package,yolk-free egg noodles (such as No Yolks®)
311,6569383,2,tablespoons,butter
312,6569383,1,(16 ounce) package,"cremini mushrooms, thinly sliced"
313,6569383,1 ½,cups,peas
314,6569383,½,medium,"yellow onion, chopped"
315,6569383,½,teaspoon,kosher salt
316,6569383,,,freshly ground black pepper to taste
317,6569383,1,pinch,cayenne pepper
318,6569383,2,tablespoons,all-purpose flour
319,6569383,1,cup,whole milk
320,6569383,¾,cup,low-sodium chicken broth
321,6569383,2,cups,grated white Cheddar cheese
322,6569383,1,(8 ounce) can,"water-packed tuna, drained and flaked"
323,6569383,½,cup,"grated Parmesan cheese, divided"
324,6569383,2,tablespoons,chopped fresh parsley
325,6569383,2,tablespoons,chopped fresh dill
326,6569383,2,tablespoons,chopped fresh chives
327,6569383,1,tablespoon,lemon juice
328,6569383,¼,cup,panko bread crumbs
329,6569383,1,tablespoon,"butter, melted"
330,6738844,1,(7.25 ounce) package,macaroni and cheese mix
331,6738844,1,(10.75 ounce) can,condensed cream of mushroom soup
332,6738844,1,(9 ounce) can,"tuna, drained"
333,6738844,1,(10 ounce) can,"peas, drained"
334,6597227,,,cooking spray
335,6597227,2,cups,whole-grain bow-tie pasta
336,6597227,1,teaspoon,olive oil
337,6597227,2,cups,sliced cremini mushrooms
338,6597227,½,cup,chopped onion
339,6597227,⅓,cup,chopped celery
340,6597227,⅓,cup,chopped red bell pepper
341,6597227,⅓,cup,chopped carrot
342,6597227,1 ½,cups,light Alfredo sauce (such as Classico® Light Creamy Alfredo)
343,6597227,½,cup,light sour cream
344,6597227,¼,cup,grated Parmesan cheese
