,id_recipe,Quantity,Unit of Measure,Ingredient
0,6600334,1,(16 ounce) package,cavatappi (corkscrew macaroni)
1,6739484,1,(12 ounce) package,elbow macaroni
2,6739484,1,(10 ounce) can,"baby peas, drained"
3,6739484,2,stalks,"celery, chopped"
4,6739484,1,(5 ounce) can,"tuna, drained"
5,6739484,2,tablespoons,chopped sweet onion
6,6739484,1,cup,mayonnaise
7,6739484,2,tablespoons,sweet pickle relish
8,6739484,,,salt and pepper to taste
9,6739484,3,large,"hard-cooked eggs, quartered"
10,6739484,1,pinch,"paprika, for garnish"
11,6570287,1,(5 ounce) can,"tuna, drained"
12,6570287,½,cup,mayonnaise
13,6570287,¼,cup,chopped celery
14,6570287,¼,cup,chopped onion
15,6570287,1,tablespoon,chopped fresh parsley
16,6570287,½,teaspoon,lemon juice
17,6570287,¼,teaspoon,garlic powder
18,6570287,⅛,teaspoon,salt
19,6570287,⅛,teaspoon,ground black pepper
20,6570287,1,pinch,"paprika, or to taste"
21,6664989,1,(7 ounce) can,"white tuna, drained and flaked"
22,6664989,6,tablespoons,mayonnaise or salad dressing
23,6664989,3,tablespoons,sweet pickle relish
24,6664989,1,tablespoon,Parmesan cheese
25,6664989,⅛,teaspoon,dried minced onion flakes
26,6664989,1,tablespoon,dried parsley
27,6664989,1,teaspoon,dried dill weed
28,6664989,¼,teaspoon,curry powder
29,6664989,1,pinch,garlic powder
30,6571171,1,(5 ounce) can,"solid white tuna packed in water, drained"
31,6571171,¼,cup,creamy salad dressing
32,6571171,1,tablespoon,"sweet pickle relish, or to taste"
33,6585484,2,(6 ounce) cans,"water-packed tuna, drained"
34,6585484,2,(6 ounce) cans,"olive oil-packed tuna, drained"
35,6585484,¾,cup,reduced-fat olive oil mayonnaise
36,6585484,2,stalks,"celery, chopped"
37,6585484,¼,,"red onion, chopped"
38,6585484,½,,"lime, juiced"
39,6585484,2,tablespoons,mustard
40,6585484,,,salt and ground black pepper to taste
41,6586847,2,(5 ounce) cans,"tuna, drained"
42,6586847,1,tablespoon,olive oil
43,6586847,1,tablespoon,"mayonnaise, or more if needed"
44,6586847,1,small,"apple - peeled, cored, and chopped"
45,6586847,¼,small,"onion, minced"
46,6586847,1,tablespoon,sweet pickle relish
47,6586847,½,teaspoon,dill weed
48,6586847,,,salt and ground black pepper to taste
49,6605420,1,(5 ounce) can,"tuna, drained"
50,6605420,1,teaspoon,mayonnaise
51,6605420,1,teaspoon,sweet pickle relish
52,6605420,1,teaspoon,Dijon-style prepared mustard
53,6605420,1,stalk,"celery, chopped"
54,6605420,¼,cup,chopped onion
55,6605420,¼,teaspoon,ground black pepper
56,6585145,2,(12 ounce) cans,"tuna, drained"
57,6585145,3,large,"hard-boiled eggs, chopped"
58,6585145,1,stalk,"celery, diced (Optional)"
59,6585145,½,cup,light creamy salad dressing (such as Miracle Whip Light®)
60,6585145,2,tablespoons,sweet pickle relish
61,6585145,1,teaspoon,prepared yellow mustard
62,6585145,1,dash,Worcestershire sauce
63,6587931,2,(5 ounce) cans,"chunk light tuna in water, drained"
64,6587931,¼,cup,finely chopped red onion
65,6587931,¼,cup,chopped fresh parsley
66,6587931,3,tablespoons,olive oil
67,6587931,2,tablespoons,freshly squeezed lemon juice
68,6587931,½,teaspoon,lemon zest
69,6587931,¼,teaspoon,salt
70,6587931,¼,teaspoon,ground black pepper
71,6577815,2,,eggs
72,6577815,2,(5 ounce) cans,"tuna, drained"
73,6577815,1,(6 ounce) can,"crabmeat, shredded"
74,6577815,½,cup,mayonnaise
75,6577815,1,teaspoon,sour cream
76,6577815,1,teaspoon,yellow mustard
77,6577815,½,teaspoon,dried dill weed
78,6577815,⅛,teaspoon,lemon pepper
79,6577815,2,tablespoons,dill pickle relish
80,6577815,2,tablespoons,sweet pickle relish
81,6577815,¾,cup,finely chopped onion
82,6593503,5,(5 ounce) cans,"chunk light tuna in water, drained and flaked"
83,6593503,½,cup,sweetened dried cranberries (such as Craisins®)
84,6593503,½,cup,finely chopped carrot
85,6593503,¼,cup,chopped green onions
86,6593503,¼,cup,finely chopped cilantro
87,6593503,1,tablespoon,sesame seeds
88,6593503,1 ½,teaspoons,ground ginger
89,6593503,1 ½,teaspoons,ground red chile pepper
90,6593503,¾,teaspoon,kosher salt
91,6593503,½,cup,light mayonnaise
92,6593503,¼,cup,Asian chile paste (such as sambal oelek)
93,6593503,2,tablespoons,sesame oil
94,6593503,1,tablespoon,light soy sauce
95,6593503,1,tablespoon,honey
96,6590899,1,(12 ounce) can,"chunk light tuna in water, drained"
97,6590899,1,(15 ounce) can,"peas, drained"
98,6590899,¼,cup,"reduced-fat mayonnaise, or as needed"
99,6590899,1,teaspoon,garlic powder
100,6590899,1,teaspoon,ground black pepper
101,6599632,1,(6 ounce) can,"chunk light tuna, drained"
102,6599632,2,tablespoons,chopped onion
103,6599632,1,tablespoon,light mayonnaise
104,6599632,,,salt and ground black pepper to taste
105,6599632,3,leaves,"green lettuce, rinsed and patted dry"
106,6599632,2,tablespoons,finely shredded low-fat Cheddar cheese (Optional)
107,6649796,1,(5 ounce) can,"Italian tuna packed in olive oil, undrained"
108,6649796,1,(16 ounce) can,"chickpeas (garbanzo beans), drained"
109,6649796,1,(2.25 ounce) can,"black olives, chopped"
110,6649796,¼,cup,chopped Italian (flat-leaf) parsley
111,6649796,½,,"red onion, chopped"
112,6649796,,,"lemon, juiced"
113,6649796,¼,cup,"crumbled reduced-fat feta cheese, or more to taste"
114,6649796,,,salt and ground black pepper to taste
115,6576981,2,tablespoons,mayonnaise
116,6576981,2,ounces,"cream cheese, softened, or as needed"
117,6576981,2,(5 ounce) cans,"solid white tuna packed in water, drained and flaked"
118,6576981,½,,"carrot, finely chopped"
119,6576981,¼,cup,diced red bell pepper
120,6576981,,,freshly ground black pepper to taste
121,6571047,1,(5 ounce) can,"chunk light tuna in water, drained"
