,id_recipe,Quantity,Unit of Measure,Ingredient
0,7971297,1,pound,"carrots, peeled"
1,7971297,1,tablespoon,olive oil
2,7971297,1/4,teaspoon,salt
3,7971297,1/4,1/4 teaspoon freshly,ground black pepper to taste
4,7971297,1 1/2,tablespoons,honey
5,7971297,1 1/2,tablespoons,balsamic vinegar
6,7971297,1,teaspoon,dried thyme
7,7971297,1,teaspoon,lemon juice
8,7971297,2,cloves,"garlic, pressed"
9,7971297,1,tablespoon,"chopped parsley, or to taste"
10,7970871,8,,boneless skinless chicken thighs
11,7970871,,,salt and freshly ground pepper to taste
12,7970871,3,tablespoons,balsamic vinegar
13,7970871,1/4,cup,low-sodium chicken broth
14,7970871,1,tablespoon,tomato paste
15,7970871,1,,"lemon, zested and juiced, divided"
16,7970871,1,teaspoon,honey
17,7970871,5,cloves,"garlic, minced"
18,7970871,1,tablespoon,basil
19,7970871,2,tablespoons,olive oil
20,7970871,2,cups,cherry tomatoes
21,7970871,1,pinch,salt
22,7970871,4,ounces,shredded mozzarella cheese
23,7970871,,,torn fresh basil leaves for garnish
24,7970341,1 3/4,cups,all-purpose flour
25,7970341,1 1/4,teaspoons,kosher salt
26,7970341,1,teaspoon,baking soda
27,7970341,1 1/2,teaspoons,ground cinnamon
28,7970341,1/2,teaspoon,ground ginger
29,7970341,1/4,teaspoon,ground cloves
30,7970341,1/4,teaspoon,ground nutmeg
31,7970341,1,can,pumpkin puree
32,7970341,1/2,cup,white sugar
33,7970341,3/4,cup packed,light brown sugar
34,7970341,1/2,cup,vegetable oil
35,7970341,2,tablespoons,milk
36,7970341,2,large,eggs
37,7970341,1/2,cup,semi-sweet chocolate chips
38,7970341,1/4,cup,pumpkin seeds
39,7775399,2,pounds,"russet potatoes, peeled"
40,7775399,,,peanut or vegetable oil for frying
41,7775399,1/2,teaspoon,salt
42,7969050,2,(28 ounce) cans,"artichoke hearts, drained"
43,7969050,1/4,cup,olive oil
44,7969050,2,tablespoons,lemon juice
45,7969050,1,teaspoon,granulated garlic
46,7969050,1/2,teaspoon,salt
47,7969050,1/4,teaspoon,pepper
48,7969057,8,ounces,"cream cheese, softened"
49,7969057,1/4,cup,shredded Cheddar cheese
50,7969057,1/4,cup,bacon bits
51,7969057,1,tablespoon,ontreal steak seasoning
52,7969057,12,fresh,"jalapeno peppers, stems removed, cored"
53,7967888,6,large,"sweet potatoes, peeled and cut into cubes"
54,7967888,5,cups,"water, or as needed to cover"
55,7967888,1,cup,coconut sugar
56,7967888,1,cup,white sugar
57,7967888,1/2,cup,"butter, cut into cubes"
58,7967888,2,teaspoons,vanilla bean paste
59,7967888,1,tablespoon,ground cinnamon
60,7967888,2,teaspoons,ground allspice
61,7967888,2,teaspoons,ground cloves
62,7967888,1,teaspoon,ground ginger
63,7967888,1,teaspoon,cardamom
64,7967888,1,teaspoon,ground nutmeg
65,7967888,3,tablespoons,"all-purpose flour, or as needed"
66,7563822,4,tablespoons,"unsalted butter, softened"
67,7563822,1,tablespoon,parsley
68,7563822,1,clove,"garlic, finely minced"
69,7563822,1 1/4,teaspoons,"kosher salt, divided"
70,7563822,3/4,teaspoon freshly ground,"black pepper, divided"
71,7563822,1 1/2,pounds pattypan,squash
72,7563822,1,tablespoon,olive oil
73,7563610,6,cups,butternut squash
74,7563610,4,teaspoons,"olive oil, divided"
75,7563610,1 1/2,teaspoons,"kosher salt, divided"
76,7563610,3/4,teaspoon freshly ground,"black pepper, divided"
77,7563610,1,cup,yellow onion
78,7563610,10,cups,fresh spinach
79,7563610,2,cups,provolone cheese
80,7563610,1,cup,mozzarella cheese
81,7563610,1 (32,ounce) container,whole milk ricotta cheese
82,7563610,1/2,cup chopped,parsley
83,7563610,2,large,eggs
84,7563610,,,cooking spray
85,7563610,5,cups,marinara sauce
86,7563610,12 oven-ready,lasagna,noodles
87,7563610,1,cup,armesan cheese
88,7852451,1,pound,"potatoes, halved"
89,7852451,1 1/2,pounds,"sirloin steak, cut into bite-sized strips"
90,7852451,1,,"yellow onion, sliced"
91,7852451,1,,"red bell pepper, sliced"
92,7852451,1,,"green bell pepper, sliced"
93,7852451,1,,"carrot, thinly sliced"
94,7852451,4,tablespoons,"butter, or as needed"
95,7852451,,,"1 teaspoon steak seasoning, or as needed"
96,7852451,5,cloves,"garlic, chopped, or more to taste"
97,7814346,1/4,cup,all-purpose flour
98,7814346,1/4,teaspoon,salt
99,7814346,1/8,teaspoon,ground black pepper
100,7814346,1,large,egg
101,7814346,1/4,cup,talian bread crumbs
102,7814346,2,tablespoons,panko bread crumbs
103,7814346,2,tablespoons,grated Parmesan cheese
104,7814346,1 (14,ounce) can,"hearts of palm, drained"
105,7814346,,,cooking spray
106,7749988,2,teaspoons,kosher salt
107,7749988,1,teaspoon,chili powder
108,7749988,1,teaspoon,smoked paprika
109,7749988,1/2,teaspoon,ground black pepper
110,7749988,1/4,teaspoon,ground cumin
111,7749988,1/4,teaspoon,garlic powder
112,7749988,1/4,teaspoon,onion powder
113,7749988,1/8,teaspoon,cayenne pepper
114,7749884,2,tablespoons,unsalted butter
115,7749884,2,tablespoons,olive oil
116,7749884,1,,"onion, thinly sliced"
117,7749884,1 1/2 to 2,pounds,"red potatoes, cut into 1-inch-thick slices"
118,7749884,2,tablespoons,parsley
119,7749884,,,salt and freshly ground black pepper to taste
120,7749884,2,teaspoons,minced garlic
121,7749884,1,cup,chicken broth
122,7749884,2,sprigs,"rosemary, or herbs of choice (optional)"
123,7693579,1,pound,round steak
124,7693579,1,(1.06 ounce),marinade
125,7693579,1/4,cup,oil
126,7693579,1/4,cup,water
127,7693579,1,tablespoon,red wine vinegar
128,7693579,3,cups,"baby potatoes, halved"
129,7693579,1,pound,"green beans, trimmed"
130,7693579,1,(1.25 ounce) package,"oasted onion & garlic potato seasoning,"
131,7693579,2,tablespoons,oil
132,7692905,2,tablespoons,"olive oil, divided"
133,7692905,12 ounces (1 1/2,cups),ricotta cheese
