,id_recipe,Quantity,Unit of Measure,Ingredient
0,6599605,½,cup,mayonnaise
1,6599605,1,tablespoon,white sugar
2,6599605,1,teaspoon,lemon juice
3,6599605,⅛,teaspoon,salt
4,6599605,3,,"apples — peeled, cored, and chopped"
5,6599605,1,cup,thinly sliced celery
6,6599605,½,cup,chopped walnuts
7,6599605,½,cup,raisins (Optional)
8,6599326,½,cup,chopped walnuts
9,6599326,2,,"cooked rotisserie chicken breasts, cubed"
10,6599326,1,cup,"seedless red grapes, halved"
11,6599326,½,cup,dried cranberries
12,6599326,½,,"Granny Smith apple, cored and cubed"
13,6599326,¼,cup,chopped red onion
14,6599326,½,cup,mayonnaise
15,6599326,½,cup,vanilla yogurt
16,6599326,2,teaspoons,lemon juice
17,6593372,½,cup,mayonnaise
18,6593372,2 ½,tablespoons,distilled white vinegar
19,6593372,1,,"apple - peeled, cored, and chopped"
20,6593372,1,large stalk,"celery, diced"
21,6593372,½,cup,raisins
22,6593372,½,cup,chopped walnuts
23,6593372,,,salt and pepper to taste
24,6585277,2,cups,chopped apples
25,6585277,1 ½,,"lemons, juiced"
26,6585277,¼,cup,chopped celery
27,6585277,¼,cup,chopped walnuts
28,6585277,¼,cup,raisins
29,6585277,¼,cup,"seedless grapes, halved"
30,6585277,½,cup,"heavy cream, whipped"
31,6585277,¼,cup,mayonnaise
32,6585277,1,pinch,ground nutmeg
33,6649196,2,,"Red Delicious apples, cored and diced"
34,6649196,2,,"Granny Smith apples, cored and diced"
35,6649196,4,stalks,"celery, diced"
36,6649196,1,cup,toasted walnuts
37,6649196,½,cup,raisins
38,6649196,2,tablespoons,walnut oil
39,6649196,1,tablespoon,cider vinegar
40,6649196,½,teaspoon,salt
41,6649196,½,teaspoon,pepper
42,6602254,3,,"tart apples - peeled, cored and chopped"
43,6602254,1,tablespoon,lemon juice
44,6602254,1,cup,seedless grapes
45,6602254,2,stalks,"celery, chopped"
46,6602254,2,,"green onions, chopped"
47,6602254,2,tablespoons,mayonnaise
48,6602254,2,tablespoons,plain yogurt
49,6602254,3,tablespoons,apple juice
50,6602254,¼,teaspoon,celery seed
51,6602254,1,bunch,"watercress, trimmed and chopped"
52,6602254,2,tablespoons,chopped walnuts
53,6663797,2,,"Granny Smith apples, cored and diced"
54,6663797,1,,"Red Delicious apple, cored and diced"
55,6663797,1,,"Asian pear, cored and cubed"
56,6663797,1,stalk,"celery, diced"
57,6663797,½,cup,sliced almonds
58,6663797,1,cup,golden raisins
59,6663797,1,cup,"seedless green grapes, halved"
60,6663797,1 ½,cups,sweetened dried cranberries
61,6663797,1 ¼,cups,plain yogurt
62,6663797,¼,cup,white sugar
63,6663797,⅓,cup,brown sugar
64,6663797,¾,cup,mayonnaise
65,6663797,3,tablespoons,lemon juice
66,6663797,½,teaspoon,ground cinnamon
67,6596372,¼,cup,plain yogurt
68,6596372,1 ½,teaspoons,brown sugar
69,6596372,1,,"pear, diced"
70,6596372,1,,"apple, diced"
71,6596372,1,cup,sliced celery (Optional)
72,6596372,½,cup,raisins
73,6596372,¼,cup,dried cranberries
74,6596372,2,tablespoons,chopped walnuts
75,6596372,1,dash,ground cinnamon (Optional)
76,6596372,1,dash,ground nutmeg (Optional)
77,6590081,2,cups,"red leaf lettuce, rinsed, dried and torn"
78,6590081,2,tablespoons,raspberry walnut vinaigrette
79,6590081,½,cup,"seedless red grapes, halved"
80,6590081,2,tablespoons,crumbled goat cheese
81,6590081,2,tablespoons,chopped pecans
82,6598023,6,cups,diced apples
83,6598023,1,cup,chopped celery
84,6598023,1,cup,chopped pecans
85,6598023,1,cup,mayonnaise
86,6598023,6,tablespoons,white sugar
87,6598023,1,teaspoon,lemon juice
88,6598023,¼,teaspoon,ground cinnamon
89,6598023,1,cup,heavy whipping cream
90,6596974,1,,"Granny Smith apple, cubed"
91,6596974,1,,"Golden Delicious apple, cubed"
92,6596974,1,,"Gala apple, cubed"
93,6596974,1,,"Bosc pear, cubed"
94,6596974,3,ribs,"celery, chopped"
95,6596974,¾,cup,sweetened dried cranberries
96,6596974,½,cup,chopped walnuts
97,6596974,¼,cup,chopped pecans
98,6596974,1,cup,sour cream
99,6596974,¾,cup,mayonnaise
100,6596974,1,tablespoon,granulated cane sugar
101,6596974,2,teaspoons,fresh lemon juice (Optional)
102,6594668,¼,head,"savoy cabbage, thinly sliced"
103,6594668,4,,"apples, cored and diced with peel"
104,6594668,½,cup,finely chopped walnuts
105,6594668,6,stalks,"celery, diced"
106,6594668,⅓,cup,mayonnaise
107,6594668,1,tablespoon,white sugar
108,6594668,½,teaspoon,salt
109,6738581,¾,cup,mayonnaise
110,6738581,¼,cup,creme fraiche
111,6738581,½,,"lemon, juiced"
112,6738581,1,tablespoon,finely chopped tarragon
113,6738581,½,teaspoon,white sugar
114,6738581,¼,teaspoon,salt
115,6738581,1,pinch,freshly ground black pepper
116,6738581,1,pinch,cayenne pepper
117,6581265,3,,"Granny Smith apples, cored"
118,6581265,3,,"Red Delicious apples, cored"
119,6581265,2,cups,mayonnaise
120,6581265,¼,cup,white sugar
121,6581265,3,tablespoons,lemon juice
122,6581265,3,tablespoons,orange juice
123,6581265,2,cups,whipped cream
124,6581265,6,stalks,"celery, finely diced"
125,6581265,1,cup,golden raisins
126,6586321,½,cup,mayonnaise
127,6586321,3,tablespoons,grated Parmesan cheese
128,6586321,2,tablespoons,cider vinegar
129,6586321,1,tablespoon,white sugar
130,6586321,1,teaspoon,curry powder
131,6586321,½,teaspoon,ground black pepper
132,6586321,2,cups,cubed cooked turkey
133,6586321,1,cup,halved red seedless grapes
134,6586321,1,,"apple, cored and chopped"
135,6586321,½,cup,chopped celery with leaves
136,6586321,½,cup,chopped red onion
137,6586321,½,cup,chopped walnuts
138,6592173,2,cups,"peeled, diced tart apples"
139,6592173,1,tablespoon,white sugar
140,6592173,1,teaspoon,lemon juice
141,6592173,1,pinch,salt
142,6592173,½,cup,chopped celery
143,6592173,½,cup,chopped pitted dates
144,6592173,½,cup,chopped walnuts
145,6592173,¼,cup,mayonnaise
146,6592173,½,cup,heavy cream
147,6592173,¼,cup,miniature marshmallows
148,6648600,2,,"red apples, diced"
149,6648600,2,,"yellow apples, diced"
150,6648600,1,tablespoon,"lemon juice, or more to taste"
151,6648600,1,(3 ounce) package,"Neufchatel cheese, softened"
152,6648600,¾,cup,whipped cream
153,6648600,¼,cup,brown sugar
154,6648600,¼,cup,mayonnaise (Optional)
155,6648600,1,teaspoon,vanilla extract
156,6648600,2,cups,"seedless green grapes, halved"
157,6648600,3,stalks,"celery, thinly sliced"
158,6648600,1 ½,cups,walnut halves
159,6648600,1,cup,sweetened dried cranberries (such as Craisins®)
160,6573981,3,ounces,plain Greek yogurt
161,6573981,1,teaspoon,apple cider vinegar
162,6573981,⅛,teaspoon,poppy seeds
163,6573981,2,teaspoons,maple pepper seasoning (such as Savory Spice Shop® Park Hill)
164,6573981,,,salt to taste
165,6573981,6,ounces,"chopped, cooked chicken"
166,6573981,½,cup,chopped Honeycrisp apple
167,6573981,¼,cup,chopped toasted walnuts
168,6573981,1,tablespoon,"milk, or as needed (Optional)"
169,6591669,8,,"apples, peeled and cut into bite-size pieces"
170,6591669,1 ½,,"lemons, juiced"
171,6591669,2,cups,chopped pecans
172,6591669,1,cup,"mayonnaise (such as Hellman's®), or more to taste"
173,6591669,1,cup,raisins
174,6591669,1,teaspoon,dried orange zest
175,6591669,1,teaspoon,vanilla extract
176,6591669,½,teaspoon,celery seed
177,6591669,¼,teaspoon,salt
178,6591669,1,pinch,"stevia powder, or to taste"
