,id_recipe,Step_Count,Step Description
0,7970816,1,"Preheat the air fryer to 390 degrees F (198 degrees C), if recommended by the manufacturer. Pat chicken thighs dry with paper towels."
1,7970816,2,"For sauce, combine onion powder, garlic powder, smoked paprika, salt, and pepper in a small bowl. Stir in  honey and Dijon mustard."
2,7970816,3,"Spray one side of chicken thighs with olive oil spray, and place oiled side down in the air fryer in a single layer. Brush the tops of the chicken thighs with the sauce."
3,7970816,4,Air fry at 390 degrees F (198 degrees C) for 8 minutes.
4,7970816,5,"Carefully turn chicken thighs, and brush with remaining sauce. Continue air frying until internal temperature of chicken reaches 165 degrees F (74 degrees C), when tested with an instant-read thermometer, 6 to 8 minutes more. Serve warm.This recipe was developed for a 5.3 quart, basket-style air fryer. Different sizes and models may yield different results."
5,7814346,1,"Stir flour, salt, and pepper together in a shallow bowl. Beat egg with a fork in a separate shallow bowl. Stir together Italian breadcrumbs, Panko breadcrumbs, and grated Parmesan in a third shallow bowl."
6,7814346,2,Line a baking sheet with parchment paper.
7,7814346,3,"Roll 1 heart of palm in seasoned flour, dip it in egg, then roll in seasoned bread crumbs. Place on the prepared baking sheet. Repeat with remaining hearts of palm."
8,7814346,4,Transfer the baking sheet to a freezer for 20 minutes.
9,7814346,5,"Meanwhile, preheat an air fryer to 400 degrees F (200 degrees C)."
10,7814346,6,"Spray hearts of palm sticks with olive oil and place in the basket of the preheated air fryer. Cook for 6 minutes. Roll sticks over and cook until coating is crisp, about 6 minutes more. Serve immediately."
11,7560981,1,Preheat an air fryer to 400 degrees Fahrenheit (200 degrees C). Place frozen French fries in a large bowl.
12,7560981,2,Whisk olive oil and dry ranch salad mix in a separate small bowl until smooth. Pour olive oil mixture over the fries and toss to coat. Add bacon bits and salt. Toss again.
13,7560981,3,Place seasoned fries in the basket of the air fryer. Cook for 7 minutes. Shake the basket and cook 5 minutes more.
14,7560981,4,"Sprinkle shredded cheese over the fries. Cook 2 minutes. Using a spatula, transfer to a serving platter and serve immediately."
15,7509612,1,"Preheat air fryer to 320 degrees F (160 degrees C). Coat a 6-inch cake pan with cooking spray. Line bottom of pan with parchment paper; dust with 2 tablespoons flour, tapping out excess."
