,id_recipe,Step_Count,Step Description
0,6591564,1,"Toss eggplant with salt and place in a colander set over a bowl. Let sit, about 30 minutes. Rinse and pat dry.Dotdash Meredith Food Studios"
1,6591564,2,"Heat 2 tablespoons olive oil in a large skillet over medium heat. Add celery; cook, stirring often, until softened, about 4 minutes. Add onion and garlic; cook and stir until onion is soft and lightly golden, about 5 minutes. Transfer the mixture to a bowl using a slotted spoon.Dotdash Meredith Food Studios"
2,6591564,3,"Heat remaining 2 tablespoons olive oil in the skillet. Add eggplant and cook, stirring constantly, until lightly browned, 5 to 7 minutes.Dotdash Meredith Food Studios"
3,6591564,4,"Stir in celery mixture, tomatoes, olives, capers, tomato paste, and oregano. Bring to a boil; reduce heat to low and simmer uncovered until caponata is thickened, about 15 minutes.Dotdash Meredith Food Studios"
4,6591564,5,"Season caponata with vinegar, sugar, salt, and black pepper. Transfer to a serving bowl and garnish with parsley."
5,6663940,1,Gather all ingredients.Dotdash Meredith Food Studios
6,6663940,2,"Toss tomatoes, mozzarella cheese, olive oil, basil, salt, and pepper together in a bowl until well coated.Dotdash Meredith Food Studios"
7,6663940,3,Skewer one tomato and one piece of mozzarella cheese on each toothpick.
8,6595792,1,"Beat 2 eggs lightly in a large bowl. Stir in rice, Parmesan cheese, butter, cheese sprinkle, 1/2 teaspoon salt, and 1/4 teaspoon pepper; mix to combine. Cover and refrigerate the mixture for 20 minutes."
9,6595792,2,Preheat an air fryer to 370 degrees F (187 degrees C) according to manufacturer's instructions.
10,6595792,3,Roll mixture into 1 1/2-inch balls. Press a mozzarella cube into the center of each ball and reshape.
11,6595792,4,"Combine bread crumbs, Italian seasoning, salt, and pepper in a shallow dish. Beat remaining egg lightly in a second bowl. Dip each rice ball first into egg, then roll in the bread crumb mixture. Place rice balls in air fryer basket and spray with cooking spray."
12,6595792,5,Cook in the preheated air fryer for 6 minutes. Increase temperature to 400 degrees F (200 degrees C) and air fry for 3 more minutes.
13,6650734,1,Remove the flesh from the rind of the cantaloupe; wrap each piece of cantaloupe with a slice of prosciutto. Arrange on a platter and serve cold.
14,6648683,1,"Slice the tops off of the cherry peppers and carefully remove the seeds, keeping peppers whole. Wrap a cube of cheese with prosciutto, and stuff into a pepper. If there is still room inside the pepper, stuff in more prosciutto. Repeat with remaining peppers."
15,6648683,2,"Place all of the stuffed peppers into a 1 quart jar - or one that your peppers will all fit into, and sprinkle salt over them. Pour in enough olive oil to cover the peppers. Cover, and let stand for 1 hour before eating. Refrigerate leftovers."
16,6572394,1,"Thread a tomato half, a basil leaf, a mozzarella ball, and another tomato half onto a toothpick. Repeat with remaining ingredients."
17,6572394,2,Arrange toothpicks on a serving platter and season with salt and pepper.
18,6572394,3,Mix vinegar and oil together in a small bowl to serve as a dipping sauce.
