,id_recipe,Step_Count,Step Description
0,6648446,1,Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a small baking dish.
1,6648446,2,"Mix cream cheese, mayonnaise, Parmesan cheese, Romano cheese, garlic, basil, garlic salt, salt, and pepper together in a medium bowl. Gently stir in artichoke hearts and spinach."
2,6648446,3,"Transfer the mixture to the prepared baking dish; top with mozzarella cheese. Bake in the preheated oven until bubbly and lightly browned, about 25 minutes."
3,6563672,1,Preheat the oven to 375 degrees F (190 degrees C).
4,6563672,2,"Mix artichoke hearts, mayonnaise, and Parmesan cheese together in a bowl until well combined. Spread mixture in a 9x13-inch baking dish."
5,6563672,3,"Bake in the preheated oven until bubbly and golden brown, about 15 to 20 minutes."
6,6584600,1,Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 1-quart baking dish.
7,6584600,2,"Combine artichoke hearts, spinach, and mayonnaise in a bowl; mix in 2 cups Monterey Jack, then mix in Parmesan. Transfer to the prepared baking dish and sprinkle with remaining 1/2 cup Monterey Jack."
8,6584600,3,"Bake in the preheated oven until cheese is melted, about 15 minutes."
9,6738133,1,Preheat the oven to 350 degrees F (175 degrees C).
10,6738133,2,Place garlic in a small baking dish.
11,6738133,3,"Bake in the preheated oven until soft, 20 to 30 minutes. Allow to cool enough to handle, then squeeze out softened garlic cloves from skins into a large bowl."
12,6738133,4,"Add artichoke hearts, spinach, Alfredo-style pasta sauce, mozzarella cheese, cream cheese, and Parmesan cheese to garlic cloves in the bowl; mix until well combined. Spread into an 8x8-inch baking dish."
13,6738133,5,"Bake in the preheated oven until cheeses are melted and bubbly, about 30 minutes. Serve warm."
14,6604897,1,"Combine artichoke hearts, frozen spinach, cream cheese, sour cream, onion, chicken broth, garlic, salt, and chile flakes in a multi-functional pressure cooker (such as Instant Pot). Close and lock the lid. Select manual pressure according to manufacturer's instructions; set timer for 4 minutes. Allow 10 to 15 minutes for pressure to build."
15,6604897,2,"Release pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid. Whisk in Monterey Jack and Parmesan cheese until smooth; serve immediately."
16,6663167,1,"Blend onion and garlic in a food processor until finely chopped. Add artichoke hearts; process until chopped. Add spinach, Parmesan cheese, and vegetable soup mix; process until well incorporated. Transfer mixture to a nonmetallic bowl."
17,6663167,2,"Blend cream cheese, mayonnaise, and sour cream in the food processor until smooth; stir into artichoke mixture."
18,6664999,1,Preheat oven to 350 degrees F (175 degrees C).
19,6664999,2,"Combine cream cheese and mayonnaise in a large bowl until smooth; stir in garlic. Gently stir artichoke hearts, crab, Parmesan cheese, 1/3 cup green onion, 1/3 cup red bell pepper, and cayenne pepper into cream cheese mixture. Transfer the dip to a 9-inch pie dish and sprinkle top with bread crumbs."
20,6664999,3,"Bake in the preheated oven until crumb topping is golden brown and dip is hot, 20 to 30 minutes. Garnish with 2 teaspoons green onion and 2 teaspoons chopped red bell pepper."
21,6738403,1,Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13 inch baking dish.
22,6738403,2,"In a blender or food processor, place artichoke hearts, Romano cheese, Parmesan cheese and garlic . Pulse until chopped, but not ground. Set aside."
23,6738403,3,"In a medium bowl, mix together spinach, heavy cream, sour cream and mozzarella cheese. Stir in artichoke mixture. Spoon into prepared baking dish."
24,6738403,4,"Bake in the preheated oven for 20 to 25 minutes, or until cheese is melted and bubbly."
25,6562119,1,Preheat oven to 400 degrees F (200 degrees C).
26,6562119,2,"In a medium-sized mixing bowl, stir together mayonnaise, sour cream, Parmesan cheese and onion. When these ingredients are combined, mix in artichoke hearts, lemon juice, salt and pepper. Transfer mixture to a shallow baking dish."
27,6562119,3,"Bake at 400 degrees F (200 degrees C) for 20 minutes, or until light brown on top."
28,6737708,1,Preheat oven to 350 degrees F (175 degrees C).
29,6737708,2,"Mix together the cream cheese and mayonnaise in a bowl until smooth. Stir in the green chiles, Parmesan cheese, artichokes, peppers, and spinach. Spoon the mixture into a baking dish."
30,6737708,3,"Bake in preheated oven until slightly browned, about 30 minutes."
31,6738685,1,Preheat oven to 400 degrees F (200 degrees C).
32,6738685,2,"Melt butter in a saucepan over medium-low heat; stir in onions and pinch of salt. Cook, stirring occasionally, until onions are soft, about 5 minutes. Stir garlic into onions and remove from heat."
33,6738685,3,"Mix green onion mixture, spinach, artichoke hearts, cream cheese, Gruyere, Parmigiano-Reggiano, hot sauce, nutmeg, salt, and pepper in a large bowl until combined."
34,6738685,4,Spoon artichoke mixture into two ramekins. Top each with shredded mozzarella cheese.
35,6738685,5,"Bake in the preheated oven until tops are golden brown and bubbling, about 25 minutes."
36,6577781,1,"Combine artichokes, spinach, cream cheese, mozzarella cheese, Parmesan cheese, milk, salt, and pepper in the bottom of a slow cooker."
37,6577781,2,"Cover and cook on High, stirring occasionally to combine, for 2 hours."
38,6597167,1,"Melt butter in a large saucepan over medium heat. Stir in the spinach and artichoke hearts. Cook until tender, about 5 minutes."
39,6597167,2,"Mix cream cheese and sour cream into the spinach mixture. Stir in Parmesan cheese and garlic salt. Cook, stirring occasionally, until thickened, 10 to 15 minutes. Serve warm."
40,6603595,1,Preheat oven to 375 degrees F (190 degrees C).
41,6603595,2,"In a small baking dish, mix together artichoke hearts, spinach, sour cream, mayonnaise, cream cheese, Romano cheese, and garlic. Cover dish."
42,6603595,3,"Bake until heated through and bubbly, about 25 minutes."
43,6562432,1,Preheat the oven to 350 degrees F (175 degrees C). Spray a baking dish with cooking spray.
44,6562432,2,Place thawed spinach in a kitchen towel; wrap tightly to squeeze out excess water until spinach is just damp. Set aside.
45,6562432,3,"Mix cream cheese, sour cream, onion powder, salt, and pepper together in a large bowl until smooth and creamy. Add artichoke hearts, drained spinach, hot sauce, and garlic; mix well. Add 1 cup mozzarella cheese and 1/4 cup Parmesan cheese; mix well. Pour into the prepared baking dish and sprinkle with extra cheese if you like a crispy, bubbly cheese layer on top."
46,6562432,4,"Bake in the preheated oven until bubbly and slightly browned on top, about 30 minutes."
47,6578436,1,Preheat oven to 375 degrees F (190 degrees C).
48,6578436,2,"In a medium bowl, mix artichoke hearts, marinated artichoke hearts, green chile peppers, mayonnaise, Parmesan cheese and mozzarella cheese."
49,6578436,3,"Spread the mixture in a small baking dish. Bake in the preheated oven 30 minutes, until lightly browned and bubbly."
50,6581575,1,"Mix the mayonnaise and garlic together in a small bowl. Add the lemon juice and basil; whisk until thoroughly combined. Beat the Worcestershire sauce into the mixture. Serve immediately, or chill until serving."
51,6604471,1,"Blend artichoke hearts, Parmesan cheese, mayonnaise, sour cream, and garlic in a blender until smooth; transfer to a serving bowl. Stir lemon juice, salt, and pepper into the dip."
52,6738020,1,Preheat the oven to 400 degrees F (200 degrees C).
53,6738020,2,"Cook bacon in a large, deep skillet over medium-high heat until browned and crispy, 5 to 7 minutes. Drain on paper towels and crumble when cool enough to handle."
54,6738020,3,"Combine artichoke hearts, spinach, Parmesan, sour cream, cheese spread, and mayonnaise in a mixing bowl. Add crumbled bacon and mix thoroughly. Spread mixture into a 7x11-inch baking dish."
55,6738020,4,"Bake in the preheated oven until bubbly and lightly browned, about 20 minutes."
56,6587282,1,Preheat the oven to 350 degrees F (175 degrees C).
57,6587282,2,"In a medium bowl, mix artichoke hearts, mayonnaise, 1 cup Parmesan cheese, cream cheese, and green chile peppers. Scoop mixture into a pie pan or medium baking pan. Top with remaining 1/2 cup of Parmesan cheese."
58,6587282,3,Bake for 25 minutes or until bubbly and slightly browned. Serve warm.
59,6573179,1,Preheat the oven to 350 degrees F (175 degrees C).
60,6573179,2,"Mix artichoke hearts, Cheddar, Parmesan, shrimp, mayonnaise, green onions, and garlic salt together in a medium baking dish. Sprinkle paprika over top."
61,6573179,3,"Bake in the preheated oven until lightly browned and bubbly, about 20 minutes."
62,6591819,1,Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a 7x11-inch baking dish.
63,6591819,2,"In a medium bowl, mix together cream cheese and mayonnaise until smooth. Mix in artichoke hearts, spinach, and Parmesan cheese. Season with garlic and lemon juice. Spread evenly into the prepared baking dish."
64,6591819,3,"Bake covered for 20 minutes. Remove the cover, and let the dish bake uncovered for 5 more minutes or until the surface is lightly browned."
65,6578702,1,Preheat the oven to 400 degrees F (200 degrees C).
66,6578702,2,"Place artichoke hearts in a food processor and process until smooth. Process cream cheese, Parmesan cheese, mayonnaise, garlic, and dill with artichoke hearts until the mixture is smooth and well blended. Transfer to a 9-inch pie pan."
67,6578702,3,"Bake in the preheated oven until bubbly and lightly brown, 10 to 15 minutes."
68,6606085,1,Preheat the oven to 350 degrees F (175 degrees C).
69,6606085,2,"In a large bowl, thoroughly mix mayonnaise, Parmesan, artichoke hearts, mozzarella, and garlic powder; transfer to an 8-inch square baking dish."
70,6606085,3,"Bake in the preheated oven for 30 minutes, or until the surface is lightly browned and bubbly. Sprinkle with paprika and serve warm."
71,6573335,1,Preheat oven to 375 degrees F (190 degrees C).
72,6573335,2,"Mix artichoke hearts, spinach, water chestnuts, sour cream, mayonnaise, cream cheese, Romano cheese, and garlic together in a small baking dish. Cover dish with aluminum foil."
73,6573335,3,"Bake in the preheated oven until cooked through and bubbling, about 25 minutes."
74,6570358,1,Preheat the oven to 350 degrees F (175 degrees C).
75,6570358,2,"Mix artichoke hearts, cream cheese spread, spinach, flour, garlic salt, thyme, and red pepper flakes together in a large bowl."
76,6570358,3,Coat a large nonstick baking pan with cooking spray; fill pan with the artichoke mixture.
77,6570358,4,"Bake in the preheated oven until center is hot and dip is bubbling, about 25 minutes."
78,6570358,5,Sprinkle the top of the dip with Parmesan-style cheese.
79,6588244,1,Preheat oven to 350 degrees F (175 degrees C).
80,6588244,2,"In a medium bowl, blend chicken, artichoke, Italian-style dressing mix, sour cream, mayonnaise, 1/2 cup Havarti, and Parmesan. Transfer to a small baking dish. Top with remaining Havarti and almonds."
81,6588244,3,"Bake 25 minutes in the preheated oven, or until bubbly and lightly browned."
82,6595769,1,Preheat oven to 350 degrees F (175 degrees C).
83,6595769,2,"Combine the artichoke hearts, mayonnaise, cheese and green chilies. Mix well and pour into a 2 quart casserole dish."
84,6595769,3,Bake for 20 to 25 minutes or until lightly browned. Garnish with chopped green onions and chopped tomato if desired.
85,6596625,1,Preheat oven to 350 degrees F (175 degrees C).
86,6596625,2,"Thoroughly mix artichoke hearts, Alfredo sauce, spinach, Parmesan-Romano cheese, cream cheese, mozzarella cheese, garlic, and black pepper in a bowl; spread into an 8-inch square baking dish."
87,6596625,3,"Bake in preheated oven until cheeses are bubbling and melted, 25 to 30 minutes."
88,6597535,1,Preheat oven to 350 degrees F (175 degrees C).
