,id_recipe,Step_Count,Step Description
0,7494546,1,Cut beef and pork into very tiny cubes; season with about half of adobo seasoning and cumin.
1,7494546,2,"Using a food processor, chop onions and garlic, set aside. Chop red pepper, orange pepper, yellow pepper, onions, garlic, green olives, pickled vegetables, capers, and cilantro in a food processor; place together in a bowl. You may have to chop vegetables in batches."
2,7494546,3,"Heat oil in a very large pot over high heat, add onions and garlic and cook for 5 minutes, stirring occasionally."
3,7494546,4,"Add chopped red pepper, orange pepper, yellow pepper, olives, pickled vegetables, capers, and cilantro, and cook for 5 minutes, stirring occasionally."
4,7494546,5,"Pour in wine; cook for 5 minutes, stirring occasionally. Add beef and pork and stir well to combine. Stir in chicken broth; season to taste with salt."
5,7494546,6,"Bring mix to a rolling boil; turn heat down to medium-low. Cover; simmer until well reduced, stirring occasionally, about 5 hours. After the first 2 hours, taste and add remaining cumin and adobo seasoning as needed."
6,6664604,1,Gather ingredients.
7,6664604,2,Place meat in slow cooker.
8,6664604,3,"Mix flour, salt, and pepper together in a small bowl. Pour over meat, and stir until meat is coated."
9,6664604,4,"Add beef broth, carrots, potatoes, onion, celery, Worcestershire sauce, paprika, garlic, and bay leave; stir to combine."
10,6664604,5,"Cover, and cook until beef is tender enough to cut with a spoon, on Low for 8 to 12 hours, or on High for 4 to 6 hours."
11,6664604,6,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
12,6568739,1,"Place potatoes, carrots, onion, and garlic into a slow cooker."
13,6568739,2,"Heat olive oil in a skillet over medium heat. Add beef; cook and stir until evenly browned, about 10 minutes. Transfer beef to the slow cooker with vegetables."
14,6568739,3,"Pour 1/4 cup beer into the same skillet and bring to a boil while scraping the browned bits of beef off of the bottom of the skillet with a wooden spoon. Stir in tomato paste; cook until thickened, about 5 minutes. Pour mixture into the slow cooker."
15,6568739,4,"Pour remaining beer, beef broth, garlic powder, onion powder, paprika, salt, and pepper into the slow cooker."
16,6568739,5,"Cook on Low until potatoes and carrots are easily pierced with a fork, about 8 hours, or on High for 3 to 4 hours."
17,6650895,1,"Cook and stir bacon in a heavy skillet over medium-high heat until bacon is browned and crisp, 3 to 4 minutes. Turn off the heat and transfer bacon into a large stew pot, reserving bacon fat in the skillet."
18,6650895,2,"Season beef chuck cubes generously with 1 teaspoon salt and black pepper to taste. Turn heat to high under the skillet and sear beef pieces in the hot fat on both sides until browned, about 5 minutes. Place beef in the stew pot with bacon, leaving fat in the skillet. Turn heat down to medium; cook and stir onions in the retained fat in the skillet until lightly browned, 5 to 8 minutes; season with a large pinch of salt."
19,6650895,3,"Cook garlic with onions until soft, about 1 minute. Pour beer into the skillet and stir with a wooden spoon, scraping up and dissolving any browned bits of food into the liquid. Pour cooking liquid from the skillet into the stew pot. Stir in tomato paste, carrots, celery, thyme sprigs, sugar, 1/2 teaspoon black pepper, and enough chicken broth to cover."
20,6650895,4,"Bring stew to a gentle simmer, stirring to combine; reduce heat to low and cover pot. Simmer stew until beef is fork-tender, about 2 hours. Stir stew occasionally and skim fat or foam if desired."
21,6650895,5,"Remove cover and raise heat to medium-high. Bring stew to a low boil and cook until stew has slightly thickened, 15 to 20 minutes. Remove and discard thyme sprigs and adjust salt and pepper to taste."
22,6650895,6,Arrange mashed potatoes in a ring in a serving bowl; ladle stew into the center of the potatoes.
23,6648264,1,Heat oil in a large pot or Dutch oven over medium-high heat; add beef and cook until well browned.
24,6648264,2,"Dissolve bouillon in 4 cups water and pour into the pot; stir in rosemary, parsley, and pepper. Bring to a boil; reduce heat to low, cover, and simmer for 1 hour. Stir in potatoes, carrots, celery, and onion."
25,6648264,3,"Dissolve cornstarch in 2 teaspoons of cold water; stir into stew. Cover and simmer until beef is tender, about 1 hour.humblepieliving"
26,6664066,1,"Heat olive oil in a large pot over medium-low heat. Add onion, garlic, cilantro, white pepper, oregano, and salt. Cook and stir until onion is browned and very tender, about 20 minutes. Add stew meat; cook and stir until meat is browned on all sides, 5 to 7 minutes."
27,6664066,2,Pour enough water over meat mixture to fill the pot 3/4 full. Add tomato sauce and beef bouillon.
28,6664066,3,"Stir in the remaining ingredients, one at a time, cooking slightly after each addition in the following order: green beans, carrots, celery, chayote squash, white beans, cabbage, green banana, yellow plantain, llautias, potatoes, pumpkin, corn, and green bell pepper."
29,6664066,4,"Cook until all the vegetables are tender and stew has formed a rich broth, 2 to 3 hours. Add more water or salt if needed."
30,6578560,1,Gather all ingredients.Dotdash Meredith Food Studios
31,6578560,2,"Turn on a multi-functional pressure cooker (such as Instant Pot) and select the Sauté function. Melt butter in the pot. Cook beef chuck cubes in batches until browned on all sides, about 5 minutes per batch.Dotdash Meredith Food Studios"
32,6578560,3,"Return all beef chuck cubes to the pot. Add potatoes, mushrooms, onion, carrots, and garlic; cover with beef broth. Stir in Worcestershire sauce, tomato paste, salt, pepper, and rosemary.Dotdash Meredith Food Studios"
33,6578560,4,"Close and lock the lid. Select Meat/Stew function, according to the manufacturer's instructions; set the timer for 35 minutes. Allow 10 to 15 minutes for pressure to build."
34,6578560,5,"Release pressure using the natural-release method, according to the manufacturer's instructions, 10 to 40 minutes. Unlock and remove the lid."
35,6579133,1,"Heat 2 tablespoons oil in a large pot over medium-high heat. Add onion; cook and stir until deep golden brown, 10 to 15 minutes. Stir in turmeric for 1 to 2 minutes.Dotdash Meredith Food Studios"
36,6579133,2,"Add chuck cubes; cook until coated in turmeric and browned on all sides, 8 to 10 minutes.Dotdash Meredith Food Studios"
37,6579133,3,"Heat remaining 2 tablespoons oil in a separate pot over medium heat. Add spinach, green onions, parsley, cilantro, chives, and fenugreek leaves; cook and stir until deep dark green in color, 5 to 10 minutes.Dotdash Meredith Food Studios"
38,6579133,4,"Stir spinach mixture into onion and chuck mixture. Pour in enough water to create a slurry consistency. Season with salt and pepper. Stir in lemon juice. Reduce heat, cover, and simmer stew until greens soften, about 1 hour.Dotdash Meredith Food Studios"
39,6579133,5,Pierce dried limes with a fork; add to stew.Dotdash Meredith Food Studios
40,6579133,6,"Continue simmering until chuck is tender, 30 minutes to 1 hour. Stir in red kidney beans. Cook until flavors combine, about 30 more minutes.Dotdash Meredith Food Studios"
41,6579133,7,Discard dried limes before serving.Dotdash Meredith Food Studios
42,6585605,1,"Heat oil in a large skillet over medium-high heat. Sear oxtail for 4 minutes. Flip and continue cooking until browned on all sides, about 4 minutes. Transfer oxtail to a slow cooker."
43,6585605,2,"Add potatoes, carrots, celery, onion, tomato sauce, beef broth, red wine, parsley, Worcestershire sauce, thyme, and paprika."
44,6585605,3,Cook on Low for 7 hours. Add mushrooms and peas. Cook for 1 additional hour.
45,6585605,4,Ladle into bowls and season with salt and pepper.
46,6585400,1,"Heat oil in the bottom of a pressure cooker over medium-high heat. (If the cooker has an insert, remove it, and cook directly in the bottom of the pot.) Add beef and onion; cook until beef is browned on the outside."
47,6585400,2,"Stir in 2 cups water, carrots, and bouillon cubes. Close the lid and secure the pressure regulator. Heat until mixture sizzles, then reduce heat to medium and set the timer for 20 minutes. If you have an adjustable pressure regulator, set it for 10 pounds of pressure."
48,6585400,3,"Meanwhile, place potatoes in a saucepan with enough water to cover. Bring to a boil and cook until tender, about 10 minutes. Drain."
49,6585400,4,"Let pressure release naturally according to manufacturer's instructions, 5 to 10 minutes. (Mine must sit under cold running water for 5 minutes until the lid can be released.)"
50,6585400,5,"Remove the lid and place the pot over medium heat. Bring to a boil. Stir cornstarch into a small amount of cold water in a small bowl to make a slurry. Stir slurry into stew; cook until thickened, 2 to 3 minutes. Add potatoes to stew or place in serving dishes and ladle stew over them."
51,6603781,1,"Heat a large skillet over medium-high heat. Cook and stir ground beef, onion, and garlic in the hot skillet until beef is browned and crumbly and onion is translucent, 5 to 7 minutes. Drain and discard grease."
52,6603781,2,"Stir in 4 cups water, tomato sauce, beef base, Worcestershire sauce, pepper, celery salt, and marjoram; bring to a simmer. Add carrots and continue to simmer until tender, about 35 minutes. Add potatoes and green beans, simmer until tender, about 15 minutes."
53,6603781,3,"Mix flour and 2 tablespoons water together in a small bowl until no lumps remain; add more water if necessary. Stir mixture into stew; simmer until stew has thickened, 5 to 10 minutes."
54,6598654,1,"Cook and stir stew meat in a large saucepan or Dutch oven over medium heat until browned on all sides, 10 to 15 minutes. Drain any excess grease."
55,6598654,2,"Stir beef bouillon into beef broth in a bowl until dissolved; pour over stew meat. Add onion, black pepper, and bay leaf; cover and simmer until stew meat is very tender, at least 2 hours."
56,6598654,3,"Add cabbage, potatoes, celery, and carrot; cover and simmer until potatoes are tender, 30 to 45 more minutes."
57,6598654,4,"Stir tomato sauce and salt into the stew; simmer, uncovered, until tomato sauce is fully incorporated and flavors have blended, 15 to 20 minutes."
58,6581115,1,"Prepare the stew: Heat oil in a large heavy pot or Dutch oven over medium-high heat until oil is shimmering. Add in beef and onion. Sprinkle with 1 teaspoon steak seasoning. Stir meat and onions well and sprinkle with remaining 1 teaspoon steak seasoning. Add celery; cook and stir until meat is browned, about 10 minutes."
59,6581115,2,"Pour in 2 cups water, or as needed to just cover meat, onion, and celery. Bring to a boil and stir and scrape browned bits of flavor from the bottom of the pan. Cover, reduce heat, and simmer until the beef is very tender, about 2 hours."
60,6581115,3,Remove meat and celery pieces from the pan. Set meat aside and discard celery.
61,6581115,4,"Whisk together gravy mix with 4 cups water in a bowl. Add gravy mixture to the juices in the pot, bring to a boil, and stir meat back into the gravy mixture."
62,6581115,5,"Stir in carrots and turnip, cover, and simmer for 20 minutes. Stir in potatoes, cover, and simmer for an additional 20 minutes."
63,6581115,6,"Make the dumplings: Mix flour, baking powder, and salt in a bowl. Cut shortening into flour mixture with a pastry cutter or two knives until the mixture looks crumbly. Pour in milk and lightly stir the mixture just until it combines to form a dough."
64,6581115,7,"Remove 2 cups of gravy from the pot and reserve. Drop dumplings by heaping tablespoon onto the meat and vegetables in the pot, cover, and simmer for 20 minutes (do not peek until the time is up)."
65,6581115,8,"Pour reserved gravy back over the dumplings, stir lightly, and serve."
66,6663935,1,Gather all ingredients.Dotdash Meredith Food Studios
67,6663935,2,"Heat oil in a large pot over medium-high heat. Add beef and cook until browned on all sides, about 10 minutes; remove meat and set aside.Dotdash Meredith Food Studios"
68,6663935,3,"Add onion and tomato paste to the same pot; cook and stir until onion is tender, about 5 minutes.Dotdash Meredith Food Studios"
69,6663935,4,"Return beef to the pot; stir in beef broth. Reduce heat to low, cover, and simmer until meat is tender, about 1 to 1 1/2 hours.Dotdash Meredith Food Studios"
70,6663935,5,"Add potatoes, carrots, thyme, crushed red pepper flakes, rosemary, and bay leaf; simmer, covered, for 45 minutes, adding some water if stew gets too thick.Dotdash Meredith Food Studios"
71,6663935,6,"Add mushrooms and peas; cook and stir until heated through, about 10 to 15 minutes.Dotdash Meredith Food Studios"
72,6663935,7,Remove rosemary sprig and bay leaf before serving. Enjoy!Dotdash Meredith Food Studios
73,6601586,1,Gather all ingredients.Dotdash Meredith Food Studios
74,6601586,2,"Place chiles and 3 cups water into a medium stockpot, and bring to a boil. Remove from heat and steep for 30 minutes to soften.Dotdash Meredith Food Studios"
75,6601586,3,"Strain into a bowl, reserving the cooking liquid.Dotdash Meredith Food Studios"
76,6601586,4,"Place chiles and some of the liquid into a blender, and purée until smooth. Add more liquid as necessary to form a smooth sauce.Dotdash Meredith Food Studios"
77,6601586,5,Pass sauce through a fine mesh strainer to remove any seeds or tough skins; set aside.Dotdash Meredith Food Studios
78,6601586,6,"Cut beef into 1- to 2-inch chunks. Combine flour, salt, and pepper in a medium bowl. Dredge beef chunks in the seasoned flour; set aside.Dotdash Meredith Food Studios"
79,6601586,7,"Heat olive oil in a large pot over medium heat. Sauté onion until tender and translucent, about 5 minutes.Dotdash Meredith Food Studios"
80,6601586,8,"Add beef chunks a few at a time, so as not to overcrowd the pot, and cook until evenly brown. Remove seared meat, and continue browning the remaining meat. Return reserved seared meat to the pot.Dotdash Meredith Food Studios"
81,6601586,9,"Stir in puréed chile mixture. Add beef stock just to cover beef chunks, or to personal preference. Bring to a boil over medium heat. Reduce heat to lowest setting, and simmer for 3 hours, or until meat is tender. If necessary, adjust with more stock during cooking.Dotdash Meredith Food Studios"
82,6571695,1,Gather all ingredients and preheat the oven to 350 degrees F (175 degrees C).Dotdash Meredith Food Studios
83,6571695,2,Season beef with salt and pepper in a large bowl. Add flour and paprika and toss until evenly coated.Dotdash Meredith Food Studios
84,6571695,3,"Heat oil in an oven-safe Dutch oven over medium-high heat. Working in batches, sear beef cubes, stirring occasionally, until well-browned, 10 to 11 minutes per batch. Transfer beef to a plate and leave drippings in the pan.Dotdash Meredith Food Studios"
