,id_recipe,Step_Count,Step Description
0,6665025,1,Gather all ingredients.Dotdash Meredith Food Studios
1,6665025,2,Sauté ground beef in a large skillet over medium heat until browned and crumbly; 5 to 10 minutes.Dotdash Meredith Food Studios
2,6665025,3,"At the same time, fill a large pot with lightly salted water and bring to a rapid boil. Cook egg noodles at a boil until tender yet firm to the bite, 7 to 9 minutes. Drain and set aside."
3,6665025,4,"Drain and discard any fat from the cooked beef. Stir condensed soup and garlic powder into the beef. Simmer for 10 minutes, stirring occasionally.Dotdash Meredith Food Studios"
4,6665025,5,Remove beef from the heat. Add egg noodles and stir to combine. Stir in sour cream and season with salt and pepper.Dotdash Meredith Food Studios
5,6665025,6,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
6,6648625,1,Turn on a multi-functional pressure cooker (such as an Instant Pot) and select Sauté function. Heat oil for 1 minute.
7,6648625,2,"Add onion and 1/2 teaspoon salt to pot; cook and stir until onion begins to soften, 3 to 4 minutes."
8,6648625,3,"Sprinkle beef with 1 teaspoon salt and the pepper. Add to the pot. Cook and stir until beef is evenly browned, about 2 minutes."
9,6648625,4,"Add garlic and thyme; cook until fragrant, about 30 seconds."
10,6648625,5,Pour in soy sauce. Stir mushrooms into the pot. Stir in flour until incorporated. Stir in chicken broth and remaining 1/2 teaspoon salt.
11,6648625,6,Close and lock the lid. Set to high pressure according to manufacturer's instructions for 10 minutes. Allow 10 to 15 minutes for pressure to build.
12,6648625,7,Release pressure carefully using the quick-release method.
13,6648625,8,Open pot; stir in egg noodles. Close and lock the lid. Set to high pressure according to manufacturer's instructions for 5 minutes.
14,6648625,9,Release pressure naturally for 5 minutes according to manufacturer's instruction. Release remaining pressure using the quick-release method.
15,6648625,10,Open pressure cooker; stir in sour cream.
16,6663502,1,"Combine beef, soup, onion, water, and Worcestershire sauce in a slow cooker.Dotdash Meredith Food Studios"
17,6663502,2,Cook on Low for 8 hours or High for 5 hours. Stir in cream cheese just before serving.Dotdash Meredith Food StudiosDotdash Meredith Food Studios
18,6663502,3,Serve over noodles.DOTDASH MEREDITH FOOD STUDIOS
19,7970457,1,Preheat the oven to 400 degrees F (200 degrees C). Scrub potatoes and dry with a clean towel. Oil potato skins with olive oil and sprinkle with sea salt.
20,7970457,2,"Bake directly on a rack in the center of the preheated oven until tender when pierced with a fork, about 55 minutes.Begin to prepare the remaining ingredients after potatoes go into the oven. After potatoes have been in the oven for about 25 minutes, begin cooking the stroganoff sauce."
