,id_recipe,Step_Count,Step Description
0,6650358,1,Gather all ingredients.Dotdash Meredith Food Studios
1,6650358,2,Pour salt onto a small plate. Moisten the rim of a glass and press into the salt. Fill the glass with ice cubes.Dotdash Meredith Food Studios
2,6650358,3,"Fill a cocktail shaker with ice cubes; add vegetable juice cocktail, vodka, Worcestershire sauce, hot pepper sauce, salt, and pepper. Cover and shake until the outside of shaker has frosted, about 20 seconds.Dotdash Meredith Food Studios"
3,6650358,4,Strain Bloody Mary into the prepared glass. Garnish with celery stalk and olives.Dotdash Meredith Food Studios
4,6650358,5,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
5,6590089,1,Gather ingredients.Dotdash Meredith Food Studios
6,6590089,2,Wet the rim of a cocktail glass with lime wedge; set lime wedge aside for garnish.
7,6590089,3,Place celery salt in a small dish; press the rim of the glass into salt to coat. Add ice to the glass.Dotdash Meredith Food Studios
8,6590089,4,"Pour vodka, Worcestershire sauce, and hot pepper sauce over ice.Dotdash Meredith Food Studios"
9,6590089,5,Top with tomato-clam juice.Dotdash Meredith Food Studios
10,6590089,6,Garnish with lime wedge and celery stick. Serve with a straw.Dotdash Meredith Food Studios
11,6736958,1,Fill a pint glass or goblet with 1 1/2 cups ice. Set aside.
12,6736958,2,"Combine tomato juice, vodka, lemon juice, hot pepper sauce, Worcestershire sauce, salt, black pepper, and 1 cup ice in a mixing glass. Stir until chilled and strain into ice-filled pint glass or goblet."
13,6736958,3,Garnish with a celery stalk.
14,6562847,1,"Place ice cubes into a cocktail shaker, and pour in tomato juice, gin, lemon juice, hot sauce, and Worcestershire sauce. Season with chili powder, garlic powder, cumin, celery salt, pepper, and horseradish. Cover and shake until the outside of the shaker has frosted. Pour contents (including ice) into a 12 ounce highball glass. Garnish with celery, pickle, olives, and lemon wedge before serving."
15,6588545,1,"Mix the tomato juice, beef consomme, Worcestershire sauce, lemon juice, hot pepper sauce, celery salt, and black pepper together in a pitcher; chill."
16,6563114,1,"Stir tomato juice, lime juice, pickled jalapeno pepper juice, vinegar, white sugar, Worcestershire sauce, horseradish, salt, pepper, cloves, onion powder, and garlic powder in a 2-quart pitcher."
17,6595407,1,"Rim a glass with lime, kosher salt and chili powder."
18,6595407,2,"Fill the glass with ice and add ingredients. Mix the ingredients thoroughly, then garnish with a fresh celery stick and lime wedge and enjoy!"
19,6561957,1,Grind chile de arbol peppers into a powder with a mortar and pestle.
20,6561957,2,"Process tomatoes, onions, green bell peppers, carrots, jalapeno pepper, and garlic in a food processor, working in batches, until vegetables are finely chopped. Transfer vegetables to a large pot."
21,6561957,3,"Stir tomato sauce, vinegar, horseradish, ground chile de arbol peppers, kosher salt, Worcestershire sauce, black pepper, bay leaves, celery seed, seafood seasoning, and hot pepper sauce into the vegetables. Bring mixture to a boil, reduce heat, and simmer until vegetables are tender, about 30 minutes, stirring regularly. Remove bay leaves."
22,6561957,4,"Process the mixture through a vegetable juicer, working in batches if necessary. Strain excess pulp from the juice if desired. Pour juice into a large pot, set over medium heat, and heat until juice is nearly boiling. Stir in lemon juice."
23,6561957,5,"Sterilize jars and lids in boiling water for at least 5 minutes. Pack the bloody mary mix into the hot, sterilized jars, filling the jars to within 1/4 inch of the top. Run a knife or a thin spatula around the insides of the jars after they have been filled to remove any air bubbles. Wipe the rims of the jars with a moist paper towel to remove any food residue. Top with lids, and screw on rings."
24,6561957,6,"Place a rack in the bottom of a large stockpot or canning kettle and fill halfway with water. Bring to a boil and lower jars into the boiling water using a holder. Leave a 2-inch space between the jars. Pour in more boiling water if necessary to bring the water level to at least 1 inch above the tops of the jars. Bring the water to a rolling boil, cover the pot, and process for 40 minutes."
25,6561957,7,"Remove the jars from the pot and place onto a cloth-covered or wood surface, several inches apart, until cool. Once cool, press the top of each lid with a finger, ensuring that the seal is tight (lid does not move up or down at all). Store in a cool, dark area."
26,6594870,1,"Fill a large tumbler with ice cubes. Pour in vodka, then add olives and brine. Season with celery salt, pepper, Worcestershire sauce, and hot pepper sauce. Top with tomato and clam juice cocktail. Stir with celery stalk and leave in as a garnish. Sprinkle with additional celery salt before serving."
27,6561568,1,"Pour the tomato juice, hot sauce, Worcestershire sauce, dill, seafood seasoning, celery salt, and vodka into a cocktail shaker over ice. Cover, and shake until the outside of the shaker has frosted. Strain into ice-filled glasses, and garnish with cornichons to serve."
28,6576284,1,"Pour dill pickle juice into a shallow plate. Combine sriracha salt, celery seed, and black pepper on another shallow plate."
29,6576284,2,"One-by-one, dip the rims of 4 glasses first into the dill pickle juice and then into the salt mixture to coat the rims. Place glasses into the refrigerator or freezer. Pour remaining dill pickle juice and salt mixture into a large pitcher. Add vegetable juice, vodka, lime juice, horseradish powder, and hot sauce. Mix well. Allow Bloody Mary mixture to rest for at least 1 hour in the refrigerator."
30,6576284,3,"Slide 1 pickled egg, 1 pickled okra spear, and 1 dill pickle onto each bamboo skewer."
31,6576284,4,"Before serving, add 2 two ice cubes, 1 loaded bamboo skewer, and 1 celery stalk to each rimmed glass. Give the Bloody Mary pitcher a stir and pour evenly into the 4 prepared glasses. Serve immediately."
32,6592013,1,"Just add Tito's Handmade Vodka, bloody mary mix, and ice to a glass."
33,6592013,2,Stir and add your garnishes.
34,6600182,1,"Mix vegetable juice cocktail, clam juice, Worcestershire sauce, horseradish, hot sauce, lemon juice, brown sugar, beef base, celery salt, and black pepper in a large pitcher, stirring until brown sugar and celery salt have dissolved. Allow to chill for at least 8 hours."
35,6562067,1,Pour chili-lime seasoning onto a small plate. Rub the edge of a pint-sized jar with 1 lime wedge. Dip the edge of the jar into the seasoning. Fill jar with 1 cup ice and set aside.
36,6562067,2,"Fill a cocktail shaker with remaining cup of ice, Bloody Mary mix, pickle juice, vodka, Worcestershire, and hot sauce. Squeeze in 1 lime wedge and 1 lemon wedge."
37,6562067,3,"Roughly chop 1 fresh dill sprig and add to the shaker. Place lid on the shaker and shake for 10 seconds to combine. Strain into the prepared jar and garnish with pickle spear and remaining dill, lime, and lemon."
