,id_recipe,Step_Count,Step Description
0,7970341,1,Preheat the oven to 350 degrees F (180 degrees C).  Butter a 9x5-inch loaf pan.
1,7970341,2,"Whisk flour, salt, baking soda, cinnamon, ginger, cloves, and nutmeg together in a bowl."
2,7970341,3,"In another bowl, combine pumpkin, white sugar, brown sugar, vegetable oil, milk, and eggs. Whisk together until smooth."
3,7970341,4,"Add the flour mixture, and whisk in gently until the flour almost disappears. Stir in the chocolate chips and pumpkin seeds until evenly distributed."
4,7970341,5,Use a spatula to transfer batter into the prepared loaf pan. Tap the pan on the table a few times to bring air bubbles to the surface.
5,7970341,6,"Bake in the preheated oven until a toothpick or wooden skewer inserted near the center comes out clean, 60 to 70 minutes."
6,7970341,7,Let cool in the pan about 45 minutes; remove to a wire rack to cool completely before slicing.Chef John
7,7643590,1,"Combine milk, water and honey in the bowl of a stand mixer. Whisk in yeast, and let sit for 20 minutes."
8,7643590,2,"Add orange zest, vanilla, white sugar, eggs, melted butter, salt, and 4 1/2 cups flour. Use the dough hook to knead on low speed until mixture comes together, scraping sides of bowl as necessary."
9,7643590,3,"Increase speed one setting, and continue to knead until a soft, smooth, very elastic dough forms, 8 to 10 minutes. If dough seems very wet, and won’t pull away from the sides of bowl after about 5 minutes, add a little more flour in as needed. But, be careful not to add too much, or the brioche will be dry."
10,7643590,4,"Transfer dough to a work surface and shape into a ball. Transfer into a lightly buttered bowl, cover, and let rise until doubled in size, about 2 hours."
11,7643590,5,"Transfer dough back to the work surface, press out air, and shape into a uniform log shape. Cut into 8 equal portions. For best results, use a digital scale to weigh dough, and then divide by 8, to get perfectly sized portions."
12,7643590,6,"After dividing, take each portion and cut off 15 to 20% of the dough, to use to make the smaller “tuppo” bun on top. For uniform portions, weigh each portion in grams, and then multiply by 0.17. That will be the amount that you should cut off the portion. My portions came out to 140 grams each, and 17% of that was 24 grams, which is the size I used for the “tuppo."""
13,7643590,7,"Line a baking sheet with a silpat sheet. Roll each of the 8 larger portions into a smooth ball. Place balls seam side down on the prepared baking sheet. Roll the smaller portions into smooth balls, and set on the baking sheet."
14,7643590,8,"Very lightly flour your index fingers, and use them to make a deep well in the center of each of the larger bun, into which you will place the tuppo. Before placing it, squeeze one end of the tuppo into a pointed shape to make it fit better. For best results, assemble one bun at a time. Lightly press to settle the tuppo into the bottom bun, so that it is attached, with half the tuppo above the surface of the bun, and half tucked inside."
15,7643590,9,"Once all buns are formed, place baking sheet into a turned-off oven to proof until doubled in size, about 1 hour."
16,7643590,10,Preheat the oven to 350 degrees F (180 degrees C). Brush buns  gently but thoroughly with egg wash.
17,7643590,11,"Bake in the preheated oven until golden brown, 20 to 25 minutes. Remove to cool for about 5 minutes before transferring buns to a cooling rack to cool completely.Chef John"
18,7642461,1,Preheat the oven to 400 degrees F (200 degrees C). Grease or line 12 muffin cups.
19,7642461,2,"In a large bowl, mix together cornmeal, flour, baking powder, and salt; stir in honey, egg, milk, and vegetable oil; blend thoroughly. Stir in shredded sharp Cheddar cheese and chopped jalapeños. Pour or spoon batter into the prepared muffin cups."
20,7642461,3,Add a mozzarella piece to the center of each muffin and one jalapeño slice.
21,7642461,4,"Bake in the preheated oven until a toothpick inserted into center of a muffin comes out clean, about 14 minutes."
22,7643020,1,Preheat oven to 375 degrees F (190 degrees C) and grease the cups of a 12-muffin tin.
23,7643020,2,"Place 1/4 cup butter in a small skillet and melt. When butter is melted, add onion and minced jalapeño and cook, stirring occasionally, 3 to 5 minutes. Set aside to cool."
24,7643020,3,"In a mixing bowl, combine beaten eggs and buttermilk, stirring briskly to combine."
25,7643020,4,"In a separate bowl, whisk together cornmeal, flour, taco seasoning, salt, and baking soda."
