,id_recipe,Step_Count,Step Description
0,6664978,1,"Melt butter with olive oil in a large skillet over medium heat. Cook and stir onion until lightly browned, about 8 minutes. Stir in potatoes and carrot; cook, stirring occasionally, until tender, about 15 minutes."
1,6664978,2,"Stir in corned beef, parsley, pepper, thyme, and salt. Cook, stirring often, until hash is crisp and browned, 10 to 15 more minutes."
2,6650561,1,Rinse potato cubes with cold water and drain well.
3,6650561,2,Melt butter in a large skillet over medium heat. Place potatoes in the skillet and season with salt and pepper; mix well. Cover and cook for 10 minutes.
4,6650561,3,"Remove the lid and cook, turning frequently, until brown and crisp on all sides, about 10 more minutes."
5,6650844,1,"Shred potatoes into a large bowl filled with cold water. Stir until water is cloudy; drain and cover potatoes again with fresh cold water. Stir again to dissolve excess starch. Drain potatoes well, pat dry with paper towels, and squeeze out any excess moisture."
6,6650844,2,"Heat clarified butter in a large nonstick pan over medium heat. Sprinkle shredded potatoes into hot butter in an even layer; season with cayenne pepper, paprika, salt, and black pepper."
7,6650844,3,"Cook potatoes until a brown crust forms on the bottom, about 5 minutes. Flip or stir and continue to cook until potatoes are browned and crusty all over, about 5 more minutes."
8,6649094,1,"Place potatoes into a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, 10 to 15 minutes."
9,6649094,2,"Meanwhile, preheat the oven to 350 degrees F (175 degrees C). Grease a 1 1/2-quart baking dish."
10,6649094,3,"When the potatoes are almost finished, melt 3 tablespoons butter in a skillet over medium heat. Add ham and onion; cook and stir until the onion has softened and turned translucent, about 5 minutes. Remove from the heat.Dotdash Meredith Food Studios"
11,6649094,4,Drain potatoes; add to the ham mixture and stir to combine. Transfer to the prepared baking dish.
12,6649094,5,"Melt remaining 4 tablespoons butter in a saucepan over medium heat. Whisk in flour and stir until the mixture becomes paste-like and light golden brown, about 5 minutes."
13,6649094,6,"Gradually whisk milk into the flour mixture; season with salt and black pepper. Continue cooking and stirring until thickened, about 2 minutes. Reduce heat to medium-low and stir in Cheddar cheese until melted.Dotdash Meredith Food Studios"
14,6649094,7,Pour cheese sauce over ham and potatoes. Sprinkle bread crumbs over top.Dotdash Meredith Food StudiosDotdash Meredith Food Studios
15,6649094,8,"Bake in the preheated oven until sauce is bubbly and browned, 25 to 30 minutes."
16,6649094,9,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
17,6664796,1,Preheat the oven to 350 degrees F (175 degrees C). Grease an 8-inch square pan; add hash brown potatoes and arrange in an even layer.
18,6664796,2,"Place sausage and onion in a large skillet over medium heat. Cook and stir until the sausage is browned and crumbled, about 10 minutes; drain."
19,6664796,3,"Meanwhile, whisk eggs, milk, onion powder, garlic powder, salt, and pepper together in a large bowl until well combined; pour over the potatoes and sprinkle with 1/2 of the Cheddar cheese. Add sausage mixture on top and sprinkle with remaining Cheddar. Cover with aluminum foil."
20,6664796,4,"Bake in the preheated oven for 1 hour. Remove foil; return casserole to the oven and bake until a knife inserted into the center comes out clean, about 10 minutes. Let stand for 5 minutes before serving."
21,7496452,1,"Combine water, 4 1/2 teaspoons kosher salt, and baking soda in a large pot over high heat and bring to boil. Add potatoes, reduce heat to simmer, and cook until just barely tender, 10 to 12 minutes. Drain and let sit for 30 seconds."
22,7496452,2,"Meanwhile, whisk together olive oil, garlic powder, onion powder, paprika, ground pepper, and cayenne in a large mixing bowl."
23,7496452,3,"Transfer potatoes into the bowl of seasoned oil and toss with a spatula until potatoes are evenly coated, and are roughened up a bit on the surface."
24,7496452,4,Preheat the oven to 450 degrees F (230 degrees C). Line a baking sheet with parchment paper.
25,7496452,5,Spread out potatoes on the prepared baking sheet and smear any excess mashed potato bits in the bowl over the tops of the potatoes. Season with a pinch of salt.
26,7496452,6,"Roast in the preheated oven until potatoes are browned, and the edges are very crispy, 45 to 60 minutes. For best results, turn potatoes over every 15 to 20 minutes until done."
27,7496452,7,"Meanwhile, heat olive oil in a large skillet over medium heat. Add onions, peppers, and salt and cook, stirring, until onions are soft and translucent and peppers have softened and sweetened, about 5 minutes. Turn off heat and stir in green onions to be cooked by the residual heat."
28,7496452,8,"Serve hot, topped with sauteed onions and peppers.Chef John"
29,6650026,1,Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.
30,6650026,2,"Heat a large skillet over medium-high heat; cook and stir bacon and onion until bacon is evenly browned, about 10 minutes. Drain."
31,6650026,3,"Transfer bacon and onion to a large bowl. Stir in eggs, potatoes, Cheddar cheese, cottage cheese, and Swiss cheese. Pour mixture into the prepared baking dish."
32,6650026,4,"Bake in the preheated oven until eggs are set and cheese is melted, 45 to 50 minutes. Let stand 10 minutes before cutting and serving."
33,6738656,1,"Beat eggs, flour, baking powder, salt, and pepper together in a large bowl; stir in potatoes and onion."
34,6738656,2,"Heat oil in a large skillet over medium heat. Drop heaping tablespoonfuls of potato mixture into hot oil in batches. Press to flatten. Cook until browned and crisp, about 3 minutes on each side. Transfer to a paper towel-lined plate to drain. Repeat with remaining potato mixture."
35,6648941,1,Preheat the oven to 350 degrees F (175 degrees C). Spray a 12-cup muffin tin with nonstick cooking spray.
36,6648941,2,Place a thin layer of potato slices in the bottom of each muffin cup. Add a little butter on top.
37,6648941,3,Bake in the preheated oven for 5 minutes.
38,6648941,4,"Mix together eggs, bell pepper, tomato, spinach, ham, and onion in a large bowl. Ladle egg mixture over warm potatoes. Top each muffin cup with a mozzarella cube."
