,id_recipe,Step_Count,Step Description
0,6663783,1,Gather all ingredients.Dotdash Meredith Food Studios
1,6663783,2,"Combine vegetable broth, sea salt, rosemary, sage, thyme, and savory in a large stockpot. Bring to a boil, stirring frequently to be sure salt is dissolved. Remove from heat, and let cool to room temperature.Dotdash Meredith Food Studios"
2,6663783,3,"When the broth mixture is cool, pour it into a clean 5-gallon bucket. Stir in the ice water."
3,6663783,4,"Rinse and dry your turkey. Make sure you have removed the innards. Place the turkey, breast down, into the brine. Make sure that the cavity gets filled. Place the bucket in the refrigerator for 8 hours, or overnight.Dotdash Meredith Food Studios"
4,6663783,5,"Remove the turkey carefully, draining off the excess brine and pat dry. Discard excess brine."
5,6663783,6,Cook the turkey as desired reserving the drippings for gravy. Keep in mind that brined turkeys cook 20 to 30 minutes faster so watch the temperature gauge.Dotdash Meredith Food Studios
6,6663783,7,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
7,6650592,1,"Pour warm water into a container that is twice the volume of the water. Add salt, soy sauce, sugar, and olive oil; stir until sugar and salt have dissolved. Allow brine to cool to room temperature."
8,6585034,1,Gather all ingredients.Allrecipes/Oana Ennis
9,6585034,2,Bring water to a boil in a large stockpot.
10,6585034,3,Stir in salt and brown sugar until dissolved; return to a boil.Allrecipes/Oana Ennis
11,6585034,4,"Add bay leaves, peppercorns, rosemary, thyme, and cloves. Reduce heat to medium-low and simmer for 15 to 20 minutes.Allrecipes/Oana Ennis"
12,6585034,5,Remove from the heat and let cool completely before using.Allrecipes/Oana Ennis
13,6585034,6,Place thawed turkey into a large non-reactive container. Pour in cooled brine.Allrecipes/Oana Ennis
14,6585034,7,Pour in enough cool water to cover turkey with liquid. Refrigerate 8 to 12 hours.Allrecipes/Oana Ennis
15,6585034,8,Remove turkey from brine and let sit on counter for about 2 hours.Allrecipes/Oana Ennis
16,6585034,9,Follow desired method of cooking your turkey.
17,6741005,1,"Mix together water, salt, brown sugar, Worcestershire sauce, garlic, and pepper in a food-grade bucket or container large enough to hold your turkey. Carefully submerge turkey in brine."
18,6741005,2,Cover and store in the refrigerator. Soak for two days before smoking or roasting.
19,6586585,1,"Mix water, brown sugar, and salt in a shallow baking dish until sugar is dissolved. Stir in garlic and ginger."
20,6582593,1,"Combine water, brown sugar, and salt in a medium bowl; whisk vigorously until sugar and salt dissolve."
21,6564166,1,"Bring water, kosher salt, sugar, sage, basil, garlic, peppercorns, and bay leaf to a simmer in a large pot over medium-high heat; this could take upwards of 20 minutes. Cook, stirring occasionally, until salt and sugar are dissolved completely, about 20 minutes."
22,6564166,2,"Remove from the heat and cover with a lid. Let brine sit at room temperature for 2 hours; this lets the dried herbs steep and really enhances the flavor of the brine. Refrigerate to finish cooling before using, at least 1 hour."
23,6663623,1,Rub turkey all over with salt. Place remaining salt into a large stainless steel or enameled stockpot.
24,6663623,2,"Add onion, orange, and lemon wedges to the pot, along with garlic, bay leaves, thyme, and pepper. Place turkey into the pot and pour in cold water. Cover and refrigerate, 8 hours to overnight."
25,6663623,3,"When ready to cook, discard brine. Rinse turkey, then pat dry and place in a roasting pan. Refrigerate, uncovered, for 2 to 3 hours. Roast, grill, or deep-fry turkey according to your favorite recipe."
26,6574866,1,"Combine vegetable broth, kosher salt, brown sugar, peppercorns, allspice berries, and candied ginger in a large stockpot over medium-high heat. Stir to dissolve sugar and salt; bring mixture to a boil."
27,6574866,2,"Remove from the heat and cool to room temperature. Cover and refrigerator until well chilled, at least 4 hours."
28,6574866,3,"Remove from the refrigerator and add water with ice chunks, apple and onion slices, cinnamon stick, rosemary sprigs, and sage leaves. Stir in remaining 1 cup water and brine is ready to use."
29,6590868,1,"Combine the orange juice concentrate, orange slices, lemon slices, lime slices, thyme, pepper, garlic, bay leaves, salt, and water in a large stockpot; bring to a boil. Remove from heat and allow to cool to room temperature."
30,6590868,2,"Wash and dry your turkey. Make sure you have removed the innards. Place the turkey, breast down, into the brine. Make sure that the cavity gets filled. Place the bucket in the refrigerator. Allow turkey to marinate 1 to 2 days before cooking. Remove the turkey carefully. Drain and discard the excess brine and pat dry."
31,6590868,3,Cook the turkey as desired reserving the drippings for gravy. Keep in mind that brined turkeys cook 20 to 30 minutes faster.
32,6568173,1,"Pat turkey dry with paper towels. Season the inside and outside of turkey with kosher salt, focusing on the breast and thighs. Place turkey, breast-side up, in the roasting pan and cover with plastic wrap. Refrigerate turkey for about 2 days."
33,6568173,2,"Flip turkey breast-side down, cover with plastic wrap, and refrigerate for about 1 more day."
34,6568173,3,Remove plastic wrap and place turkey on a rack over a baking sheet the night before you plan to roast. Allow turkey to air-dry in the refrigerator for at least 8 hours.
35,6568173,4,"Bring turkey to room temperature, 1 to 2 hours; pat dry with paper towels. Season turkey with black pepper and place onion and celery in the cavity."
36,6568173,5,"Preheat oven to 425 degrees F (220 degrees C). Place turkey, breast-side down, in a roasting pan."
37,6568173,6,"Roast in the preheated oven until skin is golden, about 30 minutes. Remove turkey from oven and flip to breast-side up. Reduce oven temperature to 325 degrees F (165 degrees C); continue roasting until an instant-read thermometer inserted into the thickest part of the thigh reads 165 degrees F (74 degrees C), about 2 hours."
38,6568173,7,Transfer turkey to a large platter and loosely tent with aluminum foil; allow turkey to rest about 30 minutes before carving.
39,6571858,1,"On the Tuesday morning before Thanksgiving, whisk together salt, orange juice, brown sugar, a cinnamon stick and water in a large nonreactive container with a cover, such as a large stainless steel stockpot. Stir until salt and sugar dissolve, about 5 minutes. Place the turkey into the brine, cover, and refrigerate overnight."
40,6571858,2,"The next day, remove turkey from the first marinade, shake off excess, and pat the bird dry. Discard the brine. Clean the stockpot or brining container."
