,id_recipe,Step_Count,Step Description
0,6649611,1,"Make dough: Dissolve yeast in warm water in a mixing bowl; let sit until foamy, about 5 minutes. Add 1 tablespoon oil, sugar, and salt; mix in 1 cup flour until smooth. Gradually stir in remaining flour until dough is smooth and workable."
1,6649611,2,"Turn dough out onto a lightly floured surface. Knead dough until it is elastic, about 5 minutes. Place 1 teaspoon olive oil in a large bowl; lay dough in the bowl and flip to coat with oil. Cover and let rise until almost doubled in size, about 40 minutes.Dotdash Meredith Food Studios"
2,6649611,3,"Make filling: Meanwhile, combine Cheddar cheese, ricotta cheese, pepperoni, mushrooms, and basil leaves in a medium bowl. Mix well, cover, and refrigerate to chill.Dotdash Meredith Food Studios"
3,6649611,4,Preheat the oven to 375 degrees F (190 degrees C). Grease a baking sheet.
4,6649611,5,Punch down dough; divide into 2 equal pieces. Roll each piece out on a lightly floured surface into 1/8-inch-thick circles. Fill each circle with 1/2 of the cheese and meat filling.Dotdash Meredith Food Studios
5,6649611,6,Fold dough over filling to make a semicircle. Press edges down with the tines of a fork to seal. Brush the top of each calzone with beaten egg and place on the prepared baking sheet.Dotdash Meredith Food Studios
6,6649611,7,"Bake in the preheated oven until golden brown, about 30 minutes. Serve hot."
7,6737346,1,Preheat the oven to 400 degrees F (200 degrees C).
8,6737346,2,"Cook and stir ground beef in a skillet over medium heat until browned and crumbly, 5 to 7 minutes. Drain and discard grease. Remove from the heat; stir in pizza sauce, ham, bell pepper, onion, and mushrooms until well combined."
9,6737346,3,"Roll dough on a lightly floured surface into a large square; transfer to a rimmed baking sheet. Arrange pepperoni over the lower half of the square, then spoon desired amount of sauce over pepperoni. Sprinkle mozzarella over sauce, then fold top half of dough down over fillings; pinch the edges together to seal. Poke holes in the dough and brush with melted butter. If you have remaining sauce, reserve it for another use."
10,6737346,4,"Bake in the preheated oven until golden brown, about 30 minutes. Remove from the oven and cut into four pieces."
11,6739102,1,Preheat the oven to 410 degrees F (210 degrees C). Grease a 12-inch pizza pan.
12,6739102,2,"Place chicken into a large pot and cover with salted water; bring to a boil. Cook chicken in boiling water until no longer pink in the center and the juices run clear, about 15 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Transfer chicken to a bowl and shred with two forks."
13,6739102,3,"Melt butter in a skillet over medium-high heat. Cook and stir shredded chicken and Buffalo wing sauce in hot butter until chicken is coated and heated through, 2 to 4 minutes."
14,6739102,4,"Turn pizza dough out onto a generously floured surface. Roll dough into a 12-inch round. Brush dough with 1 tablespoon oil and sprinkle with 1 cup mozzarella cheese, leaving a 1-inch border. Spread chicken mixture over cheese; top with remaining 1 cup cheese."
15,6739102,5,Fold pizza dough in half and pinch edges together to seal. Transfer calzone to the prepared pan and brush the top with remaining 1 tablespoon oil.
16,6739102,6,"Bake in the preheated oven until crust is golden brown, 17 to 20 minutes."
17,6604997,1,"Preheat oven to 425 degrees F (220 degrees C). Let dough rise according to package instructions, then punch down, and divide into 4 pieces."
18,6604997,2,"On a floured surface, roll each piece of dough into a long oval shape. Spread each with sauce, then layer with ham, capacola, salami, and pepperoni. Sprinkle with garlic powder, then top with mozzarella, onion, mushrooms and bell pepper. Bring the long sides together over the center, and pinch together to seal. Turn over, so that the seam is on the bottom, and place on an ungreased baking sheet. With a sharp knife, cut 3 diagonal slices to allow the steam to escape."
19,6604997,3,"Bake in preheated oven for 20 to 30 minutes, or until golden brown."
20,6737531,1,Preheat oven to 500 degrees F (260 degrees C). Line a baking sheet with parchment paper.
21,6737531,2,"Divide dough into 4 equal portions; shape each into a ball. On a lightly floured surface, flatten each dough ball into a flat circle and roll out into an 8- or 9-inch circle."
22,6737531,3,"Place 2 prosciutto slices on one half of each circle of dough, leaving a 1-inch empty border. Spoon ricotta cheese on prosciutto. Season with a pinch of salt, pepper, and cayenne pepper. Top with chopped ham, mozzarella slices, and a drizzle of olive oil."
23,6737531,4,Moisten edge of dough with a bit of water using your fingertip. Fold the empty half of the dough over the filling and lightly seal edges. Crimp the edges up to completely seal the calzone.
24,6737531,5,Sprinkle lined baking sheet with cornmeal. Transfer calzones to baking sheet. Cut several small slits in the top of the crust with the tip of a knife to allow for venting.
25,6737531,6,Beat egg with water to make egg wash. Brush the calzones with egg wash. Dust with grated Parmigiano-Reggiano cheese. Remove excess cornmeal and grated cheese from around calzones to avoid smoke from the hot oven.
26,6737531,7,"Bake in preheated oven until browned, about 15 minutes. Let cool 15 minutes before serving. Serve with heated marinara sauce for dipping."
27,6572311,1,Preheat the oven to 400 degrees F (200 degrees C).
28,6572311,2,"In a large bowl, mix together the ricotta cheese, eggs, Italian seasoning, mozzarella cheese, Parmesan cheese and spinach. Set aside."
29,6572311,3,"Divide the bread dough into 8 pieces and roll each piece out to about an 8 inch circle. Spoon about 1/2 cup of the ricotta filling onto each circle, fold over and seal the edges. Place onto a greased cookie sheet."
30,6572311,4,"Bake for 30 minutes in the preheated oven, or until nicely browned on the tops and bottoms."
31,6569956,1,"Roll out pizza dough on a lightly floured surface. Cut out 9 circles using a 2 1/8-inch biscuit cutter. Roll each circle into a 4 1/2-inch disc. Fill each disc with 1 teaspoon pizza sauce, 3 slices pepperoni, and 1/2 tablespoon mozzarella cheese. Fold over, secure edges by folding, and crimp with the tines of a fork."
32,6569956,2,Preheat an air fryer to 375 degrees F (190 degrees C). Line the air fryer basket with parchment paper and spray with avocado oil. Place a batch of calzones into the basket and mist them with avocado oil.
33,6569956,3,"Air fry for 6 to 8 minutes. Turn calzones over, mist with avocado oil, and air fry until golden brown, 2 to 3 minutes more. Repeat with remaining calzones."
34,6579033,1,"Place dough in a large bowl. Cover with plastic wrap and let rise in a warm place until doubled in size, 45 minutes to 1 hour."
35,6579033,2,"Roll dough into a 17x20-inch rectangle about 1/4-inch thick on a large piece of parchment paper. Brush olive oil over dough; sprinkle basil and oregano on top. Layer mortadella, provolone cheese, capicola ham, Genoa salami, tomatoes, and mushrooms over dough."
36,6579033,3,"Roll dough lengthwise into a log. Brush the top with beaten egg; sprinkle sesame seeds on top. Transfer to a baking sheet. Cover with plastic wrap and let rise until puffy, about 30 minutes."
37,6579033,4,Preheat the oven to 300 degrees F (150 degrees C).
38,6579033,5,"Bake in the preheated oven until golden brown, about 45 minutes. Let cool for 5 minutes before slicing."
39,6738448,1,"Dissolve sugar in warm water in the bowl of a stand mixer fitted with a dough hook. Sprinkle yeast over water, and let stand for 5 minutes until yeast softens and begins to form a creamy foam. Stir in oil, salt, and 2 cups of flour; mix on Low until the mixture forms a wet dough. With the machine running, add 1 cup of flour, 1/4 cup at a time, and knead until dough pulls away from the sides of the bowl into a ball. Knead for 3 to 5 more minutes, until the dough is smooth and elastic."
40,6738448,2,"Lightly oil a large bowl; place dough in the bowl and turn to coat with oil. Cover with a towel and let rise in a warm place until doubled in volume, about 1 hour."
41,6738448,3,"Combine ricotta, mozzarella, Parmesan cheese, pepperoni, parsley, Italian seasoning, olives, green pepper, and mushrooms in a large bowl; set aside."
42,6738448,4,Preheat the oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper.
43,6738448,5,"Punch down dough; roll it out into a long, flat strip about 9 inches wide by 30 inches long. Spoon filling mixture down the center of dough strip, leaving about 1 inch on all sides for sealing. Pull edges of dough together; pinch to seal and form a long, filled roll. Place roll, seam-side down, onto the parchment paper in a snakey ""S"" shape, and tuck the ends underneath to seal. Beat egg in a bowl with 1 tablespoon of water; brush egg wash over calzone."
44,6738448,6,"Bake in the preheated oven for 30 to 35 minutes, until calzone is golden brown. Let cool for 5 minutes before cutting into individual slices."
45,6739573,1,"Place water, salt, bread flour, dry milk, sugar, and yeast in the pan of the bread machine in the order suggested by the manufacturer. Select Dough cycle."
46,6739573,2,"When the cycle has finished, preheat the oven to 350 degrees F (175 degrees C). Lightly grease a baking sheet."
47,6739573,3,Roll out dough on a lightly floured surface; shape it into a 16x10-inch rectangle. Transfer to prepared baking sheet.
48,6739573,4,"In a small bowl, mix together chopped pepperoni and mozzarella. Spoon pizza sauce in a stripe down the center of dough lengthwise; add pepperoni and cheese filling. Make diagonal cuts 1 1/2 inches apart down each side, cutting within a 1/2 inch of the filling. Criss-cross strips over filling, sealing with water. Brush top with melted butter."
49,6739573,5,Bake calzone in preheated oven for 35 to 45 minutes.
50,6588326,1,Preheat the oven to 400 degrees F (200 degrees C).
51,6588326,2,"Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels; crumble."
52,6588326,3,Add shredded chicken and onion to hot bacon grease in the pan. Cook and stir over medium heat until onion is tender. Stir in 1/3 cup barbeque sauce; remove from heat. Mix in crumbled bacon.
53,6588326,4,"Roll pizza crust dough onto a greased cookie sheet. Press out to an even thickness, then cut in half. Divide chicken mixture between dough pieces, spreading over 1/2 of each dough piece to within 1/2 inch of the edge."
