,id_recipe,Step_Count,Step Description
0,7372763,1,"Melt butter in a light-colored saucepan over medium heat. Continue to cook, stirring constantly, until butter begins to brown and smell nutty, about 5 minutes. Carefully measure out 1/4 cup of the browned butter and set aside to use in the frosting. Pour remaining brown butter into a large mixing bowl; allow to cool for 10 to 15 minutes."
1,7372763,2,Preheat the oven to 350 degrees F (175 degrees C). Line an 8x8-inch square pan with enough parchment paper to have overhang on all sides.
2,7372763,3,"To the mixing bowl with brown butter, add brown sugar and whisk until combined. Whisk in egg, egg yolk, and vanilla until completely smooth and combined. Add in flour, baking soda, cinnamon, ginger, salt, nutmeg, and allspice and mix until just combined. Fold in carrots. Pour batter into the prepared pan and spread into an even layer."
3,7372763,4,"Bake in the preheated oven until bars spring back when touched lightly in the center, 25 to 30 minutes."
4,7372763,5,"Remove bars from oven to cool in the pan for 10 minutes. Lift bars out of the pan using the parchment overhang, and remove to a wire rack to cool completely."
5,7372763,6,"Meanwhile, prepare frosting. Beat cream cheese in a large bowl with an electric mixer until smooth. Beat in reserved 1/4 cup brown butter on medium-high speed until thoroughly combined. Beat in vanilla, salt, and 1 cup powdered sugar until smooth. Add remaining 1 cup powdered sugar, and beat until thoroughly incorporated. Beat frosting on medium speed until completely smooth, 2 to 3 minutes more. Cover frosting and refrigerate until ready to use."
6,7372763,7,"Spread bars with frosting as desired. For best results when slicing, place frosted bars in the fridge for about 1 hour to allow frosting to set up a bit before cutting. Cut into 16 bars."
7,7112583,1,Preheat oven to 350 degrees F (175 degrees C). Grease two 8-inch square pans and line the bottoms with parchment paper.
8,7112583,2,"Whisk flour, baking powder, cinnamon, ginger, baking soda, salt, nutmeg, cloves, and allspice together in a bowl; set aside."
9,7112583,3,"Beat butter, oil, brown sugar, and white sugar together in a large bowl with an electric mixer until light and fluffy. Add eggs one at a time, beating well after each addition. Beat batter for an additional 2 minutes after adding last egg. Beat in vanilla extract. Pour in half of the flour mixture; mix on low speed until just combined. Pour in buttermilk; mix until just combined. Pour in remaining flour mixture; mix until just combined. Fold in carrot, apple, raisins, and pecans."
10,7112583,4,Divide batter evenly between the two pans. Spread into an even layer in each pan.
11,7112583,5,"Bake in the preheated oven until the top of the cake springs back lightly when touched and a toothpick inserted near the center comes out clean, 40 to 45 minutes."
12,7112583,6,"Allow cakes to cool in pans for 20 minutes; remove to a wire rack to cool completely, about 1 1/2 hours more."
13,7112583,7,"Beat butter in a large bowl with an electric mixer until completely smooth; beat in cream cheese until smooth and thoroughly combined. Beat in confectioners' sugar 1 cup at a time, mixing well after each addition; beat in vanilla and salt. Add in heavy cream; beat on medium-high until frosting is slightly fluffy, about 2 minutes."
14,7112583,8,Spread frosting onto one cooled cake layer. Stack layers; frost top and sides.
15,6649760,1,Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9x13 inch pan.
16,6649760,2,"Beat sugar, oil, eggs, and 2 teaspoons vanilla together in a large bowl with an electric mixer until well combined. Mix in flour, baking soda, baking powder, cinnamon, and salt. Stir in carrots. Fold in pecans. Pour into the prepared pan."
17,6649760,3,"Bake in the preheated oven until a toothpick inserted into the center of the cake comes out clean, about 40 minutes. Let cool in the pan for 10 minutes, then turn out onto a wire rack and cool completely."
18,6649760,4,"To make the frosting: Beat butter, cream cheese, confectioners' sugar, and 1 teaspoon vanilla together in a large bowl with an electric mixer until smooth and creamy. Stir in chopped pecans. Frost the cooled cake."
19,6739388,1,"Combine grated carrots and brown sugar in a medium bowl. Let sit for 1 hour, then stir in raisins."
20,6739388,2,Preheat the oven to 350 degrees F (175 degrees C). Grease and flour two 10-inch round cake pans.
21,6739388,3,"Beat eggs in a large bowl until light. Gradually beat in white sugar, oil, and vanilla. Stir in pineapple. Combine flour, cinnamon, baking soda, and salt in a separate bowl, then stir into egg mixture until absorbed. Stir in carrot mixture and walnuts. Pour evenly into the prepared pans."
22,6739388,4,"Bake in the preheated oven until an inserted toothpick comes out clean, 45 to 50 minutes. Cool for 10 minutes before removing cake layers from the pans; let cool completely."
23,7092709,1,Gather all ingredients.Dotdash Meredith Food Studios
24,7092709,2,"Prepare the Pancakes: Whisk together flour, baking powder, cinnamon, pumpkin pie spice, baking soda, and salt in a large bowl until combined."
25,7092709,3,"Add buttermilk, brown sugar, egg, and vanilla; stir until just combined. Stir in carrots and melted butter until just combined. Set aside.Dotdash Meredith Food Studios"
26,7092709,4,"Prepare the Frosting: In a medium bowl, whisk together cream cheese, milk, powdered sugar, and vanilla until smooth. Set aside.Dotdash Meredith Food Studios"
27,7092709,5,"Prepare the Topping: In a small bowl, stir together raisins, pecans, coconut, and ginger, if desired. Set aside."
28,7092709,6,Heat a large nonstick skillet or griddle over medium. Grease skillet or griddle with butter.
29,7092709,7,"Working in batches, scoop 1/4 cup batter per pancake into the skillet, being sure not to overcrowd skillet. Cook until bubbles begin to form on surface of pancakes and edges look dry, 2 to 3 minutes. Flip, and cook until fluffy and slightly firm, about 1 minute. Repeat with remaining batter, adding butter and adjusting heat as needed.Dotdash Meredith Food Studios"
30,7092709,8,"Divide pancakes evenly among 4 plates. Drizzle Pancakes evenly with Frosting, and sprinkle evenly with Topping.Dotdash Meredith Food Studios"
31,6650420,1,Preheat the oven to 350 degrees F (175 degrees C). Grease and flour an 8x12-inch pan.
32,6650420,2,"Sift flour, baking soda, cinnamon, and salt together in a medium bowl; set aside."
33,6650420,3,"Mix sugar, eggs, buttermilk, oil, and vanilla together in a large bowl; gradually add flour mixture until just combined."
34,6650420,4,"Combine shredded carrots, pineapple, coconut, walnuts, and raisins in a separate bowl; stir into cake batter using a large wooden spoon until combined. Pour batter into the prepared pan."
35,6650420,5,"Bake in the preheated oven until a toothpick inserted into the center of the cake comes out clean, about 1 hour. Allow cake to cool for at least 20 minutes before serving."
36,6598380,1,Preheat the oven to 325 degrees F (165 degrees C). Grease and flour a 9x13-inch pan.
37,6598380,2,"Combine flour, cinnamon, baking powder, baking soda, and salt together in a large bowl; set aside."
38,6598380,3,"Mix sugar, oil, and eggs together in a separate bowl. Beat in flour mixture. Stir in carrots, pineapple, coconut, and walnuts. Pour cake batter into the prepared pan."
39,6598380,4,"Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 35 to 40 minutes. Allow to cool."
40,6571731,1,Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish; set aside.
41,6571731,2,"Mix together sugar, oil, buttermilk, eggs, and 1 teaspoon vanilla in a large bowl until well combined. Stir in carrots, pineapple, and coconut. Combine flour, baking soda, cinnamon, and salt in a medium bowl; gently stir into carrot mixture. Mix in nuts until incorporated. Spread batter into the prepared dish."
42,6571731,3,"Bake in the preheated oven until a toothpick inserted into cake comes out clean, about 55 minutes. Remove from the oven and set aside to cool."
43,6571731,4,"Beat together confectioners' sugar, cream cheese, butter, and remaining 1 teaspoon vanilla in a large bowl with an electric mixer until creamy. Frost cooled cake while still in the dish."
44,6585795,1,Preheat oven to 350 degrees F (175 degrees C). Grease one 9 or 10 inch tube pan.
45,6585795,2,"Combine the sugar, flour, salt, cinnamon, soda, oil. With an electric mixer beat in the eggs one at a time. Stir in the carrots and the walnuts. Pour the batter into the prepared baking pan."
46,6585795,3,Bake at 350 degrees F (175 degrees C) for 1 hour 20 minutes. Note: this cake can be made in two 9 inch layer cake pans just change the baking time to 40 minutes.
47,6585795,4,To Make Frosting: With an electric mixer blend the cream cheese and cream. Add the vanilla and confectioners' sugar. Frosting can be spread and a still warm cake.
48,6596651,1,"Cake: Heat oven to 350 degrees F. Sift together flour, baking powder, baking soda, spices and salt in medium bowl; set aside. Beat eggs and oil in large bowl with wire whisk until well blended. Gradually add granulated sugar, mixing until blended. Add flour mixture, carrots, pineapple and walnuts; mix well. Pour into greased and floured 12-cup fluted tube pan or 10-inch (3-L) tube pan."
49,6596651,2,Bake 50 min. to 1 hour or until wooden toothpick inserted in centre comes out clean. Cool 10 min.; loosen from sides of pan with spatula or knife and gently remove cake. Cool completely on wire rack.
50,6596651,3,"Icing: Beat cream cheese and butter in large bowl with electric mixer until well blended. Gradually add icing sugar, juice and peel, beating until well blended after each addition. Spread on top of cake. Store leftover cake in refrigerator."
51,6576574,1,Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking pan.
52,6576574,2,"Beat white sugar and vegetable oil together in a bowl using an electric mixer until smooth and creamy; beat in eggs, 1 at a time, mixing well after each addition. Add 1/2 teaspoon vanilla extract and mix."
53,6576574,3,"Combine baking flour, baking powder, baking soda, cinnamon, and salt in a separate bowl; mix into sugar-vegetable oil until batter is smooth. Fold carrots into the batter; pour into the prepared baking pan."
54,6576574,4,"Bake in the preheated oven until a toothpick inserted in the center comes out clean, about 35 minutes. Allow cake to cool completely, at least 30 minutes."
55,6576574,5,"Beat cream cheese and butter together in a bowl using an electric mixer; beat in confectioners' sugar, a little at a time, until icing is smooth and creamy. Add 1 teaspoon vanilla extract and beat well. Spread icing onto cake."
56,6739208,1,Preheat the oven to 350 degrees F (175 degrees C).
57,6739208,2,"Place flour in a bowl. Add salt, baking soda, and baking powder. Sprinkle in ground ginger and cinnamon. Whisk thoroughly until combined. Set aside."
58,6739208,3,"Add sugar to a separate bowl. Whisk in eggs until mixture is smooth and pale yellow, 2 to 3 minutes."
59,6739208,4,"Heat butter and coconut oil in a saucepan over low heat until just melted but not too hot. Whisk into the bowl with the eggs and sugar until well combined. Add carrots, crushed pineapple, pecans, and walnuts. Stir well."
60,6739208,5,Stir flour mixture into the carrot mixture until no dry spots remain. Pour batter into a greased 9x13-inch baking pan. Tap the pan against your counter to let any big air bubbles rise to the surface.
61,6739208,6,"Bake in the preheated oven until a toothpick inserted into the cake comes out clean, 40 to 45 minutes. Let cool completely before frosting, at least 40 minutes."
62,6739208,7,"Beat cream cheese, butter, and vanilla extract together using an electric mixer until light and fluffy. Gradually beat in the confectioners' sugar to form a smooth frosting. Spread evenly over the cooled cake. Chill completely before slicing."
63,6738944,1,Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x13 inch pan.
64,6738944,2,"In a large bowl, combine grated carrots, flour, white sugar, baking soda, baking powder, salt and cinnamon. Stir in eggs, oil, 1 1/4 teaspoon vanilla, pineapple and 3/4 cup chopped pecans. Spoon batter into prepared pan."
65,6738944,3,"Bake in the preheated oven for 30 to 40 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool."
