,id_recipe,Step_Count,Step Description
0,6574895,1,"Combine tomatoes, chile de arbol peppers, onion, garlic, chicken bouillon, and salt in a saucepan; add enough water to cover. Bring to a boil; reduce heat and cook, stirring occasionally, until tomatoes and peppers soften, 5 to 10 minutes."
1,6574895,2,Transfer chile peppers to a blender using a slotted spoon; blend until smooth. Pour in tomato mixture; blend until smooth.
2,6574895,3,"Heat oil in a large skillet over medium heat. Cook and stir tortilla strips in the hot oil until crispy, 3 to 5 minutes. Crack in eggs; stir until scrambled and set, about 5 minutes. Strain blended sauce over tortillas and eggs; mix well."
3,6598424,1,Preheat the oven to 350 degrees F (175 degrees C). Grease a 10x15-inch casserole dish.
4,6598424,2,Combine drained tomatoes and chipotle chiles in adobo in a blender; puree until smooth.
5,6598424,3,"Heat oil in a large skillet over medium heat. Add onion; cook and stir until onion has softened, about 5 to 7 minutes. Stir in garlic until fragrant; add pureed tomato-chile sauce and simmer until mixture starts to thicken. Pour in chicken broth and stir in cumin, oregano, and salt; let simmer until mixture thickens. Remove from heat."
6,6598424,4,"Mix tortilla chips and tomato-chile sauce, folding carefully to cover chips completely. You may have to do this in 2 batches."
7,6598424,5,"Cover the bottom of the casserole dish with half of the tortilla chip mixture. Sprinkle a layer of Mexican cheese and cotija cheese on top. Add shredded chicken to cover all of the cheese. Season chicken with salt and pepper, then sprinkle with 1/2 of the green onions and 1/2 of the cilantro. Spoon 3/4 of the sour cream evenly over top. Spread with the remaining tortilla mixture then top with remaining Mexican and cotija cheeses. Cover with aluminum foil."
8,6598424,6,"Bake in the preheated oven until mixture is bubbly and cheese is melted, 35 to 45 minutes. Remove from the oven and let sit for 5 minutes. Serve with sour cream, green onions, and cilantro."
9,6650337,1,"Combine chicken breast, 1/2 of the salsa verde, chicken broth, onion, chili powder, cumin, cayenne, salt, and pepper in a slow cooker. Cook until chicken is cooked through on Low for 6 hours or High for 3 hours."
10,6650337,2,Remove chicken from sauce and shred in a bowl with 2 forks. Return to the slow cooker and mix to combine with sauce.
11,6650337,3,"Place a large skillet over medium heat; add olive oil and heat until it starts to shimmer. Add tortilla triangles to the hot oil and cook, flipping every minute, until golden, about 8 to 10 minutes."
12,6650337,4,"Add shredded chicken, slow cooker sauce, and remaining salsa verde to tortillas. Mix and heat until everything is warmed through."
13,6650337,5,"Meanwhile, stir sour cream and enough milk together so it can be drizzled."
14,6650337,6,Remove tortilla mixture from the heat. Sprinkle cotija cheese on top and garnish with cilantro; drizzle with thinned sour cream mixture.
15,6591605,1,"Heat oil in a large, heavy skillet to 350 degrees F (175 degrees C). Fry tortillas and onion in hot oil until crisp and golden brown, stirring frequently. Remove to a paper towel-lined plate to drain. Drain the skillet, leaving only a thin residue of oil."
16,6591605,2,Place the skillet over medium heat. Return fried tortillas and onion to the skillet and stir in beaten eggs; season with salt. Cook and stir until eggs are firm.
17,6591605,3,"Stir in tomato sauce and water. Reduce heat and simmer until thickened, about 10 minutes. Sprinkle with cheese and continue cooking until cheese is melted."
18,6596361,1,"Heat 1 tablespoon olive oil in a skillet over medium-high heat. Add onion and jalapeño; cook and stir until onion is translucent, about 5 minutes. Add tomato and garlic; cook and stir for 1 minute. Add salsa and scrape any browned bits off the bottom of the pan. Season with cumin, salt, and pepper. Reduce the heat and simmer for 2 minutes. Add tortilla chips to the pan and stir until coated with sauce."
19,6596361,2,"Heat remaining 1 tablespoon oil in a separate skillet over medium-high heat. Whisk eggs together in a bowl, then pour into the hot pan and cook until starting to set, about 2 minutes. Scrape cooked egg from the edges and fold into the center. Cook until eggs are halfway cooked but still runny, 2 to 3 minutes more."
20,6596361,3,"Fold eggs into tortilla chip mixture. Keep stirring to finish scrambling the eggs, about 2 minutes. Add Cotija cheese and turn off the heat."
21,6596361,4,"Divide egg mixture among four plates. Garnish with avocado, cilantro, and sour cream."
