,id_recipe,Step_Count,Step Description
0,6664995,1,Allow sharp and white Cheddar cheeses to stand at room temperature for 30 minutes.
1,6664995,2,"Meanwhile, melt butter in a 4-quart Dutch oven over medium heat. Add onion, bell pepper, green onion, and garlic. Cook mixture, stirring occasionally, until vegetables are tender, 8 to 10 minutes."
2,6664995,3,"Stir in flour and dry mustard. Cook for 1 minute (mixture will be thick). Add broth all at once. Cook and stir until bubbly. Add beer and cream. Stir in corn and potatoes. Bring to a boil. Reduce heat and simmer, uncovered, 5 minutes, stirring occasionally."
3,6664995,4,"Gradually add sharp and white Cheddar cheeses, stirring after each addition until cheeses are melted. Stir in bacon, Parmesan, and hot pepper sauce. Heat through. Remove from heat and let stand 10 minutes before serving."
4,6664995,5,"If you like, top with additional green onion and bacon. Serve with additional hot pepper sauce."
5,6664358,1,"Place potatoes, carrots, celery, and onion into a large skillet; pour in clam juice and add enough water to cover. Cook and stir over medium-low heat until vegetables are tender."
6,6664358,2,"Meanwhile, melt butter in a large, heavy saucepan over medium heat. Whisk in flour until smooth. Whisk in cream and stir constantly until thick and smooth. Stir in vegetable mixture with any juices until just heated through."
7,6664358,3,"Stir in clams just before serving. If they cook too much they get tough. When clams are heated through, stir in vinegar and season with salt and pepper."
8,6650516,1,"Place diced bacon in a large stockpot over medium-high heat; cook and stir until almost crisp. Add onion; cook and stir until tender, about 5 minutes."
9,6650516,2,"Stir in potatoes and add water; season with salt and pepper and bring to a boil. Reduce heat to low and simmer, uncovered, until potatoes are tender, about 15 minutes."
10,6650516,3,"Pour in half-and-half and add butter. Drain clams, reserving clam liquid; stir clams and 1/2 of the clam liquid into the soup. Cook until heated through, without boiling, about 5 minutes."
11,6578162,1,"Melt butter in a large pot over medium heat. Add onion, celery, and garlic powder; sauté until onions are tender. Add broth; stir in potatoes and carrots. Season with salt, pepper, and dill. Bring to a boil; reduce heat, cover, and simmer 20 minutes."
12,6578162,2,"Stir in salmon, corn, evaporated milk, and cheese. Cook until heated through."
13,6587521,1,"Melt butter in a large saucepan over medium heat; cook and stir onion, carrot, celery, and garlic in hot butter until slightly softened, about 2 minutes.Dotdash Meredith Food Studios"
14,6587521,2,"Stir flour into mixture to make a paste; cook until lightly browned and flour gives off a slightly toasted smell, about 5 minutes. Watch carefully as flour burns easily. Remove saucepan from heat and set aside to cool slightly.Dotdash Meredith Food Studios"
15,6587521,3,"Meanwhile, stir together potatoes, chicken, white and yellow corn, and 3 cups stock in a large soup pot over medium heat."
16,6587521,4,"Whisk remaining 1 cup stock into vegetables and flour mixture until thoroughly combined. Stir mixture into the soup pot; bring to a simmer. Cook and stir until thick, about 5 minutes.Dotdash Meredith Food Studios"
17,6587521,5,"Stir half-and-half, nutmeg, salt, and black pepper into chowder. Bring to a boil, reduce heat to low, and simmer until potatoes are tender, about 20 minutes.Dotdash Meredith Food Studios"
18,6664555,1,"Melt butter in a large stockpot over medium heat. Sauté onions, mushrooms, and celery in butter until tender. Add chicken stock and potatoes; simmer for 10 minutes. Add fish; simmer for another 10 minutes."
19,6664555,2,"Mix together clam juice and flour in a small bowl until smooth; stir into soup and simmer for 1 minute. Season with Old Bay, salt, and pepper. Remove from heat and stir in evaporated milk."
20,6664555,3,Portion into soup bowls and top with crumbled bacon.
21,6649751,1,Gather all ingredients.Dotdash Meredith Food Studios
22,6649751,2,"Combine onion, parsley, butter, and minced garlic in a large pot over medium heat; cook and stir until onions are tender, about 5 minutes.Dotdash Meredith Food Studios"
23,6649751,3,Whisk in flour to make a thick paste; whisk in milk and chicken broth until soup thickens slightly.Dotdash Meredith Food Studios
24,6649751,4,Stir in corn and cream cheese until heated through.Dotdash Meredith Food Studios
25,6649751,5,"Add garlic salt, black pepper, and cayenne pepper to taste; stir until combined.Dotdash Meredith Food Studios"
26,6739582,1,Gather all ingredients.Dotdash Meredith Food Studios
27,6739582,2,"Cook bacon in a large pot over medium-high heat until crisp, 5 to 7 minutes. Drain, leaving bacon and 2 tablespoons grease in the pot.Dotdash Meredith Food Studios"
28,6739582,3,"Add potatoes and onion to the pot; cook, stirring occasionally, for 5 minutes. Add corn, water, salt, and pepper; bring to a boil. Reduce the heat to low, cover, and simmer, stirring frequently, until potatoes are tender, about 20 minutes.Dotdash Meredith Food Studios"
29,6739582,4,Warm half-and-half in a small saucepan until it bubbles; remove from the heat just before it boils. Mix into chowder.Dotdash Meredith Food Studios
30,6739582,5,Serve immediately.Dotdash Meredith Food Studios
31,6664617,1,"Place potatoes, carrots, celery, onion, and salt into a large pot. Add water to cover and bring to a boil over medium-high heat. Reduce the heat and simmer until potatoes are tender, about 20 minutes; do not drain."
32,6664617,2,"When the vegetables are almost finished, combine milk, butter, and flour in a small saucepan over medium-low heat. Whisk constantly until butter melts and mixture is smooth and thick, 5 to 10 minutes."
33,6664617,3,"Pour hot milk mixture into cooked vegetables. Add corn and Cheddar; cook and stir until Cheddar melts, about 3 minutes."
34,6649687,1,"Combine cream cheese, 1/2 cup milk, and garlic in a large pot over low heat; cook and stir until blended, about 3 minutes. Mix in condensed soup, undrained corn, remaining 1 cup milk, potatoes, green onions, carrots, parsley, black pepper, and cayenne pepper. Cook for 25 minutes at a simmer; do not boil."
35,6649687,2,"Add shrimp, scallops, crab, calamari, and clams; cook until seafood is opaque, about 10 minutes."
36,6564750,1,Drain baby and chopped clams. Reserve liquid in the refrigerator until needed and set clams aside.
37,6564750,2,"Place bacon in a soup pot over medium-high heat; cook and stir until well-browned and almost crispy, 7 to 10 minutes. Add onion, garlic, and a pinch of salt; cook and stir until onions start to soften and turn translucent, 5 to 7 minutes."
38,6564750,3,Add tomato paste; cook and stir for 2 minutes. Don't worry if some of the tomato paste sticks to the bottom of the pot; we want that to happen. Sprinkle in flour; cook and stir for 2 to 3 minutes.
39,6564750,4,"Dump in reserved clam juice plus bottled clam juice and chicken broth. Stir with a spatula, scraping the bottom of the pot to deglaze any caramelization."
40,6564750,5,"Add carrots, celery, clams, diced tomatoes, pepper, and cayenne; stir and bring to a boil. Reduce heat to medium-low and simmer for 15 to 20 minutes, skimming off some bacon fat if desired."
41,6564750,6,"Add diced potatoes and cook until tender but not falling apart, about 20 minutes. Taste and adjust for salt, if needed. Stir in fresh tarragon and parsley just before serving."
42,6579414,1,"Fill a large pot halfway with lightly salted water; bring to a boil. Add onions and carrots; cook until slightly tender, 10 minutes. Add potatoes; cook until tender, 15 to 20 minutes."
43,6579414,2,"Stir in salmon, cod, scallops, shrimp, lobster, and crab; cook over medium heat until salmon and cod are firm but chunks are still slightly translucent in the center, about 10 minutes. Drain half the water from the pot and add clams, heavy cream, and half-and-half. Place butter chunks atop the soup; season with salt and black pepper. Cover and simmer, stirring occasionally, until salmon and cod are fully cooked and flake easily with a fork, about 30 minutes."
44,6648255,1,"Heat olive oil in a skillet over medium heat; cook and stir until fat renders and bacon is slightly browned, 3 to 5 minutes. Add onion to bacon; cook and stir until soft and translucent, 3 to 5 minutes. Stir celery and garlic into onion mixture, cook until fragrant, 1 minute."
45,6648255,2,"Pour clam juice, chicken broth, potato, cayenne pepper, and black pepper into bacon mixture; bring to a simmer, reduce heat to medium low, and cook until potatoes are almost tender, 12 to 15 minutes. Stir cream and chile pepper into potato mixture; bring to a simmer and cook until potatoes are completely tender and chowder flavors combine, about 5 minutes. Season with lemon zest and salt."
