,id_recipe,Step_Count,Step Description
0,7494546,1,Cut beef and pork into very tiny cubes; season with about half of adobo seasoning and cumin.
1,7494546,2,"Using a food processor, chop onions and garlic, set aside. Chop red pepper, orange pepper, yellow pepper, onions, garlic, green olives, pickled vegetables, capers, and cilantro in a food processor; place together in a bowl. You may have to chop vegetables in batches."
2,7494546,3,"Heat oil in a very large pot over high heat, add onions and garlic and cook for 5 minutes, stirring occasionally."
3,7494546,4,"Add chopped red pepper, orange pepper, yellow pepper, olives, pickled vegetables, capers, and cilantro, and cook for 5 minutes, stirring occasionally."
4,7494546,5,"Pour in wine; cook for 5 minutes, stirring occasionally. Add beef and pork and stir well to combine. Stir in chicken broth; season to taste with salt."
5,7494546,6,"Bring mix to a rolling boil; turn heat down to medium-low. Cover; simmer until well reduced, stirring occasionally, about 5 hours. After the first 2 hours, taste and add remaining cumin and adobo seasoning as needed."
6,6586247,1,Preheat the oven to 375 degrees F (190 degrees C). Grease two cookie sheets.
7,6586247,2,"Cream sugar and butter in a large bowl with an electric mixer until light and fluffy. Mix in pumpkin purée, egg, and vanilla."
8,6586247,3,"Sift flour, baking powder, baking soda, cinnamon, and salt together into a medium bowl. Stir flour mixture into pumpkin mixture until well blended. Stir in cranberries, walnuts, and orange zest. Drop teaspoonfuls of dough 2 inches apart onto the prepared baking sheets."
9,6586247,4,"Bake in the preheated oven until the edges are golden, 10 to 12 minutes."
10,6586247,5,Remove from the oven and transfer to wire racks to cool.
11,6663713,1,Gather all ingredients.Dotdash Meredith Food Stuidos
12,6663713,2,Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.
13,6663713,3,"Mix butter, Dijon mustard, Worcestershire sauce, poppy seeds, and dried onion in a bowl.Dotdash Meredith Food Stuidos"
14,6663713,4,Separate the tops from the bottoms of the rolls; arrange the bottom pieces in a layer in the prepared baking dish. Layer about 1/2 of the ham onto the rolls; add a layer of Swiss cheese and top with remaining ham slices.Dotdash Meredith Food Stuidos
15,6663713,5,Place the tops of the rolls onto the sandwiches. Pour mustard mixture evenly over the rollsDotdash Meredith Food Stuidos
16,6663713,6,"Bake in the preheated oven until the rolls are lightly browned and the cheese has melted, about 20 minutes. Slice into individual rolls through the ham and cheese layers to serve.Dotdash Meredith Food Stuidos"
17,6649439,1,Preheat the oven to 350 degrees F (175 degrees C).
18,6649439,2,"To make the crust: Blend 2 cups flour, softened butter, and 1/2 cup sugar in a medium bowl until well combined; press into the bottom of an ungreased 9x13-inch pan."
19,6649439,3,"Bake in the preheated oven until firm and golden, about 15 minutes. Meanwhile, make the filling: Whisk remaining 1 1/2 cups sugar and 1/4 cup flour in a medium bowl. Whisk in eggs, then lemon juice until smooth; pour filling over the baked crust."
20,6649439,4,"Bake in the preheated oven for 20 minutes. Set the pan aside to cool completely; the bars will firm up as they cool. When cooled, cut into uniform squares."
21,6663665,1,Preheat the oven to 325 degrees F (165 degrees C). Place a rack in the lowest position of the oven.
22,6663665,2,Remove turkey neck and giblets. Rinse turkey and pat dry with paper towels.
23,6663665,3,"Place turkey, breast-side up, on a rack in a roasting pan. Loosely fill turkey cavity with stuffing. Rub skin with butter, then season with salt and pepper."
24,6663665,4,Pour 2 cups of turkey stock into the roasting pan. Loosely tent turkey with aluminum foil.
25,6663665,5,"Roast turkey for 2 1/2 hours, basting with pan juices every 30 minutes. When drippings evaporate, add remaining stock to the pan, 1 to 2 cups at a time."
26,6663665,6,"Remove foil and continue roasting until a meat thermometer inserted in thickest part of thigh reads 165 degrees F (75 degrees C), about 1 1/2 hours more."
27,6663665,7,Transfer turkey to a large serving platter. Let stand for 20 to 30 minutes before carving.
28,6737629,1,Grease a 9x13-inch pan.
29,6737629,2,"Mix sugar, margarine, and evaporated milk in a large, heavy saucepan over medium heat, stirring to dissolve sugar. Bring mixture to a full boil and cook for 5 minutes, stirring constantly."
30,6737629,3,Remove from the heat and add chocolate chips; stir until chocolate chips are melted and mixture is thoroughly combined. Stir in marshmallow cream until incorporated. Mix in walnuts and vanilla.
31,6737629,4,Transfer fudge to the prepared pan and use an offset spatula to spread out and flatten. Let cool for at least 1 hour before cutting into squares.
32,6649366,1,"Combine sugar, butter, milk, and cocoa in a medium saucepan; bring to a boil, stirring often. Boil for exactly 1 1/2 minutes. Remove from heat, and stir in peanut butter. Add oats and vanilla; stir until well combined."
33,6649366,2,Drop by teaspoonfuls onto waxed paper. Let cool until hardened.
34,6649019,1,"Heat 1 tablespoon vegetable oil in a wok or large skillet over high heat. Add pork; cook and stir until crumbly and no pink is showing, 5 to 7 minutes. Remove pork from the pan and set aside. Drain grease from the pan, leaving just a thin coating."
35,6649019,2,"Add onion and garlic to the pan; cook and stir until fragrant, about 2 minutes. Stir in the cooked pork, carrots, green onions, cabbage, and cilantro. Season with pepper, salt, garlic powder, and soy sauce. Remove from the heat, and set aside until cool enough to handle, about 5 minutes."
36,6649019,3,"Assemble lumpia: Place 3 heaping tablespoons of filling diagonally near one corner of a lumpia wrapper, leaving a 1 1/2 inch space at both ends. Fold the side along the length of the filling over the filling, tuck in both ends, and roll neatly and tightly to close. Moisten the other side of the wrapper with water to seal the edge. Transfer to a plate and cover with plastic wrap to retain moisture. Repeat to assemble remaining lumpia."
37,6649019,4,Heat 1/2 inch vegetable oil in a heavy skillet over medium heat for 5 minutes.
38,6649019,5,"Slide 3 to 4 lumpia into the hot oil, making sure the seams are facing down. Fry, turning occasionally, until all sides are golden brown, 1 to 2 minutes. Transfer to a paper towel-lined plate to drain. Repeat to fry remaining lumpia. Serve immediately."
39,6650202,1,Preheat the oven to 350 degrees F (175 degrees C). Grease two cookie sheets.
40,6650202,2,"To make the cookies: Combine flour, cinnamon, baking powder, baking soda, nutmeg, cloves, and salt in a medium bowl."
41,6650202,3,"Cream together sugar and butter in a mixing bowl until fluffy, 2 to 3 minutes. Add pumpkin, egg, and vanilla; beat until creamy. Mix in flour mixture until combined. Drop tablespoonfuls of dough onto the prepared cookie sheets; flatten slightly."
42,6650202,4,"Bake in the preheated oven until centers are set, 15 to 20 minutes, switching racks halfway through. Transfer cookies to a wire rack to cool to room temperature, about 30 minutes."
43,6650202,5,"Meanwhile, make the icing: Stir together confectioners' sugar, milk, butter, and vanilla in a bowl until smooth. Add milk as needed, to achieve drizzling consistency."
44,6650202,6,Drizzle icing over cooled cookies with a fork.
45,6648990,1,"Sift flour, baking powder, and salt together in a medium bowl; set aside."
46,6648990,2,Beat sugar and margarine in a large bowl with an electric mixer until smooth. Beat first egg into butter mixture. Beat second egg into mixture along with vanilla extract; add flour mixture and stir until dough is just combined. Wrap dough; chill in the refrigerator for 2 hours.
47,6648990,3,Preheat the oven to 400 degrees F (200 degrees C). Grease two cookie sheets.
48,6648990,4,Roll out dough on a clean floured surface to 1/4-inch thickness. Cut out shapes using cookie cutters; arrange them on the prepared cookie sheets. Gather scraps and repeat this step.
49,6648990,5,"Bake in batches in the preheated oven until edges are golden, about 6 to 8 minutes. Cool on the baking sheet briefly before removing to a wire rack to cool completely."
50,6649719,1,Place apples in a bowl. Toss apples with lemon juice in a large bowl and set aside.Dotdash Meredith Food Studios
51,6649719,2,"Pour water into a Dutch oven over medium heat. Combine sugar, cornstarch, cinnamon, salt, and nutmeg in a bowl; add to water, stir well, and bring to a boil. Boil for 2 minutes, constantly stirring.Dotdash Meredith Food Studios"
52,6649719,3,"Add apples and return to a boil. Reduce heat, cover, and simmer until apples are tender, 6 to 8 minutes. Cool for 30 minutes.Dotdash Meredith Food Studios"
53,6649719,4,"Ladle into 5 freezer containers, leaving 1/2 inch of headspace. Cool at room temperature no longer than 1 1/2 hours.Dotdash Meredith Food Studios"
54,6649719,5,Seal and freeze. Can be stored for up to 12 months.
55,6649719,6,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
56,6651200,1,Preheat the oven to 350 degrees F (175 degrees C).
57,6651200,2,"Beat sugar, butter, eggs, and vanilla in a large bowl until light and fluffy."
58,6651200,3,"Combine flour, cocoa powder, baking soda, and salt in another bowl; stir into butter mixture until well blended. Mix in chocolate chips and walnuts. Drop spoonfuls of dough 2 inches apart onto ungreased cookie sheets."
59,6651200,4,"Bake in the preheated oven just until set, 8 to 10 minutes. Cool slightly on the cookie sheets before transferring to wire racks to cool completely."
60,6650888,1,"Mix sour cream, cream cheese, and taco seasoning together in a medium bowl until smooth. Spread mixture in a 9- or 10-inch round serving dish."
61,6650888,2,"Top with shredded lettuce, then sprinkle Cheddar cheese, tomatoes, bell pepper, and black olives on top."
62,6664698,1,"Spread toasted bread slices on baking sheets and let sit out at room temperature until hard, about 24 hours.Allrecipes/Oana Ennis"
63,6664698,2,"Once bread slices are ready, gather all ingredients.Allrecipes/Oana Ennis"
64,6664698,3,Preheat the oven to 325 degrees F (165 degrees C). Lightly grease a 9x13-inch baking dish.
65,6664698,4,Crush bread slices into crumbs with a rolling pin. Transfer crumbs to a large bowl.Allrecipes/Oana Ennis
66,6664698,5,"Melt butter in a medium saucepan over medium heat. Stir in onion and celery; cook and stir until soft, 5 to 7 minutes. Remove from heat and drain.Allrecipes/Oana Ennis"
67,6664698,6,"Add chicken broth and eggs to bread crumbs; mix until combined and moist, but not mushy. Add water, if necessary, to attain desired consistency. Mix in cooked onion and celery, sage, garlic powder; season with salt and pepper.Allrecipes/Oana Ennis"
68,6664698,7,Press dressing mixture into the prepared baking dish.Allrecipes/Oana Ennis
69,6664698,8,"Bake in the preheated oven until the top is brown and crisp, about 1 hour.Allrecipes/Oana Ennis"
70,6664698,9,Serve hot and enjoy!Allrecipes/Oana Ennis
71,6649130,1,Spread about 1 1/2 cups of brown sugar on the bottom of a slow cooker.Dotdash Meredith Food Studios
72,6649130,2,Place ham on the brown sugar with the flat side facing down; you might have to trim it a little to make it fit.Dotdash Meredith Food Studios
73,6649130,3,Use your hands to rub the remaining brown sugar onto the ham.Dotdash Meredith Food Studios
74,6649130,4,"Cover, and cook on Low for 8 hours."
75,6663373,1,Blend refried beans and taco seasoning in a medium bowl; spread mixture onto a large serving platter.
76,6663373,2,Mix sour cream and cream cheese in a medium bowl; spread over refried beans.
77,6663373,3,"Top with salsa. Layer tomato, bell pepper, green onions, and lettuce over top."
78,6663373,4,Sprinkle over Cheddar cheese and garnish with black olives.
79,6663864,1,"Combine butter, sugar, and salt in a large, heavy-bottomed saucepan over medium heat; stir constantly in one direction until butter is melted, about 5 minutes."
80,6663864,2,"Meanwhile, line a 9x13-inch baking dish with a sheet of parchment paper, letting it overhang two sides of the dish."
81,6663864,3,"Once the butter has melted, stop stirring and bring mixture to a boil. Once boiling, cook, stirring only 2 to 3 times, until it turns a dark amber color and the temperature reaches 285 degrees F (137 degrees C) on a candy thermometer, 20 to 30 minutes."
82,6663864,4,"Immediately pour toffee into the prepared baking dish. Sprinkle chocolate chips on top and let sit until they soften, 1 to 2 minutes. Use a spatula to spread softened chocolate into a thin, even layer. Sprinkle nuts over the chocolate and press down slightly; wearing a plastic bag over your hand will minimize the mess."
83,6663864,5,"Place toffee in the refrigerator until set, about 1 hour."
84,6663864,6,Lift hardened toffee out of the baking dish with the parchment paper. Break into pieces and store in an airtight container.
85,6649830,1,Preheat the oven to 350 degrees F (175 degrees C).
86,6649830,2,"Cream sugar and margarine in a large bowl until light and fluffy. Beat in eggs, one at a time, then stir in vanilla."
87,6649830,3,"Combine flour, cocoa, baking soda, and salt in a separate bowl. Add to the creamed mixture and mix until just blended. Stir in walnuts. Drop spoonfuls of dough 2 inches apart onto ungreased cookie sheets."
88,6649830,4,"Bake in the preheated oven until edges are set and centers are soft, 8 to 10 minutes. Let sit briefly before transferring to wire racks to cool completely."
89,6648843,1,Preheat the oven to 350 degrees F (175 degrees C).
90,6648843,2,"Cream butter, brown sugar, and white sugar together in a large bowl until smooth. Beat in eggs one at a time, then stir in vanilla and almond extracts."
91,6648843,3,"Combine flour, baking soda, and salt in another bowl. Gradually stir the dry ingredients into the butter mixture. Fold in macadamia nuts and white chocolate."
92,6648843,4,Drop dough by teaspoonfuls onto ungreased cookie sheets.
93,6648843,5,"Bake in the preheated oven until golden brown, about 10 minutes."
94,6650700,1,Preheat the oven to 400 degrees F (200 degrees C).
95,6650700,2,Line a rimmed baking sheet with saltine crackers in single layer.
96,6650700,3,Combine butter and sugar in a saucepan. Bring to a boil; boil for 3 minutes. Immediately pour over saltines and spread to cover crackers completely.
97,6650700,4,Bake in the preheated oven for 5 to 6 minutes.
98,6650700,5,Remove from the oven and sprinkle chocolate chips over top. Let sit 5 minutes.
99,6650700,6,"Spread softened chocolate evenly. Sprinkle with pecans. Allow to cool completely, about 25 minutes."
