,id_recipe,Step_Count,Step Description
0,7642461,1,Preheat the oven to 400 degrees F (200 degrees C). Grease or line 12 muffin cups.
1,7642461,2,"In a large bowl, mix together cornmeal, flour, baking powder, and salt; stir in honey, egg, milk, and vegetable oil; blend thoroughly. Stir in shredded sharp Cheddar cheese and chopped jalapeños. Pour or spoon batter into the prepared muffin cups."
2,7642461,3,Add a mozzarella piece to the center of each muffin and one jalapeño slice.
3,7642461,4,"Bake in the preheated oven until a toothpick inserted into center of a muffin comes out clean, about 14 minutes."
4,7499186,1,Preheat the oven to 400 degrees F (200 degrees C). Place an 8 to 10-inch cast iron skillet in the oven.
5,7499186,2,"Whisk cornmeal, flour, sugar, baking powder, salt, and pepper together in a bowl. Slowly stir in the 1/4 cup oil until mixture is crumbly. Stir in onions, jalapenos, and 1/2 cup cheese."
6,7499186,3,Fold in egg and buttermilk just until blended. Do not overmix.
7,7499186,4,Remove the hot skillet from the oven and swirl the 1 tablespoon oil around to grease the bottom and sides. Pour batter into the skillet.
8,7499186,5,"Bake in the preheated oven until golden brown, 18 to 20 minutes. A toothpick inserted near the center should come out clean."
9,7499186,6,Sprinkle remaining 1/4 cup cheese on cornbread immediately after removing from the oven; let sit for a few minutes before serving.
10,6665023,1,Preheat the oven to 400 degrees F (200 degrees C). Lightly grease a 9-inch round cake pan.
11,6665023,2,"Whisk flour, cornmeal, sugar, baking powder, and salt together in a large bowl. Add milk, vegetable oil, and egg; whisk until well combined. Pour batter into the prepared pan."
12,6665023,3,"Bake in the preheated oven until a toothpick inserted into the center of the pan comes out clean, 20 to 25 minutes."
13,6649532,1,Preheat the oven to 375 degrees F (175 degrees C). Grease an 8-inch square pan.
14,6649532,2,Melt butter in a large skillet over medium heat. Remove from heat and stir in sugar. Quickly whisk in eggs.
15,6649532,3,"Combine buttermilk and baking soda in a small bowl; whisk mixture into the skillet. Stir in cornmeal, flour, and salt until well-blended and only a few lumps remain. Pour batter into the prepared pan."
16,6649532,4,"Bake in the preheated oven until a toothpick inserted in the center comes out clean, 30 to 40 minutes."
17,7643020,1,Preheat oven to 375 degrees F (190 degrees C) and grease the cups of a 12-muffin tin.
18,7643020,2,"Place 1/4 cup butter in a small skillet and melt. When butter is melted, add onion and minced jalapeño and cook, stirring occasionally, 3 to 5 minutes. Set aside to cool."
19,7643020,3,"In a mixing bowl, combine beaten eggs and buttermilk, stirring briskly to combine."
20,7643020,4,"In a separate bowl, whisk together cornmeal, flour, taco seasoning, salt, and baking soda."
21,7643020,5,"When the onions and jalapeños have cooled to room temperature, combine with egg and buttermilk mixture, stirring briskly."
22,7643020,6,"Add wet ingredients to dry ingredients, stirring until dry ingredients are just moistened and there are no lumps. Pour batter evenly into prepared muffin cups. Place a slice of jalapeño on top of each muffin."
23,7643020,7,"Bake in the center of the preheated oven until browned and a toothpick inserted into the middle of the muffin comes out clean, about 25 minutes. If it does not come out clean, bake about 5 minutes more and test again."
24,7643020,8,"Cool in the pan on a rack, about 5 minutes. Serve warm."
25,7095787,1,Gather all ingredients.
26,7095787,2,"Mix together self-rising flour, cornmeal, white sugar, salt, and baking soda (See Cook's Note for substitution). Add cubed, very cold butter and mix in with a pastry cutter/blender until the mixture is crumbly and the butter pieces are approximately the size of lentils."
27,7095787,3,"Stir in the buttermilk with a fork until a crumbly dough forms, which can be pressed together with your hands."
28,7095787,4,"Press into a square, and roll out into a 12 x12-inch square. Cut in half, and stack one piece on the other. Roll back out to a 12-inch square. Jagged edges are fine, and can simply be pressed in with a bench scraper."
29,7095787,5,"Cut into quarters, and stack up. Square up the sides a little by pressing in with a bench scraper, and roll back out to a 12-inch square."
30,7095787,6,Preheat the oven to 425 degrees F (220 degrees C). Line a baking sheet with a Silpat mat.
31,7095787,7,"Grate the pepper Jack cheese over the top of the dough (for best results, pop cheese in the freezer for a few minutes to firm up, making it easier to grate and distribute evenly). Fold into thirds to form a rectangle, and press lightly."
32,7095787,8,"Roll until the rectangle is about 3/4 inch thick, and then use a floured round cutter (mine was 2.75 inches) to punch out 8 biscuits. Dough can also be cut into squares instead."
33,7095787,9,"Transfer cut dough to the prepared baking sheet. Extra dough can be pressed together and re-rolled, and used to cut more biscuits. Press each biscuit lightly in the center with your thumb. Brush each biscuit lightly with melted butter."
34,7095787,10,"Bake in the preheated oven until nicely risen and golden brown, 18 to 20 minutes. While still warm, brush with more melted butter if desired."
35,7095787,11,Let cool before serving. Enjoy!
36,6648555,1,Preheat oven to 400 degrees F (200 degrees C). Grease muffin pan or line with paper muffin liners.
