,id_recipe,Step_Count,Step Description
0,7096286,1,Preheat the oven to 450 degrees F (230 degrees C). Line a baking sheet with foil.
1,7096286,2,"Spread potato nuggets on prepared baking sheet. Bake until golden brown, 28 to 32 minutes."
2,7096286,3,"Top potato nuggets with corned beef, sauerkraut, Swiss cheese, and Colby and Monterey Jack cheese. Bake until cheese is melted, 5 to 8 minutes."
3,7096286,4,Drizzle with Thousand Island dressing and mustard. Sprinkle with green onion and caraway seeds.
4,6663249,1,"Place potatoes, carrots, and onion into the bottom of a slow cooker; add water and place brisket on top of vegetables. Pour beer over brisket; sprinkle over spices from the packet and cover."
5,6663249,2,Cook on High for 7 hours; stir in the cabbage and cook for 1 more hour.
6,6649667,1,Gather all ingredients.Dotdash Meredith Food Studios
7,6649667,2,"Place corned beef in a Dutch oven and cover with water. Add spice packet, cover, and bring to a boil. Reduce heat and simmer until corned beef is just about fork-tender, about 2 hours.Dotdash Meredith Food Studios"
8,6649667,3,"While the corned beef is simmering, cut potatoes in half. Peel carrots and cut into 3-inch pieces. Cut cabbage into small wedges."
9,6649667,4,"When corned beef has cooked for 2 hours, add potatoes and carrots; cook until vegetables are almost tender and meat is fork-tender, about 10 minutes. Add cabbage and cook until tender, about 15 more minutes.Dotdash Meredith Food StudiosDotdash Meredith Food Studios"
10,6649667,5,Remove meat and let rest for 15 minutes. Leave broth and vegetables in the Dutch oven.Slice meat across the grain. Serve with vegetables and broth.DOTDASH MEREDITH FOOD STUDIOS
11,6740935,1,Preheat a large griddle or skillet over medium heat.
12,6740935,2,"Spread one side of bread slices evenly with Thousand Island dressing. On four bread slices, layer one slice Swiss cheese, 2 slices corned beef, 1/4 cup sauerkraut, and a second slice of Swiss cheese. Top with remaining bread slices, dressing-side down. Butter the top of each sandwich."
13,6740935,3,"Place sandwiches, butter-side down on the preheated griddle; butter the top of each sandwich with remaining butter. Grill until both sides are golden brown, about 5 minutes per side. Serve hot."
14,6663160,1,Gather all ingredients.Dotdash Meredith Food Studios
