,id_recipe,Step_Count,Step Description
0,6649291,1,Gather all ingredients.Oana Ennis/Allrecipes
1,6649291,2,"Bring water to a boil in a saucepan; add sugar and cook until sugar is dissolved, about 5 minutes.Oana Ennis/Allrecipes"
2,6649291,3,"Stir cranberries into the saucepan and bring to a boil. Reduce heat to low, and simmer until cranberries have popped and sauce is chunky, about 10 minutes or longer for desired consistency. The longer you cook it, the less chunky it will be.Oana Ennis/AllrecipesOana Ennis/Allrecipes"
3,6649291,4,Pour sauce into a serving dish or jars and cover until ready to use; the pectin in the cranberries will make the cranberry sauce gel as it cools.Oana Ennis/Allrecipes
4,6649291,5,Mix cranberry sauce with a fork before serving.
5,6739036,1,"Combine sugar and orange juice in a medium saucepan over medium heat; stir until sugar is dissolved. Mix in cranberries; cook, stirring occasionally, until cranberries start to pop, about 10 minutes. Transfer to a bowl; sauce will thicken as it cools."
6,6650663,1,Gather all ingredients.Dotdash Meredith Food Studios
7,6650663,2,Dissolve sugar in the orange juice in a medium saucepan over medium heat.Dotdash Meredith Food Studios
8,6650663,3,"Stir in the cranberries and cook until they start to pop, about 10 minutes.Dotdash Meredith Food Studios"
9,6650663,4,Remove from heat and place sauce in a bowl. It will thicken as it cools.Dotdash Meredith Food Studios
10,6650663,5,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
11,6567650,1,Drain juice from canned pineapple into a measuring cup. Fill the measuring cup with enough water to equal 1 cup liquid altogether.
12,6567650,2,"Stir pineapple juice mixture and sugar together in a saucepan; bring to a boil, stirring constantly. Add cranberries and return to a boil. Reduce heat to low and simmer until cranberries burst, about 10 minutes."
13,6567650,3,Mix pineapple chunks into cranberry mixture. Cool to room temperature before serving.
14,6571454,1,"In a medium saucepan, boil water and sugar until the sugar dissolves. Reduce the heat to simmer, and stir in cranberries, pureed orange, apple, pear, dried fruit, pecans, salt, cinnamon, and nutmeg. Cover, and simmer for 30 minutes, stirring occasionally, until the cranberries burst. Remove from heat, and let cool to room temperature."
15,6563527,1,"Combine orange juice, water, brown sugar, white sugar, and cinnamon in slow cooker; stir in cranberries. Cook on High for 3 hours, stirring once each hour."
16,6563527,2,"Remove lid; stir well. Cook on High until sauce has thickened and most cranberries have popped, about 45 more minutes."
17,6567351,1,"Wash and pick over cranberries. Place in a medium saucepan with water, and sugar. Bring to a boil, reduce heat, stir and simmer for 10 minutes or until cranberries burst."
18,6567351,2,"Slightly mash the cranberries with the back of a wooden spoon to insure all skins are broken. Add the cinnamon, nutmeg and allspice. Mix well."
19,6567351,3,"Remove from heat and mix in the blueberries (don't be afraid to break a few, but don't over mash either). The sauce will thicken as it cools."
20,6567351,4,"Transfer to a bowl, cool slightly and place plastic wrap directly on top of sauce to cover. Refrigerate until chilled."
21,6575446,1,"Place cranberries, apples, water, sugar, and cinnamon in a medium saucepan over medium heat; bring to a boil. Reduce heat to low and simmer until cranberries pop and apples are soft, about 20 minutes."
22,6575446,2,"Remove from the heat and cool completely. Serve, or cover and refrigerate until ready to serve."
23,6572847,1,"Mix water and sugar together in a saucepan over medium heat until sugar is dissolved and mixture is boiling, about 5 minutes. Add cranberries, jalapeño peppers, and lemon juice; return to boil."
24,6572847,2,"Reduce heat to a gentle simmer and cook, stirring occasionally, until cranberries have broken down and sauce has thickened, 10 to 25 minutes. Stir in sherry."
25,6572847,3,"Remove from the heat and let cool to room temperature. Serve or transfer to a glass container, cover, and refrigerate until ready to serve."
26,6565919,1,"Put cranberries, raspberries, Merlot, and sugar in a large saucepan. Bring to a boil, stirring occasionally. Use a whisk to mash cranberries. Reduce heat and simmer for 15 minutes."
27,6565919,2,Serve hot or pour sauce into a container and refrigerate to serve cold.
28,6565135,1,"Mix cranberries, brown sugar, orange zest, orange juice, and cinnamon sticks together in a saucepan; bring to a boil. Reduce heat and simmer until cranberries pop and sauce is thickened, about 15 minutes."
29,6565135,2,"Transfer sauce to a bowl and refrigerate until chilled, at least 1 hour. Remove cinnamon stick from sauce and serve at room temperature."
30,6567157,1,Zest and juice oranges; set juice aside.
31,6567157,2,"Combine cranberries, sugar, and orange zest in a saucepan; stir to combine. Cover with water and bring to a boil. Cook until cranberries begin to burst, 5 to 10 minutes."
32,6567157,3,"Reduce the heat to low, stir in orange juice, and simmer until flavors blend, about 1 hour."
33,6567157,4,"Remove from the heat and cool to room temperature, about 20 minutes. Refrigerate until jelled, at least 1 hour."
34,6585836,1,"Inspect four 1/2-pint jars for cracks and rings for rust, discarding any defective ones. Immerse in simmering water until cranberry sauce is ready. Wash new, unused lids and rings in warm soapy water."
35,6585836,2,"Combine water and orange zest in a small pan over medium heat; cover and bring to a boil. Reduce the heat and simmer for 15 minutes. Drain, reserving all zest and 1/3 cup liquid."
36,6585836,3,"Return zest and reserved liquid to the pan; add sugar, orange juice, and lemon juice. Bring to a boil, then reduce the heat and simmer, stirring often, for 3 minutes."
37,6585836,4,"Add cranberries. Increase the heat to medium-high and boil until cranberries have popped and a small spoonful of sauce sets on a cold plate, about 10 minutes."
38,6585836,5,"Remove from the heat and stir in brandy. Pour into the prepared jars, filling to within 1/2 inch of the top. Cool to room temperature, then seal and store in the refrigerator."
39,6564737,1,"Wrap cinnamon sticks, cloves, and allspice berries in a spice bag."
40,6564737,2,"Combine cranberries, water, and spice bag in a medium saucepan over medium heat. Cook until cranberries begin to burst, about 10 minutes."
41,6564737,3,"Stir in sugar and reduce the heat to low. Continue cooking until sugar dissolves, about 5 minutes. Remove from the heat and let cool to room temperature, about 30 minutes."
42,6564737,4,"Remove and discard spice bag. Cover cranberry sauce and chill in the refrigerator before serving, 8 hours to overnight."
43,6580940,1,Preheat the oven to 350 degrees F (175 degrees C).
44,6580940,2,"Stir cranberries, sugar, and bourbon together in a baking dish."
45,6580940,3,"Bake in the preheated oven, stirring occasionally, until thick, about 1 hour."
46,6736470,1,"Combine water and maple syrup in a saucepan; bring to a boil. Add cranberries to syrup mixture and cook at a boil until berries pop, 10 to 15 minutes. Stir brown sugar and lemon juice into cranberries until brown sugar is completely dissolved. Mix in brandy."
47,6596976,1,"Combine water, brown sugar, orange juice, cinnamon stick, ginger, orange zest, salt, cloves, and allspice in a medium saucepan; bring to a boil. Reduce heat and simmer until sugar is dissolved, 3 to 5 minutes."
48,6596976,2,"Stir in cranberries and return to a boil over medium heat. Cook until cranberries start to burst and mixture thickens slightly, 8 to 10 minutes; sauce will thicken further upon cooling."
49,6596976,3,Transfer cranberry sauce to a bowl; remove and discard cinnamon stick. Store in the refrigerator until serving.
50,6565434,1,"In a large saucepan, combine the cranberries, brown sugar, orange zest and juice, and port wine. Bring to a boil over medium-high heat, stirring until the sugar has dissolved. Reduce the heat to medium-low, and simmer until the cranberries have popped and the sauce has thickened, about 15 minutes. Cool, and refrigerate overnight before serving."
51,6565862,1,"In a microwave safe bowl, mix together cranberries, sugar and water. Cover the mixture with wax paper and microwave on high power until the cranberries pop (about 7 minutes). Chill before serving."
52,6564920,1,"In a medium saucepan, stir together the water and sugar over medium-high heat. Bring to a boil. Stir in pears, and reduce heat to medium. Cook, stirring frequently for 3 minutes, then stir in cranberries and honey. Continue to cook until cranberries pop and the mixture thickens slightly, about 5 minutes."
53,6564920,2,"Remove from heat and stir in the lemon juice and lemon zest. Cool to room temperature, then store covered in the refrigerator for up to one week."
54,6738911,1,"Combine cranberries, diced pear, orange juice, sugar, water, candied ginger, orange zest, star anise, cinnamon stick, garam masala, and salt in a large saucepan over medium-high heat. Bring to boil, reduce heat to medium, and simmer, stirring occasionally, until cranberries have softened, 10 to 12 minutes. Remove from heat and allow to cool completely."
55,6738911,2,Remove cinnamon stick and star anise. Chill until ready to serve.
56,6561461,1,"Stir apples, cranberries, sugar, water, cinnamon, and salt together in a saucepan. Bring to a boil, reduce heat to low, and cook until apples and cranberries are tender, about 20 minutes. Remove from heat."
57,6561461,2,Stir lemon juice into cranberry mixture.
58,6561461,3,Mash cranberry mixture with a wooden spoon or fork to make a chunky sauce.
