,id_recipe,Step_Count,Step Description
0,6664762,1,Preheat the oven to 300 degrees F (150 degrees C).
1,6664762,2,"Whisk egg yolks, 4 tablespoons white sugar, and vanilla extract in a mixing bowl until thick and creamy; set aside.Dotdash Meredith Food Studios"
2,6664762,3,Pour cream into a saucepan and stir over low heat until it almost comes to a boil.
3,6664762,4,Whisk cream into egg yolk mixture; beat until combined.Dotdash Meredith Food Studios
4,6664762,5,"Pour mixture into the top pan of a double boiler. Stir over simmering water until mixture lightly coats the back of a spoon, about 3 minutes.Dotdash Meredith Food Studios"
5,6664762,6,Pour into a shallow heat-proof dish.Dotdash Meredith Food Studios
6,6664762,7,"Bake in the preheated oven until custard is set, about 30 minutes. Let cool to room temperature, then refrigerate until chilled, at least 1 hour or overnight.Dotdash Meredith Food Studios"
7,6664762,8,Turn the oven to broil.
8,6664762,9,Combine remaining 2 tablespoons white sugar and brown sugar in a small bowl. Sprinkle mixture evenly over custard.Dotdash Meredith Food Studios
9,6664762,10,"Place dish under the broiler until sugar melts and caramelizes, about 2 minutes. Watch carefully so as not to burn.Dotdash Meredith Food Studios"
10,6664762,11,"Allow to cool slightly, then refrigerate until custard is set again, about 10 minutes.DOTDASH MEREDITH FOOD STUDIOS"
11,6586942,1,Preheat the oven to 350 degrees F (175 degrees C).
12,6586942,2,"Whisk together cream and 3 tablespoons sugar in a microwave-safe bowl until combined. Cook in the microwave until warm, 1 to 2 minutes; whisk again to dissolve sugar. Whisk in egg yolks and vanilla until smooth."
13,6586942,3,Pour cream mixture into 2 ramekins set in a roasting pan. Pour enough hot water into the pan to reach halfway up the sides of the ramekins.
14,6586942,4,"Bake in the preheated oven until custard is set but slightly jiggly in the center when shaken, about 50 minutes. Remove ramekins from hot water and chill in the refrigerator until cold, at least 2 hours."
15,6586942,5,"Sprinkle 1 tablespoon sugar evenly over the top of each dessert. Use a kitchen torch to melt and lightly toast sugar topping until brown and bubbly, about 30 seconds. Let sugar topping cool to harden before serving."
16,6598074,1,Preheat the oven to 325 degrees F (165 degrees C).
17,6598074,2,Whisk egg yolks and vanilla extract in a bowl until combined.
18,6598074,3,"Pour heavy whipping cream and 1 tablespoon sweetener into a saucepan; heat, whisking continuously, over medium heat until it starts to simmer. Remove from heat; gradually add egg yolk mixture, whisking continuously, until well combined."
19,6598074,4,Divide mixture evenly between 4 ramekins and place them in a glass baking dish; pour in enough hot water to come halfway up the sides of the dish.
20,6598074,5,"Bake in the preheated oven on the middle rack until set, about 30 minutes."
21,6598074,6,"Sprinkle 1 tablespoon sweetener over each crème brûlée. Use a culinary torch to heat sweetener until caramelized, about 30 seconds. Refrigerate until set, about 10 minutes."
22,6663923,1,"Preheat the oven to 325°F. In a microwave-safe bowl, heat the ice cream in 20 second intervals, stirring between, until melted. Let the ice cream cool for 5 minutes. Whisk in egg yolks one at a time until the mixture is smooth and consistent. Pour evenly into 2 oven-safe ramekins."
23,6663923,2,"Move the ramekins to a baking dish with a high rim. Pour boiling water into the baking dish until half-way up each ramekin. Bake for 40-50 minutes or until set but still jiggly in the center. Allow to cool completely, then wrap with plastic wrap and transfer to the fridge for 2 hours or up to 3 days."
24,6663923,3,"When ready to serve, let the ramekins come to room temperature for 30 minutes, then sprinkle 1 tablespoon of sugar over each creme brulee. If you have a kitchen blow torch, torch the sugar until golden and bubbly. If you don't, broil on the top rack of the oven at 500°F for 2-3 minutes, watching to make sure they don't burn. Serve immediately."
25,6648396,1,Preheat the oven to 325 degrees F (165 degrees C).
26,6648396,2,"Whisk egg yolks and brown sugar together in a large bowl. Stir in heavy cream, pumpkin puree, allspice, cinnamon, nutmeg, and salt."
27,6648396,3,Divide pumpkin mixture between seven (5-inch) ramekins about 1/2 inch from the top.
28,6648396,4,Place the ramekins in a baking dish and fill with the baking dish hot water to reach halfway up the sides of the ramekins.
29,6648396,5,"Bake in preheated oven until just set, 30 to 35 minutes. Remove ramekins and refrigerate until completely cool, at least 2 hours."
30,6648396,6,"Sprinkle about 1 tablespoon of sugar onto each creme brulee. Melt the sugar with a chef's torch until crisp and dark brown, 1 to 2 minutes. Allow to cool before serving."
31,6597433,1,"Preheat oven to 350 degrees F (175 degrees C). Place 4 ramekins or custard cups into a shallow baking dish, and fill the dish with water to half-way up the sides of the ramekins."
32,6597433,2,"Pour the eggnog into a pan over medium heat. Cook and stir occasionally until the mixture simmers, about 10 minutes."
33,6597433,3,"Meanwhile, place the egg yolks and sugar into a mixing bowl; beat until light colored and frothy. Stir in the mascarpone until well blended and smooth. Whisk 1/4 cup of the heated eggnog mixture into the eggs. Gradually whisk the remaining eggnog into the eggs. Pour the mixture through a fine sieve to remove any egg strands. If desired, stir in the nutmeg, cinnamon, and vanilla. Pour into the prepared ramekins, dividing evenly."
34,6597433,4,"Bake in preheated oven until custard has set, 30 to 45 minutes. Centers should wiggle slightly when shaken, but not be soupy."
35,6597433,5,Remove from oven and cool 30 minutes; refrigerate at least 3 hours before serving.
36,6649900,1,Preheat oven to 300 degrees F (150 degrees C). Place 6 ramekins on a towel set in a roasting pan at least 3 inches deep.
37,6649900,2,"Stir together cream and sugar in a saucepan over medium heat, and cook until very hot, stirring until the sugar dissolves. Whisk together egg yolks, vanilla, and Irish cream until combined. Slowly add 1/3 of the hot cream, whisking it in 2 tablespoons at a time until incorporated. Once you have incorporated 1/3 of the cream, you can stir in the remaining hot cream without fear of the mixture curdling."
38,6649900,3,"Pour custard into the ramekins, then fill roasting pan with boiling hot water to come halfway up the sides of the ramekins. Bake in preheated oven until set, 50 to 60 minutes."
39,6649900,4,"Once the custard has set, place ramekins on a wire rack, and allow to cool to room temperature, about 1 hour. Cover, and refrigerate until cold, about 4 hours. Custards may remain refrigerated until ready to serve."
40,6649900,5,"Unwrap the custards, and sprinkle about 1 teaspoon of superfine sugar onto each. Gently shake the custards so the sugar coats the entire top surface, then tip the custards to a 45-degree angle and shake off excess sugar."
41,6649900,6,"Using a small hand torch, melt the sugar by making short passes over top of the custards with the flame not quite touching. Continue melting the sugar until it turns deep brown. Once the sugar has melted and turned to caramel, the cold custard underneath will harden the sugar into a crispy crust. Serve immediately. Alternatively, the sugar-dusted custards may be browned underneath the broiler in the oven."
