,id_recipe,Step_Count,Step Description
0,7559227,1,Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a 2-1/2 quart baking dish.
1,7559227,2,"Place peaches in the prepared baking dish. Combine brown sugar, 3 tablespoons flour, lemon juice, lemon zest, and cinnamon; sprinkle over peaches."
2,7559227,3,"Combine 1 cup flour, sugar, baking powder, salt, and nutmeg. Stir in egg and mix until mixture has pea-sized crumbles. Sprinkle mixture over peaches. Pour butter evenly over crumbles."
3,7559227,4,"Bake in the preheated oven until the top is lightly browned, 37 to 40 minutes."
4,6589242,1,Preheat the oven to 400 degrees F (200 degrees C).
5,6589242,2,"Combine peaches, raspberries, 1/2 cup white sugar, 1/2 tablespoon cinnamon, and lemon juice in a bowl."
6,6589242,3,"Combine oats, flour, butter, remaining 1/4 cup white sugar, brown sugar, and salt in a separate bowl; mix crumble topping thoroughly until smooth and not lumpy."
7,6589242,4,"Pour fruit mixture into a large ceramic baking dish, spreading evenly. Top evenly with oat crumble mixture."
8,6589242,5,"Bake in the preheated oven until golden brown, about 35 minutes."
9,6663454,1,Gather all ingredients.Dotdash Meredith Food Studios
10,6663454,2,Preheat the oven to 350 degrees F (175 degrees C).
11,6663454,3,"Place sliced apples in a 9x13-inch baking dish. Mix white sugar, 1 tablespoon flour, and cinnamon together; sprinkle over apples. Pour water evenly over apples.Dotdash Meredith Food Studios"
12,6663454,4,"Combine oats, 1 cup flour, brown sugar, baking powder, and baking soda in a large bowl. Add melted butter and mix with a fork until crumbly; sprinkle evenly over apple mixture.Dotdash Meredith Food Studios"
13,6663454,5,"Bake in the preheated oven until top is golden brown and apples are bubbling around the edges, about 45 minutes.Dotdash Meredith Food Studios"
14,6663454,6,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
15,6582018,1,Preheat the oven to 375 degrees F (190 degrees C).
16,6582018,2,"Combine flour, brown sugar, butter, and salt in food processor; pulse mixture into coarse crumbs."
17,6582018,3,"Stir white sugar, orange juice, tapioca, and cinnamon together in a bowl; add blueberries and stir to coat completely. Spoon blueberry mixture into a large baking dish; sprinkle crumb topping over blueberries."
18,6582018,4,"Bake in the preheated oven until the topping is golden brown and the filling bubbles, about 40 minutes."
19,6568644,1,Preheat the oven to 375 degrees F (190 degrees C). Grease a baking dish.
20,6568644,2,"Make filling: Combine blueberries, brown sugar, and lemon zest in a large bowl. Pour filling into the prepared baking dish."
21,6568644,3,"Make topping: Combine brown sugar, flour, oats, butter, cinnamon, salt, and nutmeg in a medium bowl; rub mixture between your fingers until crumbly. Sprinkle topping evenly over blueberries."
22,6568644,4,"Bake in the preheated oven until crumble is lightly browned and bubbly, 40 to 45 minutes. Serve warm."
23,6664194,1,Preheat the oven to 350 degrees F (175 degrees C).
24,6664194,2,Arrange sliced peaches evenly in an 8x8-inch baking dish.Dotdash Meredith Food Studios
25,6664194,3,"Mix flour, brown sugar, butter, cinnamon, and salt in a bowl using a pastry cutter until crumbly.Dotdash Meredith Food Studios"
26,6664194,4,Fold oats into flour mixture.Dotdash Meredith Food Studios
27,6664194,5,"Sprinkle mixture evenly over peaches, pressing down lightly.Dotdash Meredith Food Studios"
28,6664194,6,"Bake in the preheated oven until crispy and golden brown on top, about 30 minutes."
29,6664194,7,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
30,6650808,1,Preheat the oven to 350 degrees F (175 degrees C).
31,6650808,2,Toss apples with white sugar and 1/2 teaspoon cinnamon in a medium bowl to coat; pour into a 9-inch square baking dish.
32,6650808,3,"Mix brown sugar, oats, flour, and 1 teaspoon cinnamon in a separate bowl. Cut in cold butter with 2 knives or a pastry blender until the mixture resembles coarse crumbs; spread over apples and pat down gently until even."
33,6650808,4,"Bake in the preheated oven until golden brown and sides are bubbling, about 40 minutes."
34,6670360,1,Preheat the oven to 350 degrees F (175 degrees C). Grease an 11x7-inch baking dish.
35,6670360,2,"Stir together flour, oats, walnuts, ginger, and 3/4 cup brown sugar in a bowl. Add butter; using your hands, stir mixture until moistened and coarse crumbs form."
36,6670360,3,"Stir together cornstarch, vinegar, and remaining 1/4 cup brown sugar in a large bowl until combined, then stir in the strawberries. Transfer to the prepared baking dish and top with crumble mixture."
37,6670360,4,"Bake in the preheated oven until the strawberries are tender, mixture is rapidly bubbling around all edges, and top is golden, 45 to 50 minutes."
38,6670360,5,"Remove from oven and let sit at room temperature, about 10 minutes. Serve warm with vanilla ice cream."
39,6648717,1,"Spread apples evenly in an 8-inch square glass baking dish. Mix together brown sugar, oats, flour, melted butter, cinnamon, and allspice in a medium bowl until well combined; sprinkle evenly over apples."
40,6648717,2,"Cook on high in the microwave until apples are easily pierced with a knife, 10 to 12 minutes."
41,6590121,1,Preheat the oven to 350 degrees F (175 degrees C).
42,6590121,2,"Prepare fruit: Gently stir together peaches, blueberries, and lemon juice in an 8-inch square baking dish. Stir in flour and sugar until evenly coated."
43,6590121,3,"Make topping: Stir together oats, brown sugar, flour, almonds, cinnamon, and nutmeg in a medium bowl. Mash in butter with a pastry cutter or a fork until mixture is crumbly; sprinkle over fruit in the baking dish to cover."
44,6590121,4,"Bake in the preheated oven until fruit is bubbling and topping is golden brown, about 30 minutes."
45,6649656,1,Preheat the oven to 375 degrees F (190 degrees C.) Butter an 8-inch square baking dish.
46,6649656,2,"Mix apples, cranberries, white sugar, cinnamon, and nutmeg in a large bowl. Place in an even layer in the prepared baking dish."
47,6649656,3,"In the same bowl, combine oats, flour, and brown sugar for topping. Add butter pieces and mix with a fork until crumbly. Stir in pecans. Sprinkle topping over apples in the baking dish."
48,6649656,4,"Bake in the preheated oven until apples are tender and topping is golden brown, 40 to 50 minutes."
49,6663223,1,Preheat the oven to 375 degrees F (190 degrees C). Lightly grease an 8-inch square baking dish.
50,6663223,2,"Arrange apple slices evenly in the prepared baking dish. Sift flour, sugar, cinnamon, and salt into a bowl. Cut in butter using a pastry blender, or 2 knives, until mixture resembles coarse cornmeal; sprinkle over apples."
51,6663223,3,"Bake in the preheated oven until topping is golden, 40 to 45 minutes. Cool slightly before serving."
52,6664966,1,Preheat the oven to 375 degrees F (190 degrees C).
53,6664966,2,"Make crumble: Combine flour, sugar, baking powder, and salt in a large bowl. Whisk until thoroughly combined. Grate in frozen butter, stopping occasionally to toss butter into flour mixture until coated."
54,6664966,3,"Stir in egg yolks and vanilla with a fork until egg is mostly absorbed. Add 1 teaspoon vinegar; mix briefly. Use your hands to finish mixing, squeezing until clumps form, but mixture remains mostly dry. Add more vinegar if needed. Set crumble aside."
55,6664966,4,"Make filling: Combine blueberries, raspberries, and blackberries in another large bowl. Add sugar, cornstarch, lemon juice, lemon zest, and cayenne pepper. Mix until well combined and sugar and cornstarch are mostly dissolved."
56,6664966,5,"Place about 1/2 of the crumble mixture into the bottom of a 2-quart baking dish. Press mixture down using a flat cup until well compacted. Spread berry filling on top. Sprinkle remaining crumble mixture over berries, squeezing some of the crumble into clumps."
57,6664966,6,"Bake in the preheated oven until top is beautifully browned and berry filling bubbles, 40 to 45 minutes. Let cool to room temperature before serving, about 30 minutes."
58,6738813,1,Preheat the oven to 350 degrees F (175 degrees C).
59,6738813,2,Spread well-drained pineapple into a 9x9-inch square baking pan.
60,6738813,3,"Mix together flour, sugar, baking powder, salt, and egg in a medium bowl until well combined and crumbly. Spoon mixture evenly over pineapple. Pour melted butter over mixture, then sprinkle with cinnamon."
61,6738813,4,"Bake in the preheated oven until top is lightly browned and filling is bubbly, 40 to 45 minutes. Serve hot or cold."
62,6579976,1,Preheat the oven to 300 degrees F (150 degrees C). Grease an 8-inch square pan.
63,6579976,2,"Mix flour, 1 cup sugar, egg, and baking powder together until well combined. The mixture will look like cornmeal."
64,6579976,3,"Peel, core, and slice apples; mix with 1/2 tablespoon cinnamon. Place apples in the prepared pan. Spread flour mixture over apples. Mix 1/4 cup sugar with remaining 1 tablespoon cinnamon; sprinkle over top of the crisp. Drizzle with melted butter."
65,6579976,4,"Bake in the preheated oven until golden on top and fruit is bubbling, about 1 hour. Serve warm."
66,6605267,1,Preheat the oven to 350 degrees F (175 degrees C).
67,6605267,2,Spread pie filling in an 8x8-inch baking dish. Sprinkle with cinnamon and nutmeg.
68,6605267,3,Cream together margarine and sugar. Cut in flour with a pastry blender until the mixture resembles coarse crumbs. Sprinkle mixture over pie filling.
69,6605267,4,"Bake in the preheated oven until the topping is brown and crisp and the filling is hot and bubbly, about 20 minutes."
70,6571623,1,Preheat the oven to 350 degrees F (175 degrees C.) Lightly grease a 2-quart baking dish.
71,6571623,2,Pour pie filling into the prepared baking dish; spread evenly.
72,6571623,3,"Stir brown sugar, flour, oats, cinnamon, and nutmeg together in a medium bowl; mix in melted butter. Spread over cherry pie filling and sprinkle with chopped pecans."
73,6571623,4,"Bake in the preheated oven until topping is golden brown, about 30 minutes. Allow to cool 15 minutes before serving.Tammy Lynn"
74,6739205,1,Gather all ingredients.Dotdash Meredith Food Studios
75,6739205,2,Preheat the oven to 350 degrees F (175 degrees C). Lightly grease an 8-inch square pan.
76,6739205,3,"Place brown sugar, oats, flour, and butter in a large bowl; mix until crumbly.Dotdash Meredith Food Studios"
77,6739205,4,Place 1/2 of the crumb mixture in the bottom of the prepared pan. Spread apples evenly over crumb mixture.Dotdash Meredith Food Studios
78,6739205,5,Sprinkle with sugar and cinnamon; top with remaining crumb mixture.Dotdash Meredith Food Studios
79,6739205,6,"Bake in the preheated oven until golden brown, 40 to 45 minutes.Dotdash Meredith Food Studios"
80,6600702,1,Preheat the oven to 350 degrees F (175 degrees C). Grease an 8x8-inch baking dish.
81,6600702,2,Spread plums evenly into the prepared baking dish and sprinkle with 1/4 cup sugar.
82,6600702,3,"Mix together flour, remaining 3/4 cup sugar, baking powder, and salt in a large bowl. Stir in beaten egg and spoon mixture over plums. Drizzle batter with melted butter."
83,6600702,4,"Bake in the preheated oven until the topping is brown, about 40 minutes."
84,6602227,1,Gather all ingredients.Dotdash Meredith Food Studios
85,6602227,2,Preheat the oven to 350 degrees F (175 degrees C). Grease an 8-inch square baking dish.
86,6602227,3,"Mix together rhubarb, sugar, flour, water, cinnamon, and allspice in a large bowl until combined. Set aside.Dotdash Meredith Food Studios"
87,6602227,4,"Make topping: Mix together oats, brown sugar, and flour in another large bowl. Use a pastry cutter to incorporate butter into oat mixture until crumbly.Dotdash Meredith Food Studios"
88,6602227,5,Press about 1/2 of the oat topping into the bottom of the prepared baking dish.Dotdash Meredith Food Studios
89,6602227,6,Top with rhubarb mixture; cover with remaining topping.Dotdash Meredith Food Studios
90,6602227,7,"Bake in the preheated oven until filling is set and top is lightly browned, about 45 minutes.Dotdash Meredith Food Studios"
91,6594716,1,Preheat the oven to 375 degrees F (190 degrees C). Grease an 8x8-inch pan.
92,6594716,2,"Cream sugar, shortening, and egg in a large bowl until light and fluffy. Stir together flour, baking powder, and salt in a separate bowl. Add flour mixture to sugar mixture in 2 batches, alternating with milk, beating batter briefly after each addition. Fold in blueberries. Pour into the prepared pan."
93,6594716,3,"Make topping: Combine sugar, flour, butter, and cinnamon in a bowl; mix with your hands until crumbly. Sprinkle over cake batter."
94,6594716,4,"Bake in the preheated oven until a toothpick inserted into the center comes out clean, 30 to 40 minutes."
95,6650380,1,Gather all ingredients.Dotdash Meredith Food Studios
96,6650380,2,Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.
97,6650380,3,"Mix flour, brown sugar, oats, butter, and cinnamon together in a bowl until crumbly. Press 1/2 of the oat mixture into the bottom of prepared baking dish.Dotdash Meredith Food Studios"
98,6650380,4,Sprinkle rhubarb over oat mixture.Dotdash Meredith Food Studios
99,6650380,5,"Combine white sugar, water, cornstarch, and vanilla in a saucepan over medium heat; cook and stir until thick and clear, about 5 minutes.Dotdash Meredith Food Studios"
100,6650380,6,Pour sugar mixture over rhubarb.Dotdash Meredith Food Studios
101,6650380,7,Sprinkle remaining oat mixture over rhubarb.Dotdash Meredith Food Studios
102,6650380,8,"Bake in the preheated oven until the crisp is lightly brown and bubbling, about 1 hour.Dotdash Meredith Food Studios"
103,6597658,1,Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a 9-inch pie plate.
104,6597658,2,Mound apples in the prepared pie plate. Sprinkle with orange juice.
105,6597658,3,"Mix together sugar, flour, cinnamon, nutmeg, and salt in a large bowl. Cut in butter with 2 knives or a pastry blender until mixture resembles coarse crumbs. Scatter streusel over apples."
106,6597658,4,"Bake in the preheated oven until streusel is browned and filling is hot, about 45 minutes. It will thicken as it cools; serve warm."
107,6650563,1,"Make the topping: Mix flour, brown sugar, white sugar, cinnamon, nutmeg, and salt together in a bowl. Add butter and mix with your fingers or a fork until coarse crumbs form. Stir in walnuts."
108,6650563,2,"Make the apples: Whisk sugar, cornstarch, ginger, and cinnamon together in a small bowl."
109,6650563,3,"Place apples in a slow cooker. Stir in cornstarch mixture. Add lemon juice and toss to combine. Sprinkle topping over apples. Cover and cook until apples are tender, on Low for 4 hours or High for 2 hours."
110,6650563,4,"Turn off the slow cooker, partially uncover, and let stand until topping has hardened, about 1 hour."
111,6598616,1,Preheat the oven to 350 degrees F (175 degrees C).
112,6598616,2,"Mix oats, 3/4 cup brown sugar, flour, and butter together in a bowl until crumbly."
113,6598616,3,"Mix apples, pears, remaining 3/4 cup brown sugar, and cinnamon together in a separate bowl; spread into the bottom of a 9x9-inch glass pan. Sprinkle oat mixture atop apple-pear mixture; top with almonds."
114,6598616,4,"Bake in the preheated oven until the top is golden brown, about 40 minutes."
115,6596246,1,Preheat the oven to 375 degrees F (190 degrees C).
116,6596246,2,"Melt butter in a large saucepan over medium heat. Remove from heat, then stir in flour, oats, brown sugar, and salt until mixture resembles dry crumbs. Press about 2/3 of the crumbs evenly into the bottom of a 9-inch square pan. Top with cherry pie filling and sprinkle with remaining crumb mixture."
117,6596246,3,"Bake in the preheated oven until the top is lightly browned, 40 to 45 minutes. Serve warm or at room temperature."
118,6605695,1,Preheat the oven to 350 degrees F (175 degrees C).
119,6605695,2,"Combine oats, brown sugar, and 1/2 cup flour in a bowl. Cut in butter with a pastry blender until mixture is moistened and crumbly."
120,6605695,3,Spread blackberries into an 8-inch square baking dish. Sprinkle with remaining 1/4 cup flour and toss well to coat. Sprinkle oat mixture over top.
121,6605695,4,"Bake in the preheated oven until golden brown, 35 to 40 minutes."
122,6649924,1,Gather all ingredients.Dotdash Meredith Food Studios
123,6649924,2,Preheat the oven to 375 degrees F (190 degrees C).
124,6649924,3,"Make the fruit layer: Mix strawberries, rhubarb, white sugar, and flour together in a large bowl. Place the mixture in a 9x13-inch baking dish.Dotdash Meredith Food Studios"
125,6649924,4,"Make the topping: Combine 1 1/2 cups flour, brown sugar, oats, and butter and mix until crumbly. You may want to use a pastry cutter for this. Sprinkle on top of the rhubarb and strawberry layer.Dotdash Meredith Food Studios"
126,6649924,5,"Bake in the preheated oven until crisp and lightly browned, about 45 minutes.Dotdash Meredith Food Studios"
127,6649924,6,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
128,6739840,1,Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9x13-inch baking dish.
129,6739840,2,Arrange sliced apples evenly in the bottom of the prepared baking dish. Pour water over apples.
130,6739840,3,"Combine cake mix, brown sugar, and cinnamon in a medium bowl. Stir in melted butter until thoroughly blended and crumbly. Sprinkle over apples."
131,6739840,4,"Bake in the preheated oven until bubbly and topping is browned, 50 to 55 minutes."
132,6649855,1,Gather all ingredients.Dotdash Meredith Food Studios
133,6649855,2,Preheat the oven to 350 degrees F (175 degrees C).
134,6649855,3,"Gently toss together blackberries, raspberries, blueberries, and white sugar in a large bowl; set aside.Dotdash Meredith Food Studios"
135,6649855,4,"Combine flour, oats, brown sugar, cinnamon, and nutmeg in a separate large bowl. Cut in butter with 2 knives or a pastry blender until crumble mixture resembles coarse crumbs.Dotdash Meredith Food Studios"
136,6649855,5,Press 1/2 of the crumble into the bottom of a 9x13-inch pan.Dotdash Meredith Food Studios
137,6649855,6,Cover with berry mixture. Sprinkle remaining crumble over berries.Dotdash Meredith Food Studios
138,6649855,7,"Bake in the preheated oven until fruit is bubbly and the top is golden brown, 30 to 40 minutes.Dotdash Meredith Food Studios"
139,6649855,8,Serve with whipped cream. Enjoy!Dotdash Meredith Food Studios
140,6580993,1,Preheat the oven to 350 degrees F (175 degrees C). Butter a 9x13-inch baking dish.
141,6580993,2,"Mix apples, rhubarb, 1 cup white sugar, 1/4 cup flour, and 1 teaspoon cinnamon in a bowl until thoroughly combined. Spread fruit mixture into the bottom of the prepared baking dish."
142,6580993,3,"Mix oats, remaining 1 1/2 cups flour, and brown sugar in a separate bowl; cut in butter until crumbly. Spread evenly over fruit mixture."
143,6580993,4,Mix 2 tablespoons white sugar with remaining 1/2 teaspoon cinnamon in a small bowl; sprinkle over oat topping.
144,6580993,5,"Bake in the preheated oven until fruit is bubbling and thick and topping is golden brown, about 45 minutes. Let cool 10 to 15 minutes, then serve."
