,id_recipe,Step_Count,Step Description
0,6578547,1,"Pour water into a bread machine pan; add flour. Sprinkle milk powder over flour. Place sugar, salt, and 2 tablespoons of softened butter into the corners of the pan. Make a small indent in the top of the dry ingredients and place yeast in the indent. Run the bread machine on the basic dough setting."
1,6578547,2,"Meanwhile, lay out a sheet of waxed or parchment paper. Shape the remaining 1/2 cup of butter into a 3x5-inch rectangle on the waxed paper; wrap and chill until ready to use."
2,6578547,3,"Remove butter from the refrigerator and allow to soften while you roll out dough. Turn dough out onto a lightly floured surface; roll into a 8x12-inch rectangle. Place butter on half of the dough, leaving a 1/2-inch border of dough on 3 sides. Fold the other half of dough over butter and press the edges firmly to seal."
3,6578547,4,"Roll the dough out to a 6x14-inch rectangle. Fold the dough in thirds from the long ends, as you would fold a business letter. Cover dough loosely with plastic wrap and refrigerate for 20 minutes."
4,6578547,5,"Remove the dough from the refrigerator. Place it onto a lightly floured surface so that the folded edge faces you. Roll the dough out again into a 6x14-inch rectangle, and fold into thirds. Cover with plastic and chill for 20 minutes."
5,6578547,6,"Repeat step 5, then chill the dough for 30 minutes."
6,6578547,7,"In a small bowl, beat together the egg yolk and milk; set aside. Grease two baking sheets."
7,6578547,8,"Roll dough out into a 12x21-inch rectangle. Cut dough into thirds in both directions, to make 9 rectangles. Divide chocolate among the rectangles. Lightly brush egg yolk mixture around the edges of each piece. Starting at a short end, roll each piece of dough around the chocolate; press the edges together to seal."
8,6578547,9,"Place the croissants onto the prepared baking sheets; cover with greased plastic wrap and allow to rise in a warm place until they have doubled in size, about 30 minutes."
9,6578547,10,Preheat oven to 400 degrees F (200 degrees C).
10,6578547,11,Brush the top of the pastries with the remaining egg yolk mixture.
11,6578547,12,"Bake in the preheated oven until golden brown, about 15 minutes. Cool for 5 minutes on the baking sheets, then transfer croissants to wire racks. Serve warm or at room temperature."
12,6568840,1,"Cream butter and 2/3 cup flour in a medium bowl until well combined. Divide into 2 equal parts, then roll each half between 2 pieces waxed paper into a 6x12-inch sheet. Chill butter sheets in the refrigerator."
13,6568840,2,Mix 3 cups flour with active dry yeast in a mixing bowl; set aside.
14,6568840,3,"Stir together milk, sugar, and salt in a small saucepan over medium heat. Heat until warm, but not hot to the touch, about 115 degrees F (43 degrees C)."
15,6568840,4,"Pour warm milk mixture over flour mixture. Add eggs, lemon extract, and almond extract. Stir for 3 minutes. Knead in remaining flour, 1/2 cup at a time, until dough is firm and pliable. Cover and let rise at room temperature until doubled in size, 30 minutes to 1 hour."
16,6568840,5,"Cut dough in half. Roll each half out to a 14-inch square. Place one cold butter sheet over half of each dough square, off to one side, then fold dough over butter sheet like the cover of a book. Pinch the edges of dough together with your fingers."
17,6568840,6,Roll each piece out to a 20x12-inch rectangle. Fold into thirds like a letter. Repeat rolling and folding one more time. Wrap in plastic and refrigerate for at least 30 minutes.
18,6568840,7,Roll and fold each piece of dough two more times. Wrap in plastic and refrigerate for at least 30 minutes.
19,6568840,8,"Roll dough out to 1/4-inch thickness. Cut dough into squares. Place a dollop of fruit preserves in the center. Fold 2 opposite corners over the center to form a filled diamond shape. Place danishes on an ungreased baking sheet. Allow to rise at room temperature until doubled in size, about 30 minutes."
20,6568840,9,Preheat the oven to 450 degrees F (220 degrees C).
21,6568840,10,Brush beaten egg white over pastries.
22,6568840,11,"Bake in the preheated oven until the bottoms are golden brown, 8 to 10 minutes."
23,6663119,1,Preheat the oven to 400 degrees F (200 degrees C). Adjust an oven rack to the middle position. Butter two (6 to 8-ounce) ramekins and dust with white sugar.
24,6663119,2,"Place apple slices on a microwave-safe plate, overlapping slightly if necessary. Microwave on high until slices slightly soften, about 45 seconds. Cover the plate with plastic wrap and a kitchen towel."
25,6663119,3,Mix together sugar and cinnamon in a small bowl.
26,6663119,4,"Roll puff pastry sheet to less than 1/8-inch thickness. Using a pizza cutter, cut two (3x12-inch) rectangles. Reserve remaining pieces for another use."
27,6663119,5,"Spread melted butter over dough; sprinkle with a generous amount of cinnamon sugar. Place apple slices along one long edge of dough, about 1/4 inch beyond the edge, overlapping slices slightly. Fold the bottom half of dough over apple slices to form a long ""folder"" of dough with rounded edges of apple slices exposed."
28,6663119,6,Beat together egg and water in a small bowl. Brush surface of dough with egg wash. Sprinkle with cinnamon sugar.
29,6663119,7,"Starting at one end, roll dough to form a rose-shaped pastry. Seal roll with end of dough strip. Transfer roses to the prepared ramekins. Sprinkle with cinnamon sugar."
30,6663119,8,"Bake on the middle rack in the preheated oven until well browned, about 45 minutes. Use tongs to remove the ramekins to a baking sheet to cool for 5 to 10 minutes. Remove apple roses from the ramekins and finish cooling on a wire rack. Dust with confectioners' sugar before serving."
31,6570148,1,"To make the pastry: Place flour and salt in a food processor and pulse to combine. Add butter and pulse until pieces are pea-sized. Add sour cream and pulse to form a sticky dough. Cover dough tightly with plastic wrap and refrigerate for 8 hours, or overnight."
32,6570148,2,Preheat the oven to 375 degrees F (190 degrees C). Line a large baking sheet with parchment paper.
33,6570148,3,"To make the filling: Place egg yolk in a medium bowl; set egg white aside for egg wash. Add cream cheese, brown sugar, and cinnamon; beat with an electric mixer until smooth. Stir in 1 cup toasted walnuts until well combined."
34,6570148,4,"Divide chilled dough in half. Roll each piece of dough into a 10x12-inch rectangle on a lightly floured surface. Working from a short side, spoon 1/2 of the filling along the center four inches of each rectangle. On both sides of the filling, cut the unfilled pastry into eight horizontal strips. Working top to bottom, fold each strip over the filling, alternating sides. Press to seal ends and tuck under; arrange braids on the prepared baking sheet."
