,id_recipe,Step_Count,Step Description
0,6597628,1,"In a skillet over medium-high heat, fry the Canadian bacon on each side until evenly browned."
1,6597628,2,"Fill a large saucepan with about 3 inches water, and bring to a simmer. Pour in the vinegar. Carefully break the 4 eggs into the water, and cook 2 to 3 minutes, until whites are set but yolks are still soft. Remove eggs with a slotted spoon."
2,6597628,3,"Meanwhile, melt the butter until bubbly in a small pan or in the microwave. Remove from heat before butter browns."
3,6597628,4,"In a blender or large food processor, blend the egg yolks, heavy cream, cayenne pepper, and salt until smooth. Add half of the hot butter in a thin steady stream, slow enough so that it blends in at least as fast as you are pouring it in. Blend in the lemon juice using the same method, then the remaining butter."
4,6597628,5,"Place open English muffins onto serving plates. Top with 1 slice Canadian bacon and 1 poached egg. Drizzle with the cream sauce, and serve at once."
5,7255780,1,Preheat the oven to 350 degrees F (175 degrees C) with rack in lower third position. Lightly grease an 8-inch springform pan with cooking spray and line with parchment on the bottom.
6,7255780,2,"Process cookies in a food processor until ground into small crumbs, 2 to 3 minutes. Pour in melted butter and process for another 30 seconds.Dotdash Meredith Food Studios"
7,7255780,3,Press evenly into bottom and about 1 inch up sides of prepared pan.Dotdash Meredith Food Studios
8,7255780,4,"Bake in the preheated oven until firm and fragrant, 10 to 12 minutes. Let cool slightly while making the filling, about 10 minutes."
9,7255780,5,Reduce oven temperature to 300 degrees F (150 degrees C).
10,7255780,6,"Once crust is cooled, wrap bottom of pan with 2 layers of heavy-duty aluminum foil to prevent water from seeping into pan.Dotdash Meredith Food Studios"
11,7255780,7,"To make the cheesecake filling: Add cream cheese to the bowl of a stand mixer fitted with the paddle attachment and beat on medium-low speed until creamy, about 2 minutes. Add sour cream, and beat on medium-low speed until fully combined, scraping down sides of bowl halfway through, about 2 minutes.Dotdash Meredith Food Studios"
12,7255780,8,"Beat in sugar, espresso powder, vanilla, and salt, until combined, scraping down the sides of the bowl halfway through, about 1 minute. Add eggs, 1 at a time, beating on low speed just until combined after each addition and scraping down sides of bowl with a rubber spatula, 1 to 2 minutes.Dotdash Meredith Food Studios"
13,7255780,9,"Add Baileys and beat on low speed until just combined, about 45 seconds."
14,7255780,10,"Pour filling onto cooled crust. Place springform pan into a larger roasting pan and place in preheated oven. Pour 1 1/2 cups of water in roasting pan and bake until the cheesecake is almost set (the center 2 inches should jiggle slightly) and edges have pulled away slightly from pan, 50 to 60 minutes.Dotdash Meredith Food Studios"
15,7255780,11,Turn off oven and leave door cracked open about 7 to 8 inches; let cheesecake stand in oven 30 minutes. Remove from oven and carefully lift cheesecake from water bath. Cover and chill at least 3 hours or overnight.Dotdash Meredith Food Studios
16,7255780,12,"To make the ganache: Heat cream and Baileys in a small saucepan over medium heat until warm to the touch, 3 to 4 minutes. Stir in espresso powder until fully combined. Add chocolate chips and let stand 1 minute; stir until smooth.Dotdash Meredith Food Studios"
17,7255780,13,"Remove cheesecake from pan and place on a cake plate. Pour ganache evenly over chilled cheesecake, spreading slightly over edges with an offset spatula. Refrigerate until ganache is firm, about 30 minutes.Dotdash Meredith Food Studios"
18,6581966,1,Preheat the oven to 375 degrees F (190 degrees C). Grease 12 muffin cups or line with paper muffin liners.
19,6581966,2,"Beat milk, eggs, applesauce, and vanilla extract together in a bowl. Whisk flour, sugar, baking powder, cinnamon, and salt together in another bowl. Stir carrots into flour mixture; fold in milk mixture and butter until batter is just combined. Spoon batter into prepared muffin cups."
20,6581966,3,"Bake in the preheated oven until a toothpick inserted into the center of a muffin comes out clean, 18 to 20 minutes. Cool in the pan for 5 minutes before removing to a wire rack to cool completely."
21,6649036,1,Preheat the oven to 350 degrees F (175 degrees C).
22,6649036,2,Pour melted butter into a 9x13-inch glass baking dish.
23,6649036,3,Whisk together eggs and salt in a large bowl until well-blended. Gradually whisk in milk. Pour egg mixture into the buttered dish.
24,6649036,4,"Bake uncovered in the preheated oven for 10 minutes. Stir egg mixture and continue to bake until eggs are set, 10 to 15 minutes more."
25,6651000,1,Preheat the oven to 350 degrees F (175 degrees C). Line 18 standard muffin cups with paper liners.
26,6651000,2,"Sift flour, cinnamon, baking soda, baking powder, allspice, salt, nutmeg, and cloves together in a large mixing bowl."
27,6651000,3,"Mix brown sugar, sour cream, white sugar, vegetable oil, eggs, and vanilla together until smooth. Add wet ingredients to dry ingredients, and stir until just combined. Stir in carrots, then fold in pecans. Divide batter evenly between the prepared muffin cups."
28,6651000,4,"Bake in the preheated oven until a toothpick inserted in the centers comes out clean, 17 to 20 minutes. Cool in the tin for 10 minutes. Transfer to a wire rack and let cool completely, about 20 minutes."
29,6651000,5,"While the cupcakes are cooling, beat cream cheese, butter, vanilla, and lemon juice in a mixing bowl with an electric mixer until smooth. Add confectioners' sugar, a bit a time, until smooth and desired sweetness is achieved. Spread onto cooled cupcakes."
30,6587057,1,Gather ingredients.Dotdash Meredith Food Studios
31,6587057,2,"Mix brown sugar and mustard together in a bowl until smooth. If the mixture is too thick, stir in more mustard.Dotdash Meredith Food Studios"
32,6650468,1,"Mix brown sugar, orange juice, and honey together in a bowl until the brown sugar has dissolved."
33,6594759,1,"Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add asparagus, cover, and steam until tender, about 5 minutes. Cut asparagus into 1-inch pieces; set aside."
34,6594759,2,"Meanwhile, heat chicken broth in a saucepan over medium heat; keep at a simmer while preparing risotto."
35,6594759,3,"Heat olive oil in a large skillet over medium heat. Add onion and celery; cook and stir until vegetables are tender, about 5 minutes. Season with salt and black pepper. Stir in Arborio rice and garlic; cook and stir until rice is lightly toasted, about 5 more minutes."
