,id_recipe,Step_Count,Step Description
0,6649520,1,"Combine milk, cinnamon, 1/2 teaspoon vanilla, and cloves in a saucepan over the lowest heat setting; stir and heat for 5 minutes. Increase heat to medium-low and slowly bring to a boil. Remove from the heat."
1,6649520,2,Whisk egg yolks in a large bowl until light yellow in color. Add sugar and whisk until light and fluffy.
2,6649520,3,"Pour some of the hot milk mixture into the egg yolk mixture, whisking quickly to avoid scrambling the eggs. Continue adding hot milk and whisking to combine until all milk is incorporated."
3,6649520,4,"Pour the mixture back into the saucepan. Cook over medium heat, stirring constantly, until thick, about 3 minutes; do not allow the mixture to boil. Strain to remove cloves and let cool for about 1 hour."
4,6649520,5,"Stir in cream, rum, remaining 2 teaspoons vanilla, and nutmeg. Refrigerate before serving, 8 hours to overnight."
5,6754963,1,"Combine eggnog, ice cream, and milk in a blender. Blend on high until incorporated. Pour into a glass, garnish with whipped cream, and dust with cinnamon if desired."
6,6752351,1,"Combine eggnog, vanilla ice cream, and peppermint extract in a blender, blend until smooth."
7,6752351,2,Pour milkshake into a glass and garnish with whipped cream and crushed peppermint. Serve immediately.
8,6825486,1,"Combine ice cream, eggnog, and 2 tablespoons of chocolate syrup in a blender, and process until well-combined."
9,6825486,2,"Drizzle some chocolate syrup down the sides of the glass in a random pattern, and pour in the milkshake. Top with whipped cream, if desired."
10,6597046,1,"Beat eggs and lime zest in a large bowl using an electric mixer until light and fluffy. Gradually pour in condensed milk while continuing to mix, and then pour in evaporated milk."
11,6597046,2,Stir in rum and bitters and sprinkle with nutmeg. Transfer to a bottle and chill for at least 1 hour before serving.
12,6597046,3,Serve over crushed ice.
13,6739875,1,Gather all ingredients.Allrecipes/Oana Ennis
14,6739875,2,"Combine evaporated milk and egg yolks in the top of a double boiler over simmering water. Cook over the simmering water, stirring constantly, until mixture is thick enough to coat the back of a spoon, and reaches a temperature of 160 degrees F (71 degrees C).Allrecipes/Oana Ennis"
15,6739875,3,"Transfer mixture to a blender. Add cream of coconut, sweetened condensed milk, rum, water, vanilla, cinnamon, and cloves; blend until combined, about 30 seconds.Allrecipes/Oana Ennis"
16,6739875,4,Pour into glass bottles and chill 8 hours to overnight before serving.Oana Ennis/Allrecipes
17,6650055,1,"Blend together milk, eggs, sugar, vanilla, and nutmeg in a large pitcher until well combined. Chill in the refrigerator before serving."
18,6598982,1,"Mix egg yolks, 2 cups sugar, rum, and nutmeg together in a large bowl. Cover with plastic wrap and refrigerate 8 hours to overnight to ""cure."""
19,6598982,2,"Beat egg whites and remaining 1 cup sugar in a bowl using an electric mixer until firm peaks form. Fold in heavy cream. Fold in the egg yolk mixture. Beat in half-and-half until well combined. Pour into lidded jars or containers, refrigerate, and shake before serving."
20,6581999,1,"Blend 2 cups milk, sugar, pudding mix, rum-flavored extract, nutmeg, allspice, and ginger in a blender on medium-high speed until smooth; pour into a pitcher. Stir remaining 3 cups milk into mixture. Refrigerate eggnog until thickened, at least 1 hour. Stir well before serving."
21,6574207,1,"Beat eggs with an electric mixer on medium speed until very frothy, 2 to 3 minutes."
22,6574207,2,"Gradually beat in sugar, vanilla extract, and 1/4 teaspoon nutmeg. Stir in cream, milk, brandy, and rum."
23,6574207,3,Cover and chill before serving. Sprinkle individual servings with remaining nutmeg.
24,6650109,1,Place egg yolks in a saucepan. Whisk in sugar until well blended and creamy. Add milk and cream; whisk until blended. Place pan over medium heat; whisk frequently until mixture reaches a temperature of between 170 to 180 degrees F (75 to 80 degrees C) using an instant-read thermometer. Remove from heat. Stir in nutmeg and whiskey.
25,6650109,2,"Chill pan in cold water until cool. Transfer mixture to a container (a large pitcher is ideal). Cover and refrigerate until thoroughly chilled, 2 to 3 hours."
26,6650109,3,"Place egg whites in a bowl and whisk until soft peaks form. Add sugar and continue whisking until egg whites hold a firmer peak. Whisk egg whites into custard base until thoroughly blended. Refrigerate until chilled, about 30 minutes."
27,6650109,4,Whisk eggnog again just before serving and between each pour to ensure even distribution of the egg whites which tend to float to the top. Serve with a dusting of nutmeg.
28,6598908,1,"Beat the butter and sugar with an electric mixer in a large bowl until smooth. Add the egg yolks one at a time, allowing each egg to blend into the butter mixture before adding the next. Beat egg whites until foamy in a large glass or metal mixing bowl, continuing to beat until soft peaks form. Lift your beater or whisk straight up: the egg whites will form soft mounds rather than a sharp peak. Mix the egg whites into the egg yolk mixture. Stir in the rum, salt, mace, allspice, cloves, nutmeg, and cardamom."
29,6598908,2,"To use the mix, combine 1 ounce rum and 1 cup hot milk in a mug. Stir in 1 tablespoon of the Tom and Jerry mixture."
30,6566934,1,"Beat eggs in a bowl using an electric mixer on medium speed until very frothy, 2 to 3 minutes. Add 1 cup plus 1 tablespoon sugar, vanilla extract, and nutmeg gradually while beating. Turn the mixer off and manually stir in whipping cream, milk, brandy, and spiced rum. Chill before serving."
31,6565598,1,Melt milk with chocolate in a medium saucepan over medium-low heat. Remove from heat and let stand for 2 minutes. Whisk mixture until melted and smooth.
