,id_recipe,Step_Count,Step Description
0,6650788,1,"Warm milk in a small saucepan until it bubbles, then remove from heat. Stir in sugar until dissolved and let cool until lukewarm."
1,6650788,2,"Mix together warm water and yeast in a small bowl; let stand until creamy, about 10 minutes."
2,6650788,3,"Combine milk mixture, yeast mixture, 3 cups flour, and shortening in a large bowl; beat until smooth. Mix in salt and remaining 3 cups flour; knead until a soft dough forms. Place in a greased bowl, cover, and let rise in a warm place until doubled in volume, about 1 hour."
3,6650788,4,"Punch down dough. Roll on a lightly floured surface to about 1/2-inch thick. Cut rounds with a biscuit cutter, drinking glass, or empty tuna can. Sprinkle cornmeal on waxed paper and place dough rounds on top. Dust tops with cornmeal, cover, and let rise for 30 minutes."
4,6650788,5,Heat a greased griddle over medium heat.
5,6650788,6,"Cook muffins on griddle until lightly browned, about 10 minutes per side. Split and toast as desired."
6,6591911,1,"In a small bowl, dissolve yeast in warm water with a pinch of the sugar. Set aside to ferment, about 10 minutes."
7,6591911,2,"Transfer the yeast mixture to a large bowl, and stir in the sugar, eggs, salt, flour, and milk until the dough comes together. Stir in the melted butter, then turn the dough out onto a floured surface, and knead for about 10 minutes, or until smooth and elastic. Cover dough with a cloth and set aside to rise until doubled in bulk, about 45 minutes."
8,6591911,3,"Divide dough into about 15 to 20 pieces, and shape them into flat round cakes about 1/2 inch thick. Place a cloth on the table and dust it with flour. Arrange the cakes on the cloth, allowing space for rising. Allow them to set for 1 1/2 hours."
9,6591911,4,"Place the cakes in a heavy ungreased skillet, and cook over low heat. Fry the cakes on each side until golden."
10,6571724,1,"Stir milk and sourdough starter together in a large bowl until mostly smooth. Mix in flour. Cover bowl and leave to ferment at room temperature, 8 hours to overnight."
11,6571724,2,"Add sugar, baking soda, and salt to the preferment, stirring just enough to incorporate. Turn dough out onto a lightly floured work surface. Knead for 4 to 5 minutes, adding as much of the 1/2 cup flour as needed to make the dough workable."
12,6571724,3,Use a rolling pin to flatten dough to an even 1/2-inch thickness. Cut into 4-inch rounds using a clean tuna can or biscuit cutter; keep edges well floured to avoid sticking.
13,6571724,4,Sprinkle a thin layer of cornmeal over a sheet of waxed paper. Arrange cut-outs over the cornmeal. Sprinkle a thin layer over the dough. Let rest for 45 minutes.
14,6571724,5,"Heat a griddle or cast iron skillet over medium-low heat. Cook English muffins until lightly browned, 5 to 6 minutes. Cool on a wire rack."
15,6604607,1,Warm the milk and water in a small saucepan until very warm (125 degrees F/50 degrees C). Lightly grease two 8x4 inch loaf pans; sprinkle cornmeal inside pans.
