,id_recipe,Step_Count,Step Description
0,6649990,1,Preheat the oven to 350 degrees F (175 degrees C).
1,6649990,2,"Melt sugar in a medium saucepan over medium-low heat until liquefied and golden in color. Carefully pour hot syrup into a 9-inch round glass baking dish, turning the dish to evenly coat the bottom and sides; set aside."
2,6649990,3,"Beat eggs in a large bowl. Add condensed milk, evaporated milk, and vanilla; beat until smooth. Pour egg mixture into the baking dish; cover with aluminum foil."
3,6649990,4,Bake in preheated oven for 1 hour. Let cool completely.
4,6649990,5,"To serve, carefully invert onto a rimmed serving plate; let caramel sauce flow over flan."
5,6579698,1,Preheat the oven to 350 degrees F (175 degrees C).
6,6579698,2,"Place sweetened condensed milk, evaporated milk, eggs, cream cheese, milk, and vanilla extract in a blender; blend until smooth."
7,6579698,3,"Place sugar in an even layer in a saucepan over medium heat. Cook until the edges start to brown, about 1 minute; drag sugar into the center with a spatula once the edges start to brown. Continue cooking, stirring from time to time, until caramel is an even golden brown, 4 to 5 minutes."
8,6579698,4,"Meanwhile, pour 1 inch boiling water into a large oven-safe pot or baking dish to make a water bath."
9,6579698,5,Pour caramel into a 9-inch flan mold or baking pan; swirl so that caramel reaches 1 inch up the sides. Pour the condensed milk mixture on top. Set in the water bath.
10,6579698,6,"Set the flan and water bath in the preheated oven; bake until a damp table knife inserted into the center comes out clean, 45 minutes to 1 hour. Remove from the oven and let stand for 5 minutes."
11,6579698,7,"Chill flan in the refrigerator until firm, 2 to 3 hours. Invert onto a serving plate so that caramel is on top."
12,6739876,1,Preheat the oven to 350 degrees F (175 degrees C).
13,6739876,2,"Heat sugar in a small nonstick saucepan over medium heat until completely dissolved; shake and swirl the pan until sugar has caramelized and is a dark golden brown color; pour into a 1 1/2-quart baking dish, and swirl to coat the bottom of the dish evenly."
14,6739876,3,"Combine cream, condensed milk, eggs, milk, and vanilla in a blender; blend on high for one minute. Pour mixture over caramelized sugar."
15,6739876,4,Place the baking dish into a deep roasting pan; pour in enough boiling water to come 1 inch up the sides of the dish.
16,6739876,5,"Bake in preheated oven until flan is set, 50 to 60 minutes."
17,6605009,1,"Place sugar into a heavy saucepan over medium-high heat. Cook, stirring constantly, until sugar melts and turns a golden amber color, about 10 minutes. Watch carefully once syrup begins to change color because it burns quickly. Carefully pour caramel syrup into a flan mold. Set aside to cool."
18,6605009,2,Preheat the oven to 350 degrees F (175 degrees C). Place an oven rack in the middle position.
19,6605009,3,"Place sweetened condensed milk, whole milk, eggs, egg yolks, orange juice, orange peel, vanilla, and cornstarch into a blender; blend until smooth, about 1 minute. Pour in cream and pulse several times to incorporate. Pour mixture over cooled caramel syrup in the flan mold."
20,6605009,4,"Line a roasting pan with a damp kitchen towel. Place the filled flan mold carefully on the towel in the roasting pan, then place the roasting pan on the oven rack. Fill the roasting pan with enough boiling water to reach halfway up the sides of the flan mold."
21,6605009,5,"Bake in the preheated oven until the center of flan is set but still slightly jiggles when nudged, 45 minutes to 1 hour. Let cool, then refrigerate for at least 4 hours."
22,6605009,6,"To serve, run a sharp paring knife around the inside of the mold to release flan. Place a serving plate on the mold, then flip the mold over. Gently lift the mold to release flan and allow caramel syrup to cascade over custard. Remove the mold."
23,6575903,1,Preheat the oven to 350 degrees F (175 degrees C).
24,6575903,2,"Cook sugar in a small, heavy saucepan over medium-low heat, stirring occasionally, until golden. Pour caramel into a 10-inch round baking dish, tilting to coat the bottom and sides. Set aside."
25,6575903,3,"Beat cream cheese in a large bowl until smooth. Beat in eggs, one at a time, until well incorporated. Mix in milks and vanilla until smooth. Pour into the caramel-coated baking dish."
26,6575903,4,"Line a roasting pan with a damp kitchen towel. Place the baking dish inside the roasting pan on the towel, then place the roasting pan on the oven rack. Fill the roasting pan with boiling water to reach halfway up the sides of the baking dish."
27,6575903,5,"Bake in the preheated oven until the center is just set, 50 to 60 minutes. Cool on a wire rack for 1 hour, then place in the refrigerator until completely cooled, 8 hours to overnight."
28,6575903,6,"To unmold, run a knife around the edges of the baking dish and invert onto a rimmed serving platter."
29,6648764,1,Preheat the oven to 350 degrees F (175 degrees C).
30,6648764,2,"Prepare a bain-marie, or water bath, by filling a 9-inch heat-proof container with water."
31,6648764,3,"Melt sugar in a nonstick pan over medium-low heat, stirring constantly until melted, 7 to 10 minutes; be careful to keep it from burning. Pour sugar into a flan mold, coating the sides to ensure that the egg/milk mixture in the next step will not touch the container."
32,6648764,4,Pour sweetened condensed milk into a bowl. Fill the empty can with milk and add to the bowl; stir in eggs and vanilla extract. Blend well. Fold mixture with a spatula or tap against the counter to remove air bubbles.
33,6648764,5,Pour milk mixture into the slightly cooled flan mold. Put the lid on and place inside the water bath; don't let the water go over the rim.
34,6648764,6,"Bake the quesillo in the bain-marie in the preheated oven for 45 minutes. Pry lid open with a knife carefully; continue baking until set, about 15 minutes more."
35,6648764,7,"Let quesillo cool to room temperature, at least 25 minutes; refrigerate 8 hours to overnight. Slide a knife around the edges of the mold to loosen and invert onto a plate."
36,6649570,1,Preheat the oven to 350 degrees F (175 degrees C).
37,6649570,2,"Place 1 cup sugar in a small saucepan over medium heat. Cook gently without stirring, but shake occasionally until sugar is melted. Continue cooking until sugar turns golden brown, then pour into a large glass baking dish. Rotate and tilt the dish to spread caramel evenly over the bottom. Set aside for caramel to cool and harden, about 15 minutes."
38,6649570,3,"Add condensed milk, evaporated milk, eggs, milk, coconut, and remaining 1/2 cup sugar to a blender. Blend until smooth, about 3 minutes. Pour over hardened caramel in the baking dish."
39,6649570,4,"Bake in the preheated oven until custard is set, about 45 minutes. Allow flan to cool for 30 minutes at room temperature. Run a knife around the edges of the dish to separate the flan from the sides. Refrigerate until completely chilled, 8 hours to overnight."
40,6649570,5,"To serve, carefully invert flan onto a rimmed serving plate; let caramel sauce flow over flan."
41,6564710,1,Preheat the oven to 325 degrees F (165 degrees C).
42,6564710,2,"Combine sugar and water in a saucepan over medium-high heat. Bring to a boil without stirring to avoid the mixture crystallizing. Continue to boil, swirling the pan occasionally, until sugar syrup begins to brown, 7 to 10 minutes. Reduce the heat to medium low and watch the color. Once the caramel is a deep brown, immediately pour it into a flan mold. Carefully tilt the mold to make sure the whole bottom surface is covered."
43,6564710,3,"Combine evaporated milk, condensed milk, egg yolks, and vanilla extract in a large bowl. Stir lightly to prevent bubbles or foam from forming. Strain batter slowly into the caramel-lined flan mold. Cover with aluminum foil."
44,6564710,4,Place a baking dish large enough to hold the flan mold on the oven rack. Set the covered flan in the baking dish and add enough hot water to come halfway up the side of the mold.
