,id_recipe,Step_Count,Step Description
0,6649770,1,Gather all ingredients.Dotdash Meredith Food Studios
1,6649770,2,Melt butter with olive oil in an 8-quart stock pot over medium heat. Add onions to butter and continually stir until tender and translucent. Do not brown the onions.Dotdash Meredith Food Studios
2,6649770,3,"Add beef broth, sherry, and thyme. Season with salt and pepper. Let simmer for 30 minutes.Dotdash Meredith Food Studios"
3,6649770,4,"Meanwhile, preheat the oven's broiler."
4,6649770,5,"Ladle soup into oven-safe serving bowls and place one slice of bread on top of each (bread may be broken into pieces if you prefer). Layer each slice of bread with a slice of provolone, 1/2 slice diced Swiss and 1 tablespoon Parmesan cheese.Dotdash Meredith Food Studios"
5,6649770,6,"Place bowls on a cookie sheet and broil in the preheated oven until cheese bubbles and browns slightly, 2 to 3 minutes.Dotdash Meredith Food Studios"
6,6649770,7,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
7,6649110,1,"Heat butter in a large, heavy pot over medium-high heat. Add onions; cook and stir until translucent, about 10 minutes. Sprinkle onions with sugar; reduce heat to medium. Cook, stirring constantly, until onions are soft and caramelized, at least 30 minutes. Stir in garlic and cook until fragrant, about 1 minute."
8,6649110,2,Stir sherry into onion mixture; scrape the bottom to dissolve the small bits of browned food. Transfer onions into a slow cooker and pour in beef broth. Season with sea salt; stir in thyme and bay leaf. Cover and cook on Low for 8 to 10 hours or on High for 4 to 6 hours.
9,6649110,3,Preheat the oven broiler about 10 minutes before serving. Set an oven rack about 8 inches from the heat source.
10,6649110,4,"Arrange bread slices on a baking sheet; broil until toasted, 1 to 2 minutes per side."
11,6649110,5,"Lightly toss Gruyere, Emmental, Parmesan, and mozzarella cheeses in a bowl. Fill oven-safe soup crocks 3/4 full with onion soup and float a bread slice in each bowl. Top each with about 2 tablespoons cheese mixture."
12,6649110,6,"Place filled bowls onto a baking sheet and broil until cheese topping is lightly browned and bubbling, about 2 minutes."
13,6648796,1,"Melt butter in a large pot over medium-high heat. Stir in red onions, sweet onions, and salt. Cook, stirring frequently, until onions are caramelized and almost syrupy, about 35 minutes.Dotdash Meredith Food Studios"
14,6648796,2,"Stir in chicken broth, beef broth, red wine, and Worcestershire sauce. Bundle parsley, thyme, and bay leaf with kitchen twine; add to the pot. Simmer over medium heat for 20 minutes, stirring occasionally. Remove and discard herb bundle. Reduce heat to low; stir in vinegar and season with salt and pepper. Cover soup and keep warm over low heat while you prepare the toast.Dotdash Meredith Food Studios"
15,6648796,3,"Set an oven rack about 6 inches from the heat source and preheat the oven's broiler. Arrange bread slices on a baking sheet and broil, turning once, until well toasted on both sides, about 3 minutes. Remove from heat; do not turn off the broiler.Dotdash Meredith Food Studios"
16,6648796,4,"Arrange 4 large oven-safe bowls or crocks on a rimmed baking sheet. Fill each bowl 2/3 full with hot soup. Top each bowl with 1 slice of toasted bread, 2 slices Gruyère cheese, and 1/4 of the Asiago cheese. Sprinkle a little bit of paprika over the top of each one.Dotdash Meredith Food Studios"
