,id_recipe,Step_Count,Step Description
0,7970546,1,"Melt butter in a skillet over medium heat. Add gnocchi and vegetables, and cook until vegetables are tender and gnocchi is golden, about 5 minutes."
1,7970546,2,"Stir in evaporated milk, pesto, and alouette cheese, and cook until sauce is smooth and evenly coats gnocchi and vegetables, about 5 minutes. Serve immediately."
2,6590776,1,Preheat the oven to 350 degrees F (175 degrees C).
3,6590776,2,"Bake sweet potatoes in the preheated oven until soft to the touch, about 30 minutes. Remove from the oven and let cool, 15 to 30 minutes."
4,6590776,3,"Remove and discard skins from cooled potatoes. Mash flesh in a large bowl or press through a ricer. Blend in egg, garlic, salt, and nutmeg. Mix in flour, a little at a time, until a soft dough forms."
5,6590776,4,Bring a large pot of lightly salted water to a boil.
6,6590776,5,"While the water is coming to a boil, make the gnocchi: Roll dough on a floured surface into several long, snake-like logs. Cut logs into 1-inch pieces."
7,6590776,6,Drop dough pieces into boiling water and cook until they float to the surface. Transfer with a slotted spoon to a serving dish and keep warm until ready to serve.
8,6664138,1,"Bring a large pot of salted water to a boil; add potatoes and cook until tender but still firm, about 15 minutes. Drain, cool, and mash with a fork or potato masher."
9,6664138,2,"Combine 1 cup mashed potato, flour, and egg in a large bowl. Knead until dough forms a ball. Shape small portions of the dough into long ""snakes"". On a floured surface, cut snakes into 1/2-inch pieces."
10,6664138,3,Bring a large pot of lightly salted water to a boil. Drop in gnocchi and cook for 3 to 5 minutes or until gnocchi have risen to the top; drain and serve.
11,6674331,1,Open marinated mozzarella balls and measure out 1/4 cup of the oil.
12,6674331,2,Pour oil into a heavy skillet over medium-high heat. Cook gnocchi in batches in the hot oil until golden and heated through. Divide gnocchi evenly amongst 4 gratin dishes.
13,6674331,3,"Add garlic and red chili flakes to the oil in the same skillet. Cook until garlic is fragrant, about 30 seconds. Stir in salt and sugar. Pour in tomatoes. Use a wooden spoon to break up and crush the tomatoes."
14,6674331,4,"Bring sauce to a boil, reduce heat, cover and simmer tomatoes for 15 minutes."
15,6674331,5,Set an oven rack about 6 inches from the heat source and preheat the oven's broiler.
16,6674331,6,Taste sauce and adjust seasonings if desired. Spoon tomato sauce over the gnocchi. Top each dish with 3 marinated mozzarella balls and set on a baking sheet.
17,6674331,7,"Add baking sheet to oven and broil until mozzarella balls are melted and golden browned, 3 to 5 minutes. Garnish with parsley or basil if desired and serve immediately."
18,6598403,1,Gather all ingredients.Dotdash Meredith Food Studios
19,6598403,2,"Heat oil in a large pot over medium heat. Cook carrots, celery, onion, and garlic in hot oil until onion is translucent, about 5 minutes. Stir in cubed chicken and chicken broth; bring to a simmer.Dotdash Meredith Food Studios"
20,6598403,3,"Stir gnocchi into soup and cook until they begin to float, 3 to 4 minutes. Stir in spinach and cook until wilted, about 3 minutes.Dotdash Meredith Food Studios"
21,6598403,4,"Whisk cornstarch into cold water in a measuring cup until smooth. Stir the cornstarch mixture and half-and-half into soup. Cook until soup thickens slightly, about 5 minutes. Season with salt and pepper.Dotdash Meredith Food Studios"
22,6581478,1,Gather all ingredients.Dotdash Meredith Food Studios
23,6581478,2,"Bring a large pot of lightly salted water to a boil over high heat. Add gnocchi pasta and cook until they float to the surface, 2 to 3 minutes; drain.Dotdash Meredith Food Studios"
24,6581478,3,"Melt butter in a skillet over medium heat. Stir in garlic and cook until softened and golden brown, about 4 minutes.Dotdash Meredith Food Studios"
25,6581478,4,"Stir in sage and salt. Add cooked gnocchi, 1/4 cup Parmesan cheese, and pepper; toss gently to combine.Dotdash Meredith Food Studios"
26,6581478,5,Sprinkle with 2 tablespoons Parmesan cheese to serve.
27,6664311,1,"Prepare the gnocchi: Stir together ricotta, eggs, Parmesan, salt, pepper, and garlic powder in a large bowl until evenly combined. Mix in 1 cup flour. Add additional flour if needed to form a soft dough."
28,6664311,2,Divide dough into 3 or 4 pieces and roll into 1/2-inch thick ropes on a floured surface. Cut each rope into 1-inch pieces and place on a lightly floured baking sheet. Place in the refrigerator until ready to use.
29,6664311,3,"Make the sauce: Heat olive oil in a saucepan over medium heat. Stir in garlic and cook until softened and fragrant, about 1 minute. Pour in diced tomatoes and red pepper flakes; bring to a simmer over medium-high heat and cook for 10 minutes. Stir in shredded basil and season to taste with salt and pepper."
30,6664311,4,"While sauce is simmering, bring a large pot of lightly salted water to a boil over high heat. Boil the gnocchi until they float to the surface, 1 to 2 minutes, then drain."
31,6664311,5,To assemble the dish: Stir cubed mozzarella into the sauce and allow the heat of the sauce to soften but not melt the cheese. Place gnocchi into a serving bowl and spoon sauce overtop.
32,6592490,1,Preheat the oven to 400 degrees F (200 degrees C). Prick each potato a few times with a fork and place on a baking sheet.
33,6592490,2,"Bake potatoes in the preheated oven until tender when pierced with a knife, about 50 minutes. Cool until easily handled, about 10 minutes."
34,6592490,3,Peel potatoes and pass through a ricer or food mill into a large bowl. Make a well in the center and pour in egg; mix well.
