,id_recipe,Step_Count,Step Description
0,6650288,1,"Heat olive oil in a large Dutch oven over medium-high heat. Add onion and cook 3 minutes, stirring often. Add ground beef and cook, breaking up the meat until it is evenly browned, about 5 minutes. Add garlic and cook 3 minutes, stirring often."
1,6650288,2,"Stir in water, tomato sauce, diced tomatoes, soy sauce, Italian seasoning, seasoned salt, and bay leaves. Bring to a simmer, cover and cook 5 minutes, stirring halfway through."
2,6650288,3,"Stir in uncooked macaroni, cover, and simmer over medium heat until pasta is tender, 11 to 13 minutes, stirring occasionally. Remove from heat, discard bay leaves, and serve."
3,6650265,1,"Heat oil in a large pot or Dutch oven over medium heat. Cook and stir onions in oil until soft, 2 to 4 minutes. Remove onions and set them aside."
4,6650265,2,"Combine paprika, 2 teaspoons salt, and pepper in a medium bowl. Coat beef cubes in spice mixture, and cook in the onion pot until brown on all sides."
5,6650265,3,"Return onions to the pot with beef; pour in water, tomato paste, garlic, and remaining 1 teaspoon salt. Bring to a boil, then reduce heat to low. Cover and simmer, stirring occasionally, until meat is tender, 1 1/2 to 2 hours."
6,6736450,1,Gather all ingredients.Dotdash Meredith Food Studios
7,6736450,2,"Heat oil in a pot over medium-high heat. Add ground beef and onion; cook and stir until beef is browned and crumbly and onion is translucent, about 5 minutes. Continue to cook and stir until liquid is evaporated, 3 to 5 minutes. Add garlic, bay leaves, paprika, Italian seasoning, salt, black pepper, and cayenne.Dotdash Meredith Food Studios"
8,6736450,3,"Cook, stirring occasionally, until flavors come together, about 3 minutes. Pour in broth, marinara sauce, and diced tomatoes. Pour water into the sauce jar, swirl, and pour into the pot. Stir in soy sauce; bring to a simmer. Reduce the heat to medium and simmer until flavors intensify, about 30 minutes.Dotdash Meredith Food Studios"
9,6736450,4,"Increase the heat to medium-high and bring to a rapid simmer. Stir in macaroni; cook, stirring occasionally, until just barely tender, about 12 minutes. Check for doneness after 10 minutes.Dotdash Meredith Food Studios"
10,6736450,5,Remove from the heat and discard bay leaves. Stir in Cheddar and parsley. Cover and let rest for 5 minutes. Taste and season as desired.
11,6664882,1,Gather all ingredients.Dotdash Meredith Food Studios
12,6664882,2,Season beef with salt and black pepper.Dotdash Meredith Food Studios
13,6664882,3,"Heat vegetable oil in a large skillet over high heat; cook and stir beef in hot oil in batches until browned on all sides, about 5 minutes per batch.Dotdash Meredith Food Studios"
14,6664882,4,Transfer to a large stockpot and reserve drippings in the skillet.Dotdash Meredith Food Studios
15,6664882,5,"Return skillet to medium heat; stir onions into the reserved drippings, drizzle olive oil over onions, season with 1/2 teaspoon salt and cook until onion has softened, about 5 minutes. Transfer to the stockpot with beef.Dotdash Meredith Food StudiosDotdash Meredith Food Studios"
16,6664882,6,"Combine paprika, caraway seeds, black pepper, marjoram, thyme, and cayenne pepper in the skillet and toast over medium heat until fragrant, about 3 minutes.Dotdash Meredith Food Studios"
17,6664882,7,Add 1 cup chicken broth and stir; transfer to the beef and onion mixture.Dotdash Meredith Food StudiosDotdash Meredith Food Studios
18,6664882,8,"Stir 3 cups chicken broth into beef mixture. Add tomato paste, garlic, vinegar, sugar, 1/2 teaspoon salt, and bay leaf; place stockpot over high heat and bring to a boil.Dotdash Meredith Food Studios"
19,6664882,9,"Reduce heat to low and simmer until a fork inserts easily into the meat, 1 1/2 to 2 hours.Dotdash Meredith Food Studios"
20,6593628,1,"Melt butter in a large soup pot over medium high heat. Saute onions until soft, then add beef and brown. Stir in caraway seed, marjoram, garlic and paprika. Pour water over all, lower heat to low and simmer for 2 1/2 hours."
21,6593628,2,"Add potatoes and cook until tender, another 45 minutes to 1 hour. Season with salt and pepper to taste and serve."
22,6739699,1,"In a large skillet over medium heat, cook the turkey until browned."
23,6739699,2,"Stir in the stewed tomatoes, garlic, tomato sauce, sugar and basil, and then simmer for about 20 minutes."
24,6739699,3,"Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente, and then drain. Combine the pasta and turkey mixture; toss and serve."
25,6587570,1,"Place ground beef in a large, deep skillet. Cook over medium-high heat until evenly brown. Drain, crumble, and set aside."
26,6587570,2,"Add all ingredients (except noodles) to browned ground meat and simmer for 1 hour, then add noodles."
27,6596019,1,"Turn on a multi-functional pressure cooker (such as Instant Pot) and select Saute function. Add beef, mushrooms, onion, garlic, salt, and pepper. Cook and stir until browned and crumbly, 5 to 7 minutes. Drain and discard fat."
28,6596019,2,"Add tomato sauce, diced tomatoes, water, dry noodles, soy sauce, Italian seasoning, and bay leaves. Close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 4 minutes. Allow 10 to 15 minutes for pressure to build."
29,6596019,3,"Release pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid. Remove bay leaves before serving."
30,6649597,1,"Heat a large saucepan over medium-high heat. Add ground beef; cook and stir until browned and crumbly, 5 to 7 minutes."
31,6649597,2,"Reduce heat to low. Add stewed tomatoes, macaroni, onion, garlic, chili powder, and paprika; mix well. Stir in tomato paste. Simmer, adding a little water as needed if the mixture gets too dry, until macaroni is tender, about 20 minutes."
32,6572165,1,"Bring a large pot of lightly salted water to a boil. Add egg noodles and cook until al dente, 8 to 10 minutes; drain."
33,6572165,2,Brown beef in a skillet over medium heat; drain extra grease.
34,6572165,3,"Mix in spaghetti sauce, corn, onion, and cheese with the beef over medium heat. Add in noodles and stir together to heat through."
35,6604560,1,"Fill a large pot with lightly salted water and bring to a rolling boil over high heat. Once water is boiling, stir in macaroni and return to a boil. Cook uncovered, stirring occasionally until pasta is tender and cooked through, about 10 minutes. Drain well."
36,6604560,2,"Cook ground beef in a skillet over medium heat, breaking meat up as it cooks until beef is browned and no longer pink. Drain excess fat. Stir in cream cheese until melted, then mix in condensed soup until thoroughly combined. Stir in milk, about 1/4 cup at a time, until the mixture has the consistency of gravy."
37,6604560,3,"Stir in macaroni, bring to a simmer, and serve."
38,6570716,1,"Fill a large pot with lightly salted water and bring to a rolling boil over high heat. Once water is boiling, stir in macaroni, and return to a boil. Cook pasta uncovered, occasionally stirring, until pasta has cooked through, but is still firm to the bite, about 8 minutes. Drain well in a colander set in the sink."
39,6570716,2,"Heat olive oil in a large pot over medium heat, and cook onion and garlic until onion is soft, about 5 minutes; stir in green pepper, and cook until tender, about 8 more minutes. Mash corned beef into the pot, and simmer until hot. Mix in tomato soup, ketchup, cooked macaroni, salt, and black pepper; stir to combine, and bring mixture to a simmer over medium-low heat. Sprinkle Parmesan cheese on top, and serve."
40,6574170,1,"Heat olive oil in a large skillet over medium heat, and sauté the onion until tender, 5 minutes. Mix in green pepper and mycoprotein pieces, and sauté until pepper is tender, another 5 minutes. Mix in garlic and paprika."
41,6574170,2,"Stir tomatoes with their juice into the skillet. Mix in wine, oregano, and tomato purée. Bring mixture to a boil. Reduce heat to low, and simmer until thickened, about 25 minutes."
42,6574170,3,"Just before serving, stir in sugar and season with salt and pepper."
43,6596865,1,"Heat 1 tablespoon oil in a large skillet over medium-high heat. Cook and stir onions until they soften and begin to brown at edges, 8 to 10 minutes. Add garlic and cook for 1 minute. Transfer mixture to a slow cooker. Cover and set cooker to Low heat."
44,6596865,2,"Mix together paprika, salt, and pepper in a large bowl. Toss meat cubes in the paprika mixture until evenly coated."
45,6596865,3,Heat one tablespoon of the oil in the skillet over medium-high heat. Put a third of the beef cubes into the skillet and cook until nicely browned on all sides. Transfer to the slow cooker. Pour 2 tablespoons of water into the skillet and scrape browned bits from the pan; pour liquid into the slow cooker. This prevents paprika from burning when you brown next batches of beef. Add another tablespoon of oil to the skillet and cook next batch the same way; repeat for third batch.
46,6596865,4,Stir tomato paste and the rest of water into the slow cooker; cover. Cook on High for 4 to 5 hours (or on Low for 6 to 9 hours).
47,6596865,5,"Fill a large pot with lightly salted water and bring to a rolling boil over high heat. Stir in egg noodles and cook uncovered, occasionally stirring, until noodles have cooked through, but are still firm to the bite, about 5 minutes. Drain."
48,6596865,6,Serve goulash over noodles with a dollop of sour cream and a sprig of parsley.
49,6591858,1,"Turn on a multi-functional pressure cooker (such as Instant Pot) and select the Sauté function. Add olive oil and turkey; cook until halfway browned and crumbly, 3 to 4 minutes. Stir in carrots, onion, bell pepper, Italian seasoning, garlic powder, seasoned salt, and black pepper."
50,6591858,2,"Mix water, Worcestershire sauce, and bouillon granules together in a small bowl. Pour into meat mixture and stir until well combined. Bring to a simmer, then stir in macaroni and paprika. Add tomatoes and tomato sauce, making sure not to stir after this addition. Close and lock the lid. Set the timer for 4 minutes. Allow about 10 minutes for pressure to build."
51,6591858,3,"Release pressure carefully using the quick-release method according to the manufacturer's instructions, about 5 minutes. Unlock and remove the lid."
52,6591858,4,Mix well before serving.
53,6582699,1,"Bring a large pot of lightly salted water to a boil. Cook macaroni in boiling water, stirring occasionally, until tender yet firm to the bite, about 8 minutes. Drain and set aside."
54,6582699,2,"Cook ground beef with onion, bell pepper, and mushrooms in a large saucepan over medium-high heat until brown and crumbly; drain grease. Stir in tomato sauce, water, stewed tomatoes, crushed tomatoes, corn, peas, and tomato paste; bring to a boil over medium heat. Mix in Parmesan cheese, garlic, parsley, salt, pepper, and sugar; simmer sauce for 20 to 25 minutes."
55,6582699,3,Stir macaroni into sauce until well combined. Serve hot or refrigerate for later.
56,6579848,1,"Place beef in a slow cooker and cover with onion. Stir together 1 cup water, ketchup, Worcestershire, brown sugar, salt, paprika, and mustard in a medium bowl. Pour mixture over beef and onion."
57,6579848,2,"Cover and cook on Low until meat is tender, 9 to 10 hours."
58,6579848,3,"Mix remaining 1/4 cup water with flour in a small bowl to form a paste; stir into goulash. Cook on High until sauce thickens, 10 to 15 minutes."
59,6602081,1,"Melt shortening in a large pot over medium heat. Cook beef in hot shortening until completely browned, 5 to 7 minutes. Stir onion, garlic, paprika, salt, and pepper into the beef; cook and stir 5 minutes more."
60,6602081,2,"Pour water and steak sauce into the pot; stir until beef mixture is evenly coated. Bring the mixture to a simmer, reduce heat to low, and cook until the beef is tender, about 15 minutes."
61,6602081,3,"Whisk flour into the water in a small bowl; stir into the beef mixture. Continue simmering stew until slightly thickened, 2 to 3 minutes."
62,6648825,1,"Cook and stir ground beef, bell pepper, and onion in a large pot over medium-high heat until beef is browned and crumbly and vegetables are soft, 5 to 7 minutes."
63,6648825,2,"Pour pinto beans into a saucepan and cook over medium heat until heated through, about 5 minutes. Stir in tomato paste."
64,6648825,3,"Combine 2 cups plus 2 tablespoons water, chili powder, sugar, salt, and pepper in a small bowl; stir into the beef mixture. Add pinto bean mixture. Cover and simmer for 20 minutes."
65,6648825,4,"While goulash cooks, bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally, until tender yet firm to the bite, about 8 minutes. Drain."
66,6648825,5,"Mix cooked macaroni into the goulash, cover, and simmer for 30 minutes to 1 hour."
67,6600353,1,"Heat oil in a Dutch oven over medium heat. Cook and stir onion in the hot oil until translucent, about 5 minutes. Increase heat to medium-high. Add ground beef, black pepper, and salt; cook and stir until browned and crumbly, about 10 minutes."
68,6600353,2,"Pour in tomatoes, beef broth, wine, paprika, garlic, Worcestershire, thyme, caraway seeds, rosemary, and bay leaves. Reduce heat to medium and simmer until reduced to a thick, stew-like consistency, about 45 minutes."
69,6600353,3,"Meanwhile, bring a large pot of lightly salted water to a boil. Cook cavatappi in the boiling water, stirring occasionally, until tender yet firm to the bite, 9 to 10 minutes."
70,6600353,4,Stir bell pepper and lemon juice into the beef mixture and cook for 10 minutes more. Stir in cooked pasta to coat.
71,6570318,1,"Prepare a large pot with cooking spray and place over medium heat; cook the beef stew meat in the pot until completely browned on all sides, 5 to 7 minutes. Add the onions; cook and stir until the onions begin to soften, about 5 minutes. Stir the water, ketchup, Worcestershire sauce, vinegar, brown sugar, paprika, salt, and mustard into the beef and onion mixture. Place a cover on the pot, reduce heat to low, and simmer the mixture until the beef is tender, about 2 1/2 hours."
72,6570318,2,"Bring a large pot of lightly salted water to a rolling boil. Cook the egg noodles at a boil until cooked through yet firm to the bite, about 5 minutes; drain. Serve the goulash over the noodles."
73,6597443,1,"Bring a pot of lightly salted water to a boil. Add the macaroni, and cook until tender, about 8 minutes. Drain."
74,6597443,2,"Meanwhile, crumble the ground beef into a 2 quart or larger casserole dish. Add the onion, celery and garlic. Cook in the microwave on High for 5 to 6 minutes, or until beef is no longer pink. Stir once during cooking. Drain off the grease."
75,6597443,3,"Stir the tomatoes, tomato sauce and sugar into the beef, and season with paprika, oregano, caraway seed, cayenne pepper and salt. Cover, and cook in the microwave on power level 8 for about 14 minutes, or until celery is tender and the flavors have blended."
76,6597443,4,"Remove from the microwave, and mix in the cooked macaroni. Cook for 2 to 3 more minutes, until heated through. Serve."
77,6574234,1,"Combine sirloin, flour, paprika, 1/2 teaspoon cayenne, and 1/4 teaspoon white pepper in a bowl. Stir until the meat is completely covered."
78,6574234,2,"Heat 1 teaspoon olive oil and bacon fat in a Dutch oven over medium-high heat. Add the meat, shaking off any excess flour; saute until nicely browned on all sides, 5 to 7 minutes. Transfer to a multi-functional pressure cooker (such as Instant Pot). Mix water and beef base together thoroughly in a bowl and pour over the beef."
79,6574234,3,Close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 20 minutes. Allow 10 to 15 minutes for pressure to build.
80,6574234,4,"Meanwhile, heat remaining olive oil in a pan over medium-high heat. Saute onion, bell pepper, and garlic in the hot oil until onion is translucent, 5 to 7 minutes. Add tomato paste and mix together. Reduce heat to low, cover, and set aside."
81,6574234,5,"Release Instant Pot pressure using the natural-release method according to manufacturer's instructions for 10 minutes. Release remaining pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid. Carefully remove the inner pot and use a slotted spoon to transfer the meat to the Dutch oven."
82,6574234,6,"Turn the heat up under the Dutch oven to medium and let cook, stirring constantly, about 5 minutes. Add the liquid from the Instant Pot carefully; mix to combine. Add pepper paste, dried shallot, remaining cayenne, and remaining white pepper. Taste for seasoning and cook over low heat until the mixture is thick, about 10 minutes. Garnish with sour cream and serve."
83,6572886,1,"Melt butter in a large pot over medium heat. Add the stew meat, caraway seeds, onion and paprika. Cook and stir until the meat is browned, and the onions are translucent. Add the garlic and lemon zest, and cook for about a minute, then stir in the tomato paste and beef consomme, adding water if necessary to cover the meat. Cover, and simmer over medium-low heat for 1 1/2 hours."
84,6572886,2,"Just before the meat is done cooking, bring a large pot of salted water to a boil. Add egg noodles, and cook until tender, about 8 minutes. Drain and serve the goulash spooned over the egg noodles."
85,6575461,1,"Melt lard in a pot over high heat. Add onions; cook and stir until browned, about 15 minutes. Remove pot from heat, add paprika, and stir quickly to combine with onions and prevent burning."
86,6575461,2,"Add meat to the pot and place over high heat. Cook and stir until browned on all sides, 5 to 10 minutes. Season with salt and pepper. Add tomato paste and stir to combine. Add water, garlic, and cumin. Reduce heat to low and cover the pot. Cook, stirring occasionally, until meat is very soft, at least 1 1/2 hours. Stir in marjoram and cook another 10 minutes."
87,6601147,1,"Set a slow cooker to High, and place diced tomatoes and brown sugar into the cooker; stir to combine."
88,6601147,2,"Heat olive oil in a non-stick skillet over medium-high heat, and cook and stir onion until lightly browned, about 10 minutes. Mix in the ginger, cinnamon, cumin, and coriander; cook and stir until the spices release their fragrance, about 2 minutes. Stir in the chicken, and cook and stir until chicken is no longer pink. Mix the garbanzo beans into the chicken mixture, and bring to a simmer. Transfer the mixture into the slow cooker, and mix with tomatoes."
89,6601147,3,"Place pumpkin into the same skillet, and reduce heat to medium. Cook until the pumpkin is hot and some pieces are slightly browned, about 10 minutes, stirring often. Place pumpkin into the cooker, and cover."
90,6601147,4,"Cook the stew on the High setting for 1 hour; reduce cooker setting to Low, and cook until pumpkin is tender, 3 to 4 more hours. Season with salt and black pepper. If stew seems too liquid, mix cornstarch into water in a small cup until smooth, and stir the slurry into the stew. Cook until thickened, about 30 minutes."
91,6599198,1,"In a large skillet over medium high heat, fry the bacon for 5 to 10 minutes, or until well browned. Using a slotted spoon, remove the bacon from the skillet and set aside. In small batches, saute the meat in the bacon fat until browned. Use a slotted spoon and set the stew meats aside as well."
92,6599198,2,"Melt the butter in the bacon fat in the same skillet over medium heat. Add the onion and garlic and saute for 5 minutes. Stir in the flour, caraway seeds, paprika and crushed red pepper flakes. Stir for two minutes until all the flour is dissolved. Whisk in the vinegar and tomato. The mixture should be very thick."
