,id_recipe,Step_Count,Step Description
0,6737549,1,"Heat fat from turkey drippings in a saucepan over medium-low heat until liquefied, 2 to 3 minutes. Whisk flour into turkey fat until golden, about 5 minutes."
1,6737549,2,"Whisk liquid from turkey drippings and turkey stock into fat-flour mixture; increase heat to medium and cook, whisking continuously, until gravy is smooth and desired consistency, 5 to 10 minutes. Season gravy with pepper."
2,6649043,1,Gather all ingredients.Allrecipes/Oana Ennis
3,6649043,2,Preheat the oven to 400 degrees F (200 degrees C).
4,6649043,3,Arrange turkey wings in a single layer in a large roasting pan; scatter onions over top.Allrecipes/Oana Ennis
5,6649043,4,"Roast in the preheated oven until wings are browned, about 1 hour 15 minutes.Allrecipes/Oana Ennis"
6,6649043,5,Transfer wings and onions to a 5-quart stockpot.Allrecipes/Oana Ennis
7,6649043,6,"Add water to the roasting pan and stir, scraping up any brown bits on the bottom of the pan.Allrecipes/Oana Ennis"
8,6649043,7,Pour water and pan scrapings into the stockpot.Allrecipes/Oana Ennis
9,6649043,8,"Stir in 6 cups chicken broth, carrots, and thyme. Set over medium-high heat and bring to a boil.Allrecipes/Oana Ennis"
10,6649043,9,"Reduce heat to medium-low and simmer, uncovered, for 1 1/2 hours."
11,6649043,10,Transfer wings to a cutting board and let sit until cool enough to handle. Pull off skin and meat. Discard skin and reserve meat for another use.Allrecipes/Oana Ennis
12,6649043,11,Pour contents of the stockpot through a large strainer into a 3-quart saucepan. Press on vegetables in the strainer to extract any remaining liquid; discard vegetables.Allrecipes/Oana Ennis
13,6649043,12,"Skim and discard fat from the turkey broth, then bring to a gentle boil.Allrecipes/Oana Ennis"
14,6649043,13,Whisk flour into the remaining 2 cups chicken broth in a bowl until smooth.Allrecipes/Oana Ennis
15,6649043,14,"Gradually whisk flour mixture into the simmering turkey broth. Simmer, whisking occasionally, until gravy has thickened, 3 to 4 minutes. Stir in butter and pepper.Allrecipes/Oana Ennis"
16,6649043,15,"Serve immediately or pour into containers, cool, and refrigerate or freeze."
17,7497364,1,Gather all ingredients.Dotdash Meredith Food Studios
18,7497364,2,Pour pan drippings into a large measuring cup. Scrap the browned bits into a 2 cup measure.Dotdash Meredith Food Studios
19,7497364,3,Skim and reserve fat from drippings.Dotdash Meredith Food Studios
20,7497364,4,"Pour 1/4 cup of the fat into a medium saucepan. If you don’t have 1/4 cup fat, add enough butter to equal 1/4 cup. Set over medium heat.Dotdash Meredith Food Studios"
21,7497364,5,"Whisk in flour. Continue cooking for 1 to 2 minutes, whisking constantly.Dotdash Meredith Food Studios"
22,7497364,6,Add stock or broth to the remaining drippings in the measuring cup to equal 2 cups.Dotdash Meredith Food Studios
23,7497364,7,Slowly whisk in stock mixture until fully incorporated.Dotdash Meredith Food Studios
24,7497364,8,"Cook, stirring frequently, over medium heat until thickened and bubbly, Cook and stir 1 minute more. Season to taste with salt and pepper.Dotdash Meredith Food Studios"
25,6931031,1,"Gather ingredients. Preheat an oven to 450 degrees F (230 degrees C). Line a baking sheet with foil. Spread out onions, carrots, and celery on the prepared baking sheet. Set rib bones on top.ALLRECIPES / NELLY CUANALO"
26,6931031,2,"Roast until bones are deep brown and onions are black, about 1 hour. Use a spatula or tongues to transfer bones and vegetables into a saucepan. Drain off and reserve any rendered fat from the baking sheet for the gravy.ALLRECIPES / NELLY CUANALO"
27,6931031,3,"Add broth and water to the saucepan, and bring to a boil on high heat. Reduce heat to low and simmer until meat falls off bone and is flavorless, about 4 hours. Skim any fat from the surface and reserve.ALLRECIPES / NELLY CUANALO"
28,6931031,4,Strain broth and let cool to room temp.ALLRECIPES / NELLY CUANALO
29,6931031,5,Melt butter in a pot on medium-high and sauté mushrooms until well browned. Add 2 tablespoons rendered beef fat and stir until melted. Add flour and cook for a few minutes.ALLRECIPES / NELLY CUANALO
30,6931031,6,"Whisk in broth, and bring to a simmer. Cook, stirring occasionally, about 5 minutes. Reduce heat to medium and simmer until gravy has thickened to desired thickness, 5 to 10 minutes moreALLRECIPES / NELLY CUANALO"
31,6931031,7,"Adjust salt to taste and season with freshly ground black pepper, cayenne, and balsamic vinegar.ALLRECIPES / NELLY CUANALO"
32,6931031,8,Serve and enjoy!ALLRECIPES / NELLY CUANALO
33,6651099,1,"Melt butter in a saucepan over medium-low heat. Gradually whisk in flour, reduce heat to low, and stir until the roux has turned golden and smells like a cooked pie crust, 10 to 12 minutes.Dotdash Meredith Food Studios"
34,6651099,2,"Whisk in about 2 cups of cold stock, a little at a time, stirring to remove any lumps. Add remaining 2 cups stock.Dotdash Meredith Food Studios"
35,6651099,3,"Cook, stirring occasionally, until gravy is thick enough to coat the back of a spoon, 10 to 15 minutes.Dotdash Meredith Food Studios"
36,6651099,4,"Stir in heavy cream, and season with salt, white pepper, and cayenne. Taste and if the gravy still tastes starchy, let it simmer a little longer, adding more cold stock if necessary."
37,6651099,5,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
38,6650771,1,Gather all ingredients.Allrecipes/Nelly Cuanalo
39,6650771,2,"Simmer water, giblets, onion, celery, bouillon, salt, and pepper in a 2-quart saucepan for 40 to 50 minutes.Allrecipes/Nelly Cuanalo"
40,6650771,3,"Transfer liver and neck to a cutting board; chop meat and set aside. Discard celery, onion, neck muscle, and any other giblets.Allrecipes/Nelly Cuanalo"
41,6650771,4,Return chopped liver and neck meat to the saucepan; add chicken broth and chopped eggs and set over medium heat.Allrecipes/Nelly Cuanalo
42,6650771,5,Mix milk and cornstarch together in a small bowl; slowly add to the saucepan.Allrecipes/Nelly Cuanalo
43,6650771,6,"Reduce heat to low; cook and stir until gravy has thickened, 3 to 5 minutes.Allrecipes/Nelly Cuanalo"
44,6650771,7,Serve hot and enjoy!Nelly Cuanalo/Allrecipes
45,6663686,1,Place steaks between 2 layers of plastic and pound to a thickness of 1/4 inch.Dotdash Meredith Food Studios
46,6663686,2,Place 2 cups flour in a shallow bowl.
47,6663686,3,"Stir together baking powder, baking soda 1 teaspoon pepper, and 3/4 teaspoon salt in second shallow bowl. Add buttermilk, Tabasco sauce, egg, and garlic; stir to combine.Dotdash Meredith Food StudiosDotdash Meredith Food Studios"
48,6663686,4,Heat shortening in a deep cast-iron skillet to 325 degrees F (165 degrees C). Place a wire rack over a sheet of parchment paper.
49,6663686,5,"While the shortening is heating, dredge a steak in flour to coat; shake off excess. Dip into buttermilk batter; lift up so excess batter drips back into the bowl. Press in flour again to coat both sides completely. Place breaded steak on the wire rack and repeat to bread remaining steaks.Dotdash Meredith Food Studios"
50,6663686,6,"Fry steaks, in batches if necessary, until evenly golden brown, 3 to 5 minutes per side. Remove steaks to a paper towel-lined plate to drain. Cover with foil to keep warm while you make the gravy.Dotdash Meredith Food Studios"
51,6663686,7,"Drain fat from the skillet, reserving 1/4 cup of the liquid and as much of the solid remnants as possible."
52,6663686,8,Return the skillet to medium-low heat; add the reserved oil. Whisk the remaining 1/4 cup flour into the oil. Scrape the bottom of the pan with a spatula to release solids into the gravy.Dotdash Meredith Food Studios
53,6663686,9,"Stir in milk, increase the heat to medium, and bring the gravy to a simmer. Cook, stirring often, until thick, 6 to 7 minutes. Season with kosher salt and pepper.Dotdash Meredith Food Studios"
