,id_recipe,Step_Count,Step Description
0,6648596,1,Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a large baking dish.
1,6648596,2,"Bring water to a boil in a large saucepan; stir in grits. Reduce the heat, cover, and simmer until liquid has been absorbed, about 5 minutes. Mix in 2 cups Cheddar cheese and 1/2 of the butter until melted."
2,6648596,3,"Cook sausage in a skillet over medium-high heat until browned and crumbly, 5 to 7 minutes. Drain and add to grits mixture."
3,6648596,4,"Whisk eggs and milk together in a bowl. Pour into the skillet used to cook the sausage. Lightly scramble eggs over medium-low heat, then mix into grits mixture."
4,6648596,5,"Pour grits mixture into the prepared baking dish. Dot with remaining butter, sprinkle with remaining 1 cup Cheddar, and season with salt and pepper."
5,6648596,6,"Bake in the preheated oven until lightly browned, about 30 minutes."
6,6590930,1,"Bring water and salt to a boil in a saucepan. Whisk in grits; continue to whisk for 1 minute. When the mixture comes to a boil again, turn the heat to low. Stir frequently, cook for 10 to 15 minutes."
7,6590930,2,"Remove grits from the heat and add cheese, butter, and pepper; mix well. Stir until butter and cheese are melted."
8,6576722,1,Preheat oven to 350 degrees F (175 degrees C). Butter a 9x12-inch baking dish.
9,6576722,2,"Bring milk, water, and salt to a boil in a large saucepan; gradually sprinkle grits into the boiling liquid, stirring to combine. Cook until thickened, about 5 minutes."
10,6576722,3,"Stir processed cheese, sharp Cheddar cheese, butter, and garlic powder into grits, stirring until cheese has melted. Let the mixture stand until cooled, about 15 minutes. Stir beaten eggs into grits; transfer to prepared baking dish."
11,6576722,4,"Bake in the preheated oven until the top is lightly golden brown and the grits are set, about 45 minutes."
12,6580286,1,"Bring water and salt to a boil in a saucepan. Whisk in grits, reduce heat to medium-low, and cook until thickened, 5 to 6 minutes. Remove from heat."
13,6580286,2,"Stir in Cheddar cheese, Parmesan cheese, and butter until fully combined and cheeses have melted. Season with pepper and serve immediately."
14,6588200,1,Preheat oven to 350 degrees F (175 degrees C). Lightly grease a medium baking dish.
15,6588200,2,"Bring the milk to a boil in a pot over medium heat. Melt 1/2 cup butter in the boiling milk. Gradually mix in the grits, and cook 5 minutes, stirring constantly. Remove from heat, and season with salt and pepper. Beat with a whisk or electric mixer until smooth. Mix in the Cheddar cheese and 1/3 cup butter. Transfer to the prepared baking dish, and sprinkle with Parmesan cheese."
16,6588200,3,"Bake 1 hour in the preheated oven, until firm."
17,6592391,1,Preheat oven to 350 degrees F (175 degrees C). Grease a 2-quart baking dish.
18,6592391,2,"Beat milk, egg, garlic powder, and hot pepper sauce in a bowl."
19,6592391,3,"Bring water and salt to a boil in a saucepan; cook and stir grits in boiling water until thickened, 3 to 5 minutes. Remove from heat; add butter and about 1/2 of the Cheddar cheese. Stir egg mixture into grits and pour grits into the prepared baking dish. Sprinkle remaining Cheddar cheese over grits."
20,6592391,4,"Bake in the preheated oven until cheese is melted and grits are set, about 1 hour. Allow grits to cool 20 to 30 minutes before serving. Grits should be cornbread-like."
21,6738848,1,"Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until almost crisp, 5 to 7 minutes. Remove from heat and transfer bacon to a dish, leaving drippings in the skillet."
22,6738848,2,"Whisk 1/4 cup water, cream, lemon juice, and Worcestershire sauce together in a bowl."
23,6738848,3,"Stir 4 cups water, butter, and 1 teaspoon salt together in a pot; bring to a boil. Whisk grits into pot, bring to a simmer, reduce heat to low, and cook until grits are creamy, 20 to 25 minutes. Remove from heat and stir white Cheddar cheese into grits."
24,6738848,4,"Place shrimp in a large bowl and season with Cajun seasoning, 1/2 teaspoon salt, black pepper, and a pinch of cayenne pepper."
25,6738848,5,"Heat skillet with bacon drippings over high heat. Cook shrimp in hot bacon fat in a single layer for 1 minute. Turn shrimp and add jalapeno; cook until fragrant, about 30 seconds. Stir cream mixture, bacon, green onion, and garlic to shrimp mixture; cook and stir, adding water as necessary to thin the sauce, until shrimp are cooked through, 3 to 4 minutes. Remove from heat and stir in parsley."
26,6738848,6,Ladle grits into a bowl and top with shrimp and sauce.
27,6596255,1,"Bring water to a boil in a pot over high heat. Add salt and pepper. Stir in grits; reduce heat and let simmer until water is absorbed, 20 to 25 minutes. Remove from heat and stir in Cheddar cheese and butter. Cover and set aside."
28,6596255,2,Rinse shrimp and pat dry.
29,6596255,3,"Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels."
30,6596255,4,"Heat remaining bacon grease in the skillet over medium heat. Cook shrimp until bright pink on the outside and opaque, 3 to 4 minutes. Add bacon, scallions, parsley, garlic, and lemon juice; cook for 3 minutes."
31,6596255,5,Spoon grits into a serving bowl. Add shrimp mixture and mix well. Serve immediately.
32,6596631,1,Preheat oven to 350 degrees F (175 degrees C). Grease a 9x12 inch baking dish.
33,6596631,2,"Bring chicken broth and salt to a boil in a large saucepan over high heat. Stir in the grits, return to a simmer, then reduce heat to medium-low, and continue cooking for 20 minutes, stirring frequently."
34,6596631,3,"Meanwhile, melt the margarine in a skillet over medium heat. Stir in the green onions, green pepper, and garlic; cook until the peppers have softened, about 5 minutes. Stir in the shrimp, and cook until they begin to firm."
35,6596631,4,"Stir the Monterey Jack cheese, 3/4 cup Cheddar cheese, shrimp and vegetable mixture, canned tomatoes, and black pepper into the grits; pour into prepared baking dish and sprinkle with remaining 1/4 cup Cheddar cheese."
36,6596631,5,"Bake in preheated oven until the cheese is bubbly and beginning to brown, 30 to 45 minutes."
37,6575764,1,"Bring water and 1 pinch of salt to a boil in a saucepan and slowly mix in the grits, stirring constantly. Reduce heat to low and simmer grits until tender and smooth, about 20 minutes; stir often. Set aside and keep warm."
38,6575764,2,"Heat olive oil in a large skillet over medium-high heat; cook and stir tasso ham until crisp. Stir in onion and green bell pepper and cook until onion is translucent, about 4 minutes. Lightly stir the shrimp with the vegetables and olive oil just until pink, 30 to 45 seconds; remove shrimp from pan and set aside."
39,6575764,3,"Pour white wine into the skillet and stir, dissolving any browned bits of food in the bottom of the skillet; slowly add the cream, reduce heat to low, and simmer until thickened, about 10 minutes. Season with salt and black pepper."
40,6575764,4,Divide the grits onto 2 serving plates and line the edge of each plate with 10 shrimp. Pour cream sauce over grits and sprinkle each serving with chopped green onion tops.
41,6601442,1,"Pour chicken broth and evaporated milk into a large saucepan and bring to a boil. Stir in grits and salt; return to a boil. Reduce heat to low, cover, and simmer grits, stirring often, until thick, about 5 minutes. Stir in 1 cup Cheddar cheese until melted. Set grits aside and keep warm."
42,6601442,2,"Heat a large skillet over medium heat. Cook and stir bacon in the hot skillet until crisp, 8 to 10 minutes. Use a slotted spoon to transfer bacon to a paper towel-lined plate. Drain all but 2 tablespoons bacon drippings from the skillet."
