,id_recipe,Step_Count,Step Description
0,6745427,1,Preheat the oven to 300 degrees F (150 degrees C). Line a baking sheet with parchment paper.
1,6745427,2,Arrange the pretzels in a single layer on the tray. Place a single Hersey's Hug on the center of each pretzel.
2,6745427,3,"Bake until hugs start to melt slightly, 4 to 5 minutes. You want the chocolate candies to be soft but not entirely melted."
3,6745427,4,"Remove from the oven and quickly place a candy corn on top of each hug, pressing down to secure in the chocolate. Move to the fridge to cool for about 30 minutes."
4,6750360,1,Spread guacamole in the bottom of a round serving dish in an even layer.
5,6750360,2,Mix 1 cup of the sour cream with the taco seasoning in a bowl. Spread the seasoned sour cream mixture evenly over the guacamole layer.
6,6750360,3,"Sprinkle cheese on top of the sour cream, then pour salsa evenly over the cheese, covering ot completely."
7,6750360,4,"Pour refried beans into a microwave-safe container and warm until softened (this will make it easier to spread). Spread over the top of the salsa layer, leaving about 1 inch of the salsa showing around the edge of the dish."
8,6750360,5,"Place the remaining 1/2 cup of sour cream into a piping bag, or a plastic bag with the corner snipped off. Pipe a spiderweb pattern on top of the bean layer."
9,6750360,6,Add a spider to the top by cutting the large black olive in half lengthwise to make the spider's body. Cut four of the sliced olives in half to create eight legs. Arrange the pieces on top of the web.
10,6750360,7,Arrange the remaining sliced black olives and the chopped green onions around the edge of the dip.
11,6575128,1,Preheat the oven to 375 degrees F (190 degrees C).
12,6575128,2,"Unroll crescent dough. Pinch or press the perforation between the triangles to get four rectangular pieces. Cut rectangles in half lengthwise, making eight narrow strips."
13,6575128,3,"Make a 2-inch slice through the center of one end of a hot dog. Cut two more 2-inch slices on either side of that slice, so the ""legs"" are about the same thickness. Repeat on other end. Cut ""legs"" into remaining hot dogs."
14,6575128,4,Roll a crescent strip around center of each dog. Place spider dogs on an ungreased baking sheet.
15,6575128,5,"Bake in the preheated oven until golden brown, about 11 minutes. Dip a chopstick into some ketchup and dot ""eyes"" onto each spider. Serve with remaining ketchup."
16,6754872,1,Gather all ingredients. Grease an 8x8 baking dish and line with parchment paper.
17,6754872,2,Place chopped chocolate into a heatproof bowl. Melt butter in a sauce pan over medium heat and pour over chocolate. Let sit for 5 minutes until chocolate starts to melt. Mix well until chocolate has completely melted.
18,6754872,3,Combine eggs and sugar in a bowl and mix with an electric mixer on high speed until light and pale yellow in color. Add vanilla extract and salt. Continue mixing on high for 1 minute.
19,6754872,4,Transfer in chocolate-butter mixture and mix until well combined for 30 seconds. Fold in flour with a spatula until flour has disappeared. Set aside 2 teaspoons of brownie batter.
20,6754872,5,Transfer remaining batter into the baking dish and distribute evenly. Smooth out the top with a spatula.
21,6754872,6,"For the cheesecake ghosts combine softened cream cheese, sugar, egg white, and vanilla extract in a bowl. Whisk until mixture is well combined."
22,6754872,7,Set 9 tablespoons of cheesecake dollops onto the brownie batter in an even pattern. Spread out dollops into ghost-like shapes with a spoon and a bamboo skewer.
23,6754872,8,"Transfer reserved brownie batter into a small plastic bag, snip off one corner, and pipe 2 eyes and a mouth onto each cheesecake ghost."
24,6754872,9,Preheat the oven to 350 degrees F (175 degrees C).
25,6754872,10,"Bake brownies in the center of the oven until edges are lightly golden brown and the center is just set, 35 to 40 minutes. Because these are very fudgy, chewy style brownies, a toothpick will not come out clean, so that's not a reliable test for this recipe."
26,6754872,11,Allow brownies to cool completely in the pan before transferring them to a plate and cutting them into squares.
27,6575510,1,Preheat a waffle iron according to manufacturer's instructions.
28,6575510,2,"Combine flour, brown sugar, baking powder, cinnamon, allspice, ginger, and salt in a mixing bowl. Stir milk, pumpkin, and egg yolks together in a separate bowl. Whip egg whites in a clean dry bowl until soft peaks form.Dotdash Meredith Food Studios"
29,6575510,3,"Stir the flour mixture and 1/4 cup melted butter to the pumpkin mixture, stirring just to combine. Use a whisk or rubber spatula to fold 1/3 of the egg whites into the batter, stirring gently until incorporated. Fold in the remaining egg whites. Cook waffles according to manufacturer's instructions.Dotdash Meredith Food StudiosDotdash Meredith Food Studios"
30,6575510,4,"To make the syrup: Stir sugar, cornstarch, and cinnamon together in a saucepan. Stir in apple cider and lemon juice. Cook over medium heat until mixture begins to boil; boil until the syrup thickens. Remove from heat and stir in 2 tablespoons of butter until melted. Serve warm.Dotdash Meredith Food Studios"
31,6586247,1,Preheat the oven to 375 degrees F (190 degrees C). Grease two cookie sheets.
32,6586247,2,"Cream sugar and butter in a large bowl with an electric mixer until light and fluffy. Mix in pumpkin purée, egg, and vanilla."
33,6586247,3,"Sift flour, baking powder, baking soda, cinnamon, and salt together into a medium bowl. Stir flour mixture into pumpkin mixture until well blended. Stir in cranberries, walnuts, and orange zest. Drop teaspoonfuls of dough 2 inches apart onto the prepared baking sheets."
34,6586247,4,"Bake in the preheated oven until the edges are golden, 10 to 12 minutes."
35,6586247,5,Remove from the oven and transfer to wire racks to cool.
36,6664789,1,Gather all ingredients.Dotdash Meredith Food Studios
37,6664789,2,Cream together butter and sugar in a large bowl with an electric mixer until smooth.Dotdash Meredith Food Studios
38,6664789,3,"Beat in eggs and vanilla. Stir in flour, baking powder, and salt. Cover, and chill dough for at least 1 hour (or overnight).Dotdash Meredith Food Studios"
39,6664789,4,Preheat the oven to 400 degrees F (200 degrees C).
40,6664789,5,Lightly dust a work surface with flour. Roll out dough to 1/4 to 1/2 inch thickness.Dotdash Meredith Food Studios
41,6664789,6,Cut into shapes with any cookie cutter. Place cookies 1 inch apart on ungreased baking sheets.Dotdash Meredith Food Studios
42,6664789,7,"Bake in the preheated oven until cookies are lightly browned, 6 to 8 minutes. Carefully transfer cookies to a wire rack and cool completely before decorating.Dotdash Meredith Food Studios"
43,6664789,8,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
44,6651198,1,Preheat oven to 300 degrees F (150 degrees C) and gather ingredients.
45,6651198,2,Toss seeds in a bowl with the melted butter and salt. Spread the seeds in a single layer on a baking sheet and bake for about 45 minutes or until golden brown; stir occasionally.
46,6651198,3,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
47,6649767,1,Preheat the oven to 400 degrees F (200 degrees C).
48,6649767,2,"Make the pastry crust: Mix flour and salt together in a bowl. Cut in shortening with a pastry blender until mixture resembles coarse crumbs. Mix in 3 tablespoons water, one at a time, until dough is moist enough to hold together. Add up to 1 more tablespoon water if needed."
49,6649767,3,Shape dough into a ball with lightly floured hands. Roll dough on a lightly floured surface to a thickness of 1/8 inch. Place a 9-inch pie pan upside-down on the dough; use a sharp knife to cut a circle of dough 1 1/2 inches larger than the pie pan. Remove and discard dough scraps and set pie pan aside.
50,6649767,4,"Gently roll circular piece of dough around the rolling pin; transfer it right-side up over the pie pan. Unroll, easing dough into the bottom of the pan. Use two hands to flute the dough around the top edges."
51,6649767,5,"Make the filling: Beat pumpkin, evaporated milk, brown sugar, eggs, cinnamon, ginger, nutmeg, and salt in a large bowl with an electric mixer until well combined. Pour into the prepared crust."
52,6649767,6,"Bake in the preheated oven until a knife inserted into the filling 1 inch from the edge comes out clean, 40 to 60 minutes. Cover the edges with foil if needed to prevent from burning as the filling cooks."
53,6649767,7,Remove from the oven and cool to room temperature before serving.
54,6650202,1,Preheat the oven to 350 degrees F (175 degrees C). Grease two cookie sheets.
55,6650202,2,"To make the cookies: Combine flour, cinnamon, baking powder, baking soda, nutmeg, cloves, and salt in a medium bowl."
56,6650202,3,"Cream together sugar and butter in a mixing bowl until fluffy, 2 to 3 minutes. Add pumpkin, egg, and vanilla; beat until creamy. Mix in flour mixture until combined. Drop tablespoonfuls of dough onto the prepared cookie sheets; flatten slightly."
57,6650202,4,"Bake in the preheated oven until centers are set, 15 to 20 minutes, switching racks halfway through. Transfer cookies to a wire rack to cool to room temperature, about 30 minutes."
58,6650202,5,"Meanwhile, make the icing: Stir together confectioners' sugar, milk, butter, and vanilla in a bowl until smooth. Add milk as needed, to achieve drizzling consistency."
59,6650202,6,Drizzle icing over cooled cookies with a fork.
60,6738370,1,Finely crush chocolate cookies in a food processor; set crumbs aside.
61,6738370,2,"Combine cream cheese, butter, and confectioner's sugar in a large bowl; beat with an electric mixer until smooth."
62,6738370,3,"Whisk milk, whipped topping, and pudding together in a separate large bowl; fold in cream cheese mixture until well combined."
63,6738370,4,"Alternately layer crushed cookies and pudding mixture in a medium flower pot, starting and ending with cookies. Chill dirt cake in the refrigerator until ready to serve; garnish as desired."
64,6651054,1,Preheat the oven to 350 degrees F (175 degrees C). Grease a baking sheet.
65,6651054,2,"Combine pumpkin, sugar, oil, and egg in a large bowl. Dissolve baking soda into milk in a small bowl and stir in."
66,6651054,3,"Stir together flour, baking powder, cinnamon, and salt in a separate bowl. Add flour mixture to pumpkin mixture and mix well. Add chocolate chips, walnuts, and vanilla; stir just to combine."
67,6651054,4,"Drop by spoonful on the prepared cookie sheet and bake in the preheated oven until lightly brown and firm, approximately 10 minutes."
68,6648762,1,"Place softened butter, sugar, egg, almond extract, and vanilla extract in a mixing bowl; beat together with an electric mixer until smooth. Gradually add flour, baking powder, and salt, continually beating until combined; refrigerate dough for 20 to 30 minutes."
69,6648762,2,Preheat the oven to 325 degrees F (165 degrees C). Lightly grease baking sheets.
70,6648762,3,Remove dough from refrigerator in small amounts. Scoop 1 heaping teaspoon at a time onto a piece of waxed paper. Use the waxed paper to roll the dough into a thin finger-shaped cookie. Press one almond into one end of each cookie to give the appearance of a long fingernail. Squeeze cookie near the tip and again near the center of each to give the impression of knuckles. You can also cut into the dough with a sharp knife at the same points to help give a more finger-like appearance. Arrange the shaped cookies on the baking sheets.
71,6648762,4,"Bake in the preheated oven until the cookies are slightly golden in color, 20 to 25 minutes."
72,6648762,5,Remove the almond from the end of each cookie; squeeze a small amount of red decorating gel into the cavity; replace the almond to cause the gel to ooze out around the tip of the cookie.
73,6579716,1,Grease a 9x13-inch baking dish with cooking spray; set aside.
74,6579716,2,"Heat oil in a 4-quart saucepan over high heat. Add popcorn kernels to hot oil. Cover the pan and cook until popping ceases, shaking the pot occasionally. Remove from heat and pour popcorn into the prepared dish."
75,6579716,3,"Melt butter in a medium saucepan over low heat. Cook and stir marshmallows in hot butter until melted. Pour marshmallow mixture over popcorn, then use a spoon to mix thoroughly until evenly coated."
76,6579716,4,Allow mixture to cool enough to handle. Spray your hands with cooking spray. Shape popcorn with your hands into 8 equal balls.
77,6577231,1,Preheat oven to 375 degrees F (190 degrees C).
78,6577231,2,"Beat butter, brown sugar, and white sugar together in a bowl until creamy. Add pumpkin, egg, and vanilla extract; beat until smooth."
79,6577231,3,"Mix flour, oats, cinnamon, baking soda, baking powder, and salt in a separate bowl; stir into creamed butter until combined. Fold chocolate chips into batter. Drop 1 to 2 tablespoons batter for each cookie onto a baking sheet."
80,6577231,4,"Bake in the preheated oven until the edges of each cookie are lightly browned, 10 to 12 minutes."
81,6651120,1,"Place ground beef and onion in a large skillet over medium heat; cook and stir until beef is browned and crumbled, about 10 minutes."
82,6651120,2,"Stir in green pepper and garlic; cook and stir until softened, 2 to 3 minutes. Add 1 cup water and stir, scraping the pan to dissolve any brown flavor bits from the bottom of the skillet."
83,6651120,3,"Stir in ketchup, brown sugar, Dijon mustard, salt, black pepper, and Worcestershire sauce. Add remaining 1 cup water and bring mixture to a boil. Reduce heat to low and simmer, stirring occasionally, until liquid has evaporated and mixture is thick, about 40 minutes."
84,6651120,4,"Season with salt, black pepper, Worcestershire sauce, and cayenne pepper."
85,6648679,1,"Pour milk for pumpkin layer into large bowl. Add pumpkin puree, pudding mix, cinnamon, ginger, and cloves and whisk until thoroughly mixed. Let sit until thickened, about 5 minutes."
86,6648679,2,"Meanwhile, beat cream cheese, milk, and sugar for cheesecake layer in a large bowl with an electric mixer until smooth. Gently stir in whipped topping. Spoon into graham cracker crust and spread into an even layer."
87,6648679,3,"Spread thickened pumpkin mixture over top. Cover and refrigerate until set, about 4 hours."
