,id_recipe,Step_Count,Step Description
0,7566683,1,"Trim ends from zucchini and cut into quarters. Trim out seeds if zucchini are really big. Cut into 1 ½-inch pieces and add to a bowl. Toss thoroughly with 2 tablespoons kosher salt and let sit for 15 to 20 minutes, tossing halfway through."
1,7566683,2,Transfer zucchini to a strainer and rinse off salt very thoroughly. Let drain well before transferring to a bowl.
2,7566683,3,Set an oven rack about 6 inches from the heat source and preheat the oven's broiler. Line a baking sheet with foil.
3,7566683,4,"Toss zucchini with 2 tablespoons olive oil, toss, and spread out in a single layer on the prepared baking sheet, making sure zucchini pieces touch each other."
4,7566683,5,"Broil on high heat until zucchini start to brown and are lightly charred, 5 to 6 minutes. Remove pan and turn zucchini pieces over. Return and broil until zucchini are tender but not mushy, and nicely browned, 5 to 6 minutes longer."
5,7566683,6,"Transfer zucchini to a strainer and let drain until cooled to room temperature, about 45 minutes."
6,7566683,7,"Combine drained zucchini, remaining 2 tablespoons olive oil, tahini, garlic, lemon juice, basil, ½ teaspoon salt, cumin, black pepper, and cayenne in a blender. Blend until smooth, and taste for seasoning. You can also use an immersion blender."
7,7566683,8,Wrap and chill before serving.Chef John
8,7550363,1,Remove steak from refrigerator and let stand at room temperature 30 minutes to an hour before cooking.
9,7550363,2,"Preheat the grill to medium-high, 400 to 450 degrees F (200 to 230 degrees C). Sprinkle steak evenly and liberally on all sides with salt and black pepper."
10,7550363,3,"Lightly coat grill grates with oil or grilling spray. Place steak on hot grates, and grill, undisturbed, until it releases easily from the grates, about 4 minutes. Flip, and repeat on the other side. Continue grilling, turning occasionally, until a thermometer inserted into the thickest portion of steak registers 125 degrees F (52 degrees C), 30 to 40 minutes."
11,7550363,4,Transfer steak to a cutting board; let rest 15 minutes. Run a knife along the inside edge of the bone to remove steak from the bone in 1 piece; slice against the grain to serve.Meredith Food Studios
12,7558651,1,Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper or a silicone baking mat.
13,7558651,2,"Using a tablespoon, create 16 mounds of cheese, about 2 inches in diameter, spaced at least 1 inch apart, on the prepared baking sheet. Press down on the middle of each mound to make them evenly thick."
14,7558651,3,"Bake in the preheated oven until cheese is completely melted and edges are browned, 4 to 6 minutes. Remove from the oven to cool for 15 minutes. Remove from baking sheet and store at room temperature in an air-tight container for up to 5 days."
15,6603055,1,"Combine chicken strips, marinade, and Cajun seasoning in a resealable plastic bag. Refrigerate for 8 hours to overnight."
16,6603055,2,"Measure skewers to fit across the air fryer basket, slightly overlapping the edge. Trim off excess length."
17,6603055,3,Preheat the air fryer to 180 degrees F (80 degrees C) for 10 minutes.
18,6603055,4,"Thread chicken strips onto skewers, leaving room in between each strip, while the air fryer is preheating."
19,6603055,5,Air fry for 1 hour 15 minutes. Adjust cooking time as most air fryers have a maximum setting of 30 minutes. Rearrange the skewers during the reset time.
20,6603055,6,Increase temperature to 200 degrees F (95 degrees C) and air fry for an additional 15 minutes.
21,6603055,7,Remove strips to a paper towel-lined storage container. Seal. Allow to rest overnight before serving.
22,6649651,1,Gather all ingredients.Dotdash Meredith Food Studios
23,6649651,2,Preheat an oven to 300 degrees F (150 degrees C). Line a rimmed baking sheet with parchment paper.
24,6649651,3,With a knife or kitchen shears carefully remove kale leaves from the thick stems and tear into bite size pieces.Dotdash Meredith Food Studios
25,6649651,4,Wash and thoroughly dry kale with a salad spinner.Dotdash Meredith Food Studios
26,6649651,5,Drizzle kale leaves with olive oil and toss to combine. Spread out in an even layer on the baking sheet without overlapping and sprinkle with salt.Dotdash Meredith Food Studios
27,6649651,6,"Bake until the edges start to brown but are not burnt, 20 to 30 minutes.Dotdash Meredith Food Studios"
28,6649651,7,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
29,6649708,1,Gather all ingredients.Dotdash Meredith Food Studios
30,6649708,2,Break the eggs into a microwave-proof mixing bowl. Add milk and salt; mix well.Dotdash Meredith Food Studios
31,6649708,3,"Pop the bowl into the microwave and cook on high power for 30 seconds. Remove bowl, beat eggs very well, scraping down the sides of the bowl, and return to the microwave for another 30 seconds.Dotdash Meredith Food Studios"
32,6649708,4,"Repeat this pattern, stirring every 30 seconds for up to 2 1/2 minutes. Stop when eggs have the consistency you desire.Dotdash Meredith Food Studios"
33,6649708,5,Serve warm and enjoy!DOTDASH MEREDITH FOOD STUDIOS
34,6650074,1,Preheat an air fryer to 400 degrees F (200 degrees C).
35,6650074,2,"Pat chicken thighs dry with a paper towel and brush skins with olive oil. Place chicken thighs, skin-side down, in a single layer on a plate."
36,6650074,3,"Combine smoked paprika, garlic powder, salt, and pepper in a bowl. Sprinkle 1/2 of the seasoning mixture evenly over thighs. Turn thighs over and evenly sprinkle with remaining seasoning. Arrange thighs, skin-side up, in a single layer in the air fryer basket."
37,6650074,4,"Cook in the preheated air fryer until thighs are brown and the juices run clear, about 18 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C)."
38,6739695,1,"Make yogurt spread: Place yogurt in a medium bowl and grate in garlic; mix to combine. Season with pepper, salt, and cayenne. Add dill and mix thoroughly. Set aside at room temperature."
39,6739695,2,"Make Aleppo butter: Melt butter in a saucepan over medium heat; heat until bubbles begin to burst. Add chili flakes, paprika, and cumin. Stir until color is uniform. Turn off heat and let spices infuse."
40,6739695,3,Make parsley and jalapeño oil: Grind parsley and jalapeño together in a mortar. Drizzle in olive oil and season with salt; stir to combine.
41,6739695,4,"Make poached eggs: Fill a large saucepan with 2 to 3 inches of water and bring to a boil. Reduce heat to medium-low, add vinegar, and keep water at a gentle simmer. Crack an egg into a small bowl, then gently slip egg into water, holding the bowl just above surface of water. Repeat with remaining eggs. Cook until whites are firm and yolks have thickened but are not hard, 2 1/2 to 3 minutes. Remove with a slotted spoon, pat dry on a kitchen towel, and place onto a warm plate."
42,6739695,5,"Dollop yogurt mixture onto serving plates. Use the back of a spoon to spread yogurt, carving ridges into the top to catch oil. Drizzle some jalapeño oil. Top with eggs and 1 to 2 spoonfuls of Aleppo butter. Sprinkle sea salt on top."
