,id_recipe,Step_Count,Step Description
0,7564731,1,"Combine strawberries, lemon juice, and 1 cup water in a blender; blend until smooth."
1,7564731,2,Pour into a pitcher and add remaining 2 cups water. Taste; add sugar as desired.
2,7564731,3,"Fill each glass with ice, add 2 ounces vodka per glass, and top off with strawberry lemonade."
3,7550375,1,"Place ice cream, frozen lemonade concentrate, and lemon zest in the jar of a blender, and blend until smooth. Divide into 4 glasses, and serve immediately.Dotdash Meredith Video Studios"
4,6605906,1,"Combine water, sugar, lemon juice, and cranberry juice in a large pitcher; stir until sugar dissolves. Serve in tall glasses over ice."
5,7495346,1,"Stir together 1 1/2 cups water, sugar, and sliced peaches in a large pot. Bring to a simmer, and simmer until sugar is dissolved, the mixture is syrupy, and syrup is infused with peach flavor, about 10 minutes. Set syrup aside to cool, then strain off peaches; reserve peaches for another use."
6,7495346,2,"Meanwhile, in another pot bring remaining 4 cups water to a boil. Turn heat off. Add tea bags; steep 4 to 6 minutes. Remove tea bags and discard."
7,7495346,3,Add lemon juice to syrup. To each glass add ice and 6 ounces brewed tea. Sweeten each glass to taste with 1 to 2 ounces lemon-peach syrup.
8,6650156,1,Juice lemons; you should have 1 cup juice.
9,6650156,2,"Combine juice, sugar, and water in a 1/2-gallon pitcher. Stir until sugar dissolves. Taste and add more water if desired."
10,6650156,3,Chill and serve over ice.
11,6572593,1,Wash limes thoroughly. Cut off the ends and slice into eight wedges.
12,6572593,2,"Place limes in a blender with water, sugar, sweetened condensed milk, and ice; pulse 5 times, or until smooth. Strain through a fine mesh strainer to remove rinds. Serve over ice."
13,6738064,1,"Wash lemons and peel off all the zest using a vegetable peeler; set peeled lemons aside. Add lemon zest to a bowl and cover with sugar; toss to combine. Cover and let sit for a minimum of 2 hours, or up to overnight."
14,6738064,2,"Bring water to a boil in a pot over high heat; turn off heat and pour in lemon-sugar mixture. Stir and let sit until sugar is completely dissolved, about 5 minutes."
15,6738064,3,"Pour through a mesh strainer back into the same bowl and discard the zest. Let cool to room temperature, 20 to 30 minutes."
16,6738064,4,"Cut lemons in half and squeeze juice into the bowl. Pour lemonade into a serving pitcher; cover and chill thoroughly before serving over ice, at least 2 hours."
17,6570026,1,Place strawberries in a blender; top with 2 tablespoons sugar. Pour 1 cup water over sugared strawberries; blend until completely smooth.
18,6570026,2,"Transfer strawberry juice into a large pitcher; stir in remaining 6 cups water, lemon juice, and 1 cup sugar until well blended. Chill before serving."
19,6580342,1,Gather all ingredients.Dotdash Meredith Food Studios
20,6580342,2,"Make the simple syrup: Combine water and sugar together in a saucepan over medium heat; heat until just about to boil and sugar has dissolved. Place in refrigerator until cool, about 30 minutes."
21,6580342,3,"Blend cucumber in a blender or food processor until mashed into a pulp. Pour cucumber pulp into a fine mesh strainer placed over a bowl; allow to sit until you have about 2/3 cup of cucumber juice in the bowl, about 15 minutes.Dotdash Meredith Food Studios"
22,6580342,4,"Stir simple syrup, cucumber juice, and lemon juice together in a pitcher. Serve cold.Dotdash Meredith Food Studios"
23,6649930,1,"Place the watermelon into a blender. Cover, and puree until smooth. Strain through a fine mesh sieve."
