,id_recipe,Step_Count,Step Description
0,7566683,1,"Trim ends from zucchini and cut into quarters. Trim out seeds if zucchini are really big. Cut into 1 ½-inch pieces and add to a bowl. Toss thoroughly with 2 tablespoons kosher salt and let sit for 15 to 20 minutes, tossing halfway through."
1,7566683,2,Transfer zucchini to a strainer and rinse off salt very thoroughly. Let drain well before transferring to a bowl.
2,7566683,3,Set an oven rack about 6 inches from the heat source and preheat the oven's broiler. Line a baking sheet with foil.
3,7566683,4,"Toss zucchini with 2 tablespoons olive oil, toss, and spread out in a single layer on the prepared baking sheet, making sure zucchini pieces touch each other."
4,7566683,5,"Broil on high heat until zucchini start to brown and are lightly charred, 5 to 6 minutes. Remove pan and turn zucchini pieces over. Return and broil until zucchini are tender but not mushy, and nicely browned, 5 to 6 minutes longer."
5,7566683,6,"Transfer zucchini to a strainer and let drain until cooled to room temperature, about 45 minutes."
6,7566683,7,"Combine drained zucchini, remaining 2 tablespoons olive oil, tahini, garlic, lemon juice, basil, ½ teaspoon salt, cumin, black pepper, and cayenne in a blender. Blend until smooth, and taste for seasoning. You can also use an immersion blender."
7,7566683,8,Wrap and chill before serving.Chef John
8,6663120,1,Fill a large pot about 3/4 full of water and bring to a boil. Stir in sugar and lemon juice until sugar is dissolved.
9,6663120,2,"Gently place ears of corn into boiling water, cover the pot, turn off the heat, and let corn cook in the hot water until tender, about 10 minutes."
10,6649411,1,"Combine apples, water, sugar, and cinnamon in a saucepan; cover and cook over medium heat until apples are soft, about 15 to 20 minutes."
11,6649411,2,"Allow apple mixture to cool, then mash with a fork or potato masher until it is the consistency you like."
12,6649117,1,Gather all ingredients.Dotdash Meredith Food Studios
13,6649117,2,"Rinse shredded potatoes until water is clear, then drain and squeeze dry."
14,6649117,3,"Place shreds in a bowl and mix in the onion, flour, and egg until evenly distributed.Dotdash Meredith Food Studios"
15,6649117,4,"Heat about 1/4 inch of oil in a large heavy skillet over medium-high heat. When oil is sizzling hot, place potatoes into the pan in a 1/2 inch thick layer. Cover the whole bottom of the pan, or make separate piles like pancakes.Dotdash Meredith Food Studios"
16,6649117,5,"Cook until nicely browned on the bottom, then flip over and brown on the other side. It should take at least 5 minutes per side. If you are cooking them in one big piece, it can be cut into quarters for easier flipping.Dotdash Meredith Food Studios"
17,6649117,6,"Remove from pan, and drain on paper towels. Season with salt and pepper and serve immediately.Dotdash Meredith Food Studios"
18,6649117,7,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
19,6651174,1,"Fill a large pot with lightly salted water and bring to a rolling boil; stir in vermicelli pasta and return to a boil. Cook pasta uncovered, stirring occasionally, until the pasta is tender yet firm to the bite, 3 to 5 minutes."
20,6651174,2,"Fill a large bowl with warm water. Dip one wrapper into the hot water for 1 second to soften. Lay wrapper flat; place 2 shrimp halves in a row across the center, add some vermicelli, lettuce, mint, cilantro, and basil, leaving about 2 inches uncovered on each side. Fold uncovered sides inward, then tightly roll the wrapper, beginning at the end with lettuce. Repeat with remaining ingredients."
21,6651174,3,"For the sauces: Mix water, lime juice, sugar, fish sauce, garlic, and chili sauce in a small bowl until well combined. Mix hoisin sauce and peanuts in a separate small bowl."
22,6651174,4,Serve rolled spring rolls with fish sauce and hoisin sauce mixtures.
23,6650983,1,Preheat the oven to 400 degrees F (200 degrees C).
24,6650983,2,Cut broccoli florets from the stalk. Peel the stalk and slice into 1/4-inch slices. Mix florets and stem pieces with olive oil in a bowl and transfer to a baking sheet; season with salt and pepper.
25,6650983,3,"Roast in the preheated oven until broccoli is tender and lightly browned, about 18 to 20 minutes."
26,6649095,1,Preheat an outdoor grill for high heat and lightly oil the grate.
27,6649095,2,Lightly coat the asparagus spears with olive oil. Season with salt and pepper to taste.
28,6649095,3,"Cook asparagus on the preheated grill, turning often until lightly charred and fork-tender about 3 to 5 minutes."
29,6650464,1,"Heat oil in a large pot over medium heat; add bacon and season with salt and pepper. Cook until bacon is crisp, 5 to 7 minutes."
30,6650464,2,"Add cabbage, onion, and sugar; cook and stir continuously until cabbage and onion are tender, about 5 to 10 minutes."
31,6664559,1,Preheat the oven to 400 degrees F (200 degrees C) and adjust the oven rack to the lowest position.
32,6664559,2,"Toss potatoes with oil, salt, and pepper in a bowl. Arrange, cut-side down, on a rimmed cookie sheet or jellyroll pan."
33,6664559,3,"Roast potatoes in the preheated oven until tender and golden brown, 20 to 30 minutes. Transfer to a serving dish."
34,6663158,1,"Heat oil in a saucepan over medium-high heat. Add onion and garlic; cook and stir until onion has softened, about 4 minutes. Stir in rice to coat; cook and stir for 2 minutes."
35,6663158,2,"Add vegetable broth and bring to a boil. Cover, reduce to a simmer, and cook until liquid is absorbed, about 20 minutes."
36,6663158,3,"Stir in beans, cumin, and cayenne; cook until beans are warmed through."
37,6737797,1,Place 3 cups water in the bottom half of a steamer pan set. Add butter and salt and bring to a boil.
38,6737797,2,"Trim dry ends off of asparagus. If spears are thick, peel them lightly with a vegetable peeler."
39,6737797,3,"Place asparagus spears in the top half of the steamer pan set. Steam until asparagus is tender, 5 to 10 minutes depending on thickness."
40,6664086,1,Preheat the oven to 375 degrees F (190 degrees F). Grease a 9x13-inch baking dish.
41,6664086,2,"Place tilapia fillets in the bottom of the baking dish, then dot with butter and season with garlic salt and seafood seasoning."
42,6664086,3,Top each fillet with a slice or two of lemon.
43,6664086,4,Arrange frozen mixed vegetables around fillets and season lightly with salt and pepper. Cover the dish with aluminum foil.
44,6664086,5,"Bake in the preheated oven until vegetables are tender and fish flakes easily with a fork, 25 to 30 minutes."
45,6664086,6,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
46,6737982,1,Preheat the oven to 400 degrees F (200 degrees C).
47,6737982,2,"Rinse and pat fillets dry. Rub fillets with olive oil, and season with garlic salt and black pepper. Place each fillet on a large sheet of aluminum foil. Top with jalapeno slices, and squeeze the juice from the ends of the lemon over fillets. Arrange remaining lemon slices on top of fillets."
48,6737982,3,Carefully seal all edges of the foil to form enclosed packets. Place packets on a baking sheet.
