,id_recipe,Step_Count,Step Description
0,7510177,1,Slice potato into 1/16-inch-thick rounds using a mandoline. Put potato slices in a large bowl of cold water; soak about 20 minutes. Drain and pat dry with paper towels. Wipe out bowl.
1,7510177,2,"Return potato slices to dried bowl. Add oil, salt, and pepper; toss gently to coat."
2,7510177,3,"Preheat air fryer to 350 degrees F (175 degrees C). Lightly coat air fryer basket with cooking spray. Working in batches if needed, arrange potato slices in an even layer in basket (do not overcrowd)."
3,7510177,4,"Cook until lightly golden and crispy, 12 to 16 minutes, turning and rearranging chips into an even layer every 4 minutes. Watch closely during the last 2 to 3 minutes of cooking. Check chips about every 30 seconds, using tongs to remove golden chips from the basket as needed to avoid overcooking and ending up with bitter chips."
4,7510177,5,Let chips cool about 5 minutes. Chips will continue to crisp as they cool.Store in an airtight container up to 3 days.
5,6663120,1,Fill a large pot about 3/4 full of water and bring to a boil. Stir in sugar and lemon juice until sugar is dissolved.
6,6663120,2,"Gently place ears of corn into boiling water, cover the pot, turn off the heat, and let corn cook in the hot water until tender, about 10 minutes."
7,6649411,1,"Combine apples, water, sugar, and cinnamon in a saucepan; cover and cook over medium heat until apples are soft, about 15 to 20 minutes."
8,6649411,2,"Allow apple mixture to cool, then mash with a fork or potato masher until it is the consistency you like."
9,6651174,1,"Fill a large pot with lightly salted water and bring to a rolling boil; stir in vermicelli pasta and return to a boil. Cook pasta uncovered, stirring occasionally, until the pasta is tender yet firm to the bite, 3 to 5 minutes."
10,6651174,2,"Fill a large bowl with warm water. Dip one wrapper into the hot water for 1 second to soften. Lay wrapper flat; place 2 shrimp halves in a row across the center, add some vermicelli, lettuce, mint, cilantro, and basil, leaving about 2 inches uncovered on each side. Fold uncovered sides inward, then tightly roll the wrapper, beginning at the end with lettuce. Repeat with remaining ingredients."
11,6651174,3,"For the sauces: Mix water, lime juice, sugar, fish sauce, garlic, and chili sauce in a small bowl until well combined. Mix hoisin sauce and peanuts in a separate small bowl."
12,6651174,4,Serve rolled spring rolls with fish sauce and hoisin sauce mixtures.
13,6649729,1,"For the sauce: Bring orange juice, lemon juice, brown sugar, orange zest, and lemon zest to a boil in a saucepan over medium-high heat. Reduce heat to medium-low and simmer until slightly thickened, about 5 minutes. Remove from heat and stir in vanilla extract. Set aside to cool."
14,6649729,2,"For the salad: Layer fruit in a large, clear glass bowl in this order: pineapple, strawberries, kiwi fruit, bananas, oranges, grapes, and blueberries. Pour cooled sauce over fruit; cover and refrigerate for 3 to 4 hours before serving."
15,6664169,1,"Place peas in a large stockpot and cover with several inches of cold water; let soak, 8 hours to overnight. Drain, rinse, and return peas to the pot."
16,6664169,2,"Add 2 quarts of cold water, ham bone, onion, salt, pepper, and marjoram to the stockpot. Cover, bring to a boil, and simmer for 1 1/2 hours, stirring occasionally."
17,6664169,3,"Remove ham bone; cut off meat, dice, and return meat to soup. Add celery, carrots, and potatoes. Cook slowly, uncovered, until vegetables are tender, about 30 to 40 minutes."
18,6664138,1,"Bring a large pot of salted water to a boil; add potatoes and cook until tender but still firm, about 15 minutes. Drain, cool, and mash with a fork or potato masher."
19,6664138,2,"Combine 1 cup mashed potato, flour, and egg in a large bowl. Knead until dough forms a ball. Shape small portions of the dough into long ""snakes"". On a floured surface, cut snakes into 1/2-inch pieces."
20,6664138,3,Bring a large pot of lightly salted water to a boil. Drop in gnocchi and cook for 3 to 5 minutes or until gnocchi have risen to the top; drain and serve.
21,6663877,1,"Place celery, carrots, onions, cabbage, bell peppers, and green beans in a large soup pot."
22,6663877,2,"Add tomato juice, tomatoes, beef broth, and enough water to cover vegetables; add onion soup mix and stir to combine. Bring to a boil over medium heat; reduce heat to low and simmer until vegetables are tender, about 25 minutes."
23,6649719,1,Place apples in a bowl. Toss apples with lemon juice in a large bowl and set aside.Dotdash Meredith Food Studios
24,6649719,2,"Pour water into a Dutch oven over medium heat. Combine sugar, cornstarch, cinnamon, salt, and nutmeg in a bowl; add to water, stir well, and bring to a boil. Boil for 2 minutes, constantly stirring.Dotdash Meredith Food Studios"
25,6649719,3,"Add apples and return to a boil. Reduce heat, cover, and simmer until apples are tender, 6 to 8 minutes. Cool for 30 minutes.Dotdash Meredith Food Studios"
26,6649719,4,"Ladle into 5 freezer containers, leaving 1/2 inch of headspace. Cool at room temperature no longer than 1 1/2 hours.Dotdash Meredith Food Studios"
27,6649719,5,Seal and freeze. Can be stored for up to 12 months.
28,6649719,6,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
29,6663158,1,"Heat oil in a saucepan over medium-high heat. Add onion and garlic; cook and stir until onion has softened, about 4 minutes. Stir in rice to coat; cook and stir for 2 minutes."
30,6663158,2,"Add vegetable broth and bring to a boil. Cover, reduce to a simmer, and cook until liquid is absorbed, about 20 minutes."
31,6663158,3,"Stir in beans, cumin, and cayenne; cook until beans are warmed through."
32,6741756,1,"Stir tomatoes, onion, green bell pepper, cilantro, lime juice, jalapeño pepper, cumin, salt, and pepper together in a bowl until just combined."
33,6663460,1,"Place sweet potatoes in a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, about 20 minutes; drain."
34,6663460,2,Preheat the oven to 375 degrees F (190 degrees C). Grease a deep casserole dish.
35,6663460,3,"Mash potatoes with a potato masher in a bowl until no large lumps remain. Stir in both sugars, cinnamon, and butter until well combined, then transfer to the prepared casserole dish. Cover with a layer of miniature marshmallows."
36,6663460,4,"Bake in the preheated oven until marshmallows are browned, about 30 minutes."
37,6600167,1,"Stir onion flakes, beef bouillon granules, onion powder, parsley flakes, celery seed, paprika, and black pepper together in a bowl."
38,6600167,2,Use as a substitute for a 1-ounce envelope of dry onion soup mix.
39,6739181,1,Place chicken breast halves in a slow cooker.
40,6739181,2,"Whisk together barbeque sauce, vinegar, brown sugar, garlic powder, and pepper flakes in a bowl until sugar dissolves; pour over chicken."
41,6739181,3,Cook on Low for 4 to 6 hours.
42,6650444,1,Preheat the oven to 300 degrees F (150 degrees C). Line a cookie sheet with parchment paper.
43,6650444,2,Arrange pretzels in a single layer on the prepared cookie sheet. Place one caramel candy on top of each pretzel.
44,6650444,3,"Bake in the preheated oven until caramels soften, about 4 minutes."
45,6650444,4,Remove from the oven and immediately press a pecan half into each warm caramel. Cool completely before serving.
46,6664127,1,Preheat an outdoor grill for medium-high heat and lightly oil the grate.
47,6664127,2,Whisk brown sugar and cinnamon together in a bowl.Dotdash Meredith Food Studios
48,6664127,3,Transfer into a large resealable plastic bag. Add pineapple wedges to the bag; shake well to coat each wedge.Dotdash Meredith Food Studios
49,6664127,4,"Grill pineapple wedges on the preheated grill until heated through, 3 to 5 minutes per side.Dotdash Meredith Food Studios"
50,6598591,1,"Mix sugar, cornstarch, cinnamon, and nutmeg in a large pan. Add water and salt and mix well. Bring to a boil and cook until thick and bubbly. Remove from heat and add lemon juice and food coloring."
51,6598591,2,"Sterilize canning jars, lids, and rings by boiling them in a large pot of water."
52,6598591,3,"Peel, core, and slice apples. Pack the sliced apples into hot canning jars, leaving a 1/2 inch of headspace."
53,6598591,4,"Fill jars with hot syrup, and gently remove air bubbles with a knife."
54,6598591,5,Put lids on and process in a water bath canner for 20 minutes.
55,6737504,1,Grease a cookie sheet with cooking spray.
56,6737504,2,"Stir together white sugar, corn syrup, and water in a medium saucepan. Cook, stirring, over medium heat until sugar dissolves, then bring to a boil.Dotdash Meredith Food Studios"
