,id_recipe,Step_Count,Step Description
0,6664123,1,Combine rice and 6 cups water in a saucepan. Bring to a boil over high heat.
1,6664123,2,"Reduce heat to low, cover the pan, and simmer until rice is tender and water has been absorbed, 15 to 20 minutes."
2,6664123,3,"While rice cooks, melt butter in a large skillet over medium heat. Add onion and cook, stirring, until transparent. Stir in garlic and cook until fragrant, about 1 minute."
3,6664123,4,Stir in flour until blended. Gradually stir in tomato sauce and remaining 1 cup water. Add crawfish tails and bring to a simmer.
4,6664123,5,"Stir in green onions and season with salt, pepper, and Cajun seasoning."
5,6664123,6,"Reduce heat to low and simmer until crawfish is cooked through but not tough, 5 to 10 minutes."
6,6664123,7,Serve étouffée over cooked rice.
7,6664679,1,Gather all ingredients.Dotdash Meredith Food Studios
8,6664679,2,"Make the roux: Whisk together flour and 3/4 cup bacon drippings in a large, heavy saucepan over medium-low heat until smooth. Cook roux, whisking constantly, until it turns a rich mahogany brown color. This can take 20 to 30 minutes; watch heat carefully and whisk constantly or roux will burn. Remove from heat; continue whisking until mixture stops cooking.Dotdash Meredith Food Studios"
9,6664679,3,"Make the gumbo: Place celery, onion, green bell pepper, and garlic into the work bowl of a food processor, and pulse until all vegetables are very finely chopped."
10,6664679,4,"Stir vegetables into the roux, and mix in sausage. Bring mixture to a simmer over medium-low heat, and cook until vegetables are tender, 10 to 15 minutes. Remove from heat and set aside.Dotdash Meredith Food Studios"
11,6664679,5,"Combine water and beef bouillon cubes in a large Dutch oven or soup pot and bring to a boil over medium-high heat. Stir until bouillon cubes dissolve, then whisk roux mixture into the boiling water."
12,6664679,6,"Reduce heat to a simmer and mix in sugar, salt, hot pepper sauce, Cajun seasoning, bay leaves, thyme, stewed tomatoes, and tomato sauce. Simmer soup over low heat for 1 hour; mix in 2 teaspoons of file gumbo powder at the 45-minute mark."
13,6664679,7,"Meanwhile, melt 2 tablespoons bacon drippings in a skillet over medium heat. Add okra and vinegar and cook for 15 minutes; remove okra with a slotted spoon, and stir into the simmering gumbo."
14,6664679,8,"Mix in crabmeat, shrimp, and Worcestershire sauce, and simmer until flavors have blended, 45 more minutes. Stir in 2 more teaspoons of file gumbo powder just before serving.Dotdash Meredith Food Studios"
15,6664679,9,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
16,6664392,1,Gather all ingredients.Dotdash Meredith Food Studios
17,6664392,2,"Heat 1 tablespoon of peanut oil in a large heavy Dutch oven over medium heat. Season the sausage and chicken pieces with Cajun seasoning. Sauté sausage until browned. Remove with slotted spoon, and set aside.Dotdash Meredith Food Studios"
18,6664392,3,"Add 1 tablespoon peanut oil, and sauté chicken pieces until lightly browned on all sides. Remove with a slotted spoon, and set aside.Dotdash Meredith Food Studios"
19,6664392,4,"In the same pot, saute onion, bell pepper, celery, and garlic until tender.Dotdash Meredith Food Studios"
20,6664392,5,"Stir in crushed tomatoes, and season with red pepper, black pepper, salt, hot pepper sauce, Worcestershire sauce, and filé powder.Dotdash Meredith Food Studios"
21,6664392,6,"Stir in chicken and sausage. Cook for 10 minutes, stirring occasionally.Dotdash Meredith Food Studios"
22,6664392,7,Stir in the rice and chicken broth.Dotdash Meredith Food Studios
23,6664392,8,"Bring to a boil, reduce heat, and simmer for 20 to 25 minutes, or until liquid is absorbed.Dotdash Meredith Food Studios"
24,6664392,9,Serve and enjoy!Pamdix
25,6648365,1,Gather all ingredients.Dotdash Meredith Food Studio
26,6648365,2,"Rinse beans, and then soak in a large pot of water overnight.Dotdash Meredith Food Studio"
27,6648365,3,"Heat oil in a skillet over medium heat. Cook onion, bell pepper, celery, and garlic in olive oil for 3 to 4 minutes.Dotdash Meredith Food StudioDotdash Meredith Food StudioDotdash Meredith Food Studio"
28,6648365,4,"Rinse beans, and transfer to a large pot with 6 cups water. Stir cooked vegetables into beans. Season with bay leaves, parsley, thyme, Cajun seasoning, cayenne pepper, and sage. Bring to a boil, and then reduce heat to medium-low. Simmer for 2 1/2 hours.Dotdash Meredith Food StudioDotdash Meredith Food StudioDotdash Meredith Food Studio"
29,6648365,5,"Stir sausage into beans, and continue to simmer for 30 minutes.Dotdash Meredith Food Studio"
30,6648365,6,"Meanwhile, prepare the rice. Bring water and rice to a boil in a saucepan. Reduce heat, cover, and simmer for 20 minutes. Serve beans over steamed white rice.Dotdash Meredith Food Studios"
31,6663711,1,Gather all ingredients.Dotdash Meredith Food Studios
32,6663711,2,"Stir together paprika, salt, garlic powder, oregano, thyme, black pepper, onion powder, cayenne pepper, and red pepper flakes in a bowl until evenly blended.Dotdash Meredith Food StudiosDotdash Meredith Food Studios"
33,6663711,3,Store spice mix in an airtight container.DOTDASH MEREDITH FOOD STUDIOS
34,6665006,1,"Melt butter in a large, deep skillet over medium heat. Stir in brown sugar, rum, vanilla, and cinnamon; bring to a low boil."
35,6665006,2,"Place bananas and walnuts in the pan. Cook until bananas have softened, 1 to 2 minutes. Serve at once over vanilla ice cream."
36,6738865,1,"Combine paprika, salt, onion powder, garlic powder, oregano, basil, thyme, black pepper, white pepper, and cayenne pepper."
37,6738865,2,Store in an airtight container.
38,6736714,1,Fill a turkey fryer or large stockpot with enough oil to fry turkey; be sure to leave room for turkey so oil doesn't spill over. Heat oil to 400 degrees F (200 degrees C). Layer a large platter with food-safe paper bags.
39,6736714,2,Rinse turkey and thoroughly pat dry with paper towels. Rub seasoning inside the cavity and all over the outer surfaces. Make sure the hole at the neck is open at least 2 inches so oil can flow freely into the cavity.
40,6736714,3,"Turn off the heat source. Place whole onion into the drain basket followed by turkey, neck-end first. Slowly lower the basket into the fryer until turkey is completely submerged in oil. Turn on the heat source and cook, maintaining oil temperature at 350 degrees F (175 degrees C) until no longer pink at the bone and the juices run clear, about 45 minutes, or 3 1/2 minutes per pound."
41,6736714,4,"Carefully remove the basket from the fryer and drain turkey. An instant-read thermometer inserted into the thickest part of the thigh, near the bone, should read at least 165 degrees F (74 degrees C) but no more than 180 degrees F (80 degrees C). Transfer turkey to the prepared platter to finish draining, 10 to 15 minutes."
42,6649212,1,Preheat the oven to 425 degrees F (220 degrees C). Line a baking sheet with aluminum foil.
43,6649212,2,Arrange okra in a single layer on the prepared baking sheet. Drizzle with olive oil; sprinkle with kosher salt and pepper.
44,6649212,3,"Roast in the preheated oven until okra is lightly browned and tender, 10 to 15 minutes."
45,6650433,1,"Bring a large pot of lightly salted water to a boil. Add pasta and cook until al dente, 8 to 10 minutes. Drain."
46,6650433,2,Cut chicken breast into strips. Place chicken and Cajun seasoning in a plastic bag. Shake to coat.
47,6650433,3,"Melt butter in a large skillet over medium heat. Add chicken and cook, stirring, until browned and almost cooked through, 5 to 7 minutes."
48,6650433,4,"Add bell peppers, mushrooms, and green onion. Cook, stirring, 2 to 3 minutes."
49,6650433,5,"Reduce the heat and stir in cream, basil, lemon pepper, salt, garlic powder, and black pepper. Heat through. Add cooked linguine, toss, and heat through."
50,6650433,6,Sprinkle with Parmesan and serve.
51,6600990,1,"Combine cornmeal, salt, and sugar in a medium bowl. Add boiling water and 1 tablespoon bacon grease; stir until bacon grease melts melts."
52,6600990,2,Pour bacon grease to a depth of 1/2-inch in a large skillet; heat to 375 degrees F (190 degrees C).
53,6600990,3,Shape cornmeal mixture into 12 flattened balls using a heaping tablespoon as a measuring guide.
54,6600990,4,"Fry, turning once, in hot oil until crisp and golden brown, about 5 minutes. Drain on paper towels and serve warm."
55,6650768,1,"Dissolve yeast in warm water. Pour into a large bowl and stir in evaporated milk, white sugar, eggs, and salt. Add 4 cups flour and beat until smooth."
56,6650768,2,"Mix in shortening. Mix in remaining 3 cups flour. Cover and refrigerate for at least 2 hours, or up to 24 hours."
57,6650768,3,Roll dough out on floured surface to 1/8-inch thick. Cut into 2 1/2-inch squares.
58,6650768,4,Heat oil in a deep pot to 360 degrees F (180 degrees C).
59,6650768,5,"Fry beignets in batches until browned and puffed. (If beignets sink and do not pop up, oil is not hot enough.) Remove from oil with a slotted spoon and drain on paper towels."
60,6650768,6,Shake confectioners' sugar over hot beignets. Serve immediately.
61,6663250,1,"Fill a very large pot about 1/3 full with water. Add in garlic, bay leaves, dry and liquid crab boil seasonings, salt, pepper, potatoes, oranges, lemons, and artichokes. Bring to a boil over high heat, then reduce to a simmer, and cook for 20 minutes."
62,6663250,2,"Stir in mushrooms, green beans, onions, and baby corn, and continue to cook, about 15 minutes. Stir in sausage; cook 5 minutes more."
63,6663250,3,"Add crawfish and return the mixture to a boil, then simmer until crawfish shells turn bright red and the tails pull out easily, about 5 minutes. Test for doneness by peeling a crawfish. Be sure not to overcook, or crawfish will become tough."
64,6663250,4,"Remove from the heat and carefully drain all liquid. Serve the crawfish boil hot, Louisiana-style, spread over a picnic table covered with newspapers."
65,6648529,1,"Heat oil in a stockpot over medium heat; whisk in flour until roux is smooth and has cooked to the color of chocolate milk, about 8 to 10 minutes. Be careful not to burn the roux. If you see black specks in the mixture, it's best to start over."
66,6648529,2,"Add sausage, celery, bell pepper, and onion into the roux; cook and stir 5 minutes. Add garlic; continue to cook and stir another 5 minutes."
67,6648529,3,"Season with salt, pepper, and Creole seasoning; stir well to blend. Pour in chicken broth and add bay leaf. Bring to a boil over high heat; reduce heat to medium-low and simmer, uncovered, for 1 hour, stirring occasionally."
68,6648529,4,Stir in the chicken and simmer 1 hour more. Skim off any foam that floats to the top during this time.
69,6578083,1,"Stir together paprika, garlic powder, onion powder, thyme, black pepper, cayenne pepper, basil, and oregano in a bowl until evenly mixed."
70,6578083,2,"Store in an airtight container in a cool, dry place."
71,6603477,1,"Mix together paprika, dry mustard, cayenne pepper, cumin, black pepper, white pepper, thyme, and salt in a small bowl."
72,6603477,2,"Heat a heavy cast iron pan on high heat until extremely hot, about 10 minutes."
73,6603477,3,"While the pan is heating, pour 3/4 cup melted butter into a shallow dish. Dip each fillet into butter, turning once to coat both sides. Sprinkle both sides of fillets with spice mixture; gently pat mixture onto fish."
74,6603477,4,"Working in batches, place fillets into the hot pan without crowding. Carefully pour about 1 teaspoon melted butter over each fillet. Cook until fish has a charred bottom, about 2 minutes. Turn fillets and spoon about 1 teaspoon melted butter over each. Continue cooking until bottoms are charred, 1 to 2 minutes. Repeat with remaining fish."
75,6664221,1,"Mix paprika, cayenne pepper, onion powder, salt, white and black pepper, thyme, basil, and oregano together in a small bowl."
76,6664221,2,"Brush salmon fillets on both sides with 1/4 cup butter, and sprinkle evenly with the spice mixture."
77,6664221,3,"Heat 2 tablespoons melted butter in a large, heavy skillet over high heat. Add salmon and cook until blackened, 2 to 5 minutes. Lift fillets, add remaining melted butter to the skillet, and flip fillets into the butter. Cook until the other side is blackened and fish flakes easily with a fork, 3 to 5 minutes."
78,6740861,1,"Clean oysters, and place them in a large stockpot. Pour in beer and enough water to cover oysters; add 2 cloves of garlic, peppercorns, and seasoned salt. Bring to a boil. Remove from heat, drain, and cool.Dotdash Meredith Food Studios"
79,6740861,2,Preheat the oven to 425 degrees F (220 degrees C.)
80,6740861,3,"Once oysters are cooled, break off and discard the top shell. Arrange oysters on a baking sheet.Dotdash Meredith Food Studios"
81,6740861,4,"Melt butter in a saucepan over medium heat. Cook onion and garlic in butter until soft. Reduce heat to low; stir in spinach, Monterey Jack, fontina, and mozzarella. Cook until cheese melts, stirring frequently. Stir in milk; season with salt and pepper. Spoon sauce over each oyster, just filling the shell. Sprinkle with bread crumbs.Dotdash Meredith Food Studios"
82,6740861,5,"Bake in the preheated oven until golden and bubbly, approximately 8 to 10 minutes.DOTDASH MEREDITH FOOD STUDIOS"
83,6664097,1,"For the spice blend: Whisk paprika, thyme, oregano, cayenne, garlic powder, onion powder, white pepper, and black pepper together in a small bowl."
84,6664097,2,For the étouffée: Drain shrimp in a colander for at least 15 minutes. Transfer to a bowl lined with paper towels and dry shrimp for about 3 minutes. Remove paper towels from the bowl. Season shrimp with salt and 1 teaspoon spice blend; toss to coat.
85,6664097,3,"Heat oil in a large heavy skillet over high heat until oil is smoking. Cook shrimp in hot oil without stirring for 1 minute; stir, and cook 1 minute more.Dotdash Meredith Food Studios"
86,6664097,4,"Transfer shrimp to a large bowl. Let stand until juice collects in the bowl. Strain shrimp juices into chicken stock to total 2 cups, adding more chicken stock if necessary. Set aside."
87,6664097,5,"Melt butter in the same skillet over medium heat until butter begins to turn tan at the edges. Sauté onion, bell pepper, and celery in hot butter until softened, about 5 minutes. Stir in remaining spice blend.Dotdash Meredith Food Studios"
88,6664097,6,"Sprinkle flour into vegetable mixture and sauté until combined, 3 to 4 minutes. Stir in tomatoes; cook until tomato juices begin to brown on the bottom of the pan, about 3 minutes. Whisk in chicken stock mixture, stirring until smooth. Bring to a simmer and cook until slightly thickened and reduced to a gravy consistency, 3 to 5 minutes. Stir in Worcestershire and hot sauce. Season with salt to taste.Dotdash Meredith Food Studios"
89,6664097,7,"Stir shrimp into étouffée sauce; let simmer until shrimp are cooked all the way through and no longer translucent, about 1 minute.Dotdash Meredith Food Studios"
90,6664097,8,"Garnish with green onions and a dusting of cayenne pepper. Pour over rice in large, shallow bowls.DOTDASH MEREDITH FOOD STUDIOS"
91,6738206,1,"Place butter and sausage in a large stockpot over medium heat; cook and stir until sausage begins to brown, 5 to 6 minutes."
92,6738206,2,"Stir in paprika, cumin, and cayenne; cook for 1 minute."
93,6738206,3,"Stir tomatoes, celery, green pepper, green onions, salt, and bay leaf into the sausage mixture."
94,6738206,4,"Add brown rice and stir to combine. Stir in chicken stock, bring it to a simmer, then turn heat to low. Cover and cook until rice is just tender, about 45 minutes."
95,6738206,5,"Stir in shrimp, replace lid and cook until shrimp are cooked through, about 5 minutes. Season with salt and black pepper."
96,6596120,1,"Prepare the rice: Bring water to a boil in a saucepan. Add rice and stir. Reduce heat, cover, and simmer for 20 minutes."
97,6596120,2,"Meanwhile, cook sausage in a large skillet over low heat for 5 minutes. Stir in onion, green pepper, and garlic; saute until tender. Add in beans and tomatoes with juice. Season with oregano, pepper, and salt. Simmer uncovered for 20 minutes. Serve over rice."
98,6650130,1,"Melt shortening in a skillet over medium heat. Cook and stir onion, bell pepper, and garlic in hot shortening until tender, 5 to 7 minutes."
99,6650130,2,"Combine water, red beans, and ham hock in a large pot; bring to a boil. Stir onion mixture into the pot; add smoked sausage and celery. Return to a boil. Stir bay leaves, Creole seasoning, thyme, and sage into boiling water. Reduce heat to low, cover the pot, and simmer until beans are tender, about 5 hours."
100,6650130,3,Remove and discard ham hock and bay leaves; stir in hot pepper sauce and serve over white rice.
101,6570925,1,Gather all ingredients. Line a baking sheet with aluminum foil.Dotdash Meredith Food Studios
102,6570925,2,"Combine pecans, white sugar, brown sugar, milk, butter, and vanilla in a large saucepan over medium heat; bring to a boil. Do not stir once mixture begins to boil. Heat to 240 degrees F (115 degrees C) or until a small amount of syrup dropped into cold water forms a soft ball that flattens when removed from water and placed on a flat surface.Dotdash Meredith Food Studios"
103,6570925,3,Drop by spoonfuls onto the prepared baking sheet. Let cool completely.Dotdash Meredith Food Studios
104,6650653,1,Gather the ingredients.Dotdash Meredith Food Studios
105,6650653,2,"Mix tomatoes with juice, chicken, sausage, onion, green bell pepper, celery, and broth in a slow cooker.Dotdash Meredith Food Studios"
106,6650653,3,"Season with oregano, parsley, Cajun seasoning, cayenne pepper, and thyme.Dotdash Meredith Food Studios"
107,6650653,4,"Cover and cook on Low for 7 to 8 hours, or on High for 3 to 4 hours. Stir in shrimp during the last 30 minutes of cook time.Dotdash Meredith Food Studios"
108,6650653,5,Serve over rice.DOTDASH MEREDITH FOOD STUDIOS
109,6606457,1,"Mix together salt, black and cayenne pepper, garlic powder, onion powder, paprika, parsley, oregano, and thyme in a shallow bowl until thoroughly combined. Press catfish fillets into the spice mixture to thoroughly coat."
110,6606457,2,Melt butter in a bowl and set aside.
111,6606457,3,"Arrange a portable heat source outdoors, such as a butane burner or side burner of a gas grill. Light the burner, and place a large cast-iron skillet onto the burner over high heat. Pour about 1/4 cup melted butter into the skillet."
112,6606457,4,"When butter in the skillet is smoking hot, lay catfish fillets into the skillet. Cook until the spices are burned onto the fillets and the catfish is opaque and flaky inside, about 3 minutes per side. Don't breathe the smoke."
113,6606457,5,"To serve, pour remaining 1/2 cup butter over the catfish."
114,6649902,1,Gather all ingredients.Dotdash Meredith Food Studios
115,6649902,2,"Whisk together pickle juice, brown sugar, kosher salt, 1 teaspoon black pepper, and 1 pinch cayenne pepper in a large bowl until sugar dissolves. Place chicken breasts in brine, using a plate or bowl to keep breasts submerged. Refrigerate for 1 to 2 hours.Dotdash Meredith Food Studios"
116,6649902,3,Preheat an outdoor grill for medium-high heat and lightly oil the grate.
