,id_recipe,Step_Count,Step Description
0,6736908,1,Preheat the oven to 350 degrees F (175 degrees C). Line cookie sheets with parchment paper.
1,6736908,2,"Beat brown sugar and shortening together in a large bowl with an electric mixer until smooth. Beat in 1 egg, milk, and vanilla until smooth. Stir in molasses, baking soda, and cinnamon. Mix in flour until the dough is stiff enough to roll out."
2,6736908,3,Roll dough out on a lightly floured surface to 1/4 inch thickness. Cut into cookies using a pig-shaped cookie cutter. Place cookies 2 inches apart on the prepared baking sheets. Brush the tops of the cookies with beaten egg.
3,6736908,4,"Bake in the preheated oven until risen and edges are lightly browned, about 15 to 17 minutes. Cool briefly on cookie sheets; serve warm or transfer to a wire rack to cool completely."
4,6585796,1,"Beat eggs and 1/4 cup sugar in a large bowl until thick and lemon-colored; mix in 1 teaspoon vegetable oil. Combine 1 ½ cups of flour, baking powder, and salt; gradually add to egg mixture, mixing well until evenly combined."
5,6585796,2,Turn dough out onto a floured board and knead thoroughly until dough is smooth.
6,6585796,3,Shape dough into 16 even-sized balls. Flatten and roll each one into a very thin circle about 5 inches in diameter. Let stand uncovered on waxed paper for about 10 minutes.
7,6585796,4,"Meanwhile, combine 1 cup sugar and cinnamon in a small bowl until evenly mixed; set aside. Heat oil in a deep pan to 350 degrees F (175 degrees C)."
8,6585796,5,"Lower one circle of dough carefully into the hot oil; fry until golden, turning once, about 30 seconds on each side. Transfer to a paper towel-lined plate to drain; sprinkle with cinnamon-sugar mixture. Repeat with remaining dough. Serve or cool and store in airtight containers."
9,7853525,1,"Heat oil in a large skillet over medium-high heat.  Add onion and cook 1 minute, stirring constantly.  Add ground beef and cook, crumbling with a wooden spoon until browned and cooked through, 5 to 10 minutes. Add in taco seasoning and cook for 1 minute.  Mix in cheese and tomatoes and reduce heat to medium-low.  Cook stirring constantly, until cheese is melted and mixture comes to a simmer.  Cook for 3 minutes and remove from heat."
10,7853525,2,"Add filling to taco shells and top with shredded lettuce and other toppings, if desired.Dotdash Meredith Food Studios"
11,7567956,1,"Preheat the oven to 350 degrees F (175 degrees C). Coat 12 (2 1/2-inch) muffin cups with cooking spray. Press 1 tortilla into the bottom of each muffin cup, pleating edges as needed to fit."
12,7567956,2,"Heat oil in a large skillet over medium-high heat. Add sweet potato; cook until tender, about 10 minutes. Add onion; cook until softened, 2 to 3 minutes. Add jalapeño and garlic; cook until fragrant, about 2 minutes. Stir in beans, salt, and black pepper."
13,7567956,3,Divide bean mixture evenly among prepared muffin cups and sprinkle with cheese.
