,id_recipe,Step_Count,Step Description
0,6595987,1,"Combine steak and cider in a Dutch oven. Bring to a boil, then reduce heat to a simmer. Cover and cook until steak is tender, about 20 minutes. Remove steak to a cutting board; coarsely chop, then return to the pot."
1,6595987,2,"Stir in apples, currants, raisins, cherry preserves, 1 1/3 cups sugar, mixed fruit peel, and butter. Add ginger, cloves, nutmeg, cinnamon, and salt. Simmer, uncovered, over low heat until mixture is very thick, about 1 hour 30 minutes. Stir in cherries and remove from heat."
2,6595987,3,Transfer filling to a container and allow to cool at room temperature. Cover tightly and refrigerate for at least 1 week before using.
3,6595987,4,Preheat the oven to 350 degrees F (175 degrees C).
4,6595987,5,Line a 9-inch pie dish with 1 pastry crust. Spoon filling into crust and cover with second pastry crust. Crimp edges and cut several slits into top pastry. Brush with cream and sprinkle with 1 teaspoon sugar.
5,6595987,6,"Bake in the preheated oven until golden brown, about 45 minutes."
6,6575145,1,"In a very large stock pot, combine green tomatoes, apples, suet (or oil), brown sugar, vinegar, chopped oranges, chopped lemons, raisins, and candied peel. Season with salt, cinnamon, cloves and allspice. Cover, and cook over low heat for 3 hours."
7,6575145,2,Sterilize 30 (1 pint) canning jars and lids according to manufacturer's instructions.
8,6575145,3,"Ladle filling into the sterilized jars, leaving 1/2 inch head space. Wipe the jar with a clean, damp cloth. Cover with jars with lids, and screw on jar rings."
9,6575145,4,"Heat water in a hot water canner. Place jars in rack, and slowly lower jars into canner. The water should cover the jars completely, and should be hot but not boiling. Bring water to a boil, and process for 10 minutes."
10,6576000,1,Preheat the oven to 425 degrees F (220 degrees C).
11,6576000,2,Unroll pie crusts. Line an ungreased 9-inch pie plate with one pastry. Fill with mincemeat filling. Cover with the second pasty and press the edges to seal. Cut slits in the top pasty to vent steam.
12,6576000,3,"Bake in the preheated oven until pastry is golden brown, 25 to 30 minutes."
13,6605377,1,"Combine mincemeat, walnuts, apples, brown sugar, rum, and lemon juice in a bowl; mix well. Cover and refrigerate overnight."
14,6605377,2,Preheat the oven to 425 degrees F (220 degrees C). Adjust a rack to the lowest position.
15,6605377,3,Take mincemeat filling out of the refrigerator and let it come to room temperature.
16,6605377,4,"Meanwhile, prepare pie crusts. Line a 9-inch pie plate with 1/2 of the dough; reserve remaining dough for the top."
17,6605377,5,"Stir mincemeat filling well, then pour into the prepared pie plate. Top with reserved pie crust and make slits or a lattice top. Crimp edges."
18,6605377,6,"Bake in the preheated oven on the bottom rack until golden brown, about 40 minutes."
19,6594805,1,"Mix apples, diced beef, raisins, sugar, beef broth, orange sections, sorghum, pickle juice, pineapple juice, cinnamon, nutmeg, cloves, and salt together in a large bowl until well combined."
20,6594805,2,Store filling in the refrigerator or freeze until ready to use.
21,6605817,1,Preheat the oven to 450 degrees F (230 degrees C).
22,6605817,2,"Place apples, butter, and lemon juice into a saucepan over medium heat and cook, stirring often, until apples are tender, 8 to 10 minutes. Stir in sugar, vanilla, cinnamon, and nutmeg. Mix in mincemeat and walnuts until thoroughly combined and set the pie filling aside."
