,id_recipe,Step_Count,Step Description
0,6590366,1,"Heat oil in a large saucepan over medium-high heat. Sauté onion, carrot, celery, garlic, and rosemary until vegetables begin to soften, about 5 minutes."
1,6590366,2,"Stir in tomato sauce, beans, water, broth, zucchini, pasta, and pepper; bring to a simmer. Cook, uncovered and stirring occasionally, until pasta is tender, 10 minutes. Stir in parsley. Serve topped with Parmesan and additional parsley if desired."
2,7110579,1,"Heat 2 tablespoons olive oil in a large pot over medium heat. Add chicken to pot, and sauté just until lightly browned, about 3 minutes. Remove chicken from pot; set aside."
3,7110579,2,"Heat remaining 2 tablespoons olive oil in the pot; add onions and cook until translucent, about 3 minutes. Stir in garlic; cook until fragrant, about 30 seconds. Add carrots and celery; cook for 5 minutes, stirring occasionally."
4,7110579,3,"Reduce heat to medium-low; stir in chicken stock, diced tomatoes, cannellini beans, kidney beans, tomato paste, zucchini, green beans, Italian seasoning. Simmer, covered, for 15 minutes."
5,7110579,4,"Stir in chicken and ditalini pasta, and cook until pasta is tender yet firm to the bite, about 8 minutes. Season to taste with salt and black pepper. If soup is too thick, add a little water or stock. Garnish each bowl with Parmesan and parsley."
6,6664671,1,"Heat olive oil in a large stockpot over medium-low heat. Sauté garlic in hot oil until fragrant, 2 to 3 minutes. Add onion; cook and stir until translucent, 4 to 5 minutes. Add celery and carrots; sauté for 1 to 2 minutes."
7,6664671,2,"Pour in tomato sauce, broth, and water; bring to a boil, stirring frequently. Add red wine; reduce heat to low. Stir in zucchinis, spinach, green beans, kidney beans, basil, oregano, salt, and pepper. Simmer until soup is heated through, 30 to 40 minutes."
8,6664671,3,"Meanwhile, fill a medium saucepan with water and bring to a boil. Cook seashell pasta in boiling water, stirring occasionally, until tender yet firm to the bite, 7 to 8 minutes. Drain and set aside."
9,6664671,4,Place 2 tablespoons cooked pasta into individual serving bowls. Ladle soup over pasta and sprinkle with Parmesan cheese. Spray with olive oil to serve.
10,6739482,1,Gather all ingredients.Dotdash Meredith Food Studios
11,6739482,2,"Combine broth, tomatoes, kidney beans, onion, carrots, celery, green beans, zucchini, garlic, parsley, oregano, salt, thyme, and pepper in a 6-quart slow cooker. Cover and cook on Low for 6 to 8 hours.Dotdash Meredith Food StudiosDotdash Meredith Food Studios"
12,6739482,3,"Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally, until cooked through but firm to the bite, 8 minutes; drain.Dotdash Meredith Food Studios"
13,6739482,4,Stir macaroni and spinach into the slow cooker; cover and cook for 15 more minutes.Dotdash Meredith Food Studios
14,6739482,5,Ladle into bowls and sprinkle with Parmesan cheese.Dotdash Meredith Food Studios
15,6584700,1,"Melt margarine in a heavy stockpot over medium heat. Add onion, carrots, and celery; sauté until beginning to soften, 3 to 4 minutes. Add broth, beans, tomatoes, potatoes, cabbage, parsley, tomato paste, garlic, and salt; bring to a boil."
16,6584700,2,"Reduce the heat, cover, and simmer until vegetables are tender, about 1 hour. Add pasta and simmer for 30 minutes more. Adjust seasoning as needed."
17,6584700,3,Ladle into bowls and garnish with Parmesan cheese.
18,6565835,1,"Heat 2 tablespoons olive oil in large stock pot over medium-high heat. Add pancetta; cook and stir until it begins to brown, 2 to 3 minutes. Stir in onions and celery; cook and stir until onions start to turn translucent, about 3 minutes. Stir in minced garlic and cook for another minute."
19,6565835,2,"Pour chicken broth, water, and plum tomatoes into the pancetta and onion mixture. Bring to a simmer."
20,6565835,3,"Stir cranberry beans, cabbage, garbanzo beans, red pepper flakes, Italian seasoning, and 2 teaspoons salt into broth mixture. Bring to a simmer and cook until cranberry beans are tender, adding more water as needed if the soup becomes too thick, about 45 minutes."
21,6565835,4,"Stir in Swiss chard and simmer until softened, about 15 minutes. Season with salt and black pepper to taste."
22,6565835,5,"Stir in pasta and increase heat to medium-high and simmer until pasta is tender, about 15 minutes. Ladle into bowls and top with extra virgin olive oil, Parmigiano-Reggiano cheese, and Italian parsley."
23,6576566,1,"Heat oil in a soup pot over medium-high heat. Sauté onion, celery, Italian seasoning, salt, and pepper until tender, about 5 minutes. Stir in tomatoes with juice, broth, sweet potatoes, carrots, green beans, and garlic. Bring to a boil; reduce heat to low and simmer, stirring occasionally, until vegetables are tender, about 30 minutes."
24,6598342,1,"Heat olive oil in a large pot or Dutch oven over medium-high heat until shimmering. Add celery, carrots, and onion. Cook, stirring frequently, until onion begins to turn translucent, about 4 minutes. Add garlic and stir until fragrant, about 30 seconds."
25,6598342,2,"Add vegetable broth, marinara sauce, tomato paste, and Italian seasoning. Stir to combine. Bring to a boil. Reduce heat to medium-low and simmer, uncovered, until carrots are soft, about 10 minutes."
26,6598342,3,"Add pasta and zucchini. Cook until pasta is tender, about 10 minutes. Stir in beans, kale, salt, and pepper. Remove from heat and allow soup to cool slightly. Spoon into individual bowls and garnish with Parmesan cheese."
27,6590684,1,"In a large stock pot over medium heat, stir and cook onions in butter until soft. Add broth, mixed vegetables, kidney beans, tomatoes, spinach, and tomato paste; simmer gently for 1 1/2 hours."
28,6590684,2,"Using a slotted spoon, remove about half of the vegetables to a blender or food processor, reserving liquid in stock pot. Puree the vegetables until smooth and return them to stock pot."
29,6590684,3,"Stir in garlic powder, parsley, salt, pepper, basil, macaroni, 1/2 cup of Parmesan cheese, garbanzo beans, and heavy cream; cook for 1/2 hour, stirring frequently. Pour into bowls and sprinkle with additional Parmesan cheese."
30,6598077,1,"Heat oil in a large pot over medium-low heat. Add garlic; cook and stir until fragrant, 2 to 3 minutes. Add onion; cook and stir until slightly softened, 4 to 5 minutes. Add carrots and stir until heated through, 1 to 2 minutes."
31,6598077,2,"Pour in chicken broth and diced tomatoes; bring to a boil, stirring frequently. Add red wine, reduce the heat to low, and stir in green beans, pinto beans, spinach, basil, oregano, salt, and pepper. Bring to a simmer, then reduce the heat to medium-low and continue to simmer until vegetables are tender, about 40 minutes."
32,6598077,3,"Meanwhile, bring a large pot of lightly salted water to a boil. Cook seashell pasta in the boiling water, stirring occasionally, until cooked through but firm to the bite, about 8 minutes. Drain pasta, then stir into soup. Ladle soup into bowls and top with Parmesan cheese."
33,6597827,1,"Heat oil in a multi-functional pressure cooker (such as Instant Pot) on Sauté mode. Add beef and onion; cook until beef is no longer pink on the outside, about 4 minutes. Add celery, green beans, carrot, garlic, oregano, dried basil, and pepper. Stir to combine."
34,6597827,2,"Pour broth, diced tomatoes, and crushed tomatoes into the pot with beef. Stir well. Select Soup setting; close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 35 minutes. Allow 10 to 15 minutes for pressure to build."
35,6597827,3,"Release pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid. Stir in kidney beans and pasta. Turn on Slow Cook mode and cook until pasta and vegetables are tender, about 10 minutes. Season with salt. Ladle soup into bowls and top with Parmesan cheese and fresh basil."
36,6606179,1,"In a large soup pot, combine vegetable stock, undrained tomatoes, potato, onion, celery, carrot, cabbage, and Italian seasoning. Bring to a boil and reduce heat. Simmer for about 15 minutes."
37,6606179,2,"Stir in beans, corn, zucchini, and pasta; simmer for 10 to 15 more minutes until the vegetables are tender. Season with salt and pepper."
38,6583911,1,"Heat olive oil in a large saucepan over medium heat. Add leek, carrots, zucchini, green beans, and celery. Cover, reduce the heat to low, and cook for 15 minutes, shaking the pan occasionally."
39,6583911,2,"Uncover and stir in stock, tomatoes, and thyme; bring to a boil. Cover again, reduce the heat to low, and simmer gently for 30 minutes."
40,6583911,3,"Stir in undrained cannellini beans and pasta. Simmer for an additional 10 minutes, or until pasta is tender yet firm to the bite. Season with salt and pepper before serving."
41,6589294,1,"Heat a Dutch oven or large skillet over medium-high heat. Cook and stir sausage in the Dutch oven until browned and crumbly, 5 to 7 minutes; drain and discard grease. Add onion and garlic; cook and stir until onion is tender, 5 to 10 minutes."
42,6589294,2,"Stir chicken broth, tomatoes, carrots, celery, ketchup, and red wine into sausage mixture; bring to a boil. Reduce heat, cover, and simmer until carrots and celery are tender, about 30 minutes. Add tortellini and zucchini to the soup and cover; simmer until zucchini are tender, 25 to 30 more minutes. Ladle soup into serving bowls and top with Parmesan cheese."
43,6599545,1,"Heat 2 tablespoons olive oil in a heavy-bottomed pot over medium-high heat; cook and stir onion and garlic until onion is translucent, about 10 minutes. Add green beans, peas, and zucchini; toss to coat vegetables with oil."
44,6599545,2,"Slowly stream vegetable broth into vegetable mixture; bring to a simmer over medium heat. Stir in rosemary and great Northern beans and bring back to a simmer, about 5 minutes. Add ditalini pasta and simmer soup until pasta is tender but firm to the bite and soup has thickened, 10 to 15 minutes. Remove from heat; stir in parsley."
45,6599545,3,Ladle soup into serving bowls and top each serving with 1 heaping tablespoon Parmesan cheese; season with salt and black pepper. Garnish soup with a drizzle of extra-virgin olive oil.
46,6584808,1,"In a large stock pot, cook bacon and drain off fat. Add onion, garlic, and beef. When onions are translucent, add celery, carrot, pureed tomatoes, whole tomatoes, broth, condensed soup, water, wine, oregano, basil, salt and pepper. Cook for 15 minutes."
47,6584808,2,"Stir in zucchini, spinach, pasta, garbanzo beans and parsley. Cook for 15 minutes and serve with fresh Parmesan cheese."
48,6568097,1,"Heat olive oil in a large pot over medium heat. Cook and stir celery, carrots, onion, and garlic in the hot oil until the onion is translucent, 7 to 10 minutes."
49,6568097,2,"Pour vegetable stock over the vegetable mixture; season with Italian seasoning, kosher salt, and black pepper. Stir tomatoes, potatoes, and kidney beans into the stock mixture; bring to a simmer and cook until the potatoes are tender, about 40 minutes. Add kale and continue cooking until the kale wilts, about 5 minutes."
50,6597537,1,"Bring a large pot of lightly salted water to a boil; add pasta and cook, stirring occasionally, until tender yet firm to the bite, about 11 minutes. Drain."
51,6597537,2,"Heat oil in a large saucepan over medium heat; add orange bell pepper, red bell pepper, celery, carrots, and garlic. Cook and stir until slightly tender, about 5 minutes."
52,6597537,3,"Pour tomato soup plus 1/2 can water into saucepan. Add potatoes, chicken broth, basil, onion powder, salt, and pepper; stir to combine. Bring to a boil; reduce heat and simmer until flavors combine, about 1 hour. Serve over cooked pasta."
53,6569460,1,"Turn on a multi-functional pressure cooker (such as Instant Pot) and select Saute function. Add oil. Cook and stir carrots, onion, bell pepper, celery, parsley, and garlic until vegetables are fragrant and onion is translucent, about 8 minutes. Turn off Saute function."
54,6569460,2,"Add buckwheat and lentils; mix to coat with the oil and vegetables. Add potatoes, zucchini, and green beans. Pour in broth; stir to mix. Close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 10 minutes. Allow 10 to 15 minutes for pressure to build."
55,6569460,3,"Release pressure using the natural-release method according to manufacturer's instructions, 10 to 40 minutes. Open lid and stir in hummus and sambal oelek. Season with salt and pepper. Divide soup among 8 bowls. Top each with 1/2 tablespoon nutritional yeast. Serve warm."
56,6574324,1,"Combine Italian seasoning, onion powder, garlic powder, celery seed, parsley, thyme, basil, oregano, salt, black pepper, and bay leaf in a small bowl."
57,6574324,2,"Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally until cooked through but firm to the bite, 8 minutes. Drain."
58,6574324,3,"Heat olive oil and butter together in a large saucepan over medium-high heat; cook and stir carrot, celery, and onion until heated through, 2 to 3 minutes. Add garlic, green bell pepper, red bell pepper, zucchini, and Italian seasoning mixture; stir to combine."
59,6574324,4,"Stir tomatoes and their juice, tomato sauce, three bean salad, green beans, and chicken stock into seasoned vegetable mixture. Bring to a boil, reduce heat, and simmer, stirring occasionally, until flavors are blended, about 30 minutes. Stir in elbow macaroni before serving."
60,6587502,1,"Heat olive oil in a large soup pot over medium heat; cook and stir onion and garlic in the hot oil until onion is tender, 2 to 5 minutes. Stir chicken broth, tomato juice, diced tomatoes and their juice, spinach, zucchini, carrots, celery, cannellini beans, Italian seasoning, salt, and black pepper. Bring soup to a boil, reduce heat to low, and cover pot. Simmer soup for 45 minutes."
61,6587502,2,"Bring soup back to a full boil and stir in rotini pasta. Reduce heat to low and simmer until pasta is tender, 10 to 15 more minutes."
62,6574900,1,"Heat olive oil in a large pot over medium heat. Stir potatoes, carrots, celery, onion and garlic into pot. Mix in tomato paste, beans, broth and water. Season with basil, oregano and salt. Cook and stir 30 minutes, or until vegetables are tender."
63,6574900,2,"Mix macaroni into pot. Continue cooking 10 minutes, or until macaroni is tender."
64,6588098,1,"Turn on a multi-functional pressure cooker (such as Instant Pot) and select Saute function. Add sausage and sauté, breaking it into pieces with a wooden spoon, until browned, about 5 minutes. Add water, chicken soup base, beans, zucchini, onion, carrots, and garlic. Stir once."
65,6588098,2,Close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 3 minutes. Allow 10 to 15 minutes for pressure to build.
66,6588098,3,"Release pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid. Add spinach, Italian herbs, and rosemary; stir until spinach has wilted. Ladle minestrone into bowls and top with freshly grated Parmesan cheese."
67,6563187,1,"Heat oil over medium heat in a stockpot. Stir in leek and onion and cook for 5 to 6 minutes. Add carrots, celery, and garlic; cook for 5 minutes. Add potatoes and cook for 2 to 3 minutes more."
68,6563187,2,Pour hot vegetable broth into the pot and stir well. Add bay leaf and thyme; season with salt and pepper. Bring to a boil; reduce heat and let simmer for 10 to 12 minutes.
69,6563187,3,"Stir in zucchini and peas. Let simmer for 5 minutes. Add tomatoes, cover, and let simmer for 5 to 8 minutes."
70,6563187,4,Uncover the pot and stir in beans. Let simmer for 10 minutes; stir in pesto sauce and let simmer for 5 minutes. Remove from heat and let stand for 3 to 4 minutes. Serve topped with Parmesan cheese.
71,6597088,1,"Combine milk, bread crumbs, Worcestershire sauce, and salt in a large bowl. Add ground beef and mix well. Shape into 36 to 48 meatballs."
72,6597088,2,"Heat a large nonstick skillet over medium heat. Cook meatballs in batches until browned, 2 to 3 minutes per side. Transfer to a plate and set aside."
73,6597088,3,"Combine beef broth, tomatoes, corn, celery, cabbage, onion, zucchini, wine, parsley, oregano, basil, garlic powder, salt, and pepper in a large pot. Stir in browned meatballs. Simmer soup until vegetables are tender, 35 to 40 minutes. Stir in broken spaghetti and cook until tender, about 20 minutes more."
74,6587218,1,"Place cranberry beans into a large container and cover with several inches of cool water; let soak, 8 hours to overnight. Drain."
75,6587218,2,"Shred carrot, yellow onion, celery, and red pepper in a food processor to create a sofrito mixture."
